,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.002845,1.625244,0.045814,0.981583,0.185795,0.044292,0.003542,0.099215,1.542369,0.470197,0.791211,0.57784,0.198969,0.022309,0.087153,1.539907,0.41844,0.955333,-0.218528,0.089135,0.177875,0.109024,1.485615,0.409277,0.768592,-0.61859,-0.017675,0.162173,0.090701,1.557128,0.452503,0.924112,0.338592,0.158755,0.078546,0.107391,1.522324,0.476786,0.791211,0.57784,0.198969,0.022309,0.116366,1.538982,0.455639,0.376139,0.904636,0.150129,-0.132719,0.107021,1.546433,0.409915,0.9667,-0.216894,0.066628,0.118359,0.124164,1.488687,0.40227,0.768592,-0.61859,-0.017675,0.162173,0.110382,1.565311,0.448835,0.788645,0.601785,0.125246,0.014409,0.11387,1.520086,0.439061,0.376139,0.904636,0.150129,-0.132719,0.118565,1.501219,0.397221,0.768592,-0.61859,-0.017675,0.162173,0.145435,1.540021,0.443802,0.444516,0.883088,-0.131459,-0.072657,0.148866,1.537504,0.410046,0.93898,-0.343382,-0.00123,-0.020088,0.146438,1.493124,0.397663,0.791413,-0.603847,-0.034344,-0.088627,0.149222,1.557528,0.433774,0.857208,0.503175,-0.050517,-0.097249,0.139559,1.522421,0.431627,0.444516,0.883088,-0.131459,-0.072657,0.131221,1.53905,0.452145,0.388774,0.916857,0.01055,-0.090098,0.127902,1.544317,0.40876,0.96304,-0.258833,0.048713,0.056451,0.137832,1.492226,0.395941,0.768592,-0.61859,-0.017675,0.162173,0.130448,1.564183,0.442706,0.82132,0.567963,0.0411,-0.034096,0.127763,1.520328,0.4365,0.388774,0.916857,0.01055,-0.090098,0.097822,1.52243,0.471622,0.498098,-0.042457,0.470034,0.727437,0.10512,1.481665,0.420463,0.419467,-0.227404,0.175512,0.861122,0.097089,1.497868,0.447901,0.512831,-0.207958,0.330895,0.764373,0.106792,1.540877,0.485712,0.498098,-0.042457,0.470034,0.727437,10,0.13011,1.456004,0.384526,0.768592,-0.61859,-0.017675,0.162173,2,S,Static,Right
1,2,0.00283,1.625032,0.04561,0.981784,0.185018,0.043064,0.003644,0.099316,1.54257,0.470555,0.79071,0.579201,0.197107,0.021298,0.087354,1.540183,0.418796,0.955755,-0.218528,0.088503,0.175911,0.109023,1.485803,0.409674,0.768877,-0.618797,-0.017304,0.160059,0.090892,1.557389,0.452868,0.924159,0.339514,0.157206,0.077122,0.107396,1.522475,0.477109,0.79071,0.579201,0.197107,0.021298,0.11648,1.539194,0.456079,0.376979,0.904692,0.147965,-0.132385,0.107264,1.546633,0.410314,0.966892,-0.217355,0.065985,0.116288,0.124191,1.488817,0.402703,0.768877,-0.618797,-0.017304,0.160059,0.110607,1.565535,0.449224,0.789252,0.601422,0.123235,0.013606,0.11396,1.520275,0.439532,0.376979,0.904692,0.147965,-0.132385,0.118664,1.501375,0.397644,0.768877,-0.618797,-0.017304,0.160059,0.145586,1.540156,0.444283,0.445413,0.882346,-0.133538,-0.072393,0.149075,1.537545,0.410533,0.938541,-0.344458,-0.001596,-0.022083,0.146504,1.493174,0.398144,0.791203,-0.603822,-0.034027,-0.090769,0.149454,1.557623,0.434214,0.857666,0.502021,-0.052365,-0.098193,0.139672,1.522546,0.432142,0.445413,0.882346,-0.133538,-0.072393,0.131345,1.539218,0.45261,0.389448,0.916623,0.008386,-0.089791,0.12814,1.544438,0.409202,0.963027,-0.259429,0.048158,0.054369,0.137899,1.49231,0.396405,0.768877,-0.618797,-0.017304,0.160059,0.130684,1.564338,0.443128,0.821761,0.567409,0.039133,-0.034989,0.127854,1.520481,0.436991,0.389448,0.916623,0.008386,-0.089791,0.09774,1.522633,0.471996,0.500192,-0.042501,0.469532,0.726321,0.105068,1.481863,0.420844,0.421286,-0.228439,0.175039,0.860055,0.097002,1.498082,0.448262,0.514733,-0.208556,0.33024,0.763214,0.106748,1.541046,0.486106,0.500192,-0.042501,0.469532,0.726321,21,0.130063,1.456117,0.384974,0.768877,-0.618797,-0.017304,0.160059,2,S,Static,Right
2,3,0.00274,1.625383,0.045902,0.9821,0.183512,0.042317,0.003639,0.099192,1.542256,0.469992,0.789767,0.580672,0.196593,0.020971,0.087234,1.540027,0.418221,0.956196,-0.217139,0.088354,0.17531,0.108839,1.485644,0.408964,0.76975,-0.617854,-0.01728,0.159506,0.090793,1.557133,0.452342,0.923785,0.340823,0.156775,0.076694,0.107239,1.522125,0.476478,0.789767,0.580672,0.196593,0.020971,0.116352,1.5389,0.455519,0.375721,0.905298,0.147505,-0.132329,0.107155,1.546476,0.409762,0.967279,-0.215966,0.065855,0.115725,0.124013,1.488658,0.402008,0.76975,-0.617854,-0.01728,0.159506,0.110514,1.565264,0.448725,0.788562,0.602436,0.122732,0.013359,0.113812,1.520027,0.438922,0.375721,0.905298,0.147505,-0.132329,0.118507,1.501238,0.39698,0.76975,-0.617854,-0.01728,0.159506,0.145464,1.539871,0.443729,0.4445,0.882675,-0.134153,-0.07285,0.148955,1.537341,0.40997,0.938968,-0.343244,-0.001396,-0.022839,0.146338,1.493004,0.397469,0.791913,-0.602821,-0.033696,-0.091353,0.14936,1.557357,0.433704,0.856976,0.503031,-0.052701,-0.098869,0.139523,1.522293,0.431554,0.4445,0.882675,-0.134153,-0.07285,0.131218,1.538913,0.452051,0.388221,0.91713,0.007776,-0.089985,0.128028,1.54426,0.408651,0.963445,-0.258015,0.048189,0.053673,0.137732,1.492154,0.395724,0.76975,-0.617854,-0.01728,0.159506,0.130597,1.564059,0.442634,0.820999,0.568511,0.038673,-0.035504,0.127701,1.520221,0.436384,0.388221,0.91713,0.007776,-0.089985,0.097532,1.522326,0.471367,0.500901,-0.041697,0.468861,0.726312,0.104869,1.481678,0.420121,0.422075,-0.228262,0.173846,0.859957,0.096791,1.497835,0.447571,0.515539,-0.208107,0.329156,0.763261,0.10657,1.540697,0.485512,0.500901,-0.041697,0.468861,0.726312,32,0.129859,1.455999,0.384199,0.76975,-0.617854,-0.01728,0.159506,2,S,Static,Right
3,4,0.002702,1.625946,0.046461,0.982524,0.181383,0.04167,0.00332,0.099061,1.541973,0.469467,0.789003,0.581895,0.196076,0.020688,0.087109,1.539886,0.41768,0.956611,-0.215845,0.088202,0.174722,0.10866,1.485502,0.408299,0.770561,-0.616974,-0.01731,0.158994,0.090687,1.556897,0.451845,0.923505,0.341871,0.156333,0.076308,0.107077,1.521813,0.475899,0.789003,0.581895,0.196076,0.020688,0.116218,1.538619,0.454992,0.374353,0.905942,0.147086,-0.132266,0.107039,1.546335,0.409243,0.967667,-0.214545,0.06571,0.115207,0.123839,1.488517,0.401356,0.770561,-0.616974,-0.01731,0.158994,0.110412,1.565007,0.448261,0.787847,0.603472,0.122254,0.013152,0.113657,1.519798,0.438341,0.374353,0.905942,0.147086,-0.132266,0.118352,1.501116,0.396358,0.770561,-0.616974,-0.01731,0.158994,0.145335,1.539599,0.443212,0.443483,0.883057,-0.134759,-0.073304,0.14883,1.537158,0.409445,0.939436,-0.34191,-0.00122,-0.023592,0.146175,1.492854,0.396837,0.79258,-0.601876,-0.033439,-0.091892,0.14926,1.557106,0.433235,0.8562,0.504184,-0.053043,-0.09953,0.139368,1.522057,0.430998,0.443483,0.883057,-0.134759,-0.073304,0.131085,1.538621,0.451525,0.386911,0.91767,0.007187,-0.090169,0.127911,1.544101,0.408134,0.963878,-0.256529,0.048207,0.052998,0.137569,1.492017,0.395087,0.770561,-0.616974,-0.01731,0.158994,0.130502,1.563794,0.442178,0.820193,0.569673,0.038223,-0.035998,0.127544,1.519977,0.435807,0.386911,0.91767,0.007187,-0.090169,0.097328,1.52205,0.470772,0.501556,-0.040948,0.468312,0.726257,0.104677,1.481511,0.419442,0.422783,-0.228127,0.17276,0.859864,0.096586,1.497613,0.446921,0.516268,-0.207719,0.328175,0.763296,0.106396,1.540385,0.484946,0.501556,-0.040948,0.468312,0.726257,43,0.129664,1.455897,0.383473,0.770561,-0.616974,-0.01731,0.158994,2,S,Static,Right
4,5,0.00296,1.627366,0.048536,0.983047,0.178605,0.041319,0.003344,0.099114,1.541044,0.470414,0.786249,0.585169,0.197324,0.021297,0.087069,1.539271,0.418652,0.957024,-0.212806,0.088341,0.176109,0.108694,1.485004,0.408779,0.772924,-0.613646,-0.017608,0.160364,0.090677,1.556078,0.452916,0.922065,0.345073,0.157314,0.077287,0.10717,1.520839,0.476654,0.786249,0.585169,0.197324,0.021297,0.116272,1.537755,0.455898,0.370846,0.907077,0.148804,-0.132448,0.106967,1.545826,0.41022,0.968361,-0.210502,0.066252,0.116515,0.123852,1.488103,0.401826,0.772924,-0.613646,-0.017608,0.160364,0.110405,1.564184,0.449381,0.785385,0.606382,0.123645,0.01358,0.113704,1.519056,0.43911,0.370846,0.907077,0.148804,-0.132448,0.118331,1.500733,0.396943,0.772924,-0.613646,-0.017608,0.160364,0.145353,1.538894,0.444041,0.440238,0.884846,-0.133052,-0.074404,0.148775,1.536725,0.41025,0.940788,-0.338267,-0.000383,-0.022236,0.14617,1.492519,0.397289,0.795132,-0.598742,-0.032681,-0.090583,0.149219,1.556487,0.434194,0.854369,0.507492,-0.051143,-0.099447,0.139394,1.521436,0.431703,0.440238,0.884846,-0.133052,-0.074404,0.13113,1.537805,0.452399,0.38352,0.919007,0.008841,-0.090892,0.12784,1.543639,0.409045,0.964851,-0.252417,0.048926,0.05435,0.137562,1.49168,0.395553,0.772924,-0.613646,-0.017608,0.160364,0.130479,1.563047,0.443248,0.81798,0.572746,0.039872,-0.03579,0.127586,1.519273,0.436549,0.38352,0.919007,0.008841,-0.090892,0.09741,1.521057,0.471539,0.500712,-0.038489,0.466615,0.728064,0.104743,1.480915,0.419898,0.422665,-0.226005,0.169672,0.861097,0.096666,1.496796,0.44751,0.516058,-0.205403,0.325648,0.765145,0.106501,1.539307,0.485808,0.500712,-0.038489,0.466615,0.728064,55,0.129696,1.455641,0.383666,0.772924,-0.613646,-0.017608,0.160364,2,S,Static,Right
5,6,0.00309,1.627613,0.049222,0.983464,0.176403,0.04088,0.003251,0.099143,1.540193,0.471281,0.783699,0.588183,0.198439,0.021883,0.087022,1.538694,0.419545,0.95736,-0.210182,0.088399,0.177399,0.10872,1.484542,0.409215,0.775119,-0.610529,-0.017926,0.16163,0.090651,1.555324,0.453893,0.920768,0.347923,0.15817,0.078226,0.107237,1.519949,0.477343,0.783699,0.588183,0.198439,0.021883,0.116312,1.536946,0.45673,0.36758,0.908123,0.150395,-0.132584,0.10689,1.545348,0.411121,0.968999,-0.20671,0.066726,0.117728,0.123857,1.48772,0.402254,0.775119,-0.610529,-0.017926,0.16163,0.110389,1.56341,0.450414,0.783082,0.609083,0.124917,0.014003,0.113738,1.518362,0.439815,0.36758,0.908123,0.150395,-0.132584,0.118305,1.500377,0.397478,0.775119,-0.610529,-0.017926,0.16163,0.145358,1.538234,0.444803,0.437128,0.886548,-0.131426,-0.075355,0.148714,1.53632,0.410992,0.942042,-0.334842,0.000328,-0.02093,0.146159,1.49221,0.397703,0.797506,-0.595796,-0.032013,-0.089368,0.149168,1.555908,0.435079,0.852624,0.510622,-0.049383,-0.099288,0.139409,1.520857,0.432347,0.437128,0.886548,-0.131426,-0.075355,0.131162,1.537038,0.453205,0.380366,0.920238,0.010403,-0.091516,0.127764,1.543207,0.409884,0.965757,-0.248522,0.049549,0.055632,0.137548,1.491368,0.395979,0.775119,-0.610529,-0.017926,0.16163,0.130447,1.562344,0.444236,0.815909,0.5756,0.041399,-0.035542,0.127616,1.518611,0.437233,0.380366,0.920238,0.010403,-0.091516,0.097477,1.520139,0.472233,0.49994,-0.036218,0.465122,0.729664,0.104799,1.480361,0.420311,0.422536,-0.224092,0.166827,0.862215,0.096733,1.496038,0.448042,0.515855,-0.203302,0.32333,0.766824,0.106593,1.53831,0.486584,0.49994,-0.036218,0.465122,0.729664,66,0.12972,1.455407,0.383836,0.775119,-0.610529,-0.017926,0.16163,2,S,Static,Right
6,7,0.003117,1.627894,0.049847,0.983719,0.175028,0.040665,0.002948,0.099155,1.539406,0.472083,0.78131,0.590993,0.199446,0.022446,0.08697,1.538148,0.420374,0.957634,-0.207898,0.088394,0.17861,0.108738,1.484107,0.409615,0.777177,-0.607581,-0.018261,0.162811,0.090613,1.554623,0.454795,0.919586,0.350491,0.158925,0.079131,0.107282,1.519127,0.477979,0.78131,0.590993,0.199446,0.022446,0.116339,1.53618,0.457502,0.364514,0.909097,0.151883,-0.132683,0.10681,1.544895,0.411959,0.96959,-0.203121,0.067146,0.118864,0.123856,1.487361,0.402647,0.777177,-0.607581,-0.018261,0.162811,0.110365,1.562678,0.451374,0.78091,0.611615,0.126092,0.014421,0.113761,1.517706,0.440469,0.364514,0.909097,0.151883,-0.132683,0.118274,1.500043,0.397973,0.777177,-0.607581,-0.018261,0.162811,0.145352,1.537611,0.44551,0.43413,0.888179,-0.129867,-0.076184,0.148649,1.53594,0.411684,0.943216,-0.331596,0.000936,-0.019665,0.146142,1.491921,0.398085,0.799736,-0.593001,-0.031416,-0.088231,0.149109,1.555361,0.435906,0.85095,0.513606,-0.047737,-0.099069,0.139415,1.520312,0.43294,0.43413,0.888179,-0.129867,-0.076184,0.131183,1.536311,0.453955,0.377406,0.921384,0.01189,-0.092059,0.127686,1.542799,0.410666,0.966608,-0.244801,0.050096,0.056855,0.137529,1.491077,0.396372,0.777177,-0.607581,-0.018261,0.162811,0.130406,1.561676,0.445158,0.813955,0.578274,0.042828,-0.035264,0.127637,1.517984,0.43787,0.377406,0.921384,0.01189,-0.092059,0.097532,1.51928,0.472866,0.499227,-0.034102,0.463802,0.731093,0.104845,1.479841,0.420687,0.422399,-0.222355,0.164176,0.86324,0.096788,1.495329,0.448528,0.515659,-0.201379,0.321181,0.768366,0.106673,1.537381,0.487291,0.499227,-0.034102,0.463802,0.731093,76,0.129737,1.45519,0.383987,0.777177,-0.607581,-0.018261,0.162811,2,S,Static,Right
7,8,0.003278,1.627791,0.050314,0.983911,0.173993,0.040467,0.002849,0.098354,1.540218,0.471789,0.783743,0.587274,0.200744,0.023619,0.086099,1.538806,0.420037,0.95722,-0.208364,0.088916,0.180021,0.108023,1.4848,0.409421,0.776005,-0.608663,-0.018658,0.164307,0.089748,1.555325,0.454436,0.920195,0.348131,0.159976,0.080338,0.106574,1.520027,0.477857,0.783743,0.587274,0.200744,0.023619,0.115507,1.537064,0.457181,0.367187,0.907811,0.153236,-0.132561,0.105911,1.54559,0.411586,0.96904,-0.204781,0.067394,0.120354,0.123126,1.48808,0.402433,0.776005,-0.608663,-0.018658,0.164307,0.10944,1.563513,0.45094,0.782207,0.60967,0.127365,0.015283,0.112991,1.518488,0.440249,0.367187,0.907811,0.153236,-0.132561,0.117505,1.500732,0.397726,0.776005,-0.608663,-0.018658,0.164307,0.144511,1.538578,0.445152,0.437155,0.886935,-0.128461,-0.075759,0.147778,1.536766,0.411304,0.942568,-0.333522,0.000854,-0.018119,0.145398,1.492698,0.397841,0.798987,-0.594198,-0.032162,-0.086685,0.148203,1.556287,0.435446,0.852526,0.511293,-0.046725,-0.097966,0.138608,1.521181,0.4327,0.437155,0.886935,-0.128461,-0.075759,0.130343,1.537279,0.453614,0.380406,0.920157,0.013269,-0.0918,0.126792,1.543555,0.410283,0.965948,-0.247026,0.050198,0.058335,0.136787,1.491822,0.396137,0.776005,-0.608663,-0.018658,0.164307,0.129479,1.562596,0.444688,0.815475,0.576102,0.043953,-0.034288,0.126847,1.518841,0.437645,0.380406,0.920157,0.013269,-0.0918,0.096721,1.520096,0.472596,0.49787,-0.035188,0.465037,0.731183,0.104148,1.480553,0.420508,0.420656,-0.222888,0.165047,0.863788,0.096058,1.496085,0.448314,0.514006,-0.202466,0.321776,0.768939,0.105822,1.538266,0.48696,0.49787,-0.035188,0.465037,0.731183,88,0.129098,1.455873,0.383867,0.776005,-0.608663,-0.018658,0.164307,2,S,Static,Right
8,9,0.003473,1.627557,0.050579,0.983912,0.174071,0.040096,0.002988,0.099285,1.539628,0.473085,0.7795,0.59187,0.203963,0.021665,0.086615,1.538597,0.421463,0.95751,-0.204479,0.092101,0.181328,0.108471,1.484674,0.410296,0.778131,-0.605313,-0.016254,0.166865,0.090533,1.554888,0.455941,0.917963,0.352539,0.163541,0.079466,0.107541,1.519363,0.478849,0.7795,0.59187,0.203963,0.021665,0.116323,1.536621,0.458376,0.36381,0.90837,0.155274,-0.135628,0.106356,1.545449,0.4129,0.969433,-0.201015,0.070869,0.121534,0.123516,1.488009,0.403211,0.778131,-0.605313,-0.016254,0.166865,0.110198,1.563106,0.452345,0.779818,0.612097,0.130543,0.0134,0.11368,1.518149,0.44135,0.36381,0.90837,0.155274,-0.135628,0.117858,1.500693,0.398639,0.778131,-0.605313,-0.016254,0.166865,0.14523,1.538245,0.446093,0.434628,0.888134,-0.126348,-0.079704,0.148223,1.536647,0.412222,0.943575,-0.330708,0.00471,-0.016636,0.145755,1.492673,0.398474,0.801176,-0.591773,-0.028796,-0.084222,0.14884,1.55602,0.436478,0.850976,0.513793,-0.042909,-0.100082,0.139231,1.520933,0.43357,0.434628,0.888134,-0.126348,-0.079704,0.131131,1.536845,0.454679,0.377222,0.921067,0.015262,-0.09543,0.127227,1.543434,0.411415,0.966627,-0.243256,0.053877,0.059633,0.13713,1.491804,0.396833,0.778131,-0.605313,-0.016254,0.166865,0.130188,1.562222,0.445936,0.813294,0.578774,0.047461,-0.036358,0.127511,1.518514,0.438613,0.377222,0.921067,0.015262,-0.09543,0.097603,1.519567,0.473754,0.496325,-0.030513,0.46563,0.732065,0.104681,1.480346,0.421381,0.420507,-0.21873,0.16371,0.865177,0.096768,1.4957,0.449336,0.51335,-0.198187,0.321347,0.770668,0.106854,1.537661,0.488118,0.496325,-0.030513,0.46563,0.732065,98,0.129359,1.455937,0.384377,0.778131,-0.605313,-0.016254,0.166865,2,S,Static,Right
9,10,0.003621,1.627308,0.050734,0.983766,0.174992,0.039657,0.003148,0.100139,1.539052,0.474283,0.775083,0.596682,0.206948,0.019769,0.08709,1.538383,0.422798,0.957744,-0.200915,0.094998,0.182579,0.108883,1.484544,0.411109,0.780143,-0.602106,-0.01407,0.169258,0.091254,1.554465,0.457345,0.915743,0.356919,0.166847,0.07865,0.10842,1.518711,0.479733,0.775083,0.596682,0.206948,0.019769,0.117077,1.536185,0.459492,0.360527,0.908923,0.157193,-0.138454,0.106764,1.545302,0.414134,0.969793,-0.19741,0.074073,0.122651,0.123874,1.487933,0.403937,0.780143,-0.602106,-0.01407,0.169258,0.110896,1.562702,0.453663,0.777517,0.614417,0.133499,0.011685,0.114314,1.517814,0.442376,0.360527,0.908923,0.157193,-0.138454,0.118181,1.500647,0.399491,0.780143,-0.602106,-0.01407,0.169258,0.145889,1.537917,0.446972,0.432016,0.889354,-0.124359,-0.083349,0.148629,1.536527,0.413086,0.944518,-0.328003,0.008273,-0.015226,0.14608,1.492643,0.399066,0.803254,-0.589418,-0.025691,-0.081913,0.149424,1.555758,0.437451,0.8494,0.516298,-0.039357,-0.102016,0.139802,1.520691,0.434373,0.432016,0.889354,-0.124359,-0.083349,0.131858,1.53641,0.455675,0.374022,0.921984,0.017151,-0.098789,0.127624,1.543307,0.412481,0.967284,-0.239535,0.057275,0.060868,0.137444,1.491781,0.397484,0.780143,-0.602106,-0.01407,0.169258,0.130842,1.561846,0.447113,0.811125,0.581412,0.050738,-0.038251,0.128121,1.518189,0.439512,0.374022,0.921984,0.017151,-0.098789,0.09841,1.51906,0.474821,0.494915,-0.026133,0.466311,0.732755,0.10517,1.480139,0.422189,0.420343,-0.214968,0.162397,0.866445,0.097415,1.495325,0.45028,0.512749,-0.194256,0.320946,0.772235,0.107807,1.537084,0.489177,0.494915,-0.026133,0.466311,0.732755,110,0.129599,1.455993,0.384849,0.780143,-0.602106,-0.01407,0.169258,2,S,Static,Right
