,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,-0.000611,1.636063,0.044516,0.978771,0.20416,0.008261,-0.016074,-0.024642,1.518527,0.388664,-0.934813,0.072624,0.347572,-0.006585,0.01675,1.487216,0.350087,-0.864321,0.348116,0.358509,0.056887,0.033836,1.426313,0.344498,-0.741223,0.554369,0.320716,0.201012,-0.006817,1.513319,0.370422,-0.922097,0.112913,0.369955,-0.011036,-0.039948,1.522776,0.406628,-0.934813,0.072624,0.347572,-0.006585,0.010322,1.555841,0.386849,-0.778985,0.468469,0.347947,0.229464,0.036864,1.489763,0.362801,-0.772717,0.507146,0.327731,0.195712,0.048488,1.425894,0.354424,-0.741223,0.554369,0.320716,0.201012,0.022704,1.531698,0.375251,-0.816146,0.42682,0.348293,0.174422,0.002623,1.580171,0.394933,-0.778985,0.468469,0.347947,0.229464,0.051351,1.441531,0.353301,-0.741223,0.554369,0.320716,0.201012,0.069379,1.52293,0.406279,-0.684986,0.536797,0.305463,0.386439,0.061969,1.47032,0.395169,-0.643445,0.621471,0.223348,0.387127,0.067601,1.426344,0.37455,-0.731079,0.428469,0.324896,0.419976,0.068344,1.502326,0.399373,-0.698682,0.517196,0.271653,0.412985,0.070276,1.545957,0.410975,-0.684986,0.536797,0.305463,0.386439,0.039975,1.550524,0.390424,-0.733526,0.499004,0.382674,0.257865,0.05062,1.482567,0.378776,-0.688193,0.594346,0.303301,0.284871,0.063676,1.427675,0.366171,-0.741223,0.554369,0.320716,0.201012,0.047327,1.523953,0.38335,-0.741975,0.498592,0.356553,0.27157,0.033521,1.575377,0.395178,-0.733526,0.499004,0.382674,0.257865,-0.014853,1.481541,0.336949,-0.588598,0.722367,0.046187,-0.360008,0.021468,1.42176,0.34268,-0.532373,0.768983,0.0609,-0.348621,0.000539,1.448794,0.33606,-0.665449,0.697016,0.043481,-0.263545,-0.029849,1.503082,0.334381,-0.588598,0.722367,0.046187,-0.360008,14,0.065838,1.393299,0.343802,-0.741223,0.554369,0.320716,0.201012,22,F,Static,Right
1,2,-0.000654,1.636147,0.044612,0.978821,0.203962,0.007538,-0.015867,-0.024815,1.518364,0.388461,-0.93471,0.069598,0.34845,-0.007477,0.016694,1.487252,0.34988,-0.864399,0.346885,0.359486,0.057057,0.033846,1.426366,0.344312,-0.741012,0.55383,0.321851,0.201458,-0.006944,1.51328,0.370228,-0.921997,0.110559,0.370897,-0.011564,-0.040165,1.522462,0.406422,-0.93471,0.069598,0.34845,-0.007477,0.010047,1.555793,0.386745,-0.779358,0.466907,0.349202,0.229473,0.036774,1.489812,0.362646,-0.772879,0.506036,0.328945,0.195911,0.048474,1.425956,0.354275,-0.741012,0.55383,0.321851,0.201458,0.022512,1.531702,0.375127,-0.816369,0.425365,0.349576,0.174367,0.00227,1.580087,0.394864,-0.779358,0.466907,0.349202,0.229473,0.051326,1.441596,0.353164,-0.741012,0.55383,0.321851,0.201458,0.069123,1.522996,0.406195,-0.68483,0.53601,0.306849,0.38671,0.061813,1.470377,0.39507,-0.643315,0.620852,0.224649,0.387584,0.067536,1.426414,0.374448,-0.730933,0.427653,0.325921,0.420269,0.068138,1.502391,0.399286,-0.698592,0.516398,0.273043,0.413219,0.069972,1.546025,0.410894,-0.68483,0.53601,0.306849,0.38671,0.039721,1.55055,0.390335,-0.733494,0.497992,0.383891,0.258105,0.050496,1.482621,0.378653,-0.688246,0.59349,0.30447,0.28528,0.063631,1.427745,0.366059,-0.741012,0.55383,0.321851,0.201458,0.047134,1.523998,0.383253,-0.741988,0.497578,0.357774,0.271788,0.033215,1.575387,0.395097,-0.733494,0.497992,0.383891,0.258105,-0.014819,1.481583,0.336681,-0.589632,0.721931,0.046743,-0.359117,0.021487,1.421803,0.342463,-0.532349,0.769394,0.061751,-0.347598,0.000571,1.448835,0.335792,-0.665792,0.69696,0.044341,-0.262682,-0.02979,1.503145,0.334144,-0.589632,0.721931,0.046743,-0.359117,28,0.065879,1.39338,0.343682,-0.741012,0.55383,0.321851,0.201458,22,F,Static,Right
2,3,-0.000712,1.636312,0.044812,0.978953,0.203349,0.006823,-0.015899,-0.025787,1.517749,0.389823,-0.936056,0.065984,0.34546,-0.010114,0.015638,1.487048,0.350841,-0.866417,0.344434,0.357444,0.054052,0.033141,1.426293,0.344977,-0.743588,0.552248,0.320895,0.197803,-0.008011,1.512863,0.371445,-0.923474,0.107245,0.368097,-0.014109,-0.04104,1.521649,0.407912,-0.936056,0.065984,0.34546,-0.010114,0.008811,1.555418,0.388002,-0.782283,0.464808,0.347717,0.226009,0.035784,1.489695,0.363485,-0.775408,0.504389,0.327539,0.192492,0.047839,1.425946,0.354839,-0.743588,0.552248,0.320895,0.197803,0.021357,1.531458,0.376204,-0.818962,0.42313,0.347901,0.170961,0.000924,1.579624,0.396277,-0.782283,0.464808,0.347717,0.226009,0.050583,1.441604,0.353753,-0.743588,0.552248,0.320895,0.197803,0.068216,1.522938,0.406961,-0.688112,0.534967,0.305522,0.383365,0.061157,1.470318,0.395682,-0.646408,0.620256,0.223645,0.383956,0.067027,1.426458,0.374882,-0.734019,0.426786,0.32424,0.417059,0.067316,1.502354,0.399977,-0.701816,0.515513,0.271563,0.409823,0.06895,1.545953,0.411745,-0.688112,0.534967,0.305522,0.383365,0.038596,1.550372,0.391328,-0.736534,0.49618,0.382632,0.254787,0.049655,1.482541,0.379379,-0.690695,0.592838,0.303253,0.281995,0.063059,1.427791,0.366523,-0.743588,0.552248,0.320895,0.197803,0.046123,1.52389,0.384105,-0.744838,0.496106,0.356374,0.268499,0.031958,1.575148,0.396227,-0.736534,0.49618,0.382632,0.254787,-0.015934,1.481217,0.338015,-0.591357,0.718015,0.047071,-0.364054,0.020798,1.421659,0.343205,-0.532742,0.76687,0.062938,-0.352327,-0.000356,1.448568,0.336794,-0.667217,0.693673,0.044171,-0.267746,-0.031045,1.502713,0.335772,-0.591357,0.718015,0.047071,-0.364054,42,0.065382,1.393513,0.34402,-0.743588,0.552248,0.320895,0.197803,22,F,Static,Right
3,4,-0.000689,1.63647,0.044978,0.978999,0.203139,0.006583,-0.015897,-0.025544,1.518372,0.38845,-0.935283,0.070232,0.346728,-0.009703,0.015897,1.487228,0.349825,-0.864516,0.348123,0.358384,0.054621,0.033226,1.426375,0.344442,-0.740779,0.555176,0.321832,0.198622,-0.00773,1.51327,0.370167,-0.922492,0.111687,0.369253,-0.013673,-0.040838,1.522465,0.406461,-0.935283,0.070232,0.346728,-0.009703,0.009165,1.555878,0.386484,-0.77993,0.467502,0.349044,0.226537,0.036014,1.489905,0.362509,-0.772867,0.507312,0.3286,0.193217,0.047891,1.426053,0.354354,-0.740779,0.555176,0.321832,0.198622,0.021674,1.531798,0.374891,-0.816704,0.426277,0.349069,0.171564,0.001315,1.580158,0.394575,-0.77993,0.467502,0.349044,0.226537,0.050688,1.441697,0.353171,-0.740779,0.555176,0.321832,0.198622,0.068419,1.523366,0.405821,-0.685043,0.537441,0.307208,0.384053,0.061231,1.470683,0.394922,-0.643138,0.622442,0.225148,0.385029,0.067022,1.426654,0.374459,-0.731316,0.429362,0.326162,0.417664,0.067474,1.502732,0.398993,-0.698774,0.518021,0.273357,0.410664,0.069208,1.546414,0.410434,-0.685043,0.537441,0.307208,0.384053,0.038957,1.550783,0.389879,-0.733719,0.499096,0.383968,0.255205,0.049816,1.482823,0.378495,-0.687415,0.595646,0.304361,0.282898,0.063083,1.427939,0.366079,-0.740779,0.555176,0.321832,0.198622,0.046415,1.52422,0.382887,-0.74189,0.499226,0.357685,0.269136,0.032378,1.575614,0.394573,-0.733719,0.499096,0.383968,0.255205,-0.015616,1.481414,0.33685,-0.589463,0.720912,0.045583,-0.361583,0.020876,1.421765,0.342653,-0.53031,0.769783,0.061392,-0.34991,-0.000152,1.448701,0.335944,-0.664986,0.696844,0.043359,-0.265182,-0.030632,1.502953,0.334396,-0.589463,0.720912,0.045583,-0.361583,54,0.065363,1.39349,0.343834,-0.740779,0.555176,0.321832,0.198622,22,F,Static,Right
4,5,-0.000634,1.636628,0.045154,0.979089,0.202724,0.006544,-0.015683,-0.025791,1.518181,0.388533,-0.934949,0.069669,0.347749,-0.009381,0.015716,1.48704,0.349982,-0.864191,0.347941,0.359222,0.05541,0.033064,1.426194,0.344551,-0.740803,0.55448,0.32251,0.199373,-0.007939,1.513087,0.370285,-0.922131,0.111413,0.370255,-0.013189,-0.041124,1.522254,0.406515,-0.934949,0.069669,0.347749,-0.009381,0.008887,1.555631,0.386726,-0.78002,0.466501,0.349809,0.22711,0.035806,1.489702,0.362711,-0.7729,0.506529,0.329339,0.193884,0.047706,1.42586,0.354495,-0.740803,0.55448,0.32251,0.199373,0.02143,1.531574,0.375122,-0.816704,0.425391,0.349877,0.172116,0.001006,1.579893,0.394841,-0.78002,0.466501,0.349809,0.22711,0.050505,1.441508,0.353343,-0.740803,0.55448,0.32251,0.199373,0.06811,1.523112,0.40613,-0.685103,0.536536,0.307808,0.384731,0.060957,1.470441,0.395152,-0.643289,0.621636,0.225667,0.385775,0.066796,1.426439,0.374646,-0.731266,0.428443,0.326685,0.418286,0.067185,1.502486,0.399275,-0.698851,0.517099,0.273945,0.411304,0.068881,1.546155,0.410773,-0.685103,0.536536,0.307808,0.384731,0.038699,1.55055,0.390155,-0.733591,0.498425,0.384571,0.255973,0.049575,1.482601,0.378718,-0.687424,0.594971,0.304896,0.28372,0.062874,1.427734,0.366259,-0.740803,0.55448,0.32251,0.199373,0.046168,1.523993,0.383149,-0.741773,0.498561,0.358279,0.269902,0.032112,1.575376,0.394864,-0.733591,0.498425,0.384571,0.255973,-0.015781,1.481226,0.336928,-0.590328,0.720512,0.0465,-0.360849,0.020719,1.421584,0.342724,-0.530646,0.769852,0.062435,-0.349061,-0.000305,1.448519,0.335998,-0.6655,0.696551,0.044411,-0.264489,-0.03079,1.502773,0.3345,-0.590328,0.720512,0.0465,-0.360849,66,0.065203,1.393314,0.343975,-0.740803,0.55448,0.32251,0.199373,22,F,Static,Right
5,6,-0.000529,1.63674,0.045352,0.979236,0.201981,0.006873,-0.015924,-0.026037,1.518022,0.388878,-0.934704,0.068559,0.348623,-0.009489,0.015566,1.486984,0.350348,-0.864193,0.346989,0.3601,0.055656,0.032988,1.426168,0.344814,-0.741227,0.553357,0.323211,0.199783,-0.008148,1.512975,0.370653,-0.921889,0.110457,0.371141,-0.013175,-0.041406,1.522042,0.406841,-0.934704,0.068559,0.348623,-0.009489,0.008593,1.55548,0.387239,-0.780494,0.465051,0.350516,0.227367,0.035632,1.48964,0.363116,-0.773304,0.505315,0.330051,0.194228,0.047613,1.425828,0.354783,-0.741227,0.553357,0.323211,0.199783,0.021187,1.531468,0.375597,-0.817049,0.424017,0.350629,0.17234,0.000662,1.579709,0.395402,-0.780494,0.465051,0.350516,0.227367,0.050397,1.441482,0.35367,-0.741227,0.553357,0.323211,0.199783,0.067814,1.522994,0.406657,-0.685714,0.53516,0.308451,0.385044,0.060749,1.470338,0.395558,-0.643928,0.620536,0.226204,0.386164,0.066669,1.426386,0.374968,-0.73167,0.427145,0.327079,0.4186,0.066933,1.502382,0.399754,-0.699462,0.515749,0.274533,0.411568,0.06854,1.546027,0.411353,-0.685714,0.53516,0.308451,0.385044,0.038403,1.550429,0.3907,-0.734075,0.497001,0.385268,0.256304,0.049382,1.48252,0.37913,-0.687966,0.593823,0.305502,0.284159,0.06276,1.427694,0.366578,-0.741227,0.553357,0.323211,0.199783,0.04592,1.523899,0.383645,-0.742239,0.497214,0.358936,0.270231,0.031769,1.575233,0.395459,-0.734075,0.497001,0.385268,0.256304,-0.015907,1.48116,0.337216,-0.591191,0.719915,0.047706,-0.360473,0.020651,1.421549,0.342954,-0.531194,0.769582,0.063744,-0.348587,-0.000391,1.448473,0.336246,-0.666045,0.696063,0.04571,-0.264181,-0.030928,1.502703,0.334827,-0.591191,0.719915,0.047706,-0.360473,83,0.065163,1.393324,0.344225,-0.741227,0.553357,0.323211,0.199783,22,F,Static,Right
6,7,-0.000367,1.636816,0.045685,0.979352,0.201332,0.008026,-0.016467,-0.026542,1.517709,0.389537,-0.934237,0.066345,0.35029,-0.009856,0.015259,1.486899,0.351038,-0.864262,0.344955,0.361841,0.055927,0.032831,1.426144,0.345305,-0.742083,0.551154,0.324555,0.200517,-0.008581,1.512766,0.371355,-0.921439,0.108452,0.372841,-0.013336,-0.041981,1.521622,0.407464,-0.934237,0.066345,0.35029,-0.009856,0.008003,1.555206,0.388217,-0.781452,0.462206,0.351855,0.22781,0.035279,1.489546,0.36388,-0.774116,0.502945,0.331401,0.194845,0.047425,1.425794,0.355318,-0.742083,0.551154,0.324555,0.200517,0.0207,1.531286,0.376498,-0.817766,0.421289,0.352059,0.172709,-2.6e-05,1.57937,0.396477,-0.781452,0.462206,0.351855,0.22781,0.050179,1.441459,0.354281,-0.742083,0.551154,0.324555,0.200517,0.06722,1.52279,0.407655,-0.687014,0.532357,0.309779,0.385546,0.060337,1.470163,0.39632,-0.645198,0.618402,0.227254,0.386851,0.066416,1.42631,0.375567,-0.732494,0.424615,0.327818,0.419154,0.066431,1.502205,0.400659,-0.700754,0.513018,0.275741,0.411975,0.067849,1.545804,0.412458,-0.687014,0.532357,0.309779,0.385546,0.037785,1.550207,0.391757,-0.735229,0.493931,0.386704,0.256769,0.048994,1.482389,0.379908,-0.689153,0.591463,0.306717,0.284894,0.062531,1.427644,0.36717,-0.742083,0.551154,0.324555,0.200517,0.045413,1.523739,0.384594,-0.74335,0.49432,0.360283,0.270693,0.031043,1.574962,0.396625,-0.735229,0.493931,0.386704,0.256769,-0.016165,1.481058,0.337761,-0.592784,0.718773,0.049966,-0.359828,0.02051,1.421506,0.343385,-0.532293,0.76898,0.066186,-0.347784,-0.00057,1.448411,0.336719,-0.66699,0.695185,0.048173,-0.263668,-0.031211,1.502592,0.335447,-0.592784,0.718773,0.049966,-0.359828,108,0.065078,1.393372,0.344682,-0.742083,0.551154,0.324555,0.200517,22,F,Static,Right
7,8,-0.000249,1.636817,0.045895,0.979349,0.201357,0.008448,-0.01612,-0.026232,1.517558,0.390056,-0.935203,0.066208,0.34773,-0.009793,0.015342,1.486727,0.351326,-0.865243,0.345169,0.359384,0.055279,0.032888,1.425978,0.34548,-0.743083,0.551526,0.322537,0.199043,-0.008372,1.512606,0.371776,-0.92246,0.108463,0.370305,-0.01333,-0.041571,1.52147,0.408068,-0.935203,0.066208,0.34773,-0.009793,0.008303,1.555024,0.388582,-0.782581,0.462556,0.349619,0.226663,0.03543,1.489371,0.364061,-0.775131,0.50333,0.329152,0.193625,0.047538,1.425626,0.355413,-0.743083,0.551526,0.322537,0.199043,0.020931,1.531108,0.37678,-0.818841,0.421565,0.349713,0.171709,0.00032,1.579182,0.396904,-0.782581,0.462556,0.349619,0.226663,0.050284,1.44129,0.354362,-0.743083,0.551526,0.322537,0.199043,0.067614,1.5226,0.407681,-0.687922,0.533354,0.307707,0.384206,0.060666,1.469978,0.396357,-0.645998,0.619278,0.225382,0.385207,0.066638,1.426134,0.375554,-0.733491,0.425582,0.325773,0.418023,0.066783,1.502018,0.400681,-0.7016,0.51403,0.273657,0.410661,0.068276,1.545612,0.412488,-0.687922,0.533354,0.307707,0.384206,0.03812,1.550032,0.391931,-0.736263,0.494677,0.38455,0.255605,0.049233,1.48221,0.380011,-0.68998,0.592254,0.304674,0.283438,0.062707,1.427472,0.367178,-0.743083,0.551526,0.322537,0.199043,0.045695,1.52356,0.384724,-0.744287,0.49513,0.358093,0.269542,0.031417,1.574789,0.396839,-0.736263,0.494677,0.38455,0.255605,-0.016206,1.480861,0.338328,-0.593595,0.716854,0.048354,-0.36253,0.020557,1.421339,0.343632,-0.532606,0.767611,0.064979,-0.350546,-0.000595,1.448227,0.337124,-0.66762,0.693697,0.046291,-0.266317,-0.031279,1.502392,0.336167,-0.593595,0.716854,0.048354,-0.36253,131,0.065137,1.393209,0.344663,-0.743083,0.551526,0.322537,0.199043,22,F,Static,Right
8,9,-9.5e-05,1.636866,0.046253,0.979373,0.201274,0.008506,-0.015669,-0.026948,1.517718,0.388865,-0.934243,0.066388,0.350249,-0.01045,0.014838,1.486814,0.350435,-0.863835,0.346069,0.36182,0.055777,0.032483,1.42607,0.344857,-0.741529,0.551762,0.325237,0.199787,-0.008988,1.512742,0.370691,-0.921355,0.109247,0.372807,-0.013646,-0.042389,1.521623,0.406793,-0.934243,0.066388,0.350249,-0.01045,0.007453,1.555145,0.387548,-0.781676,0.46181,0.352539,0.226785,0.03485,1.489514,0.363277,-0.773947,0.503145,0.331949,0.194064,0.047077,1.425761,0.354873,-0.741529,0.551762,0.325237,0.199787,0.020204,1.531247,0.375844,-0.817823,0.421123,0.352611,0.171716,-0.00064,1.57929,0.395802,-0.781676,0.46181,0.352539,0.226785,0.049811,1.441424,0.353792,-0.741529,0.551762,0.325237,0.199787,0.067859,1.522923,0.40609,-0.679398,0.54282,0.306065,0.387414,0.059921,1.470235,0.39577,-0.636589,0.627612,0.222951,0.38878,0.06606,1.426343,0.375117,-0.732216,0.425175,0.328668,0.418405,0.066638,1.502232,0.399481,-0.692973,0.523353,0.272424,0.414337,0.068953,1.546005,0.410461,-0.679398,0.54282,0.306065,0.387414,0.037274,1.550242,0.391003,-0.734884,0.494262,0.387567,0.255819,0.048569,1.482411,0.379326,-0.688473,0.59215,0.307514,0.284252,0.062176,1.427654,0.366716,-0.741529,0.551762,0.325237,0.199787,0.044944,1.523768,0.383903,-0.742908,0.494856,0.361095,0.269845,0.030486,1.574994,0.395818,-0.734884,0.494262,0.387567,0.255819,-0.016673,1.480856,0.337368,-0.593283,0.717545,0.049667,-0.361493,0.020166,1.421414,0.342956,-0.531203,0.769018,0.06657,-0.349289,-0.001005,1.448246,0.336282,-0.666757,0.694761,0.048083,-0.265388,-0.031755,1.502374,0.335148,-0.593283,0.717545,0.049667,-0.361493,152,0.064773,1.393334,0.344307,-0.741529,0.551762,0.325237,0.199787,22,F,Static,Right
9,10,8.9e-05,1.636981,0.04676,0.979416,0.201041,0.008399,-0.016019,-0.026785,1.517177,0.390127,-0.934953,0.058067,0.3499,-0.007849,0.014874,1.486705,0.35128,-0.86589,0.341494,0.360638,0.059644,0.032264,1.425941,0.345134,-0.743592,0.548862,0.323369,0.203108,-0.008843,1.512477,0.371862,-0.922345,0.102106,0.372484,-0.010461,-0.042211,1.520755,0.408135,-0.934953,0.058067,0.3499,-0.007849,0.007594,1.554555,0.389249,-0.784672,0.456518,0.35099,0.229537,0.034888,1.489198,0.364162,-0.776669,0.498816,0.33035,0.197072,0.046848,1.425475,0.355158,-0.743592,0.548862,0.323369,0.203108,0.020334,1.53081,0.377224,-0.820553,0.415607,0.351456,0.174477,-0.000487,1.578589,0.397829,-0.784672,0.456518,0.35099,0.229537,0.049651,1.441136,0.354231,-0.743592,0.548862,0.323369,0.203108,0.067413,1.522052,0.407761,-0.684748,0.534912,0.305946,0.389085,0.059852,1.469504,0.396487,-0.642763,0.620477,0.222906,0.390099,0.065819,1.425784,0.375424,-0.733211,0.422251,0.326031,0.421675,0.066352,1.501472,0.400786,-0.698234,0.515479,0.271976,0.415668,0.068334,1.54506,0.412544,-0.684748,0.534912,0.305946,0.389085,0.03747,1.549608,0.392581,-0.73741,0.49021,0.385754,0.259066,0.048564,1.481884,0.380151,-0.691055,0.588915,0.305086,0.287308,0.061946,1.427191,0.367032,-0.743592,0.548862,0.323369,0.203108,0.045087,1.523203,0.385172,-0.745414,0.49075,0.359191,0.272955,0.030732,1.574315,0.397685,-0.73741,0.49021,0.385754,0.259066,-0.016696,1.480976,0.33816,-0.598203,0.71415,0.050032,-0.360054,0.01993,1.421355,0.343177,-0.535481,0.766666,0.067094,-0.347824,-0.001145,1.448323,0.33675,-0.670726,0.691513,0.048284,-0.26383,-0.031685,1.502585,0.336195,-0.598203,0.71415,0.050032,-0.360054,178,0.064413,1.393075,0.3443,-0.743592,0.548862,0.323369,0.203108,22,F,Static,Right
