,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,-0.191225,1.743698,0.025126,0.926092,0.260496,0.147978,0.229341,0.043963,1.611691,0.318592,-0.774239,0.49807,0.287521,0.26422,0.063205,1.553243,0.295336,-0.791074,0.490194,0.303816,0.20398,0.073591,1.494905,0.277159,-0.812212,0.46055,0.235934,0.269335,0.051946,1.589323,0.308765,-0.802245,0.456068,0.317559,0.218084,0.040629,1.633882,0.326148,-0.774239,0.49807,0.287521,0.26422,0.054891,1.588143,0.363655,-0.891194,0.232292,0.261047,0.289257,0.083724,1.550011,0.306601,-0.905242,0.231614,0.263737,0.239446,0.08948,1.490992,0.284234,-0.812212,0.46055,0.235934,0.269335,0.067082,1.574782,0.340813,-0.914356,0.179567,0.27526,0.236521,0.047148,1.603805,0.383489,-0.891194,0.232292,0.261047,0.289257,0.09212,1.506123,0.282851,-0.812212,0.46055,0.235934,0.269335,0.072567,1.499617,0.339072,-0.141062,-0.881556,0.415228,-0.174775,0.107465,1.519938,0.329761,-0.862609,-0.17562,0.414139,0.231412,0.107207,1.484128,0.297381,-0.772038,0.344312,0.214688,0.489199,0.081611,1.516321,0.349102,-0.515735,-0.733735,0.441697,-0.023534,0.075835,1.489873,0.318249,-0.141062,-0.881556,0.415228,-0.174775,0.060977,1.51058,0.337749,-0.144554,-0.91608,0.315834,-0.200377,0.09705,1.537291,0.318618,-0.914101,-0.10806,0.338868,0.194708,0.103168,1.488193,0.290144,-0.812212,0.46055,0.235934,0.269335,0.069764,1.534585,0.349424,-0.535986,-0.745347,0.390091,-0.070756,0.067186,1.499077,0.315524,-0.144554,-0.91608,0.315834,-0.200377,0.044513,1.525041,0.333171,-0.815273,-0.121863,-0.285743,-0.488703,0.06159,1.491172,0.280724,-0.672656,0.445429,0.058242,-0.587993,0.040884,1.509422,0.301231,-0.837019,0.166564,-0.159399,-0.496234,0.059192,1.528286,0.354432,-0.815273,-0.121863,-0.285743,-0.488703,12,0.100516,1.462236,0.259101,-0.812212,0.46055,0.235934,0.269335,24,K,Static,Right
1,2,-0.191276,1.744045,0.025285,0.926384,0.259588,0.146987,0.22983,0.043821,1.611502,0.318373,-0.774344,0.498081,0.287374,0.264052,0.063073,1.553065,0.295094,-0.791253,0.490062,0.303709,0.203762,0.07343,1.494724,0.276914,-0.812249,0.46066,0.235605,0.269324,0.051806,1.589137,0.308539,-0.802376,0.456021,0.317418,0.217908,0.040488,1.633692,0.325932,-0.774344,0.498081,0.287374,0.264052,0.054834,1.588014,0.363401,-0.891079,0.232943,0.260665,0.289431,0.083598,1.549827,0.306346,-0.905225,0.231954,0.263412,0.239541,0.089323,1.490806,0.283977,-0.812249,0.46066,0.235605,0.269324,0.066993,1.574621,0.34056,-0.914294,0.180215,0.274865,0.236724,0.047123,1.6037,0.383228,-0.891079,0.232943,0.260665,0.289431,0.091965,1.505937,0.28259,-0.812249,0.46066,0.235605,0.269324,0.072428,1.499429,0.338837,-0.141679,-0.881444,0.415468,-0.174271,0.107344,1.519745,0.329491,-0.862677,-0.175599,0.413907,0.231592,0.107055,1.483937,0.29711,-0.772032,0.344488,0.214387,0.489217,0.0815,1.516131,0.348845,-0.516251,-0.733402,0.441677,-0.022973,0.075661,1.489668,0.318015,-0.141679,-0.881444,0.415468,-0.174271,0.060858,1.510402,0.337508,-0.144348,-0.916155,0.315828,-0.200191,0.096927,1.537102,0.318355,-0.914175,-0.107946,0.338606,0.194878,0.103012,1.488003,0.289876,-0.812249,0.46066,0.235605,0.269324,0.069659,1.534405,0.349178,-0.536108,-0.745314,0.39004,-0.070454,0.067063,1.498912,0.315275,-0.144348,-0.916155,0.315828,-0.200191,0.044461,1.524852,0.332956,-0.815177,-0.12279,-0.286423,-0.488232,0.061432,1.490993,0.28049,-0.672802,0.445191,0.057803,-0.588048,0.040754,1.509254,0.301015,-0.837138,0.165773,-0.160178,-0.496046,0.05919,1.528069,0.354186,-0.815177,-0.12279,-0.286423,-0.488232,30,0.100332,1.462048,0.258834,-0.812249,0.46066,0.235605,0.269324,24,K,Static,Right
2,3,-0.19166,1.744379,0.025722,0.927052,0.257489,0.146257,0.229962,0.042807,1.612506,0.318643,-0.775139,0.499177,0.284638,0.26261,0.061891,1.554069,0.295226,-0.792359,0.490572,0.301038,0.202194,0.07204,1.495693,0.27704,-0.812598,0.462147,0.232675,0.268269,0.050713,1.590135,0.30876,-0.803334,0.456904,0.314619,0.216585,0.03954,1.634701,0.326218,-0.775139,0.499177,0.284638,0.26261,0.054222,1.589185,0.363528,-0.891217,0.235975,0.257278,0.289578,0.082486,1.550811,0.306344,-0.905741,0.233661,0.260242,0.239397,0.087975,1.491758,0.284,-0.812598,0.462147,0.232675,0.268269,0.066163,1.575684,0.340636,-0.914686,0.182949,0.271446,0.237059,0.046718,1.604962,0.383362,-0.891217,0.235975,0.257278,0.289578,0.090628,1.506885,0.282577,-0.812598,0.462147,0.232675,0.268269,0.07144,1.500479,0.339,-0.14464,-0.881418,0.415781,-0.171197,0.106341,1.520717,0.32936,-0.864058,-0.173661,0.411256,0.232624,0.105781,1.484877,0.297018,-0.772204,0.346676,0.21179,0.48853,0.080626,1.517183,0.348899,-0.518818,-0.732355,0.440546,-0.020121,0.074486,1.490657,0.318179,-0.14464,-0.881418,0.415781,-0.171197,0.059861,1.511488,0.337765,-0.146994,-0.916299,0.316328,-0.196787,0.095876,1.538078,0.318275,-0.91527,-0.106081,0.335563,0.196025,0.101697,1.488942,0.289807,-0.812598,0.462147,0.232675,0.268269,0.068827,1.535495,0.349301,-0.538751,-0.744288,0.388932,-0.067196,0.065859,1.499926,0.315513,-0.146994,-0.916299,0.316328,-0.196787,0.043543,1.525975,0.333222,-0.81492,-0.123827,-0.289345,-0.486674,0.060062,1.491982,0.280703,-0.67329,0.443882,0.054418,-0.588802,0.039569,1.510332,0.301335,-0.837056,0.164512,-0.163791,-0.495425,0.058412,1.529202,0.354352,-0.81492,-0.123827,-0.289345,-0.486674,43,0.09877,1.462959,0.25881,-0.812598,0.462147,0.232675,0.268269,24,K,Static,Right
3,4,-0.191603,1.744571,0.02591,0.927527,0.256448,0.145862,0.229463,0.042355,1.612339,0.317942,-0.774551,0.499806,0.286022,0.261641,0.061609,1.553887,0.2947,-0.791821,0.491054,0.302397,0.201102,0.071964,1.495513,0.276624,-0.812467,0.462347,0.234149,0.267034,0.050322,1.589959,0.308131,-0.80275,0.457544,0.315914,0.215509,0.039029,1.634548,0.32545,-0.774551,0.499806,0.286022,0.261641,0.053716,1.589049,0.362951,-0.891471,0.235619,0.258554,0.287946,0.082201,1.550716,0.305849,-0.905857,0.233533,0.261435,0.237776,0.087901,1.491642,0.283612,-0.812467,0.462347,0.234149,0.267034,0.06574,1.575568,0.34009,-0.914828,0.182758,0.272565,0.235366,0.04612,1.604813,0.38276,-0.891471,0.235619,0.258554,0.287946,0.090512,1.506773,0.282172,-0.812467,0.462347,0.234149,0.267034,0.071282,1.500399,0.338571,-0.144564,-0.881934,0.414159,-0.172526,0.106124,1.52074,0.328948,-0.864313,-0.173795,0.411767,0.230665,0.105719,1.484839,0.296671,-0.772544,0.34674,0.213254,0.487309,0.080394,1.517151,0.348458,-0.519017,-0.73271,0.43963,-0.021951,0.074402,1.49056,0.317769,-0.144564,-0.881934,0.414159,-0.172526,0.059671,1.511343,0.337281,-0.146744,-0.916676,0.314578,-0.198018,0.095617,1.538047,0.31782,-0.915423,-0.106369,0.336209,0.194034,0.10163,1.488878,0.289448,-0.812467,0.462347,0.234149,0.267034,0.068528,1.535397,0.348804,-0.538722,-0.744664,0.387931,-0.06902,0.065753,1.499784,0.31505,-0.146744,-0.916676,0.314578,-0.198018,0.043226,1.525795,0.332706,-0.814426,-0.121927,-0.289039,-0.48816,0.05999,1.491774,0.280271,-0.671841,0.444812,0.055412,-0.589663,0.039392,1.510078,0.300839,-0.836128,0.166211,-0.162887,-0.496722,0.058031,1.529119,0.353867,-0.814426,-0.121927,-0.289039,-0.48816,56,0.098824,1.46283,0.258494,-0.812467,0.462347,0.234149,0.267034,24,K,Static,Right
4,5,-0.191689,1.744688,0.026006,0.927751,0.255892,0.145764,0.229237,0.041947,1.612195,0.317279,-0.77391,0.500522,0.287237,0.260836,0.06134,1.553719,0.294211,-0.791246,0.491621,0.30359,0.200177,0.071884,1.49535,0.27623,-0.812356,0.462508,0.235501,0.2659,0.049965,1.589801,0.307539,-0.802123,0.458281,0.317049,0.214608,0.038576,1.634419,0.32472,-0.77391,0.500522,0.287237,0.260836,0.05323,1.588897,0.362423,-0.891779,0.235016,0.259765,0.286393,0.081929,1.550627,0.305388,-0.906002,0.233261,0.262545,0.236262,0.087823,1.491536,0.283244,-0.812356,0.462508,0.235501,0.2659,0.065335,1.575447,0.339588,-0.915006,0.182347,0.273624,0.23376,0.045541,1.604638,0.382216,-0.891779,0.235016,0.259765,0.286393,0.090397,1.50667,0.281791,-0.812356,0.462508,0.235501,0.2659,0.071132,1.50032,0.338161,-0.144297,-0.882452,0.412606,-0.173817,0.105915,1.520759,0.328562,-0.864532,-0.173982,0.412245,0.228841,0.105652,1.484805,0.296343,-0.772864,0.346777,0.214591,0.486187,0.08017,1.517116,0.348042,-0.519076,-0.73313,0.43877,-0.0237,0.074326,1.490472,0.317375,-0.144297,-0.882452,0.412606,-0.173817,0.05949,1.511197,0.336816,-0.146319,-0.917062,0.312907,-0.199193,0.095369,1.538017,0.317394,-0.915543,-0.1068,0.336827,0.192153,0.101559,1.48882,0.289108,-0.812356,0.462508,0.235501,0.2659,0.06824,1.535291,0.348337,-0.538539,-0.745128,0.38698,-0.070757,0.065656,1.49965,0.314602,-0.146319,-0.917062,0.312907,-0.199193,0.042898,1.525622,0.33222,-0.813954,-0.120065,-0.288593,-0.489671,0.059913,1.491584,0.27986,-0.670488,0.445654,0.056486,-0.590464,0.039212,1.509839,0.300367,-0.835236,0.167886,-0.161833,-0.498002,0.057634,1.529038,0.353414,-0.813954,-0.120065,-0.288593,-0.489671,68,0.098865,1.462714,0.258194,-0.812356,0.462508,0.235501,0.2659,24,K,Static,Right
5,6,-0.191704,1.744683,0.026028,0.927905,0.255625,0.145831,0.22887,0.041575,1.612068,0.316649,-0.773239,0.501288,0.288322,0.260157,0.061083,1.553563,0.293752,-0.790655,0.492239,0.304653,0.199381,0.071801,1.495199,0.275856,-0.812262,0.462638,0.236751,0.26485,0.049633,1.589657,0.30698,-0.801474,0.459075,0.318058,0.213841,0.038166,1.634308,0.324024,-0.773239,0.501288,0.288322,0.260157,0.052761,1.588735,0.361936,-0.892122,0.234241,0.260916,0.284909,0.081668,1.550543,0.304955,-0.906167,0.232885,0.263584,0.234838,0.087742,1.491438,0.282893,-0.812262,0.462638,0.236751,0.26485,0.064947,1.575324,0.339121,-0.915207,0.181781,0.274628,0.232233,0.044981,1.604445,0.381718,-0.892122,0.234241,0.260916,0.284909,0.090282,1.506576,0.281431,-0.812262,0.462638,0.236751,0.26485,0.070987,1.500242,0.337768,-0.143896,-0.882966,0.411118,-0.175063,0.105713,1.520775,0.328197,-0.864723,-0.174207,0.412695,0.227134,0.105582,1.484774,0.29603,-0.773168,0.346793,0.215822,0.485146,0.079953,1.517078,0.347648,-0.519033,-0.733591,0.437955,-0.02537,0.074256,1.490392,0.316995,-0.143896,-0.882966,0.411118,-0.175063,0.059317,1.51105,0.336369,-0.145776,-0.917449,0.311308,-0.200312,0.095131,1.537988,0.316993,-0.915637,-0.10733,0.337415,0.190371,0.101486,1.488767,0.288785,-0.812262,0.462638,0.236751,0.26485,0.067962,1.53518,0.347894,-0.538249,-0.745648,0.386073,-0.072412,0.065565,1.499522,0.314168,-0.145776,-0.917449,0.311308,-0.200312,0.042564,1.525456,0.331757,-0.8135,-0.118255,-0.288051,-0.491183,0.059832,1.491409,0.279467,-0.669219,0.446423,0.057608,-0.591214,0.039031,1.509612,0.299918,-0.834378,0.169521,-0.160683,-0.499257,0.057229,1.528958,0.352987,-0.8135,-0.118255,-0.288051,-0.491183,78,0.098895,1.462609,0.257906,-0.812262,0.462638,0.236751,0.26485,24,K,Static,Right
6,7,-0.19192,1.7448,0.026027,0.927898,0.255781,0.146011,0.228609,0.041625,1.612137,0.316292,-0.771247,0.502292,0.290233,0.262005,0.06114,1.553525,0.293675,-0.788938,0.493079,0.306646,0.201044,0.07185,1.495122,0.275904,-0.811194,0.462644,0.238503,0.266534,0.049684,1.589678,0.306739,-0.799624,0.460128,0.320072,0.215496,0.038233,1.634412,0.323572,-0.771247,0.502292,0.290233,0.262005,0.052495,1.588734,0.361791,-0.891179,0.234037,0.263168,0.285953,0.081664,1.550483,0.304982,-0.905306,0.232572,0.265932,0.235823,0.08775,1.491342,0.283023,-0.811194,0.462644,0.238503,0.266534,0.064785,1.575294,0.339049,-0.914297,0.181638,0.276983,0.233131,0.044634,1.60447,0.381521,-0.891179,0.234037,0.263168,0.285953,0.090319,1.506475,0.28155,-0.811194,0.462644,0.238503,0.266534,0.070727,1.500223,0.337799,-0.1437,-0.882079,0.412143,-0.177273,0.105545,1.520702,0.328376,-0.863567,-0.174157,0.415141,0.227113,0.10551,1.484664,0.296249,-0.772032,0.34622,0.2177,0.486524,0.079679,1.517056,0.347696,-0.518563,-0.732754,0.439821,-0.026887,0.074075,1.490338,0.317055,-0.1437,-0.882079,0.412143,-0.177273,0.059097,1.51102,0.336293,-0.14531,-0.916699,0.312213,-0.20266,0.095046,1.537919,0.317101,-0.914636,-0.107605,0.339946,0.190521,0.101457,1.488656,0.28898,-0.811194,0.462644,0.238503,0.266534,0.067709,1.535144,0.347855,-0.537404,-0.745139,0.387906,-0.07412,0.065445,1.499473,0.31413,-0.14531,-0.916699,0.312213,-0.20266,0.042497,1.525524,0.33162,-0.814788,-0.117888,-0.287142,-0.489667,0.059859,1.491353,0.279468,-0.669425,0.448497,0.057946,-0.589375,0.039014,1.509652,0.299789,-0.835342,0.170569,-0.159932,-0.497527,0.057128,1.52899,0.352879,-0.814788,-0.117888,-0.287142,-0.489667,92,0.098974,1.462467,0.258118,-0.811194,0.462644,0.238503,0.266534,24,K,Static,Right
7,8,-0.191806,1.744715,0.02599,0.927712,0.256437,0.146097,0.228574,0.041373,1.611804,0.317106,-0.772329,0.503004,0.288034,0.259871,0.060819,1.553218,0.294361,-0.79009,0.493493,0.304409,0.198892,0.071543,1.494853,0.276475,-0.812455,0.462904,0.236257,0.264232,0.049398,1.589354,0.307502,-0.800783,0.460658,0.317756,0.213476,0.038002,1.634075,0.324405,-0.772329,0.503004,0.288034,0.259871,0.052562,1.588377,0.362556,-0.892368,0.234581,0.260305,0.284417,0.081424,1.550212,0.305532,-0.906484,0.232826,0.263067,0.234252,0.087499,1.491103,0.283486,-0.812455,0.462904,0.236257,0.264232,0.064724,1.574971,0.339725,-0.915481,0.181939,0.274023,0.231744,0.044806,1.60409,0.382345,-0.892368,0.234581,0.260305,0.284417,0.090022,1.506243,0.282006,-0.812455,0.462904,0.236257,0.264232,0.0708,1.499918,0.3384,-0.14476,-0.883069,0.410978,-0.174156,0.105521,1.520464,0.328744,-0.865136,-0.17403,0.411907,0.227123,0.105357,1.484454,0.296587,-0.773419,0.347236,0.215361,0.484634,0.079797,1.51676,0.348241,-0.519949,-0.733297,0.437408,-0.024547,0.074017,1.49005,0.317627,-0.14476,-0.883069,0.410978,-0.174156,0.059147,1.510683,0.336965,-0.145743,-0.917754,0.310771,-0.199772,0.094912,1.537668,0.317552,-0.915922,-0.107569,0.336778,0.18999,0.101247,1.488443,0.289348,-0.812455,0.462904,0.236257,0.264232,0.067783,1.534819,0.348484,-0.538391,-0.745937,0.385367,-0.072153,0.065379,1.499167,0.314753,-0.145743,-0.917754,0.310771,-0.199772,0.042534,1.525119,0.332426,-0.813124,-0.120043,-0.290025,-0.490208,0.059587,1.491054,0.280118,-0.66916,0.44607,0.056441,-0.591659,0.038839,1.509284,0.3006,-0.834355,0.168252,-0.1626,-0.499103,0.05732,1.528584,0.353578,-0.813124,-0.120043,-0.290025,-0.490208,109,0.098621,1.462274,0.258481,-0.812455,0.462904,0.236257,0.264232,24,K,Static,Right
8,9,-0.191746,1.744802,0.026068,0.927576,0.257131,0.146,0.228408,0.041391,1.611709,0.317545,-0.770196,0.502699,0.290691,0.263801,0.060858,1.553061,0.294976,-0.788448,0.492797,0.307391,0.202517,0.071603,1.494708,0.277059,-0.811649,0.460977,0.238956,0.26763,0.049421,1.589225,0.308025,-0.798779,0.460373,0.320709,0.21715,0.038047,1.634,0.324796,-0.770196,0.502699,0.290691,0.263801,0.052105,1.588134,0.363153,-0.890897,0.233352,0.263548,0.28704,0.081354,1.549974,0.306322,-0.905183,0.231369,0.266544,0.236783,0.08749,1.490902,0.284199,-0.811649,0.460977,0.238956,0.26763,0.064422,1.57472,0.340409,-0.914042,0.180747,0.27755,0.234147,0.044234,1.603853,0.382891,-0.890897,0.233352,0.263548,0.28704,0.090052,1.506043,0.282761,-0.811649,0.460977,0.238956,0.26763,0.070294,1.499617,0.338972,-0.142449,-0.881838,0.413219,-0.176976,0.105168,1.520105,0.329672,-0.86273,-0.175866,0.415613,0.22811,0.105201,1.484177,0.297422,-0.772278,0.34435,0.21775,0.487437,0.079263,1.516407,0.348927,-0.517294,-0.733129,0.44073,-0.02621,0.073643,1.489784,0.318204,-0.142449,-0.881838,0.413219,-0.176976,0.0587,1.510423,0.337453,-0.143385,-0.916653,0.312798,-0.203334,0.094703,1.537365,0.31843,-0.914031,-0.109131,0.340774,0.191078,0.101166,1.488195,0.290157,-0.811649,0.460977,0.238956,0.26763,0.067291,1.534508,0.34911,-0.535789,-0.745815,0.388796,-0.074353,0.065105,1.498949,0.315268,-0.143385,-0.916653,0.312798,-0.203334,0.04242,1.524878,0.33288,-0.814545,-0.122222,-0.287758,-0.488644,0.059614,1.490924,0.280609,-0.670385,0.447592,0.058697,-0.588897,0.038781,1.509181,0.300979,-0.836181,0.167304,-0.160355,-0.49709,0.057183,1.528163,0.354076,-0.814545,-0.122222,-0.287758,-0.488644,123,0.098749,1.462112,0.2592,-0.811649,0.460977,0.238956,0.26763,24,K,Static,Right
9,10,-0.191629,1.744811,0.026148,0.927663,0.256979,0.145879,0.228304,0.041389,1.611666,0.317729,-0.769128,0.502648,0.29196,0.265608,0.06087,1.552987,0.29525,-0.78765,0.492499,0.308829,0.20415,0.071628,1.494639,0.277323,-0.811274,0.460082,0.240213,0.269179,0.049421,1.589165,0.308252,-0.797792,0.460308,0.32212,0.218822,0.038058,1.633968,0.32495,-0.769128,0.502648,0.29196,0.265608,0.051886,1.588028,0.363413,-0.890198,0.232849,0.265053,0.288231,0.081316,1.549864,0.306677,-0.904568,0.230732,0.268166,0.237923,0.087483,1.490809,0.284522,-0.811274,0.460082,0.240213,0.269179,0.064275,1.574607,0.340712,-0.913362,0.180247,0.279189,0.235232,0.043963,1.603752,0.383126,-0.890198,0.232849,0.265053,0.288231,0.090061,1.505951,0.2831,-0.811274,0.460082,0.240213,0.269179,0.070056,1.499476,0.339223,-0.141381,-0.881275,0.41423,-0.178268,0.104999,1.519941,0.33009,-0.861605,-0.176777,0.417327,0.228526,0.105124,1.484051,0.297798,-0.771754,0.343012,0.218863,0.48871,0.07901,1.516241,0.349232,-0.516039,-0.733076,0.442238,-0.026998,0.073466,1.489658,0.318457,-0.141381,-0.881275,0.41423,-0.178268,0.058489,1.510302,0.337667,-0.14229,-0.916145,0.313713,-0.20498,0.0946,1.537225,0.318825,-0.913154,-0.109866,0.342615,0.191557,0.101124,1.488082,0.290521,-0.811274,0.460082,0.240213,0.269179,0.067058,1.534364,0.349389,-0.534571,-0.745769,0.390359,-0.075384,0.064974,1.498848,0.315495,-0.14229,-0.916145,0.313713,-0.20498,0.042386,1.524764,0.333086,-0.815156,-0.123503,-0.286924,-0.487794,0.059624,1.490861,0.280831,-0.670949,0.448267,0.059653,-0.587645,0.038756,1.509134,0.301152,-0.837031,0.166714,-0.159485,-0.496136,0.057153,1.527958,0.354294,-0.815156,-0.123503,-0.286924,-0.487794,133,0.098806,1.462038,0.259524,-0.811274,0.460082,0.240213,0.269179,24,K,Static,Right
