,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,-0.026448,1.48163,0.017788,-0.998367,-0.051648,-0.008317,-0.02293,0.060686,1.470094,0.470636,-0.41405,-0.493668,0.677289,0.355155,0.124442,1.456276,0.479663,-0.50642,-0.352701,0.611692,0.494948,0.163367,1.416366,0.449555,-0.499191,-0.144567,0.507738,0.687103,0.084908,1.466409,0.47978,-0.4204,-0.457622,0.682204,0.385283,0.038284,1.471814,0.461942,-0.41405,-0.493668,0.677289,0.355155,0.049157,1.448204,0.459596,-0.340943,-0.538609,0.683654,0.355354,0.116678,1.436582,0.491061,-0.405505,-0.46102,0.675949,0.407578,0.158759,1.400598,0.456666,-0.499191,-0.144567,0.507738,0.687103,0.073997,1.444763,0.475407,-0.349253,-0.512288,0.71009,0.3337,0.025684,1.45127,0.446834,-0.340943,-0.538609,0.683654,0.355354,0.153299,1.407349,0.469723,-0.499191,-0.144567,0.507738,0.687103,0.111701,1.396177,0.438056,0.452941,-0.490126,0.577477,-0.470257,0.105489,1.392884,0.484705,-0.05911,-0.57563,0.800628,0.155408,0.147204,1.377656,0.463706,-0.409593,-0.350638,0.404105,0.738908,0.096446,1.398861,0.453476,0.250256,-0.585081,0.714454,-0.290874,0.134761,1.394203,0.433304,0.452941,-0.490126,0.577477,-0.470257,0.112207,1.412353,0.437172,0.495106,-0.449165,0.4421,-0.598055,0.110149,1.415184,0.490503,-0.185917,-0.579358,0.774379,0.17354,0.152607,1.3853,0.464469,-0.499191,-0.144567,0.507738,0.687103,0.089628,1.417422,0.45397,0.269153,-0.584521,0.672356,-0.365829,0.138037,1.409673,0.440896,0.495106,-0.449165,0.4421,-0.598055,0.107475,1.458925,0.437351,-0.735224,-0.028767,0.636584,-0.231039,0.163007,1.423352,0.438215,-0.620178,0.460755,0.606735,0.186968,0.142705,1.451283,0.432587,-0.751984,0.135288,0.645128,0.005172,0.082701,1.451226,0.442729,-0.735224,-0.028767,0.636584,-0.231039,14,0.189919,1.378117,0.448385,-0.499191,-0.144567,0.507738,0.687103,25,H,Static,Right
1,2,-0.025744,1.482837,0.01898,-0.998523,-0.048664,-0.00787,-0.022859,0.061058,1.470195,0.470533,-0.413483,-0.492196,0.678878,0.354823,0.12475,1.456155,0.479647,-0.505611,-0.351182,0.613073,0.495146,0.163528,1.416034,0.449633,-0.497906,-0.143277,0.508798,0.687522,0.085255,1.46644,0.479714,-0.419777,-0.456117,0.683731,0.385041,0.038674,1.471978,0.461804,-0.413483,-0.492196,0.678878,0.354823,0.049449,1.448334,0.459554,-0.340577,-0.53705,0.685174,0.355135,0.116906,1.436513,0.49108,-0.404996,-0.459399,0.677367,0.407559,0.158858,1.400298,0.456776,-0.497906,-0.143277,0.508798,0.687522,0.074265,1.444829,0.475386,-0.348914,-0.51065,0.71153,0.333499,0.025996,1.451465,0.44677,-0.340577,-0.53705,0.685174,0.355135,0.153425,1.4071,0.469816,-0.497906,-0.143277,0.508798,0.687522,0.111832,1.396016,0.438161,0.452107,-0.48906,0.577375,-0.472291,0.105554,1.392846,0.484804,-0.05901,-0.574154,0.801892,0.154384,0.14722,1.377418,0.463854,-0.408435,-0.349644,0.405586,0.73921,0.096565,1.39879,0.453553,0.249597,-0.583811,0.715038,-0.292551,0.134895,1.393945,0.433463,0.452107,-0.48906,0.577375,-0.472291,0.112397,1.412192,0.437258,0.494026,-0.448225,0.441627,-0.599999,0.110296,1.415139,0.490561,-0.185894,-0.577776,0.775708,0.172906,0.152653,1.385043,0.464605,-0.497906,-0.143277,0.508798,0.687522,0.08981,1.417381,0.454008,0.268388,-0.583275,0.672812,-0.367535,0.138208,1.409427,0.441051,0.494026,-0.448225,0.441627,-0.599999,0.107762,1.458744,0.43728,-0.7355,-0.025849,0.636673,-0.230261,0.163189,1.422994,0.438276,-0.619108,0.462483,0.606489,0.187044,0.142969,1.450967,0.432558,-0.751597,0.137534,0.645102,0.005538,0.082945,1.451187,0.442656,-0.7355,-0.025849,0.636673,-0.230261,30,0.189944,1.377687,0.448552,-0.497906,-0.143277,0.508798,0.687522,25,H,Static,Right
2,3,-0.025348,1.482973,0.019868,-0.998692,-0.045974,-0.007733,-0.021001,0.06175,1.470366,0.470266,-0.412353,-0.489605,0.681955,0.353822,0.12532,1.455938,0.479581,-0.504107,-0.34845,0.615769,0.495264,0.163825,1.415423,0.449753,-0.495561,-0.140857,0.51085,0.688194,0.085896,1.466493,0.479533,-0.418561,-0.453455,0.686689,0.384244,0.039406,1.472255,0.461457,-0.412353,-0.489605,0.681955,0.353822,0.049992,1.448571,0.459437,-0.340006,-0.534104,0.688008,0.354645,0.117329,1.436395,0.491082,-0.404123,-0.456346,0.680033,0.407416,0.159044,1.399748,0.456959,-0.495561,-0.140857,0.51085,0.688194,0.074764,1.444953,0.475312,-0.348349,-0.507581,0.714231,0.332999,0.026577,1.451817,0.446613,-0.340006,-0.534104,0.688008,0.354645,0.153662,1.406646,0.469966,-0.495561,-0.140857,0.51085,0.688194,0.112099,1.39571,0.438343,0.450673,-0.48705,0.576884,-0.476321,0.10568,1.392783,0.484965,-0.058827,-0.571466,0.804225,0.152274,0.147257,1.376986,0.464113,-0.406357,-0.347777,0.408415,0.739677,0.096798,1.398657,0.45367,0.248508,-0.581447,0.715925,-0.295999,0.135168,1.393459,0.433761,0.450673,-0.48705,0.576884,-0.476321,0.112771,1.411884,0.437404,0.492124,-0.446381,0.440371,-0.603847,0.110571,1.415065,0.490639,-0.185866,-0.57485,0.778192,0.171519,0.152741,1.384575,0.464839,-0.495561,-0.140857,0.51085,0.688194,0.090158,1.4173,0.454046,0.267094,-0.580926,0.673436,-0.371039,0.138544,1.408968,0.441345,0.492124,-0.446381,0.440371,-0.603847,0.108297,1.458419,0.437133,-0.736071,-0.02032,0.636798,-0.228638,0.163525,1.422332,0.438365,-0.617205,0.465667,0.605958,0.187155,0.143454,1.450378,0.432485,-0.750915,0.141782,0.644969,0.006347,0.083397,1.451135,0.442506,-0.736071,-0.02032,0.636798,-0.228638,47,0.189994,1.376898,0.44885,-0.495561,-0.140857,0.51085,0.688194,25,H,Static,Right
3,4,-0.025568,1.483092,0.02027,-0.998824,-0.044841,-0.008426,-0.016382,0.062158,1.470633,0.470929,-0.413366,-0.489119,0.680652,0.355816,0.125764,1.456158,0.47988,-0.505249,-0.347551,0.613862,0.497096,0.164119,1.415654,0.449851,-0.496154,-0.139816,0.509501,0.688978,0.086346,1.466732,0.480074,-0.419597,-0.452924,0.68535,0.386127,0.039773,1.472549,0.462231,-0.413366,-0.489119,0.680652,0.355816,0.050343,1.44889,0.460051,-0.340594,-0.533535,0.687412,0.35609,0.117802,1.436603,0.491381,-0.405146,-0.4554,0.678944,0.409271,0.159357,1.399971,0.457056,-0.496154,-0.139816,0.509501,0.688978,0.075172,1.445229,0.475828,-0.349183,-0.506928,0.713535,0.33461,0.026889,1.45217,0.447306,-0.340594,-0.533535,0.687412,0.35609,0.15404,1.406862,0.470091,-0.496154,-0.139816,0.509501,0.688978,0.112291,1.39602,0.438586,0.449396,-0.487746,0.578788,-0.474502,0.106103,1.393008,0.485242,-0.060172,-0.570902,0.80412,0.154405,0.147594,1.377214,0.464218,-0.406599,-0.346612,0.407256,0.740729,0.097076,1.398946,0.454001,0.247057,-0.581768,0.717078,-0.293784,0.135332,1.393763,0.43387,0.449396,-0.487746,0.578788,-0.474502,0.11295,1.412187,0.43767,0.490922,-0.447436,0.442627,-0.602394,0.111029,1.415278,0.490932,-0.187237,-0.574175,0.777871,0.173731,0.153086,1.384799,0.464936,-0.496154,-0.139816,0.509501,0.688978,0.090434,1.417598,0.454446,0.265571,-0.581339,0.674819,-0.368968,0.138742,1.409236,0.441454,0.490922,-0.447436,0.442627,-0.602394,0.108505,1.458624,0.437451,-0.737215,-0.020518,0.635528,-0.228468,0.163766,1.422572,0.43847,-0.618473,0.465731,0.604966,0.186015,0.143648,1.450601,0.43267,-0.752134,0.141621,0.643586,0.005916,0.08362,1.451353,0.44291,-0.737215,-0.020518,0.635528,-0.228468,64,0.190277,1.377122,0.448801,-0.496154,-0.139816,0.509501,0.688978,25,H,Static,Right
4,5,-0.025178,1.482969,0.020601,-0.998891,-0.044308,-0.008228,-0.01364,0.062519,1.46962,0.471574,-0.414486,-0.488093,0.680057,0.357057,0.126145,1.455066,0.480222,-0.506369,-0.346046,0.612745,0.498384,0.164475,1.414521,0.450223,-0.49628,-0.139399,0.509808,0.688746,0.086742,1.46569,0.480614,-0.4208,-0.45176,0.684652,0.387418,0.040102,1.471561,0.462964,-0.414486,-0.488093,0.680057,0.357057,0.050697,1.447741,0.460475,-0.340224,-0.534303,0.687628,0.354875,0.118185,1.435525,0.491748,-0.405918,-0.455263,0.678434,0.409504,0.159715,1.398846,0.457451,-0.49628,-0.139399,0.509808,0.688746,0.075521,1.444119,0.47627,-0.349318,-0.507316,0.713475,0.334006,0.027271,1.450978,0.447668,-0.340224,-0.534303,0.687628,0.354875,0.154412,1.405757,0.470479,-0.49628,-0.139399,0.509808,0.688746,0.112631,1.394879,0.438999,0.448783,-0.48801,0.578788,-0.474811,0.106479,1.391925,0.485661,-0.060803,-0.570578,0.804341,0.154206,0.147961,1.376103,0.464641,-0.40682,-0.346241,0.407617,0.740583,0.097428,1.397832,0.454421,0.246379,-0.581819,0.717151,-0.294072,0.135668,1.392604,0.43427,0.448783,-0.48801,0.578788,-0.474811,0.11324,1.411082,0.438029,0.490165,-0.448532,0.443404,-0.601623,0.111409,1.414201,0.491325,-0.187915,-0.574134,0.777715,0.173835,0.153454,1.383689,0.465348,-0.49628,-0.139399,0.509808,0.688746,0.090768,1.416493,0.454862,0.264625,-0.581931,0.675063,-0.368266,0.139045,1.408134,0.441725,0.490165,-0.448532,0.443404,-0.601623,0.108805,1.45748,0.437609,-0.737036,-0.0174,0.635732,-0.228739,0.164108,1.421421,0.438832,-0.617502,0.466422,0.605933,0.184358,0.143944,1.44939,0.432905,-0.751438,0.14371,0.643943,0.005054,0.083885,1.450322,0.443054,-0.737036,-0.0174,0.635732,-0.228739,81,0.190639,1.375989,0.44921,-0.49628,-0.139399,0.509808,0.688746,25,H,Static,Right
5,6,-0.024778,1.482399,0.020295,-0.998793,-0.046003,-0.00819,-0.015175,0.063066,1.469299,0.472872,-0.415637,-0.486861,0.677904,0.361467,0.12673,1.454563,0.480973,-0.507126,-0.344942,0.610075,0.501643,0.164884,1.41406,0.450694,-0.496349,-0.138671,0.507822,0.690308,0.087353,1.465265,0.481693,-0.421938,-0.450493,0.682423,0.391565,0.040581,1.47134,0.464465,-0.415637,-0.486861,0.677904,0.361467,0.051165,1.447429,0.461536,-0.340625,-0.533601,0.686361,0.357986,0.118778,1.434994,0.492456,-0.40617,-0.454776,0.677021,0.412126,0.160125,1.398368,0.457883,-0.496349,-0.138671,0.507822,0.690308,0.076059,1.443706,0.477196,-0.349729,-0.506755,0.712278,0.336971,0.027677,1.450753,0.448866,-0.340625,-0.533601,0.686361,0.357986,0.154881,1.405243,0.470954,-0.496349,-0.138671,0.507822,0.690308,0.112981,1.394548,0.43958,0.448343,-0.487556,0.580756,-0.473288,0.106978,1.391435,0.486254,-0.060972,-0.569836,0.804388,0.15662,0.148362,1.375621,0.465033,-0.406298,-0.345346,0.405864,0.742248,0.097835,1.397467,0.455065,0.245993,-0.581336,0.718534,-0.291968,0.135999,1.392256,0.434766,0.448343,-0.487556,0.580756,-0.473288,0.113657,1.410746,0.438685,0.490105,-0.447998,0.445151,-0.60078,0.111965,1.413682,0.49198,-0.187867,-0.573691,0.777539,0.176119,0.153869,1.383195,0.465748,-0.496349,-0.138671,0.507822,0.690308,0.091227,1.41613,0.455583,0.264665,-0.581426,0.67633,-0.366706,0.139465,1.407753,0.442323,0.490105,-0.447998,0.445151,-0.60078,0.109231,1.457136,0.438459,-0.738376,-0.019028,0.634709,-0.227121,0.164485,1.421,0.439328,-0.619421,0.466043,0.604037,0.185098,0.144341,1.449023,0.433587,-0.752967,0.142645,0.64238,0.006476,0.084326,1.449979,0.443976,-0.738376,-0.019028,0.634709,-0.227121,98,0.190985,1.375492,0.449453,-0.496349,-0.138671,0.507822,0.690308,25,H,Static,Right
6,7,-0.024291,1.481739,0.019982,-0.998642,-0.048744,-0.008127,-0.016485,0.062439,1.4689,0.472773,-0.416293,-0.488457,0.676949,0.360348,0.126166,1.454437,0.480846,-0.508351,-0.346116,0.609159,0.500708,0.164533,1.414041,0.450697,-0.497264,-0.140011,0.508504,0.688875,0.086744,1.464972,0.481591,-0.422829,-0.451955,0.681415,0.390673,0.03995,1.470839,0.464353,-0.416293,-0.488457,0.676949,0.360348,0.050644,1.44698,0.46133,-0.340794,-0.535378,0.685836,0.356174,0.118267,1.434853,0.492339,-0.406904,-0.456173,0.676411,0.410858,0.159821,1.39834,0.457898,-0.497264,-0.140011,0.508504,0.688875,0.075525,1.443379,0.477038,-0.350056,-0.508393,0.71168,0.335424,0.027175,1.450189,0.448595,-0.340794,-0.535378,0.685836,0.356174,0.154528,1.405213,0.470949,-0.497264,-0.140011,0.508504,0.688875,0.112721,1.394324,0.439515,0.449664,-0.488462,0.578945,-0.473319,0.106648,1.39124,0.486172,-0.060981,-0.571541,0.80337,0.155623,0.148134,1.375558,0.465054,-0.407552,-0.3466,0.406093,0.74085,0.097528,1.397202,0.454962,0.247032,-0.58261,0.716892,-0.292585,0.135759,1.392119,0.434758,0.449664,-0.488462,0.578945,-0.473319,0.113302,1.410537,0.43859,0.491395,-0.448768,0.443656,-0.600257,0.111537,1.413514,0.491878,-0.188052,-0.575288,0.776552,0.175061,0.153611,1.383154,0.46577,-0.497264,-0.140011,0.508504,0.688875,0.09083,1.415844,0.455456,0.265549,-0.58271,0.674813,-0.366825,0.139118,1.407652,0.442262,0.491395,-0.448768,0.443656,-0.600257,0.108711,1.45686,0.438204,-0.737095,-0.01874,0.635388,-0.229396,0.164126,1.420962,0.43932,-0.618429,0.465263,0.606169,0.183398,0.143867,1.448874,0.433448,-0.751915,0.142421,0.643679,0.004227,0.083816,1.44963,0.443671,-0.737095,-0.01874,0.635388,-0.229396,111,0.190789,1.375574,0.449559,-0.497264,-0.140011,0.508504,0.688875,25,H,Static,Right
7,8,-0.024013,1.481736,0.019591,-0.998474,-0.051652,-0.008073,-0.017823,0.061979,1.468382,0.47299,-0.417307,-0.489758,0.675567,0.360002,0.125776,1.454172,0.480951,-0.509741,-0.347116,0.607865,0.500176,0.164277,1.413948,0.450746,-0.498918,-0.140898,0.507823,0.688,0.086314,1.464546,0.481768,-0.423996,-0.453182,0.680035,0.390393,0.039472,1.470232,0.464599,-0.417307,-0.489758,0.675567,0.360002,0.050232,1.446425,0.461585,-0.341912,-0.53663,0.684278,0.356214,0.11797,1.434549,0.492442,-0.408247,-0.457317,0.674887,0.41076,0.15964,1.398224,0.457947,-0.498918,-0.140898,0.507823,0.688,0.075163,1.442911,0.477234,-0.351318,-0.509621,0.710098,0.335593,0.026728,1.449546,0.448894,-0.341912,-0.53663,0.684278,0.356214,0.154338,1.405073,0.471005,-0.498918,-0.140898,0.507823,0.688,0.112552,1.394024,0.439599,0.450709,-0.48969,0.578056,-0.472141,0.106531,1.39089,0.486264,-0.061471,-0.573261,0.802056,0.155885,0.148064,1.375394,0.465101,-0.409222,-0.347225,0.405001,0.740234,0.097363,1.396826,0.455063,0.247456,-0.584264,0.715828,-0.291534,0.135598,1.391921,0.434834,0.450709,-0.48969,0.578056,-0.472141,0.113004,1.410251,0.438665,0.492359,-0.450114,0.44346,-0.598601,0.111331,1.413182,0.491976,-0.18888,-0.576826,0.775125,0.175434,0.15351,1.383013,0.465816,-0.498918,-0.140898,0.507823,0.688,0.090551,1.415451,0.455591,0.265719,-0.584437,0.674096,-0.365269,0.138839,1.40747,0.442282,0.492359,-0.450114,0.44346,-0.598601,0.108223,1.456486,0.438303,-0.736852,-0.020159,0.634976,-0.231189,0.163822,1.420868,0.43937,-0.619154,0.463893,0.607056,0.181483,0.143413,1.448674,0.433513,-0.752236,0.140924,0.643643,0.002181,0.083366,1.449144,0.443794,-0.736852,-0.020159,0.634976,-0.231189,124,0.190705,1.375598,0.449568,-0.498918,-0.140898,0.507823,0.688,25,H,Static,Right
8,9,-0.023997,1.481905,0.019665,-0.998466,-0.05202,-0.008376,-0.017019,0.061551,1.467888,0.473165,-0.418174,-0.490991,0.674409,0.359486,0.12541,1.453915,0.481043,-0.510982,-0.348049,0.60679,0.499566,0.164035,1.41385,0.450791,-0.500466,-0.141719,0.507218,0.687154,0.085909,1.464141,0.481914,-0.425017,-0.454335,0.67887,0.389969,0.039031,1.469655,0.464791,-0.418174,-0.490991,0.674409,0.359486,0.04984,1.4459,0.461833,-0.343012,-0.537737,0.682816,0.356292,0.117691,1.434257,0.492534,-0.409556,-0.458317,0.673454,0.410693,0.159469,1.398105,0.457993,-0.500466,-0.141719,0.507218,0.687154,0.074821,1.442467,0.47742,-0.35259,-0.510684,0.708594,0.335822,0.026301,1.448941,0.449186,-0.343012,-0.537737,0.682816,0.356292,0.154158,1.404934,0.471057,-0.500466,-0.141719,0.507218,0.687154,0.112395,1.393732,0.439675,0.451718,-0.490821,0.577151,-0.471108,0.106421,1.390555,0.486349,-0.061917,-0.574885,0.800824,0.156058,0.147998,1.375232,0.465148,-0.410796,-0.347804,0.404013,0.73963,0.097211,1.396465,0.455156,0.247825,-0.585832,0.714813,-0.290562,0.135449,1.391724,0.434908,0.451718,-0.490821,0.577151,-0.471108,0.112708,1.409973,0.438727,0.493163,-0.451465,0.443366,-0.59699,0.111137,1.412864,0.492066,-0.189736,-0.578226,0.773785,0.175822,0.153414,1.382872,0.465862,-0.500466,-0.141719,0.507218,0.687154,0.090283,1.415075,0.45572,0.265714,-0.586109,0.673501,-0.363687,0.138562,1.407289,0.442284,0.493163,-0.451465,0.443366,-0.59699,0.107756,1.456111,0.438388,-0.736613,-0.02144,0.634562,-0.232967,0.163531,1.420767,0.439415,-0.619811,0.462614,0.60793,0.179566,0.142978,1.448468,0.433566,-0.752531,0.139534,0.643606,0.00013,0.082936,1.448663,0.443904,-0.736613,-0.02144,0.634562,-0.232967,137,0.190625,1.375611,0.449581,-0.500466,-0.141719,0.507218,0.687154,25,H,Static,Right
9,10,-0.023893,1.481839,0.020023,-0.998608,-0.049878,-0.008727,-0.01475,0.061547,1.467468,0.473284,-0.41905,-0.492335,0.673385,0.358547,0.125465,1.453759,0.481121,-0.512275,-0.349046,0.605893,0.498633,0.164189,1.413854,0.450786,-0.502285,-0.142218,0.506389,0.686334,0.085925,1.463824,0.482023,-0.426031,-0.455617,0.677865,0.389114,0.039018,1.469136,0.464914,-0.41905,-0.492335,0.673385,0.358547,0.049873,1.445446,0.462087,-0.344297,-0.5389,0.681243,0.356307,0.117847,1.434066,0.492619,-0.411051,-0.45936,0.671924,0.41054,0.159702,1.398089,0.457995,-0.502285,-0.142218,0.506389,0.686334,0.074909,1.442107,0.477607,-0.35405,-0.511805,0.706978,0.335987,0.026296,1.448396,0.44949,-0.344297,-0.5389,0.681243,0.356307,0.154395,1.404898,0.47107,-0.502285,-0.142218,0.506389,0.686334,0.112643,1.393528,0.439763,0.452619,-0.491978,0.576168,-0.47024,0.106743,1.390321,0.486441,-0.062746,-0.576377,0.799621,0.156394,0.148346,1.375173,0.465163,-0.412601,-0.348033,0.402837,0.739159,0.097466,1.396198,0.455262,0.248008,-0.587419,0.713803,-0.289682,0.135705,1.391611,0.434995,0.452619,-0.491978,0.576168,-0.47024,0.112845,1.409784,0.438811,0.494147,-0.452719,0.442854,-0.595605,0.111379,1.412648,0.492156,-0.190805,-0.579639,0.772373,0.176217,0.153731,1.382835,0.465869,-0.502285,-0.142218,0.506389,0.686334,0.090438,1.414788,0.455856,0.265818,-0.587819,0.672691,-0.362349,0.138715,1.407206,0.442331,0.494147,-0.452719,0.442854,-0.595605,0.10767,1.455816,0.43848,-0.736633,-0.023048,0.633755,-0.234939,0.163627,1.420767,0.439411,-0.620745,0.461414,0.608521,0.177412,0.142924,1.448363,0.433589,-0.753156,0.137953,0.643211,-0.00219,0.082898,1.448249,0.444047,-0.736633,-0.023048,0.633755,-0.234939,153,0.190943,1.37573,0.449521,-0.502285,-0.142218,0.506389,0.686334,25,H,Static,Right
