,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,-0.04364,1.464349,0.013492,-0.992374,-0.121768,-0.009048,-0.016891,0.090445,1.540128,0.490789,-0.813263,0.559423,0.145289,0.067394,0.10651,1.480384,0.465175,-0.828735,0.538355,0.152625,0.008895,0.115951,1.42175,0.443978,-0.851464,0.513165,0.072661,0.079947,0.096576,1.516911,0.480429,-0.834876,0.525409,0.16085,0.032473,0.087174,1.562915,0.497893,-0.813263,0.559423,0.145289,0.067394,0.138753,1.54343,0.507624,-0.831813,0.527326,0.014428,0.172648,0.130544,1.48097,0.465405,-0.872509,0.471774,0.008173,0.126849,0.133966,1.420545,0.442878,-0.851464,0.513165,0.072661,0.079947,0.135414,1.519093,0.491029,-0.872159,0.469048,0.010003,0.138684,0.143682,1.56751,0.518537,-0.831813,0.527326,0.014428,0.172648,0.133884,1.435975,0.440603,-0.851464,0.513165,0.072661,0.079947,0.144601,1.436214,0.507191,-0.397122,-0.853764,0.322857,0.095627,0.167466,1.456095,0.475054,-0.959049,-0.065357,0.150645,0.23078,0.15773,1.417255,0.4466,-0.827295,0.45491,0.05855,0.324364,0.156917,1.45425,0.506328,-0.700387,-0.648627,0.244018,0.17087,0.133873,1.421218,0.492417,-0.397122,-0.853764,0.322857,0.095627,0.133507,1.452559,0.515346,-0.37727,-0.895328,0.229265,0.059098,0.150121,1.471098,0.469891,-0.980001,0.07196,0.063442,0.174338,0.150057,1.420141,0.442018,-0.851464,0.513165,0.072661,0.079947,0.145956,1.477945,0.511081,-0.74825,-0.624018,0.189779,0.121281,0.125822,1.434402,0.498039,-0.37727,-0.895328,0.229265,0.059098,0.103534,1.446632,0.512819,-0.672038,-0.178596,-0.435374,-0.571767,0.106964,1.416758,0.452406,-0.608122,0.271281,-0.024404,-0.745654,0.093849,1.429575,0.4822,-0.71885,0.091123,-0.265859,-0.635823,0.123721,1.454433,0.528101,-0.672038,-0.178596,-0.435374,-0.571767,9,0.137225,1.39098,0.4158,-0.851464,0.513165,0.072661,0.079947,25,V,Static,Right
1,2,-0.04343,1.464659,0.013813,-0.99239,-0.121498,-0.009468,-0.017619,0.090807,1.539438,0.490763,-0.812714,0.559982,0.145314,0.069279,0.106738,1.479627,0.465224,-0.828425,0.538779,0.15269,0.010734,0.116028,1.420957,0.444058,-0.851194,0.51331,0.072684,0.081848,0.096886,1.516192,0.480439,-0.834389,0.526036,0.160939,0.034346,0.087595,1.562243,0.497837,-0.812714,0.559982,0.145314,0.069279,0.139077,1.542591,0.507708,-0.830992,0.528039,0.014453,0.174412,0.130774,1.480134,0.465502,-0.872307,0.471655,0.008487,0.128647,0.134041,1.419692,0.442996,-0.851194,0.51331,0.072684,0.081848,0.135696,1.518244,0.491136,-0.871647,0.469459,0.010232,0.140483,0.144065,1.566677,0.518581,-0.830992,0.528039,0.014453,0.174412,0.134016,1.435122,0.440718,-0.851194,0.51331,0.072684,0.081848,0.144601,1.435335,0.507297,-0.396081,-0.853605,0.324676,0.095206,0.167595,1.455141,0.475232,-0.95852,-0.065308,0.151765,0.232255,0.157789,1.416325,0.446767,-0.826646,0.454784,0.058674,0.326169,0.156974,1.453333,0.506484,-0.699504,-0.648789,0.245891,0.171187,0.133868,1.420387,0.492477,-0.396081,-0.853605,0.324676,0.095206,0.133531,1.451669,0.515404,-0.376014,-0.895419,0.231088,0.058625,0.150309,1.4702,0.47003,-0.97968,0.071437,0.064406,0.175998,0.150134,1.419236,0.44217,-0.851194,0.51331,0.072684,0.081848,0.146069,1.477024,0.511216,-0.747273,-0.624531,0.191643,0.121728,0.12584,1.433568,0.498041,-0.376014,-0.895419,0.231088,0.058625,0.103554,1.445909,0.512853,-0.673492,-0.178788,-0.434636,-0.570557,0.107005,1.415998,0.452467,-0.609337,0.27226,-0.02433,-0.744306,0.093863,1.428873,0.482224,-0.720221,0.091384,-0.265508,-0.634379,0.123746,1.453642,0.528164,-0.673492,-0.178788,-0.434636,-0.570557,23,0.137259,1.39011,0.415933,-0.851194,0.51331,0.072684,0.081848,25,V,Static,Right
2,3,-0.042884,1.465519,0.014713,-0.99251,-0.12056,-0.009756,-0.017172,0.091167,1.538783,0.490755,-0.812089,0.56066,0.145315,0.071099,0.106965,1.4789,0.465301,-0.828078,0.539263,0.152726,0.012495,0.116108,1.420198,0.444159,-0.850953,0.51342,0.072679,0.083643,0.097192,1.515505,0.480473,-0.833833,0.526779,0.160997,0.036153,0.088014,1.561607,0.497793,-0.812089,0.56066,0.145315,0.071099,0.139398,1.541788,0.507813,-0.830111,0.528876,0.01441,0.176067,0.131001,1.479333,0.465624,-0.87212,0.471531,0.008754,0.130343,0.134118,1.418877,0.443131,-0.850953,0.51342,0.072679,0.083643,0.135974,1.517429,0.491268,-0.871112,0.469936,0.010402,0.142182,0.144446,1.565883,0.518638,-0.830111,0.528876,0.01441,0.176067,0.13415,1.434306,0.440853,-0.850953,0.51342,0.072679,0.083643,0.144611,1.434488,0.507421,-0.395073,-0.85346,0.326387,0.094842,0.167726,1.454226,0.475425,-0.958014,-0.065298,0.152797,0.233662,0.157852,1.415436,0.44695,-0.826043,0.454644,0.058759,0.327872,0.157039,1.452451,0.506657,-0.698624,-0.648985,0.247648,0.171504,0.133874,1.419587,0.492558,-0.395073,-0.85346,0.326387,0.094842,0.133564,1.450801,0.515475,-0.374618,-0.895588,0.232806,0.058188,0.150497,1.469338,0.470189,-0.979383,0.070788,0.065302,0.177581,0.150215,1.41837,0.442337,-0.850953,0.51342,0.072679,0.083643,0.146185,1.476129,0.511373,-0.746195,-0.625191,0.193406,0.122159,0.125869,1.432761,0.49805,-0.374618,-0.895588,0.232806,0.058188,0.103579,1.445212,0.512912,-0.674865,-0.179,-0.433926,-0.569408,0.107051,1.415269,0.452549,-0.610497,0.273175,-0.024234,-0.743022,0.093884,1.428198,0.482272,-0.721523,0.091625,-0.26514,-0.633017,0.123775,1.452879,0.52825,-0.674865,-0.179,-0.433926,-0.569408,38,0.137298,1.38928,0.416082,-0.850953,0.51342,0.072679,0.083643,25,V,Static,Right
3,4,-0.042698,1.466163,0.016107,-0.99295,-0.11704,-0.010295,-0.015718,0.088548,1.538888,0.491326,-0.814342,0.557176,0.148216,0.066594,0.10503,1.479337,0.465529,-0.829613,0.536146,0.155643,0.008022,0.114845,1.420797,0.444238,-0.852023,0.511932,0.07576,0.07901,0.094841,1.515744,0.4809,-0.835662,0.523301,0.163787,0.031611,0.085127,1.561627,0.498513,-0.814342,0.557176,0.148216,0.066594,0.136639,1.542408,0.508344,-0.832531,0.526499,0.01784,0.171385,0.12906,1.480044,0.465866,-0.873857,0.469596,0.011889,0.125349,0.132869,1.419683,0.443221,-0.852023,0.511932,0.07576,0.07901,0.133538,1.518092,0.491672,-0.873139,0.467571,0.013567,0.137191,0.141373,1.566507,0.519302,-0.832531,0.526499,0.01784,0.171385,0.132737,1.435117,0.440987,-0.852023,0.511932,0.07576,0.07901,0.143141,1.435173,0.507424,-0.391109,-0.857548,0.321354,0.091525,0.166063,1.455335,0.475628,-0.959163,-0.068455,0.152834,0.227954,0.15665,1.416505,0.447052,-0.828443,0.453196,0.061198,0.323343,0.15534,1.453298,0.506831,-0.696985,-0.65331,0.244162,0.166684,0.132675,1.420264,0.492376,-0.391109,-0.857548,0.321354,0.091525,0.131897,1.451321,0.515518,-0.370788,-0.898778,0.22734,0.055049,0.148666,1.470262,0.470419,-0.980558,0.068315,0.066221,0.171624,0.148983,1.419362,0.442442,-0.852023,0.511932,0.07576,0.07901,0.1442,1.476837,0.511621,-0.744607,-0.629082,0.190028,0.117068,0.124504,1.433329,0.497914,-0.370788,-0.898778,0.22734,0.055049,0.101939,1.445428,0.513057,-0.671384,-0.17746,-0.433693,-0.574163,0.105829,1.415746,0.4526,-0.606541,0.272763,-0.020867,-0.746508,0.092467,1.428412,0.482349,-0.718089,0.092131,-0.26319,-0.637645,0.122034,1.453275,0.528438,-0.671384,-0.17746,-0.433693,-0.574163,56,0.136414,1.39019,0.416108,-0.852023,0.511932,0.07576,0.07901,25,V,Static,Right
4,5,-0.042631,1.466084,0.01679,-0.993301,-0.114157,-0.010614,-0.014463,0.08896,1.538514,0.491651,-0.815057,0.555298,0.148805,0.071988,0.105172,1.47897,0.465668,-0.830353,0.53464,0.156503,0.013457,0.114705,1.420452,0.444192,-0.852578,0.510023,0.07674,0.084255,0.095152,1.515378,0.48115,-0.836303,0.521644,0.164663,0.037027,0.085659,1.561239,0.498936,-0.815057,0.555298,0.148805,0.071988,0.136896,1.541597,0.509021,-0.833023,0.524042,0.018714,0.176361,0.129204,1.479494,0.466183,-0.874528,0.46697,0.013273,0.130245,0.132728,1.419206,0.443299,-0.852578,0.510023,0.07674,0.084255,0.13375,1.517381,0.492214,-0.873668,0.465075,0.014899,0.142083,0.141719,1.565612,0.520123,-0.833023,0.524042,0.018714,0.176361,0.132723,1.434651,0.44113,-0.852578,0.510023,0.07674,0.084255,0.142638,1.434309,0.507603,-0.387212,-0.857759,0.325766,0.090513,0.165948,1.454463,0.476102,-0.95755,-0.071184,0.156145,0.231624,0.156451,1.415832,0.447285,-0.827996,0.450398,0.061771,0.32825,0.154973,1.452347,0.507212,-0.6935,-0.655087,0.248853,0.167308,0.13218,1.419558,0.492394,-0.387212,-0.857759,0.325766,0.090513,0.131451,1.450482,0.51569,-0.367237,-0.899157,0.231907,0.053601,0.148702,1.469543,0.470834,-0.979841,0.065242,0.069236,0.175673,0.148838,1.418767,0.442632,-0.852578,0.510023,0.07674,0.084255,0.143971,1.475929,0.512036,-0.741619,-0.630971,0.194877,0.117898,0.124062,1.432642,0.497932,-0.367237,-0.899157,0.231907,0.053601,0.101538,1.444946,0.51299,-0.674898,-0.178547,-0.429845,-0.572597,0.105596,1.415431,0.45247,-0.610072,0.274351,-0.0186,-0.7431,0.092125,1.42811,0.482165,-0.721764,0.091932,-0.260174,-0.634756,0.121599,1.452572,0.528525,-0.674898,-0.178547,-0.429845,-0.572597,71,0.136242,1.389808,0.416077,-0.852578,0.510023,0.07674,0.084255,25,V,Static,Right
5,6,-0.04237,1.466091,0.017685,-0.993553,-0.112029,-0.011065,-0.01342,0.088063,1.539265,0.488278,-0.810821,0.560955,0.15071,0.072017,0.104357,1.479361,0.463189,-0.826326,0.5404,0.158032,0.013374,0.113965,1.420594,0.442435,-0.849383,0.515,0.078699,0.084439,0.094288,1.515982,0.478125,-0.832312,0.527466,0.166365,0.036877,0.084741,1.562092,0.495228,-0.810821,0.560955,0.15071,0.072017,0.135915,1.542496,0.505918,-0.82992,0.528661,0.021167,0.176926,0.128386,1.4799,0.463774,-0.871846,0.47175,0.01555,0.130746,0.131989,1.419343,0.441618,-0.849383,0.515,0.078699,0.084439,0.132832,1.518085,0.489383,-0.87095,0.469918,0.017227,0.142574,0.140694,1.566643,0.516751,-0.82992,0.528661,0.021167,0.176926,0.132001,1.43476,0.439274,-0.849383,0.515,0.078699,0.084439,0.141704,1.435202,0.505726,-0.390269,-0.856449,0.326679,0.086403,0.165108,1.455005,0.47411,-0.957771,-0.065995,0.159226,0.230147,0.155716,1.416026,0.44573,-0.825232,0.454844,0.065149,0.328429,0.154021,1.453249,0.505203,-0.696445,-0.651961,0.250927,0.164153,0.131349,1.4203,0.490595,-0.390269,-0.856449,0.326679,0.086403,0.130478,1.451461,0.513627,-0.372084,-0.897149,0.232616,0.050679,0.147873,1.470014,0.468606,-0.979376,0.070533,0.071917,0.175146,0.148118,1.418902,0.441018,-0.849383,0.515,0.078699,0.084439,0.142999,1.476869,0.509716,-0.745013,-0.626847,0.196636,0.115559,0.123156,1.433411,0.496053,-0.372084,-0.897149,0.232616,0.050679,0.100416,1.445846,0.51092,-0.676589,-0.172952,-0.431284,-0.571234,0.104817,1.415672,0.45073,-0.608249,0.279255,-0.021178,-0.742699,0.091206,1.428658,0.480228,-0.721457,0.097905,-0.261514,-0.633661,0.12038,1.453675,0.526479,-0.676589,-0.172952,-0.431284,-0.571234,85,0.135616,1.389621,0.414774,-0.849383,0.515,0.078699,0.084439,25,V,Static,Right
6,7,-0.042324,1.465616,0.017506,-0.993322,-0.114052,-0.011301,-0.013294,0.087939,1.539419,0.48975,-0.812013,0.558714,0.15152,0.07427,0.104224,1.479638,0.464363,-0.827654,0.537996,0.15908,0.015575,0.113844,1.420983,0.443301,-0.850713,0.512327,0.079796,0.086262,0.094161,1.516185,0.479484,-0.833508,0.525097,0.16736,0.039102,0.084634,1.562213,0.496814,-0.812013,0.558714,0.15152,0.07427,0.135678,1.542469,0.507605,-0.831451,0.525665,0.02203,0.178551,0.128252,1.480141,0.465047,-0.873121,0.468923,0.016649,0.132266,0.131871,1.419714,0.442547,-0.850713,0.512327,0.079796,0.086262,0.132639,1.518169,0.490899,-0.872354,0.466799,0.018336,0.144089,0.140439,1.566541,0.51861,-0.831451,0.525665,0.02203,0.178551,0.131905,1.435145,0.440291,-0.850713,0.512327,0.079796,0.086262,0.141331,1.435125,0.506728,-0.386229,-0.857983,0.327647,0.085677,0.164899,1.455136,0.47538,-0.957052,-0.069901,0.1607,0.230957,0.15557,1.41634,0.446728,-0.826247,0.451749,0.065504,0.330074,0.153664,1.453167,0.506406,-0.693222,-0.654966,0.252306,0.163721,0.131039,1.420345,0.491435,-0.386229,-0.857983,0.327647,0.085677,0.130103,1.451378,0.514714,-0.36868,-0.898304,0.233766,0.049786,0.147706,1.470201,0.469897,-0.979339,0.06708,0.073343,0.176116,0.147994,1.419255,0.442004,-0.850713,0.512327,0.079796,0.086262,0.14267,1.476798,0.51103,-0.742383,-0.629513,0.198213,0.115299,0.122833,1.433452,0.496993,-0.36868,-0.898304,0.233766,0.049786,0.100113,1.445838,0.511889,-0.677183,-0.174283,-0.428247,-0.572411,0.104663,1.416022,0.451536,-0.609624,0.278651,-0.018122,-0.741878,0.090971,1.428849,0.481065,-0.722623,0.096492,-0.25858,-0.633752,0.120032,1.453546,0.527565,-0.677183,-0.174283,-0.428247,-0.572411,98,0.135559,1.390148,0.415535,-0.850713,0.512327,0.079796,0.086262,25,V,Static,Right
7,8,-0.042321,1.465204,0.017582,-0.993195,-0.115098,-0.011903,-0.013211,0.087817,1.539549,0.491096,-0.813047,0.556723,0.152251,0.076378,0.104091,1.47988,0.465442,-0.828848,0.535808,0.160033,0.017624,0.113725,1.421328,0.444101,-0.851908,0.509887,0.080827,0.087951,0.094035,1.516359,0.48073,-0.834567,0.522963,0.168263,0.041177,0.084529,1.562315,0.498261,-0.813047,0.556723,0.152251,0.076378,0.135446,1.542433,0.509149,-0.83284,0.52291,0.022852,0.180058,0.128117,1.48035,0.466217,-0.874253,0.466369,0.017681,0.133678,0.131753,1.420042,0.443405,-0.851908,0.509887,0.080827,0.087951,0.132448,1.518235,0.492287,-0.873629,0.463926,0.019386,0.145495,0.140189,1.566435,0.520313,-0.83284,0.52291,0.022852,0.180058,0.131808,1.435485,0.441229,-0.851908,0.509887,0.080827,0.087951,0.140974,1.43504,0.507642,-0.382455,-0.859407,0.328531,0.084949,0.164696,1.455243,0.476549,-0.956366,-0.07356,0.162116,0.231672,0.155426,1.416617,0.447652,-0.827154,0.448914,0.06586,0.331594,0.153319,1.453075,0.50751,-0.690188,-0.657782,0.253599,0.163254,0.130743,1.420373,0.492199,-0.382455,-0.859407,0.328531,0.084949,0.129745,1.451293,0.51571,-0.365559,-0.899348,0.234832,0.04893,0.147541,1.470359,0.471085,-0.979288,0.063922,0.074688,0.177005,0.147871,1.419566,0.442915,-0.851908,0.509887,0.080827,0.087951,0.142353,1.476722,0.512236,-0.739944,-0.631963,0.199687,0.115029,0.122524,1.433479,0.497856,-0.365559,-0.899348,0.234832,0.04893,0.099831,1.44582,0.512781,-0.67771,-0.175496,-0.425458,-0.573495,0.104514,1.416333,0.452281,-0.610875,0.278078,-0.015337,-0.741127,0.090749,1.429014,0.48184,-0.723676,0.095167,-0.255921,-0.633831,0.119709,1.453417,0.528564,-0.67771,-0.175496,-0.425458,-0.573495,107,0.1355,1.39062,0.416241,-0.851908,0.509887,0.080827,0.087951,25,V,Static,Right
8,9,-0.042202,1.464933,0.017284,-0.992764,-0.118714,-0.012038,-0.0135,0.087043,1.539275,0.491555,-0.813751,0.555796,0.152685,0.074748,0.103496,1.479707,0.465779,-0.829482,0.534747,0.16047,0.015969,0.11332,1.421234,0.444309,-0.852639,0.508919,0.081145,0.086165,0.093329,1.516121,0.481148,-0.835109,0.522099,0.168642,0.039569,0.083684,1.562016,0.498763,-0.813751,0.555796,0.152685,0.074748,0.134651,1.542266,0.509606,-0.833618,0.5223,0.023152,0.17818,0.127521,1.480263,0.466526,-0.875192,0.465141,0.01801,0.131749,0.131352,1.420016,0.443587,-0.852639,0.508919,0.081145,0.086165,0.131726,1.518091,0.4927,-0.874373,0.463112,0.019626,0.14358,0.139318,1.566268,0.520803,-0.833618,0.5223,0.023152,0.17818,0.131345,1.435463,0.441441,-0.852639,0.508919,0.081145,0.086165,0.140594,1.43491,0.507828,-0.381526,-0.86056,0.326599,0.084895,0.164204,1.455269,0.476761,-0.956819,-0.074738,0.161227,0.230039,0.155039,1.416668,0.447796,-0.828258,0.448149,0.065832,0.329875,0.152868,1.452994,0.50773,-0.689812,-0.659044,0.251827,0.162492,0.130412,1.420246,0.492351,-0.381526,-0.86056,0.326599,0.084895,0.129307,1.451065,0.515915,-0.363824,-0.90056,0.232881,0.048884,0.146988,1.470333,0.471349,-0.979747,0.062412,0.074081,0.175247,0.147468,1.4196,0.443075,-0.852639,0.508919,0.081145,0.086165,0.141814,1.476555,0.512524,-0.739098,-0.633632,0.198014,0.114175,0.122149,1.433297,0.49799,-0.363824,-0.90056,0.232881,0.048884,0.099454,1.445556,0.513045,-0.676215,-0.176022,-0.425993,-0.5747,0.10414,1.416188,0.452493,-0.60981,0.277085,-0.014666,-0.742388,0.090372,1.428773,0.482091,-0.722489,0.094414,-0.25587,-0.635316,0.119343,1.453189,0.528797,-0.676215,-0.176022,-0.425993,-0.5747,119,0.13517,1.390664,0.416356,-0.852639,0.508919,0.081145,0.086165,25,V,Static,Right
9,10,-0.042282,1.464995,0.017282,-0.992354,-0.122018,-0.012329,-0.013877,0.086761,1.539575,0.490899,-0.813246,0.555633,0.154731,0.077207,0.10327,1.47998,0.465219,-0.828993,0.534789,0.162586,0.01838,0.11316,1.421511,0.443769,-0.852489,0.508413,0.083562,0.0883,0.093071,1.51641,0.480529,-0.834573,0.522074,0.170785,0.041945,0.083397,1.562321,0.498089,-0.813246,0.555633,0.154731,0.077207,0.134214,1.542476,0.509284,-0.833564,0.521543,0.025448,0.180324,0.12729,1.480509,0.46612,-0.875198,0.464459,0.020505,0.133738,0.131195,1.420272,0.443164,-0.852489,0.508413,0.083562,0.0883,0.131371,1.518316,0.492344,-0.874377,0.462371,0.022119,0.145561,0.138838,1.566468,0.520523,-0.833564,0.521543,0.025448,0.180324,0.131225,1.435721,0.441032,-0.852489,0.508413,0.083562,0.0883,0.140037,1.435076,0.507425,-0.379173,-0.861207,0.328284,0.082339,0.163879,1.455467,0.476574,-0.956073,-0.076303,0.164327,0.230431,0.154857,1.416895,0.447526,-0.828001,0.446861,0.068127,0.331796,0.152329,1.453148,0.507461,-0.688009,-0.660356,0.254432,0.160742,0.129956,1.420461,0.491836,-0.379173,-0.861207,0.328284,0.082339,0.128724,1.451235,0.515448,-0.361582,-0.901167,0.234572,0.046189,0.146714,1.470554,0.471062,-0.979437,0.061148,0.077092,0.176127,0.147319,1.419838,0.442758,-0.852489,0.508413,0.083562,0.0883,0.141281,1.47672,0.512211,-0.737512,-0.634883,0.20079,0.112622,0.121676,1.43353,0.497418,-0.361582,-0.901167,0.234572,0.046189,0.098851,1.445791,0.512427,-0.677859,-0.174718,-0.423467,-0.575027,0.103917,1.416471,0.451886,-0.610348,0.279378,-0.012386,-0.741127,0.089958,1.429045,0.481399,-0.723733,0.096091,-0.253221,-0.63471,0.118647,1.453386,0.528313,-0.677859,-0.174718,-0.423467,-0.575027,133,0.135159,1.390933,0.415943,-0.852489,0.508413,0.083562,0.0883,25,V,Static,Right
