,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.003957,1.650928,0.131238,0.975475,0.219352,0.018082,-0.002439,0.048853,1.476958,0.454986,-0.874787,0.438692,0.08749,0.186126,0.051319,1.420538,0.417246,-0.854344,0.492228,0.089862,0.140476,0.067595,1.363075,0.393507,-0.856106,0.467776,0.178443,0.128163,0.050685,1.456538,0.437993,-0.891369,0.410691,0.110765,0.156606,0.049852,1.497095,0.46896,-0.874787,0.438692,0.08749,0.186126,0.065456,1.480674,0.471896,-0.867303,0.431,0.144384,0.202925,0.075015,1.421727,0.423278,-0.877475,0.432524,0.135782,0.156602,0.085604,1.362224,0.396904,-0.856106,0.467776,0.178443,0.128163,0.070179,1.459429,0.45098,-0.906436,0.362292,0.149301,0.157571,0.06428,1.503331,0.487231,-0.867303,0.431,0.144384,0.202925,0.086135,1.378051,0.396498,-0.856106,0.467776,0.178443,0.128163,0.110931,1.443824,0.469235,-0.841375,0.404849,0.20867,0.290932,0.110315,1.396677,0.439948,-0.806007,0.506176,0.142242,0.271858,0.109102,1.359196,0.40685,-0.835821,0.382219,0.151785,0.363693,0.11186,1.426745,0.454998,-0.85033,0.39006,0.16729,0.311137,0.108831,1.463861,0.482384,-0.841375,0.404849,0.20867,0.290932,0.085836,1.469599,0.473332,-0.874392,0.383326,0.211729,0.208978,0.093739,1.411861,0.431723,-0.853108,0.45759,0.151837,0.199411,0.102475,1.362282,0.400685,-0.856106,0.467776,0.178443,0.128163,0.090468,1.447807,0.454587,-0.880382,0.379912,0.183732,0.21642,0.0814,1.490858,0.488888,-0.874392,0.383326,0.211729,0.208978,0.042802,1.393233,0.450637,-0.763768,-0.193517,-0.405334,-0.463588,0.056311,1.35731,0.398285,-0.616309,0.451413,0.034582,-0.644355,0.034068,1.375544,0.419305,-0.800519,0.139269,-0.239767,-0.531305,0.063876,1.396587,0.467142,-0.763768,-0.193517,-0.405334,-0.463588,15,0.097254,1.334375,0.369718,-0.856106,0.467776,0.178443,0.128163,27,B,Static,Right
1,2,0.004212,1.651157,0.131475,0.975692,0.21833,0.018752,-0.00247,0.048748,1.476769,0.45496,-0.875309,0.438144,0.087505,0.184952,0.05129,1.420369,0.417198,-0.854563,0.492165,0.089855,0.13936,0.067637,1.362953,0.393394,-0.856492,0.467414,0.178278,0.127134,0.050608,1.456366,0.437951,-0.891745,0.410325,0.110706,0.155464,0.049712,1.496892,0.468957,-0.875309,0.438144,0.087505,0.184952,0.065399,1.480484,0.47188,-0.868085,0.42998,0.144198,0.201874,0.074991,1.421598,0.423201,-0.87778,0.432363,0.135425,0.155644,0.085651,1.362132,0.396769,-0.856492,0.467414,0.178278,0.127134,0.070139,1.459282,0.450925,-0.906979,0.361509,0.148974,0.156548,0.064188,1.503103,0.487268,-0.868085,0.42998,0.144198,0.201874,0.086156,1.37796,0.396377,-0.856492,0.467414,0.178278,0.127134,0.110959,1.443713,0.469148,-0.842156,0.404068,0.208212,0.290088,0.110358,1.396602,0.439809,-0.806531,0.50597,0.141675,0.27098,0.109172,1.35914,0.406688,-0.836377,0.38204,0.151478,0.362729,0.111896,1.426658,0.454883,-0.851014,0.389474,0.166741,0.310294,0.10884,1.463722,0.482338,-0.842156,0.404068,0.208212,0.290088,0.085802,1.469436,0.473297,-0.875226,0.382094,0.211508,0.207963,0.093744,1.411761,0.431615,-0.853505,0.457383,0.151432,0.198488,0.102531,1.362219,0.400533,-0.856492,0.467414,0.178278,0.127134,0.090457,1.447689,0.454506,-0.881072,0.37903,0.183412,0.215427,0.081329,1.490645,0.488909,-0.875226,0.382094,0.211508,0.207963,0.04285,1.393005,0.450572,-0.762904,-0.19427,-0.40601,-0.464105,0.056366,1.357165,0.398176,-0.615868,0.450831,0.035068,-0.645158,0.034104,1.375335,0.419231,-0.79997,0.138677,-0.239897,-0.532228,0.063957,1.396364,0.467033,-0.762904,-0.19427,-0.40601,-0.464105,33,0.097321,1.334322,0.369554,-0.856492,0.467414,0.178278,0.127134,27,B,Static,Right
2,3,0.00458,1.651419,0.131855,0.975865,0.217499,0.019413,-0.002412,0.049758,1.475948,0.456452,-0.875581,0.436379,0.086676,0.188197,0.051989,1.419631,0.418555,-0.854498,0.491527,0.088686,0.142719,0.067982,1.362236,0.394461,-0.857207,0.465624,0.176897,0.130761,0.051521,1.455591,0.439377,-0.891847,0.409018,0.109949,0.158822,0.050815,1.496006,0.470536,-0.875581,0.436379,0.086676,0.188197,0.066476,1.479434,0.473481,-0.868602,0.427683,0.142926,0.205402,0.075691,1.42067,0.424593,-0.877768,0.431496,0.13393,0.159367,0.085986,1.361276,0.397854,-0.857207,0.465624,0.176897,0.130761,0.071101,1.458306,0.452425,-0.907258,0.359626,0.147941,0.160207,0.065383,1.501969,0.489001,-0.868602,0.427683,0.142926,0.205402,0.086597,1.377102,0.397548,-0.857207,0.465624,0.176897,0.130761,0.111822,1.442271,0.470731,-0.842541,0.401498,0.206216,0.293938,0.110869,1.395348,0.441108,-0.806835,0.504275,0.138912,0.27464,0.109474,1.358074,0.407785,-0.836092,0.380071,0.149736,0.366163,0.112647,1.425306,0.45635,-0.85114,0.387051,0.164611,0.314095,0.109825,1.462195,0.484066,-0.842541,0.401498,0.206216,0.293938,0.086769,1.468165,0.474944,-0.875974,0.378943,0.210569,0.211501,0.094367,1.410662,0.432977,-0.853649,0.456076,0.149691,0.202166,0.102861,1.36123,0.401639,-0.857207,0.465624,0.176897,0.130761,0.091327,1.446517,0.456014,-0.881547,0.376417,0.182287,0.218989,0.082376,1.489272,0.490715,-0.875974,0.378943,0.210569,0.211501,0.043355,1.392201,0.451728,-0.764417,-0.197778,-0.404017,-0.461867,0.056666,1.356498,0.399199,-0.619272,0.450135,0.03528,-0.642368,0.034508,1.374744,0.420297,-0.80251,0.136217,-0.238744,-0.52955,0.064486,1.395303,0.468209,-0.764417,-0.197778,-0.404017,-0.461867,55,0.097504,1.333535,0.370504,-0.857207,0.465624,0.176897,0.130761,27,B,Static,Right
3,4,0.004902,1.651482,0.132121,0.975918,0.217227,0.019768,-0.002215,0.04981,1.476916,0.454686,-0.873911,0.438485,0.088698,0.190114,0.052017,1.420315,0.417221,-0.852101,0.49478,0.090183,0.144858,0.067831,1.362708,0.393506,-0.855137,0.46849,0.177835,0.132788,0.051587,1.45644,0.437755,-0.889996,0.411798,0.111842,0.160689,0.050852,1.497049,0.468663,-0.873911,0.438485,0.088698,0.190114,0.066615,1.480397,0.471825,-0.867211,0.429059,0.144186,0.207521,0.075702,1.421293,0.423335,-0.875624,0.434724,0.134666,0.16175,0.085814,1.361688,0.396978,-0.855137,0.46849,0.177835,0.132788,0.071224,1.459149,0.450886,-0.905815,0.361822,0.149117,0.162321,0.065543,1.502989,0.487262,-0.867211,0.429059,0.144186,0.207521,0.08652,1.37751,0.396607,-0.855137,0.46849,0.177835,0.132788,0.111864,1.442929,0.469612,-0.841269,0.402096,0.206848,0.296308,0.110717,1.395932,0.440135,-0.804873,0.506061,0.138571,0.277271,0.109281,1.358452,0.407044,-0.833853,0.382404,0.151565,0.368081,0.112654,1.425938,0.455261,-0.84985,0.387632,0.165268,0.316516,0.109914,1.462881,0.482913,-0.841269,0.402096,0.206848,0.296308,0.08683,1.46896,0.473553,-0.875041,0.37932,0.211937,0.213314,0.094307,1.411261,0.431848,-0.851789,0.458316,0.150267,0.204507,0.102704,1.361596,0.400855,-0.855137,0.46849,0.177835,0.132788,0.091379,1.447248,0.454695,-0.880351,0.377483,0.183476,0.220965,0.08243,1.490098,0.489282,-0.875041,0.37932,0.211937,0.213314,0.04298,1.393213,0.450347,-0.767662,-0.195593,-0.403127,-0.458179,0.056453,1.357055,0.398197,-0.619146,0.45506,0.033965,-0.639082,0.034235,1.375582,0.418984,-0.804396,0.140145,-0.23841,-0.525802,0.064058,1.396274,0.466902,-0.767662,-0.195593,-0.403127,-0.458179,71,0.097338,1.333726,0.369878,-0.855137,0.46849,0.177835,0.132788,27,B,Static,Right
4,5,0.005072,1.651394,0.132231,0.975727,0.218108,0.019486,-0.002415,0.049566,1.477172,0.45441,-0.873944,0.438295,0.089352,0.190094,0.051826,1.420541,0.417,-0.851765,0.495239,0.090691,0.144952,0.067685,1.362941,0.393296,-0.855084,0.468387,0.178324,0.132837,0.051372,1.456692,0.437488,-0.889909,0.411827,0.112451,0.160673,0.050579,1.497304,0.46839,-0.873944,0.438295,0.089352,0.190094,0.066379,1.480635,0.471607,-0.867429,0.428439,0.144656,0.207564,0.075505,1.421528,0.423136,-0.87542,0.434985,0.134959,0.161907,0.085664,1.361928,0.396785,-0.855084,0.468387,0.178324,0.132837,0.071016,1.459404,0.450657,-0.905907,0.361406,0.149549,0.16234,0.065278,1.503211,0.487067,-0.867429,0.428439,0.144656,0.207564,0.086365,1.37775,0.396417,-0.855084,0.468387,0.178324,0.132837,0.11164,1.443142,0.469496,-0.841679,0.400964,0.207173,0.296451,0.110514,1.396181,0.439967,-0.805001,0.50573,0.138569,0.277505,0.109125,1.358701,0.406875,-0.833858,0.382198,0.152026,0.368094,0.112453,1.426176,0.455116,-0.850176,0.386704,0.165498,0.316657,0.109661,1.463064,0.482836,-0.841679,0.400964,0.207173,0.296451,0.086596,1.469181,0.473385,-0.875349,0.378335,0.212407,0.213331,0.094106,1.411504,0.431665,-0.851687,0.458355,0.150446,0.204709,0.102551,1.361843,0.40068,-0.855084,0.468387,0.178324,0.132837,0.091175,1.447495,0.454505,-0.880559,0.376783,0.183867,0.221009,0.08216,1.490288,0.489147,-0.875349,0.378335,0.212407,0.213331,0.04277,1.393439,0.450104,-0.767768,-0.195564,-0.402924,-0.458191,0.056303,1.357284,0.397974,-0.619011,0.455456,0.034352,-0.638909,0.034056,1.375807,0.418734,-0.804468,0.14039,-0.238042,-0.525793,0.063842,1.396495,0.466669,-0.767768,-0.195564,-0.402924,-0.458191,88,0.097226,1.333971,0.369698,-0.855084,0.468387,0.178324,0.132837,27,B,Static,Right
5,6,0.005357,1.65138,0.132455,0.975702,0.218222,0.019417,-0.00269,0.048907,1.47774,0.453811,-0.873302,0.438979,0.092355,0.19003,0.051425,1.420927,0.416703,-0.850218,0.497328,0.09331,0.145215,0.067514,1.363306,0.393206,-0.854225,0.468945,0.181002,0.132772,0.050834,1.457196,0.436979,-0.888978,0.413096,0.115303,0.160548,0.049801,1.497915,0.467737,-0.873302,0.438979,0.092355,0.19003,0.065625,1.481194,0.471212,-0.86741,0.427584,0.147551,0.207367,0.075073,1.421982,0.422947,-0.874393,0.436253,0.137402,0.161991,0.085477,1.362338,0.396784,-0.854225,0.468945,0.181002,0.132772,0.070419,1.459959,0.450303,-0.905608,0.361179,0.152286,0.161965,0.064373,1.503762,0.486671,-0.86741,0.427584,0.147551,0.207367,0.086154,1.378161,0.396389,-0.854225,0.468945,0.181002,0.132772,0.110981,1.443732,0.469497,-0.841769,0.399453,0.209813,0.296378,0.110058,1.396754,0.440005,-0.804488,0.505781,0.140577,0.277889,0.108905,1.359188,0.407001,-0.833427,0.382209,0.154853,0.367883,0.111907,1.426775,0.455113,-0.850246,0.385514,0.168018,0.316593,0.108873,1.463635,0.482846,-0.841769,0.399453,0.209813,0.296378,0.085828,1.469739,0.473173,-0.875408,0.376776,0.215423,0.212825,0.093656,1.41202,0.431589,-0.850869,0.459017,0.152879,0.204827,0.102354,1.3623,0.400767,-0.854225,0.468945,0.181002,0.132772,0.090574,1.448071,0.454314,-0.880464,0.37584,0.186733,0.220586,0.081223,1.490808,0.488937,-0.875408,0.376776,0.215423,0.212825,0.042214,1.393858,0.449812,-0.768405,-0.193376,-0.401739,-0.459092,0.056117,1.357637,0.397832,-0.617617,0.457816,0.036006,-0.638481,0.033707,1.376145,0.41843,-0.804318,0.142829,-0.236265,-0.526167,0.063201,1.396988,0.466469,-0.768405,-0.193376,-0.401739,-0.459092,105,0.097235,1.33434,0.36983,-0.854225,0.468945,0.181002,0.132772,27,B,Static,Right
6,7,0.005451,1.651387,0.132649,0.975682,0.218352,0.018962,-0.002861,0.049178,1.477703,0.45391,-0.873713,0.438728,0.090687,0.189523,0.05152,1.420902,0.416778,-0.85031,0.497655,0.091541,0.144683,0.067486,1.363293,0.393166,-0.854738,0.46882,0.179241,0.132301,0.051035,1.457172,0.437054,-0.889307,0.413028,0.113578,0.160129,0.050126,1.497859,0.46786,-0.873713,0.438728,0.090687,0.189523,0.065968,1.481092,0.471306,-0.868216,0.42676,0.145809,0.206924,0.075191,1.421935,0.422938,-0.874717,0.436338,0.135458,0.161651,0.085461,1.36231,0.396679,-0.854738,0.46882,0.179241,0.132301,0.07068,1.459898,0.450336,-0.906214,0.360561,0.150447,0.161674,0.064772,1.503618,0.48683,-0.868216,0.42676,0.145809,0.206924,0.086147,1.378133,0.396296,-0.854738,0.46882,0.179241,0.132301,0.111313,1.443594,0.469404,-0.84253,0.399033,0.207864,0.296157,0.110221,1.396666,0.439845,-0.80491,0.50595,0.138387,0.27746,0.108924,1.359135,0.406807,-0.833771,0.382508,0.153042,0.367548,0.112172,1.426666,0.454982,-0.85083,0.385276,0.165975,0.316391,0.109263,1.463466,0.482808,-0.84253,0.399033,0.207864,0.296157,0.086177,1.469617,0.473193,-0.876253,0.375988,0.213646,0.21253,0.093798,1.411952,0.431502,-0.851259,0.459117,0.150862,0.204475,0.102353,1.362257,0.4006,-0.854738,0.46882,0.179241,0.132301,0.090846,1.447986,0.454272,-0.881131,0.375364,0.184856,0.220315,0.081628,1.490645,0.489027,-0.876253,0.375988,0.213646,0.21253,0.042418,1.393778,0.449909,-0.767504,-0.195216,-0.403084,-0.458641,0.056102,1.357627,0.397828,-0.618099,0.456192,0.035186,-0.639222,0.033777,1.376114,0.418536,-0.804065,0.141142,-0.237531,-0.526438,0.063485,1.396865,0.466474,-0.767504,-0.195216,-0.403084,-0.458641,121,0.097103,1.334331,0.369654,-0.854738,0.46882,0.179241,0.132301,27,B,Static,Right
7,8,0.005635,1.651423,0.133038,0.97569,0.218385,0.018114,-0.003107,0.049063,1.478188,0.453963,-0.873628,0.438745,0.090555,0.189939,0.051305,1.42132,0.416937,-0.849594,0.498799,0.091101,0.145225,0.067164,1.363667,0.393361,-0.854505,0.469311,0.178668,0.132836,0.050893,1.45764,0.437125,-0.889031,0.4135,0.113358,0.160601,0.050027,1.498343,0.467914,-0.873628,0.438745,0.090555,0.189939,0.065915,1.481555,0.471372,-0.868336,0.42638,0.145474,0.207437,0.074981,1.422317,0.423084,-0.874082,0.437566,0.13473,0.162373,0.085139,1.362657,0.396865,-0.854505,0.469311,0.178668,0.132836,0.070587,1.460353,0.4504,-0.906122,0.360712,0.150001,0.162266,0.064741,1.504066,0.486919,-0.868336,0.42638,0.145474,0.207437,0.085849,1.378478,0.396468,-0.854505,0.469311,0.178668,0.132836,0.111198,1.443919,0.469551,-0.8427,0.398472,0.20737,0.296772,0.109977,1.397002,0.439991,-0.80454,0.50646,0.137312,0.278135,0.1086,1.359449,0.406981,-0.833364,0.383032,0.152632,0.368097,0.112023,1.427003,0.455113,-0.850778,0.385103,0.165325,0.317081,0.109171,1.463772,0.482988,-0.8427,0.398472,0.20737,0.296772,0.086132,1.470026,0.473284,-0.876404,0.375561,0.213208,0.213101,0.093576,1.412309,0.431646,-0.850651,0.460208,0.149879,0.205274,0.10203,1.362578,0.400775,-0.854505,0.469311,0.178668,0.132836,0.090754,1.448391,0.454355,-0.881036,0.375487,0.184261,0.220981,0.08161,1.491039,0.489146,-0.876404,0.375561,0.213208,0.213101,0.042205,1.394222,0.450106,-0.76763,-0.196116,-0.403758,-0.457452,0.055774,1.358023,0.398037,-0.618482,0.456148,0.034366,-0.638927,0.033495,1.376559,0.418752,-0.804365,0.140815,-0.238252,-0.525742,0.063316,1.397263,0.466623,-0.76763,-0.196116,-0.403758,-0.457452,137,0.096718,1.334638,0.369852,-0.854505,0.469311,0.178668,0.132836,27,B,Static,Right
8,9,0.005711,1.651388,0.133268,0.975656,0.218598,0.017396,-0.002833,0.049004,1.478426,0.453982,-0.873577,0.438762,0.090538,0.190143,0.051204,1.421524,0.417008,-0.849242,0.499351,0.090936,0.145491,0.06701,1.363848,0.393455,-0.854372,0.469573,0.178412,0.133109,0.050823,1.457869,0.437153,-0.888886,0.413738,0.113297,0.16083,0.049974,1.49858,0.467932,-0.873577,0.438762,0.090538,0.190143,0.06589,1.481793,0.471383,-0.868318,0.426333,0.145347,0.207702,0.074881,1.422505,0.42315,-0.873716,0.438258,0.134414,0.162735,0.084985,1.362825,0.396954,-0.854372,0.469573,0.178412,0.133109,0.070543,1.460582,0.450417,-0.906016,0.360917,0.14982,0.162566,0.064729,1.504302,0.486935,-0.868318,0.426333,0.145347,0.207702,0.085707,1.378645,0.39655,-0.854372,0.469573,0.178412,0.133109,0.111137,1.444082,0.469615,-0.842758,0.398224,0.2072,0.297059,0.10986,1.397166,0.44006,-0.804336,0.506726,0.136864,0.278462,0.108444,1.359601,0.407065,-0.833147,0.383303,0.152461,0.368375,0.111948,1.42717,0.455173,-0.850722,0.385063,0.165075,0.31741,0.109119,1.463927,0.483066,-0.842758,0.398224,0.2072,0.297059,0.086116,1.470237,0.47331,-0.876417,0.375474,0.213015,0.213396,0.09347,1.412484,0.431712,-0.850295,0.460833,0.149421,0.205683,0.101876,1.362733,0.40086,-0.854372,0.469573,0.178412,0.133109,0.090712,1.448595,0.454384,-0.88093,0.375664,0.183993,0.221326,0.081607,1.491246,0.489181,-0.876417,0.375474,0.213015,0.213396,0.042104,1.394448,0.450194,-0.767745,-0.196485,-0.40408,-0.456815,0.055618,1.358216,0.398137,-0.618666,0.456195,0.03391,-0.63874,0.033362,1.376781,0.418851,-0.804534,0.140727,-0.238625,-0.525338,0.063236,1.397467,0.466689,-0.767745,-0.196485,-0.40408,-0.456815,154,0.096533,1.334785,0.369949,-0.854372,0.469573,0.178412,0.133109,27,B,Static,Right
9,10,0.005901,1.65132,0.133613,0.975519,0.219262,0.016647,-0.003158,0.049379,1.477531,0.454555,-0.875777,0.43605,0.088809,0.187049,0.051623,1.420815,0.417313,-0.850713,0.498021,0.089239,0.142474,0.067538,1.363293,0.393462,-0.856042,0.467966,0.176686,0.130318,0.05121,1.457084,0.437594,-0.890814,0.411215,0.11148,0.157877,0.050316,1.497596,0.468636,-0.875777,0.43605,0.088809,0.187049,0.066362,1.480905,0.471857,-0.870777,0.423298,0.14364,0.204781,0.075331,1.421872,0.423323,-0.875128,0.437064,0.132407,0.159981,0.08554,1.362334,0.396852,-0.856042,0.467966,0.176686,0.130318,0.071009,1.459844,0.450738,-0.907901,0.35824,0.147817,0.159779,0.065154,1.503294,0.487577,-0.870777,0.423298,0.14364,0.204781,0.086187,1.378158,0.396495,-0.856042,0.467966,0.176686,0.130318,0.11187,1.443404,0.469673,-0.845157,0.396115,0.204609,0.294853,0.110511,1.396616,0.439936,-0.805988,0.506248,0.133945,0.275962,0.109062,1.35917,0.406808,-0.835069,0.382465,0.150172,0.365825,0.112648,1.426573,0.455135,-0.852814,0.38346,0.162238,0.315192,0.109853,1.463158,0.483256,-0.845157,0.396115,0.204609,0.294853,0.086654,1.469418,0.473642,-0.878851,0.372333,0.211122,0.210756,0.09401,1.411897,0.431741,-0.85196,0.459629,0.147307,0.202994,0.102446,1.362298,0.400652,-0.856042,0.467966,0.176686,0.130318,0.091259,1.447914,0.45456,-0.883102,0.373119,0.181926,0.218669,0.082109,1.49029,0.489682,-0.878851,0.372333,0.211122,0.210756,0.042842,1.393499,0.450537,-0.764605,-0.19873,-0.406099,-0.459314,0.056203,1.357594,0.398199,-0.618215,0.452227,0.034548,-0.641956,0.033997,1.375932,0.419167,-0.802564,0.137762,-0.239576,-0.528693,0.064067,1.396559,0.466905,-0.764605,-0.19873,-0.406099,-0.459314,171,0.097042,1.334445,0.369667,-0.856042,0.467966,0.176686,0.130318,27,B,Static,Right
