,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.022377,1.580951,0.105886,0.984522,0.159837,0.071658,-0.005836,0.063887,1.565517,0.531306,0.896886,0.162109,-0.407434,0.05757,0.10869,1.541793,0.496402,0.845901,-0.320755,-0.405875,-0.129744,0.107602,1.481463,0.513511,0.590788,-0.659811,-0.343759,-0.31217,0.084198,1.568093,0.515266,0.898886,0.046002,-0.435356,0.018779,0.046793,1.558458,0.54654,0.896886,0.162109,-0.407434,0.05757,0.075715,1.573219,0.546968,0.851899,0.229125,-0.469994,0.029572,0.126174,1.543066,0.512664,0.813405,-0.342076,-0.428089,-0.195182,0.120842,1.480362,0.525623,0.590788,-0.659811,-0.343759,-0.31217,0.100315,1.576307,0.531015,0.877808,0.057624,-0.47552,0.003776,0.054544,1.563079,0.559787,0.851899,0.229125,-0.469994,0.029572,0.127523,1.492171,0.518129,0.590788,-0.659811,-0.343759,-0.31217,0.100652,1.555021,0.571691,0.731915,0.241877,-0.63659,-0.023431,0.138638,1.528299,0.55364,0.751647,-0.307908,-0.484818,-0.324301,0.13479,1.480278,0.545523,0.567603,-0.512925,-0.392181,-0.510812,0.121243,1.553854,0.564827,0.796705,0.077028,-0.579815,-0.152127,0.078118,1.548652,0.573649,0.731915,0.241877,-0.63659,-0.023431,0.086785,1.568397,0.56111,0.787259,0.26103,-0.5572,0.040191,0.134303,1.537689,0.532673,0.7923,-0.33382,-0.439447,-0.260214,0.132917,1.48006,0.536374,0.590788,-0.659811,-0.343759,-0.31217,0.112493,1.569308,0.548987,0.841625,0.062901,-0.531878,-0.069399,0.063986,1.55795,0.568308,0.787259,0.26103,-0.5572,0.040191,0.055124,1.537448,0.529406,0.72204,-0.459692,0.140591,0.49757,0.094404,1.481443,0.514303,0.542479,-0.655944,0.00754,0.524783,0.070735,1.50648,0.519152,0.674042,-0.5953,0.062138,0.432926,0.04783,1.559112,0.54251,0.72204,-0.459692,0.140591,0.49757,10,0.128872,1.441276,0.523594,0.590788,-0.659811,-0.343759,-0.31217,3,O,Static,Right
1,2,0.022477,1.581455,0.105867,0.984838,0.157644,0.072206,-0.005411,0.062914,1.566487,0.530302,0.894876,0.161606,-0.412047,0.057429,0.107993,1.54265,0.495852,0.84365,-0.3208,-0.409632,-0.132456,0.106656,1.482319,0.51294,0.588905,-0.658481,-0.346204,-0.315811,0.083389,1.569024,0.514465,0.89673,0.045565,-0.439858,0.018009,0.045657,1.559455,0.545362,0.894876,0.161606,-0.412047,0.057429,0.074587,1.57419,0.546077,0.849795,0.227761,-0.474437,0.029719,0.125318,1.543898,0.512285,0.810996,-0.341798,-0.43177,-0.197569,0.119774,1.4812,0.525183,0.588905,-0.658481,-0.346204,-0.315811,0.09935,1.577204,0.530362,0.875503,0.056642,-0.479872,0.003175,0.053263,1.564129,0.558702,0.849795,0.227761,-0.474437,0.029719,0.126545,1.493001,0.517759,0.588905,-0.658481,-0.346204,-0.315811,0.099216,1.555879,0.571055,0.728927,0.241177,-0.640294,-0.022853,0.13736,1.529112,0.55338,0.749102,-0.306489,-0.48846,-0.326064,0.133527,1.481097,0.545221,0.565346,-0.510655,-0.394603,-0.513716,0.119872,1.554681,0.564391,0.793797,0.077213,-0.583743,-0.152214,0.076653,1.549555,0.572802,0.728927,0.241177,-0.640294,-0.022853,0.085489,1.569295,0.560343,0.784661,0.260074,-0.561258,0.040729,0.133243,1.53851,0.532372,0.789962,-0.332832,-0.443113,-0.262364,0.131744,1.480882,0.536055,0.588905,-0.658481,-0.346204,-0.315811,0.111315,1.570158,0.54847,0.838977,0.062655,-0.536025,-0.069776,0.062599,1.5589,0.567326,0.784661,0.260074,-0.561258,0.040729,0.054046,1.538337,0.528327,0.722698,-0.462297,0.136929,0.495218,0.093451,1.482315,0.5136,0.54279,-0.658369,0.005012,0.521445,0.06975,1.507365,0.518229,0.674416,-0.597432,0.058839,0.429857,0.046618,1.560003,0.541352,0.722698,-0.462297,0.136929,0.495218,22,0.127773,1.442104,0.523233,0.588905,-0.658481,-0.346204,-0.315811,3,O,Static,Right
2,3,0.022579,1.582027,0.10595,0.985165,0.15534,0.072733,-0.005356,0.063521,1.566974,0.53018,0.894633,0.161816,-0.412763,0.055452,0.108548,1.543067,0.495712,0.843631,-0.320444,-0.409287,-0.134485,0.106981,1.482712,0.512694,0.5888,-0.65842,-0.344984,-0.317464,0.084017,1.56948,0.514366,0.896522,0.045878,-0.440327,0.016012,0.046226,1.559971,0.545211,0.894633,0.161816,-0.412763,0.055452,0.075217,1.574648,0.545967,0.849479,0.227457,-0.47527,0.0277,0.125863,1.544223,0.512162,0.810757,-0.34177,-0.431295,-0.199625,0.120086,1.481524,0.524945,0.5888,-0.65842,-0.344984,-0.317464,0.100004,1.577592,0.530278,0.875256,0.056454,-0.480352,0.001069,0.053841,1.564654,0.558559,0.849479,0.227457,-0.47527,0.0277,0.126904,1.493312,0.517543,0.5888,-0.65842,-0.344984,-0.317464,0.099779,1.556234,0.57095,0.728792,0.239354,-0.641016,-0.025884,0.137817,1.529318,0.55324,0.748547,-0.306635,-0.487743,-0.328268,0.133819,1.481333,0.544989,0.564729,-0.510618,-0.393455,-0.515309,0.12043,1.554938,0.564292,0.793229,0.076368,-0.583947,-0.154794,0.077171,1.550069,0.572697,0.728792,0.239354,-0.641016,-0.025884,0.0861,1.569702,0.560229,0.784363,0.259385,-0.562137,0.038694,0.133752,1.538769,0.532246,0.789524,-0.33298,-0.442545,-0.264442,0.132043,1.48114,0.535821,0.5888,-0.65842,-0.344984,-0.317464,0.111939,1.570479,0.548378,0.838572,0.062277,-0.536427,-0.071873,0.06316,1.559397,0.567181,0.784363,0.259385,-0.562137,0.038694,0.054477,1.538819,0.528236,0.723402,-0.461728,0.136428,0.494857,0.093776,1.482756,0.513349,0.544417,-0.657373,0.005111,0.521004,0.070136,1.507846,0.51807,0.675448,-0.596649,0.058732,0.429339,0.04706,1.560467,0.541297,0.723402,-0.461728,0.136428,0.494857,33,0.127945,1.442401,0.522924,0.5888,-0.65842,-0.344984,-0.317464,3,O,Static,Right
3,4,0.022615,1.582534,0.106218,0.985525,0.152653,0.073505,-0.005821,0.063791,1.567782,0.530715,0.894925,0.163009,-0.412042,0.052531,0.1086,1.54379,0.496048,0.844366,-0.32024,-0.407102,-0.136972,0.106791,1.483382,0.512817,0.58972,-0.658572,-0.342042,-0.318623,0.084257,1.570266,0.514858,0.897033,0.046828,-0.43928,0.013115,0.046508,1.560783,0.54576,0.894925,0.163009,-0.412042,0.052531,0.075571,1.575324,0.546503,0.849612,0.228549,-0.474673,0.024702,0.125964,1.544803,0.512456,0.811429,-0.341689,-0.428947,-0.20208,0.119924,1.482086,0.525027,0.58972,-0.658572,-0.342042,-0.318623,0.100329,1.578241,0.530763,0.875749,0.057473,-0.47933,-0.001807,0.054189,1.565352,0.559103,0.849612,0.228549,-0.474673,0.024702,0.126776,1.493868,0.517646,0.58972,-0.658572,-0.342042,-0.318623,0.100092,1.556697,0.571372,0.728956,0.239629,-0.640584,-0.029217,0.137956,1.529689,0.553446,0.749073,-0.306569,-0.485296,-0.330746,0.133708,1.481754,0.545029,0.56497,-0.511195,-0.390531,-0.516696,0.120721,1.555342,0.564657,0.793426,0.076732,-0.582784,-0.157957,0.077462,1.550621,0.573145,0.728956,0.239629,-0.640584,-0.029217,0.086466,1.570285,0.560726,0.78461,0.259825,-0.561808,0.035372,0.13388,1.539237,0.532498,0.790071,-0.332959,-0.440077,-0.266942,0.131906,1.481604,0.535865,0.58972,-0.658572,-0.342042,-0.318623,0.112279,1.570998,0.548813,0.83895,0.062797,-0.535347,-0.074985,0.063497,1.560055,0.567693,0.78461,0.259825,-0.561808,0.035372,0.054679,1.539741,0.528687,0.725831,-0.45901,0.13823,0.493327,0.093588,1.483488,0.513513,0.547001,-0.655885,0.006916,0.520151,0.070111,1.508705,0.518368,0.677792,-0.594668,0.060815,0.4281,0.047456,1.561389,0.541858,0.725831,-0.45901,0.13823,0.493327,44,0.127589,1.442933,0.522836,0.58972,-0.658572,-0.342042,-0.318623,3,O,Static,Right
4,5,0.022647,1.583051,0.106455,0.985883,0.149907,0.074292,-0.006615,0.064036,1.568542,0.531141,0.895143,0.164134,-0.411451,0.049879,0.108644,1.544466,0.496303,0.844964,-0.320138,-0.405138,-0.139327,0.106604,1.484013,0.512881,0.590495,-0.658717,-0.339363,-0.319751,0.084476,1.571007,0.515248,0.897457,0.047696,-0.438391,0.010457,0.04676,1.561545,0.546196,0.895143,0.164134,-0.411451,0.049879,0.07589,1.575957,0.546931,0.84967,0.229614,-0.474188,0.021989,0.12605,1.545347,0.512674,0.811973,-0.341667,-0.426827,-0.20441,0.11976,1.482617,0.525055,0.590495,-0.658717,-0.339363,-0.319751,0.100624,1.578852,0.531149,0.87615,0.058455,-0.478462,-0.004432,0.054503,1.566003,0.559535,0.84967,0.229614,-0.474188,0.021989,0.126647,1.494392,0.517693,0.590495,-0.658717,-0.339363,-0.319751,0.100362,1.557132,0.571704,0.728987,0.24003,-0.640257,-0.032177,0.138068,1.530043,0.553586,0.749504,-0.306471,-0.483097,-0.333071,0.133586,1.482155,0.54502,0.565114,-0.511717,-0.387879,-0.518017,0.120972,1.555726,0.564941,0.793532,0.077158,-0.581796,-0.160833,0.077714,1.551131,0.573493,0.728987,0.24003,-0.640257,-0.032177,0.086793,1.570834,0.561124,0.784766,0.260249,-0.561576,0.032331,0.133987,1.539679,0.53268,0.790506,-0.33296,-0.437842,-0.269319,0.131764,1.482044,0.535859,0.590495,-0.658717,-0.339363,-0.319751,0.112583,1.571489,0.549158,0.839237,0.0633,-0.534428,-0.077855,0.063796,1.560673,0.568099,0.784766,0.260249,-0.561576,0.032331,0.054877,1.540622,0.529029,0.728226,-0.456477,0.140026,0.491639,0.093404,1.484178,0.513614,0.549381,-0.654672,0.008692,0.519143,0.070085,1.50952,0.518577,0.680015,-0.592914,0.062852,0.426711,0.047847,1.562273,0.542298,0.728226,-0.456477,0.140026,0.491639,55,0.127243,1.443436,0.522712,0.590495,-0.658717,-0.339363,-0.319751,3,O,Static,Right
5,6,0.022719,1.583294,0.106537,0.986193,0.147652,0.074704,-0.006412,0.063967,1.568918,0.531331,0.894223,0.166353,-0.412822,0.047654,0.1086,1.544966,0.496439,0.845372,-0.31771,-0.405286,-0.141953,0.106359,1.484416,0.512635,0.591738,-0.656949,-0.338142,-0.322373,0.084449,1.571439,0.5155,0.89681,0.050079,-0.439499,0.00808,0.04664,1.561871,0.546303,0.894223,0.166353,-0.412822,0.047654,0.07581,1.576211,0.547193,0.848433,0.231624,-0.475529,0.019618,0.125971,1.545696,0.512855,0.812309,-0.33937,-0.426669,-0.207209,0.119484,1.482908,0.52483,0.591738,-0.656949,-0.338142,-0.322373,0.100588,1.579147,0.531487,0.875395,0.06071,-0.479531,-0.006989,0.054367,1.566236,0.559685,0.848433,0.231624,-0.475529,0.019618,0.126418,1.494709,0.517555,0.591738,-0.656949,-0.338142,-0.322373,0.10019,1.557214,0.571912,0.727743,0.240556,-0.641289,-0.035652,0.137853,1.530103,0.553698,0.749445,-0.304405,-0.482434,-0.336047,0.133262,1.482283,0.54482,0.56557,-0.509868,-0.386205,-0.520588,0.120806,1.555763,0.565178,0.792447,0.078466,-0.58218,-0.164127,0.077509,1.551315,0.573635,0.727743,0.240556,-0.641289,-0.035652,0.086681,1.571002,0.561384,0.783448,0.261513,-0.562989,0.029389,0.133846,1.539881,0.532843,0.790679,-0.330737,-0.437372,-0.272298,0.13146,1.482234,0.535655,0.591738,-0.656949,-0.338142,-0.322373,0.112499,1.571648,0.549479,0.83831,0.065161,-0.535212,-0.080862,0.063631,1.560888,0.568249,0.783448,0.261513,-0.562989,0.029389,0.054782,1.5411,0.528983,0.730612,-0.454712,0.138469,0.490174,0.093158,1.484613,0.513341,0.552221,-0.653696,0.007609,0.517374,0.069915,1.510008,0.518395,0.682496,-0.591445,0.061697,0.424955,0.047795,1.562698,0.542362,0.730612,-0.454712,0.138469,0.490174,66,0.126865,1.443722,0.522255,0.591738,-0.656949,-0.338142,-0.322373,3,O,Static,Right
6,7,0.02284,1.583488,0.10641,0.986391,0.146272,0.07482,-0.006346,0.063458,1.568987,0.530091,0.895186,0.164674,-0.41112,0.050054,0.108042,1.544951,0.495225,0.845108,-0.320143,-0.404857,-0.139254,0.105963,1.484505,0.511823,0.590384,-0.659024,-0.338966,-0.319743,0.083886,1.57149,0.514188,0.897561,0.048379,-0.438097,0.010723,0.046198,1.561964,0.545152,0.895186,0.164674,-0.41112,0.050054,0.075348,1.576426,0.545855,0.849723,0.230011,-0.473898,0.022077,0.125458,1.545822,0.511585,0.811952,-0.34206,-0.426475,-0.204567,0.119127,1.483102,0.523989,0.590384,-0.659024,-0.338966,-0.319743,0.100072,1.579356,0.530063,0.876242,0.059014,-0.478226,-0.004226,0.053973,1.566451,0.558464,0.849723,0.230011,-0.473898,0.022077,0.126017,1.494868,0.516617,0.590384,-0.659024,-0.338966,-0.319743,0.099806,1.557632,0.570635,0.729311,0.239331,-0.640114,-0.032874,0.137488,1.53052,0.552494,0.749558,-0.306634,-0.482826,-0.333193,0.132964,1.482634,0.543943,0.564958,-0.5121,-0.387574,-0.518038,0.12041,1.55621,0.56386,0.793649,0.076875,-0.581584,-0.161158,0.077148,1.551673,0.572449,0.729311,0.239331,-0.640114,-0.032874,0.086253,1.571311,0.560052,0.784849,0.260316,-0.561445,0.03205,0.133402,1.540153,0.531588,0.790508,-0.333246,-0.437438,-0.269615,0.131135,1.482522,0.534784,0.590384,-0.659024,-0.338966,-0.319743,0.11204,1.571984,0.54808,0.839306,0.063688,-0.534268,-0.077892,0.063257,1.561154,0.567034,0.784849,0.260316,-0.561445,0.03205,0.054287,1.541161,0.527987,0.728363,-0.456292,0.140584,0.491447,0.092764,1.484681,0.512566,0.549553,-0.654508,0.009242,0.519158,0.069472,1.510045,0.517544,0.679973,-0.592964,0.063289,0.426644,0.047288,1.562822,0.541258,0.728363,-0.456292,0.140584,0.491447,77,0.126576,1.443914,0.521649,0.590384,-0.659024,-0.338966,-0.319743,3,O,Static,Right
7,8,0.022871,1.583638,0.106187,0.986431,0.145947,0.074903,-0.00662,0.062982,1.569059,0.5289,0.896027,0.163278,-0.409558,0.052338,0.107518,1.54495,0.494062,0.844833,-0.322409,-0.404471,-0.136797,0.105585,1.484603,0.511032,0.589082,-0.660955,-0.339718,-0.317354,0.08336,1.571553,0.512932,0.898225,0.046946,-0.436823,0.013216,0.045785,1.56205,0.544039,0.896027,0.163278,-0.409558,0.052338,0.074916,1.576633,0.544569,0.850861,0.228654,-0.472394,0.024437,0.124976,1.54595,0.510371,0.811557,-0.344625,-0.426302,-0.202176,0.118782,1.483296,0.523173,0.589082,-0.660955,-0.339718,-0.317354,0.09959,1.579565,0.5287,0.87699,0.057571,-0.477045,-0.001594,0.053607,1.566652,0.557282,0.850861,0.228654,-0.472394,0.024437,0.125634,1.495028,0.515712,0.589082,-0.660955,-0.339718,-0.317354,0.099432,1.558018,0.569406,0.730638,0.238467,-0.639059,-0.030093,0.137139,1.530917,0.551341,0.749639,-0.308656,-0.483238,-0.330536,0.132672,1.482972,0.543093,0.564332,-0.514172,-0.38884,-0.515712,0.120028,1.556633,0.562598,0.794706,0.075633,-0.581104,-0.158242,0.076799,1.551988,0.571297,0.730638,0.238467,-0.639059,-0.030093,0.085846,1.571594,0.558773,0.786044,0.25944,-0.560021,0.034679,0.132982,1.540416,0.530387,0.790311,-0.33558,-0.437528,-0.267142,0.13082,1.482801,0.53394,0.589082,-0.660955,-0.339718,-0.317354,0.111604,1.572307,0.546742,0.840182,0.062541,-0.53344,-0.074994,0.062903,1.561385,0.565855,0.786044,0.25944,-0.560021,0.034679,0.053806,1.541224,0.527036,0.726261,-0.457695,0.142492,0.492703,0.092387,1.484761,0.511809,0.547074,-0.655203,0.010676,0.520869,0.069045,1.510092,0.516721,0.677629,-0.594313,0.064698,0.428282,0.046794,1.56294,0.540209,0.726261,-0.457695,0.142492,0.492703,89,0.126292,1.444107,0.521053,0.589082,-0.660955,-0.339718,-0.317354,3,O,Static,Right
8,9,0.022831,1.583573,0.106046,0.98644,0.145814,0.075047,-0.006524,0.062206,1.569615,0.528991,0.895629,0.165169,-0.409399,0.05441,0.106868,1.545776,0.494148,0.845238,-0.320934,-0.40534,-0.135179,0.105169,1.485407,0.511067,0.589972,-0.659879,-0.341037,-0.316524,0.082578,1.572244,0.513038,0.898033,0.048883,-0.43694,0.015221,0.045038,1.562487,0.544109,0.895629,0.165169,-0.409399,0.05441,0.074094,1.577197,0.54468,0.850439,0.230703,-0.472056,0.026308,0.124313,1.546829,0.510467,0.812166,-0.342962,-0.427177,-0.200706,0.118368,1.484141,0.523211,0.589972,-0.659879,-0.341037,-0.316524,0.098761,1.580298,0.528833,0.876783,0.0598,-0.477153,0.000348,0.05283,1.567078,0.557362,0.850439,0.230703,-0.472056,0.026308,0.125172,1.495905,0.515755,0.589972,-0.659879,-0.341037,-0.316524,0.098718,1.558772,0.569503,0.730496,0.239737,-0.638788,-0.029194,0.136514,1.531802,0.551428,0.750199,-0.307557,-0.483698,-0.329616,0.132245,1.483849,0.543128,0.565531,-0.512958,-0.389754,-0.514918,0.11932,1.557456,0.562701,0.794831,0.076866,-0.581043,-0.157238,0.076103,1.552672,0.571383,0.730496,0.239737,-0.638788,-0.029194,0.085073,1.572289,0.558875,0.78576,0.260668,-0.559781,0.035759,0.132331,1.541306,0.530482,0.790835,-0.334365,-0.43817,-0.26606,0.130398,1.48368,0.533974,0.589972,-0.659879,-0.341037,-0.316524,0.110834,1.573107,0.546858,0.84015,0.063953,-0.533499,-0.073746,0.06216,1.562,0.565939,0.78576,0.260668,-0.559781,0.035759,0.053269,1.541877,0.527121,0.726249,-0.457092,0.141963,0.493433,0.091971,1.485516,0.511848,0.546628,-0.655171,0.009575,0.521399,0.068564,1.510785,0.516765,0.677602,-0.593912,0.063928,0.428996,0.046233,1.563561,0.540333,0.726249,-0.457092,0.141963,0.493433,99,0.126032,1.444981,0.521044,0.589972,-0.659879,-0.341037,-0.316524,3,O,Static,Right
9,10,0.022837,1.58343,0.105825,0.98632,0.146697,0.07493,-0.006205,0.061474,1.570147,0.529024,0.895253,0.166915,-0.409245,0.056387,0.106254,1.546557,0.49418,0.84559,-0.319607,-0.406161,-0.133646,0.104768,1.486173,0.511061,0.590741,-0.658923,-0.342265,-0.315754,0.081841,1.572902,0.513085,0.897847,0.050658,-0.437049,0.01713,0.044336,1.562907,0.544122,0.895253,0.166915,-0.409245,0.056387,0.073317,1.577729,0.544734,0.850039,0.232617,-0.471736,0.028089,0.123686,1.54766,0.510509,0.812731,-0.341397,-0.428012,-0.199304,0.117968,1.484944,0.523209,0.590741,-0.658923,-0.342265,-0.315754,0.097977,1.580991,0.528908,0.876578,0.061903,-0.477256,0.002204,0.052097,1.567482,0.557387,0.850039,0.232617,-0.471736,0.028089,0.12473,1.496735,0.515755,0.590741,-0.658923,-0.342265,-0.315754,0.098051,1.559507,0.569545,0.730392,0.240757,-0.638559,-0.02839,0.135921,1.532644,0.551464,0.750647,-0.306691,-0.484098,-0.328813,0.131832,1.484682,0.543121,0.56659,-0.511872,-0.390623,-0.514175,0.118659,1.558247,0.562746,0.794945,0.077828,-0.580994,-0.15637,0.075452,1.553347,0.571415,0.730392,0.240757,-0.638559,-0.02839,0.084348,1.572967,0.558919,0.78554,0.261623,-0.559583,0.036696,0.131714,1.54215,0.530523,0.791271,-0.333333,-0.438759,-0.265086,0.129991,1.484514,0.533966,0.590741,-0.658923,-0.342265,-0.315754,0.110112,1.573872,0.546914,0.840119,0.065094,-0.533559,-0.072651,0.06146,1.562613,0.565969,0.78554,0.261623,-0.559583,0.036696,0.052786,1.542523,0.527158,0.726381,-0.456449,0.1417,0.49391,0.091571,1.486236,0.51185,0.546241,-0.655216,0.008748,0.521763,0.068113,1.51146,0.516764,0.677675,-0.59352,0.06345,0.429495,0.045745,1.564184,0.540406,0.726381,-0.456449,0.1417,0.49391,111,0.125774,1.44581,0.521001,0.590741,-0.658923,-0.342265,-0.315754,3,O,Static,Right
