,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.009769,1.726974,-0.132321,0.983115,0.177298,-0.017154,0.041901,-0.036901,1.515643,0.320945,-0.812763,-0.067214,0.575302,0.062666,0.02564,1.523496,0.30454,-0.790867,-0.068751,0.607983,0.012615,0.083294,1.509391,0.28893,-0.821083,-0.005714,0.561683,0.101505,-0.012625,1.519786,0.31452,-0.791251,-0.111829,0.601064,0.011777,-0.058871,1.515772,0.329132,-0.812763,-0.067214,0.575302,0.062666,0.018501,1.470417,0.321841,-0.001466,-0.88566,0.043549,-0.462286,0.034743,1.524397,0.326077,-0.760678,-0.384512,0.506658,-0.129682,0.091949,1.510181,0.304232,-0.821083,-0.005714,0.561683,0.101505,0.004575,1.492192,0.334658,-0.318432,-0.797328,0.293938,-0.420082,0.039996,1.468085,0.307091,-0.001466,-0.88566,0.043549,-0.462286,0.081524,1.520304,0.308595,-0.821083,-0.005714,0.561683,0.101505,0.070364,1.471223,0.329283,0.380943,-0.799884,-0.010115,-0.463645,0.06346,1.504351,0.35326,-0.52845,-0.631885,0.528962,-0.20411,0.102161,1.506115,0.325249,-0.852551,-0.151101,0.429175,0.257167,0.053773,1.475919,0.341738,-0.015977,-0.864696,0.212266,-0.45496,0.087539,1.484612,0.321901,0.380943,-0.799884,-0.010115,-0.463645,0.053985,1.474214,0.321166,0.424282,-0.782457,-0.110553,-0.442182,0.047801,1.516068,0.341389,-0.644645,-0.564313,0.474625,-0.20178,0.099132,1.511134,0.318237,-0.821083,-0.005714,0.561683,0.101505,0.032111,1.478534,0.337819,-0.007727,-0.879895,0.158054,-0.448044,0.070304,1.492528,0.314084,0.424282,-0.782457,-0.110553,-0.442182,0.029475,1.458798,0.298616,-0.398815,0.090202,0.361325,-0.838007,0.079349,1.499657,0.281375,-0.318403,0.283463,0.656998,-0.62179,0.053101,1.477985,0.280558,-0.461784,0.159625,0.468391,-0.736129,0.017044,1.445118,0.316592,-0.398815,0.090202,0.361325,-0.838007,11,0.128305,1.516211,0.291114,-0.821083,-0.005714,0.561683,0.101505,30,P,Static,Right
1,2,0.009886,1.727017,-0.132087,0.983172,0.176971,-0.017002,0.04201,-0.036803,1.516262,0.320736,-0.812755,-0.063795,0.57585,0.061293,0.025759,1.523959,0.30433,-0.790811,-0.066068,0.608392,0.010586,0.083416,1.509705,0.288867,-0.820815,-0.002732,0.562388,0.099878,-0.012516,1.520321,0.314299,-0.791428,-0.108523,0.601465,0.010225,-0.058778,1.516489,0.328908,-0.812755,-0.063795,0.57585,0.061293,0.018226,1.470835,0.32213,-0.01314,-0.885631,0.047882,-0.461727,0.034844,1.525001,0.325868,-0.762168,-0.380815,0.506922,-0.130809,0.092058,1.510594,0.30417,-0.820815,-0.002732,0.562388,0.099878,0.004585,1.492944,0.33468,-0.326408,-0.793734,0.295789,-0.419468,0.039643,1.467862,0.307382,-0.01314,-0.885631,0.047882,-0.461727,0.081637,1.520754,0.308456,-0.820815,-0.002732,0.562388,0.099878,0.070347,1.471817,0.329525,0.378269,-0.800538,-0.011802,-0.464664,0.063522,1.505121,0.353213,-0.531156,-0.628627,0.529546,-0.205627,0.102249,1.506664,0.325225,-0.852782,-0.148127,0.430483,0.255942,0.053741,1.476631,0.341915,-0.019267,-0.864037,0.211407,-0.456482,0.087547,1.48515,0.322099,0.378269,-0.800538,-0.011802,-0.464664,0.054033,1.47478,0.321347,0.421283,-0.783612,-0.112063,-0.442623,0.047882,1.516768,0.341249,-0.646557,-0.561407,0.474781,-0.203396,0.09923,1.511637,0.318176,-0.820815,-0.002732,0.562388,0.099878,0.032136,1.479234,0.337933,-0.010832,-0.879429,0.156907,-0.449296,0.070381,1.493029,0.314164,0.421283,-0.783612,-0.112063,-0.442623,0.029564,1.459164,0.298804,-0.398355,0.091854,0.35831,-0.83934,0.07947,1.499923,0.281375,-0.317012,0.284794,0.655065,-0.623927,0.053229,1.478239,0.280679,-0.460826,0.161816,0.466624,-0.737372,0.017126,1.445617,0.316875,-0.398355,0.091854,0.35831,-0.83934,22,0.12843,1.516506,0.291044,-0.820815,-0.002732,0.562388,0.099878,30,P,Static,Right
2,3,0.010027,1.727079,-0.131817,0.983286,0.176269,-0.016902,0.042333,-0.0369,1.515732,0.32104,-0.812801,-0.064636,0.576099,0.057339,0.025621,1.523798,0.304661,-0.790706,-0.066657,0.608516,0.006942,0.083303,1.509572,0.289266,-0.820968,-0.001391,0.562529,0.097829,-0.012637,1.519947,0.314612,-0.791352,-0.109429,0.601455,0.006314,-0.058884,1.515824,0.32919,-0.812801,-0.064636,0.576099,0.057339,0.017724,1.470532,0.322901,-0.025665,-0.885753,0.053215,-0.460381,0.034708,1.524955,0.326193,-0.763441,-0.37827,0.506625,-0.131914,0.091947,1.51055,0.304564,-0.820968,-0.001391,0.562529,0.097829,0.00442,1.492982,0.335205,-0.334755,-0.790245,0.297915,-0.41797,0.039019,1.466857,0.308134,-0.025665,-0.885753,0.053215,-0.460381,0.081506,1.520716,0.308791,-0.820968,-0.001391,0.562529,0.097829,0.070287,1.471848,0.330152,0.377372,-0.80041,-0.014373,-0.465541,0.063429,1.505253,0.353622,-0.532597,-0.626604,0.529746,-0.207552,0.102148,1.506742,0.325619,-0.853399,-0.146573,0.430838,0.254176,0.053643,1.476706,0.342474,-0.020859,-0.86347,0.209906,-0.458175,0.087478,1.485198,0.322737,0.377372,-0.80041,-0.014373,-0.465541,0.053968,1.474727,0.321925,0.419718,-0.784301,-0.113903,-0.442419,0.047765,1.516816,0.341608,-0.647711,-0.559889,0.474257,-0.205123,0.099118,1.511678,0.318548,-0.820968,-0.001391,0.562529,0.097829,0.032056,1.479251,0.338472,-0.012892,-0.879293,0.155404,-0.450032,0.070295,1.492968,0.314672,0.419718,-0.784301,-0.113903,-0.442419,0.029611,1.45894,0.29956,-0.397125,0.091857,0.355575,-0.841083,0.079374,1.499737,0.281834,-0.315666,0.28445,0.653545,-0.626357,0.053193,1.477976,0.281287,-0.459603,0.161958,0.46432,-0.739555,0.017242,1.445466,0.317734,-0.397125,0.091857,0.355575,-0.841083,33,0.128303,1.516478,0.291389,-0.820968,-0.001391,0.562529,0.097829,30,P,Static,Right
3,4,0.01021,1.727126,-0.131477,0.983395,0.175507,-0.016992,0.042931,-0.037594,1.514921,0.321958,-0.813495,-0.066043,0.575057,0.056345,0.024866,1.523188,0.305444,-0.791379,-0.067953,0.607506,0.006151,0.082517,1.509022,0.289882,-0.821819,-0.001762,0.561327,0.097582,-0.013358,1.519212,0.315478,-0.791997,-0.110691,0.60038,0.005586,-0.059561,1.514927,0.330156,-0.813495,-0.066043,0.575057,0.056345,0.01656,1.469693,0.323901,-0.037178,-0.88639,0.060687,-0.457436,0.034013,1.524341,0.32695,-0.764602,-0.377462,0.505781,-0.130736,0.091204,1.510003,0.305156,-0.821819,-0.001762,0.561327,0.097582,0.00368,1.492447,0.336094,-0.342194,-0.787764,0.301249,-0.414222,0.03766,1.465315,0.309046,-0.037178,-0.88639,0.060687,-0.457436,0.080765,1.520159,0.309412,-0.821819,-0.001762,0.561327,0.097582,0.069627,1.471245,0.330836,0.377568,-0.800382,-0.014323,-0.465431,0.062832,1.504652,0.354286,-0.533205,-0.626122,0.529906,-0.207035,0.101468,1.506195,0.326174,-0.854098,-0.146665,0.429474,0.254084,0.052992,1.476112,0.343166,-0.021077,-0.863533,0.210098,-0.457958,0.086814,1.484601,0.323422,0.377568,-0.800382,-0.014323,-0.465431,0.05336,1.474215,0.322623,0.422075,-0.783358,-0.115154,-0.441524,0.047122,1.516206,0.342323,-0.647814,-0.560386,0.473616,-0.204921,0.098413,1.511132,0.319114,-0.821819,-0.001762,0.561327,0.097582,0.031441,1.478629,0.339191,-0.011242,-0.879694,0.154378,-0.449645,0.069595,1.49256,0.315427,0.422075,-0.783358,-0.115154,-0.441524,0.028911,1.458358,0.300366,-0.397469,0.090167,0.354768,-0.841445,0.078578,1.499184,0.282461,-0.316568,0.283206,0.653167,-0.626859,0.052408,1.477407,0.281996,-0.460195,0.16041,0.463392,-0.740107,0.016622,1.444878,0.318589,-0.397469,0.090167,0.354768,-0.841445,44,0.127517,1.515977,0.291874,-0.821819,-0.001762,0.561327,0.097582,30,P,Static,Right
4,5,0.010409,1.727134,-0.131136,0.983463,0.175039,-0.01703,0.043262,-0.038249,1.514169,0.322813,-0.814132,-0.067327,0.574103,0.055343,0.024152,1.522623,0.306175,-0.791996,-0.069123,0.606577,0.005343,0.081776,1.508512,0.29046,-0.822606,-0.002039,0.56022,0.097309,-0.014039,1.518531,0.316286,-0.792595,-0.111807,0.59939,0.004853,-0.060199,1.514095,0.331056,-0.814132,-0.067327,0.574103,0.055343,0.015428,1.468911,0.324864,-0.04882,-0.886797,0.068103,-0.4545,0.033355,1.523777,0.327657,-0.765755,-0.376535,0.505014,-0.129619,0.090502,1.509497,0.305712,-0.822606,-0.002039,0.56022,0.097309,0.002974,1.491968,0.336934,-0.349673,-0.785125,0.30456,-0.41055,0.036319,1.46383,0.309938,-0.04882,-0.886797,0.068103,-0.4545,0.080064,1.519644,0.309994,-0.822606,-0.002039,0.56022,0.097309,0.068999,1.470689,0.331487,0.37763,-0.800364,-0.014302,-0.465413,0.062264,1.504105,0.354909,-0.533839,-0.625539,0.530123,-0.206607,0.100825,1.505693,0.326695,-0.854756,-0.146679,0.42823,0.253963,0.052371,1.475571,0.343821,-0.021394,-0.863542,0.210287,-0.457841,0.086185,1.484048,0.324075,0.37763,-0.800364,-0.014302,-0.465413,0.052792,1.473758,0.323284,0.424488,-0.782305,-0.116582,-0.440701,0.046512,1.515649,0.342992,-0.647908,-0.560798,0.473042,-0.204823,0.097747,1.51063,0.319645,-0.822606,-0.002039,0.56022,0.097309,0.030861,1.478058,0.339867,-0.009534,-0.880035,0.153259,-0.449399,0.068931,1.492212,0.316153,0.424488,-0.782305,-0.116582,-0.440701,0.028246,1.457824,0.301128,-0.397828,0.08864,0.353937,-0.841787,0.077826,1.498668,0.283052,-0.317419,0.282113,0.652751,-0.627355,0.051664,1.47688,0.282666,-0.460774,0.159027,0.462453,-0.740632,0.016029,1.444344,0.3194,-0.397828,0.08864,0.353937,-0.841787,55,0.126774,1.515511,0.29233,-0.822606,-0.002039,0.56022,0.097309,30,P,Static,Right
5,6,0.010905,1.727058,-0.130624,0.983417,0.175321,-0.016873,0.043232,-0.037958,1.514005,0.322859,-0.814216,-0.066383,0.574333,0.052795,0.024427,1.522567,0.306213,-0.792006,-0.068227,0.606683,0.002779,0.082066,1.508426,0.290585,-0.822629,-0.000264,0.560501,0.095505,-0.013757,1.518408,0.316324,-0.792707,-0.110871,0.599431,0.002315,-0.059912,1.513901,0.331091,-0.814216,-0.066383,0.574333,0.052795,0.015472,1.468835,0.325293,-0.057591,-0.886396,0.070962,-0.453817,0.033627,1.523837,0.32769,-0.766882,-0.374048,0.504837,-0.130843,0.090791,1.509499,0.305832,-0.822629,-0.000264,0.560501,0.095505,0.003219,1.492108,0.337151,-0.355409,-0.782449,0.305402,-0.410107,0.036266,1.463286,0.310399,-0.057591,-0.886396,0.070962,-0.453817,0.080342,1.519662,0.310052,-0.822629,-0.000264,0.560501,0.095505,0.069299,1.47079,0.33183,0.375325,-0.801041,-0.015803,-0.466063,0.062553,1.50433,0.355043,-0.535399,-0.623597,0.530148,-0.20837,0.101115,1.505815,0.326825,-0.855223,-0.144767,0.428832,0.252466,0.05265,1.47574,0.344109,-0.023582,-0.863084,0.209084,-0.459144,0.0865,1.484102,0.324371,0.375325,-0.801041,-0.015803,-0.466063,0.053121,1.473815,0.323579,0.422595,-0.783157,-0.118202,-0.440577,0.04679,1.515798,0.343067,-0.64905,-0.559238,0.472575,-0.206541,0.098032,1.510713,0.31975,-0.822629,-0.000264,0.560501,0.095505,0.031172,1.47818,0.340121,-0.011501,-0.879872,0.151738,-0.450187,0.069253,1.492245,0.316367,0.422595,-0.783157,-0.118202,-0.440577,0.028638,1.457677,0.301549,-0.396733,0.089166,0.351357,-0.843327,0.078128,1.498534,0.283236,-0.316006,0.282148,0.651197,-0.629663,0.052017,1.476683,0.282986,-0.459513,0.159811,0.460641,-0.742374,0.016463,1.44428,0.319911,-0.396733,0.089166,0.351357,-0.843327,66,0.127057,1.515487,0.292414,-0.822629,-0.000264,0.560501,0.095505,30,P,Static,Right
6,7,0.011158,1.727126,-0.130298,0.983405,0.175421,-0.016817,0.043112,-0.038345,1.514058,0.324318,-0.815873,-0.064989,0.572539,0.04824,0.023915,1.522856,0.307328,-0.793598,-0.067075,0.604731,-0.001806,0.08152,1.508739,0.291555,-0.824115,0.002597,0.558901,0.091963,-0.014198,1.51854,0.317639,-0.794486,-0.109387,0.597346,-0.001918,-0.060262,1.51388,0.332646,-0.815873,-0.064989,0.572539,0.04824,0.014958,1.469137,0.327007,-0.06747,-0.88698,0.071943,-0.451152,0.033215,1.524333,0.328748,-0.769595,-0.371389,0.502117,-0.132941,0.090316,1.50997,0.306751,-0.824115,0.002597,0.558901,0.091963,0.002911,1.492633,0.338634,-0.362635,-0.78051,0.303805,-0.40866,0.035592,1.463122,0.312071,-0.06747,-0.88698,0.071943,-0.451152,0.079856,1.520145,0.31092,-0.824115,0.002597,0.558901,0.091963,0.068987,1.471427,0.333223,0.37238,-0.803435,-0.017965,-0.464223,0.062329,1.505139,0.356123,-0.539669,-0.621307,0.528047,-0.209525,0.10075,1.506499,0.327707,-0.857223,-0.141196,0.427603,0.249776,0.052369,1.476446,0.345516,-0.027106,-0.863981,0.206159,-0.458585,0.086135,1.48471,0.32559,0.37238,-0.803435,-0.017965,-0.464223,0.052843,1.47433,0.324968,0.42017,-0.785702,-0.120267,-0.437796,0.046476,1.516461,0.344128,-0.652116,-0.557611,0.469515,-0.208257,0.097619,1.511329,0.320606,-0.824115,0.002597,0.558901,0.091963,0.030953,1.478775,0.341566,-0.014938,-0.880991,0.148588,-0.448947,0.068891,1.492744,0.317531,0.42017,-0.785702,-0.120267,-0.437796,0.028314,1.457888,0.303262,-0.395681,0.088458,0.347097,-0.845657,0.077576,1.498762,0.284325,-0.315345,0.280623,0.647804,-0.63416,0.051547,1.476813,0.284434,-0.458582,0.15937,0.456716,-0.745463,0.016263,1.444607,0.321787,-0.395681,0.088458,0.347097,-0.845657,78,0.126497,1.515957,0.293091,-0.824115,0.002597,0.558901,0.091963,30,P,Static,Right
7,8,0.011402,1.727227,-0.129905,0.983386,0.175636,-0.016491,0.042792,-0.038728,1.514079,0.325719,-0.817439,-0.063891,0.570787,0.043755,0.023407,1.523126,0.3084,-0.795093,-0.066212,0.60283,-0.006315,0.080979,1.509029,0.29249,-0.825512,0.005309,0.557359,0.088612,-0.014635,1.518641,0.318902,-0.79617,-0.10808,0.595311,-0.006001,-0.060608,1.513819,0.334141,-0.817439,-0.063891,0.570787,0.043755,0.014469,1.469422,0.328639,-0.076688,-0.887433,0.072745,-0.448655,0.032801,1.524798,0.329765,-0.772086,-0.369005,0.499491,-0.135008,0.089842,1.510409,0.307636,-0.825512,0.005309,0.557359,0.088612,0.002607,1.493119,0.340045,-0.369333,-0.77868,0.3022,-0.40734,0.034949,1.462973,0.313673,-0.076688,-0.887433,0.072745,-0.448655,0.079371,1.520596,0.311754,-0.825512,0.005309,0.557359,0.088612,0.068646,1.472038,0.334562,0.369681,-0.805679,-0.020007,-0.462403,0.062094,1.505901,0.357155,-0.543963,-0.618909,0.526112,-0.210386,0.100379,1.507141,0.328552,-0.859103,-0.137806,0.426414,0.24723,0.052058,1.477117,0.346871,-0.030358,-0.864855,0.203366,-0.457981,0.085741,1.485294,0.326766,0.369681,-0.805679,-0.020007,-0.462403,0.052556,1.474815,0.326292,0.417902,-0.788111,-0.122203,-0.435093,0.046154,1.517085,0.345145,-0.65502,-0.556095,0.466554,-0.209845,0.097203,1.511905,0.321428,-0.825512,0.005309,0.557359,0.088612,0.030725,1.479338,0.342947,-0.018212,-0.882063,0.145609,-0.447696,0.068522,1.493213,0.318643,0.417902,-0.788111,-0.122203,-0.435093,0.027973,1.458098,0.304905,-0.394744,0.087994,0.343331,-0.847678,0.07703,1.498971,0.285375,-0.314823,0.279202,0.644454,-0.638445,0.051075,1.476938,0.285833,-0.457779,0.159054,0.453037,-0.748263,0.016023,1.444923,0.323572,-0.394744,0.087994,0.343331,-0.847678,89,0.125941,1.516393,0.293743,-0.825512,0.005309,0.557359,0.088612,30,P,Static,Right
8,9,0.011598,1.727286,-0.129412,0.983443,0.17551,-0.015953,0.042209,-0.039103,1.514043,0.327071,-0.818922,-0.063257,0.569064,0.039144,0.022902,1.523381,0.309436,-0.796487,-0.065809,0.600965,-0.010938,0.080441,1.509297,0.2934,-0.826836,0.007899,0.555863,0.085418,-0.015065,1.518695,0.320121,-0.797764,-0.107058,0.593304,-0.010082,-0.060947,1.513679,0.335581,-0.818922,-0.063257,0.569064,0.039144,0.013971,1.469673,0.330215,-0.086194,-0.887712,0.073928,-0.446176,0.032386,1.525239,0.330746,-0.77439,-0.366841,0.496955,-0.137053,0.089369,1.510821,0.308495,-0.826836,0.007899,0.555863,0.085418,0.002306,1.493574,0.341397,-0.376066,-0.776705,0.300843,-0.405953,0.034291,1.462769,0.315233,-0.086194,-0.887712,0.073928,-0.446176,0.078886,1.521021,0.31256,-0.826836,0.007899,0.555863,0.085418,0.068264,1.472631,0.335868,0.367191,-0.807764,-0.021949,-0.460659,0.06185,1.506625,0.358148,-0.54844,-0.61619,0.524449,-0.210894,0.100005,1.507748,0.329366,-0.860883,-0.134566,0.425257,0.244803,0.051704,1.477765,0.348192,-0.033364,-0.865677,0.200708,-0.457392,0.085307,1.485863,0.327919,0.367191,-0.807764,-0.021949,-0.460659,0.052264,1.475276,0.327563,0.415769,-0.790398,-0.124043,-0.432458,0.045827,1.517677,0.346124,-0.657782,-0.554672,0.463679,-0.211337,0.096784,1.51245,0.32222,-0.826836,0.007899,0.555863,0.085418,0.030491,1.479873,0.344274,-0.021362,-0.883091,0.142775,-0.446441,0.068148,1.493658,0.319711,0.415769,-0.790398,-0.124043,-0.432458,0.027615,1.458304,0.306504,-0.393891,0.087834,0.340087,-0.849398,0.076489,1.49916,0.2864,-0.314434,0.277842,0.641055,-0.642638,0.050604,1.477055,0.287208,-0.457078,0.158897,0.449585,-0.750803,0.015745,1.445227,0.325289,-0.393891,0.087834,0.340087,-0.849398,100,0.125387,1.516803,0.294374,-0.826836,0.007899,0.555863,0.085418,30,P,Static,Right
9,10,0.011831,1.727429,-0.128901,0.98356,0.175068,-0.015401,0.041527,-0.037792,1.51337,0.325983,-0.817546,-0.067496,0.570562,0.039011,0.024251,1.52304,0.308671,-0.795006,-0.069235,0.602548,-0.01041,0.081885,1.509203,0.292761,-0.825936,0.004459,0.557134,0.086097,-0.013744,1.51817,0.319168,-0.796103,-0.110958,0.594818,-0.010026,-0.059671,1.512844,0.334394,-0.817546,-0.067496,0.570562,0.039011,0.015165,1.46909,0.329179,-0.088732,-0.886708,0.078202,-0.446945,0.033652,1.52479,0.330026,-0.772255,-0.369124,0.498605,-0.136975,0.090753,1.510657,0.307899,-0.825936,0.004459,0.557134,0.086097,0.003578,1.49302,0.340379,-0.375731,-0.775841,0.303598,-0.405864,0.035455,1.461971,0.314256,-0.088732,-0.886708,0.078202,-0.446945,0.08023,1.520804,0.311987,-0.825936,0.004459,0.557134,0.086097,0.0696,1.472276,0.335007,0.370913,-0.805144,-0.022823,-0.462218,0.063062,1.506082,0.357421,-0.545814,-0.617182,0.526046,-0.21083,0.10132,1.507481,0.328788,-0.859986,-0.138237,0.425914,0.244768,0.05296,1.477271,0.347279,-0.029124,-0.864925,0.200929,-0.459003,0.086635,1.48563,0.327245,0.370913,-0.805144,-0.022823,-0.462218,0.053763,1.475033,0.326608,0.420974,-0.786513,-0.126394,-0.433824,0.047056,1.517167,0.345407,-0.654425,-0.557151,0.465026,-0.212278,0.098113,1.512219,0.32166,-0.825936,0.004459,0.557134,0.086097,0.03186,1.479324,0.343229,-0.015347,-0.882355,0.141747,-0.448467,0.069546,1.493618,0.319034,0.420974,-0.786513,-0.126394,-0.433824,0.029127,1.457979,0.305317,-0.392452,0.087743,0.343455,-0.848718,0.077985,1.499099,0.285684,-0.313223,0.277175,0.644002,-0.640568,0.052158,1.47692,0.286259,-0.455636,0.15852,0.453446,-0.749436,0.017222,1.444759,0.32398,-0.392452,0.087743,0.343455,-0.848718,111,0.126808,1.516819,0.293948,-0.825936,0.004459,0.557134,0.086097,30,P,Static,Right
