,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.01219,1.668739,0.061351,0.975756,0.218801,0.002037,-0.004807,0.041145,1.57362,0.391306,0.830329,0.100997,-0.533083,0.127189,0.100196,1.563847,0.371194,0.797437,-0.195435,-0.570138,-0.029037,0.130945,1.510707,0.371981,0.712822,-0.402514,-0.519208,-0.245542,0.06453,1.577542,0.382057,0.820113,0.028331,-0.563464,0.095498,0.020796,1.567565,0.401254,0.830329,0.100997,-0.533083,0.127189,0.071542,1.549007,0.406636,0.16329,0.863827,-0.078126,0.470144,0.11201,1.567872,0.390985,0.827663,-0.087067,-0.549968,-0.070204,0.140924,1.512134,0.386356,0.712822,-0.402514,-0.519208,-0.245542,0.071634,1.577823,0.408064,0.575358,0.603301,-0.400971,0.379756,0.091943,1.538604,0.393963,0.16329,0.863827,-0.078126,0.470144,0.140512,1.527164,0.384557,0.712822,-0.402514,-0.519208,-0.245542,0.091743,1.534313,0.430774,0.030312,0.832438,-0.321801,0.450081,0.126235,1.548597,0.428289,0.798577,0.033474,-0.575021,-0.174658,0.150273,1.512188,0.408744,0.719443,-0.234642,-0.490407,-0.432257,0.096313,1.55334,0.439114,0.501612,0.657218,-0.513917,0.22878,0.107681,1.525628,0.416656,0.030312,0.832438,-0.321801,0.450081,0.081227,1.540277,0.419485,0.053258,0.85093,-0.173887,0.492793,0.119593,1.560884,0.410169,0.827484,-0.023708,-0.550882,-0.106001,0.149759,1.514208,0.399844,0.712822,-0.402514,-0.519208,-0.245542,0.082567,1.567256,0.426175,0.522439,0.646088,-0.450307,0.326884,0.101657,1.531963,0.406623,0.053258,0.85093,-0.173887,0.492793,0.051948,1.51208,0.375399,0.371335,-0.609523,-0.403083,0.572814,0.120403,1.504,0.368608,0.43096,-0.559792,-0.352827,0.61353,0.086661,1.505688,0.37284,0.502,-0.572166,-0.369413,0.533063,0.02634,1.512059,0.372385,0.371335,-0.609523,-0.403083,0.572814,11,0.169014,1.486456,0.378128,0.712822,-0.402514,-0.519208,-0.245542,32,G,Static,Right
1,2,0.012176,1.669034,0.06108,0.97589,0.218206,0.001128,-0.004939,0.040632,1.573686,0.390471,0.831002,0.098883,-0.531957,0.129148,0.099661,1.56386,0.370319,0.797343,-0.197498,-0.569671,-0.026697,0.130441,1.510743,0.371367,0.712206,-0.404649,-0.51938,-0.243447,0.063997,1.577577,0.38116,0.820609,0.026249,-0.56248,0.097611,0.020305,1.56767,0.400489,0.831002,0.098883,-0.531957,0.129148,0.071119,1.549172,0.405881,0.164898,0.863922,-0.075639,0.469816,0.11151,1.568007,0.390065,0.827941,-0.089048,-0.549511,-0.067985,0.140449,1.512261,0.385715,0.712206,-0.404649,-0.51938,-0.243447,0.071149,1.577994,0.407157,0.576853,0.602558,-0.398802,0.380949,0.091527,1.53876,0.393225,0.164898,0.863922,-0.075639,0.469816,0.140024,1.527279,0.383819,0.712206,-0.404649,-0.51938,-0.243447,0.091337,1.534664,0.430085,0.032824,0.832902,-0.320265,0.450141,0.125815,1.548957,0.427453,0.799295,0.031283,-0.5747,-0.172827,0.149839,1.51245,0.408075,0.719344,-0.236978,-0.491063,-0.430398,0.095911,1.553739,0.438311,0.503865,0.656223,-0.512563,0.229719,0.107252,1.52591,0.415984,0.032824,0.832902,-0.320265,0.450141,0.080802,1.540558,0.418777,0.055679,0.851266,-0.172048,0.492591,0.119132,1.561135,0.409275,0.82793,-0.026069,-0.550472,-0.104086,0.149308,1.514417,0.399165,0.712206,-0.404649,-0.51938,-0.243447,0.08213,1.567577,0.425308,0.524569,0.64503,-0.448635,0.327858,0.101216,1.532187,0.405929,0.055679,0.851266,-0.172048,0.492591,0.051451,1.512079,0.374981,0.369722,-0.609816,-0.401246,0.574832,0.119895,1.50401,0.368062,0.42958,-0.560099,-0.350639,0.615469,0.086163,1.505699,0.372375,0.500556,-0.572854,-0.367453,0.535034,0.025837,1.512019,0.372023,0.369722,-0.609816,-0.401246,0.574832,22,0.168539,1.486552,0.377574,0.712206,-0.404649,-0.51938,-0.243447,32,G,Static,Right
2,3,0.012116,1.66928,0.060943,0.975981,0.217799,0.000315,-0.004918,0.040146,1.573714,0.389699,0.831606,0.097002,-0.530898,0.131031,0.099158,1.563863,0.369507,0.797278,-0.199248,-0.569257,-0.024409,0.129963,1.510766,0.370802,0.711614,-0.406635,-0.519531,-0.241541,0.063492,1.577586,0.38033,0.821052,0.024462,-0.561553,0.099673,0.019842,1.567729,0.399782,0.831606,0.097002,-0.530898,0.131031,0.070727,1.549312,0.405175,0.166229,0.864016,-0.073219,0.469557,0.111039,1.568121,0.389211,0.828178,-0.090855,-0.54911,-0.065911,0.139997,1.512368,0.385123,0.711614,-0.406635,-0.519531,-0.241541,0.07069,1.57814,0.406313,0.578137,0.601937,-0.396747,0.382127,0.091145,1.538902,0.392534,0.166229,0.864016,-0.073219,0.469557,0.139563,1.527375,0.383136,0.711614,-0.406635,-0.519531,-0.241541,0.090955,1.534973,0.42944,0.035053,0.833328,-0.318796,0.450228,0.125416,1.549279,0.426677,0.799934,0.029339,-0.574431,-0.171098,0.149425,1.51268,0.407454,0.719223,-0.239149,-0.491669,-0.428706,0.095527,1.554093,0.437561,0.505857,0.655358,-0.511289,0.230648,0.106851,1.526159,0.415355,0.035053,0.833328,-0.318796,0.450228,0.080397,1.540814,0.418118,0.057957,0.851547,-0.170373,0.492425,0.118697,1.561356,0.408444,0.828313,-0.028297,-0.550112,-0.102338,0.148878,1.5146,0.398534,0.711614,-0.406635,-0.519531,-0.241541,0.081716,1.567868,0.4245,0.526547,0.644009,-0.447116,0.328767,0.100797,1.532386,0.405284,0.057957,0.851547,-0.170373,0.492425,0.050979,1.512054,0.374631,0.368159,-0.609962,-0.399595,0.576827,0.119411,1.50401,0.367565,0.428309,-0.560189,-0.348567,0.617447,0.08569,1.505693,0.37197,0.499205,-0.573343,-0.365612,0.537029,0.025359,1.511948,0.371731,0.368159,-0.609962,-0.399595,0.576827,33,0.168087,1.486628,0.377061,0.711614,-0.406635,-0.519531,-0.241541,32,G,Static,Right
3,4,0.012143,1.66947,0.060776,0.976107,0.217237,-0.000433,-0.004738,0.039881,1.574029,0.389077,0.83156,0.096412,-0.530994,0.13137,0.098899,1.564118,0.368927,0.796993,-0.199949,-0.569417,-0.024209,0.129693,1.511018,0.370324,0.711145,-0.407157,-0.519869,-0.241312,0.063233,1.577872,0.379714,0.820962,0.023642,-0.561685,0.099863,0.019572,1.568059,0.399159,0.83156,0.096412,-0.530994,0.13137,0.070446,1.549625,0.404603,0.166852,0.863775,-0.072952,0.469821,0.110769,1.568405,0.388631,0.827964,-0.091498,-0.549365,-0.065587,0.13972,1.512641,0.384648,0.711145,-0.407157,-0.519869,-0.241312,0.070413,1.578455,0.405698,0.578526,0.601365,-0.396663,0.382526,0.090869,1.539195,0.391988,0.166852,0.863775,-0.072952,0.469821,0.13929,1.527644,0.382633,0.711145,-0.407157,-0.519869,-0.241312,0.090655,1.535305,0.428896,0.035827,0.833153,-0.318603,0.450627,0.125124,1.549618,0.426133,0.799774,0.028929,-0.574831,-0.17057,0.149137,1.512985,0.406979,0.718874,-0.239625,-0.492166,-0.428454,0.095226,1.554438,0.43699,0.506259,0.654865,-0.511278,0.231189,0.106552,1.52646,0.414832,0.035827,0.833153,-0.318603,0.450627,0.080104,1.541135,0.417564,0.058701,0.851357,-0.170154,0.492741,0.118416,1.561667,0.407879,0.828144,-0.028829,-0.550416,-0.101924,0.148595,1.514891,0.398056,0.711145,-0.407157,-0.519869,-0.241312,0.081426,1.568199,0.423905,0.526978,0.643468,-0.447066,0.329204,0.100506,1.532679,0.404753,0.058701,0.851357,-0.170154,0.492741,0.050709,1.512338,0.374116,0.367672,-0.610484,-0.399121,0.576913,0.11914,1.504259,0.367096,0.427947,-0.560682,-0.348027,0.617555,0.085419,1.505962,0.371489,0.498698,-0.573986,-0.365266,0.537049,0.02509,1.512237,0.371202,0.367672,-0.610484,-0.399121,0.576913,44,0.16781,1.486884,0.376636,0.711145,-0.407157,-0.519869,-0.241312,32,G,Static,Right
4,5,0.01217,1.669814,0.06069,0.976182,0.216902,-0.001337,-0.004579,0.040138,1.574437,0.388976,0.831735,0.095814,-0.530913,0.131029,0.099141,1.564436,0.368819,0.796979,-0.200562,-0.569211,-0.024466,0.129849,1.511288,0.370253,0.710896,-0.40783,-0.519532,-0.241638,0.063494,1.57824,0.379605,0.821099,0.022934,-0.56158,0.09949,0.019824,1.568499,0.399066,0.831735,0.095814,-0.530913,0.131029,0.070695,1.549987,0.404501,0.167034,0.863786,-0.073003,0.469729,0.111023,1.568717,0.388517,0.827951,-0.092017,-0.549268,-0.06583,0.139886,1.512907,0.384572,0.710896,-0.40783,-0.519532,-0.241638,0.07068,1.578818,0.405585,0.578797,0.601155,-0.39672,0.382387,0.091113,1.539548,0.391886,0.167034,0.863786,-0.073003,0.469729,0.139478,1.527908,0.382538,0.710896,-0.40783,-0.519532,-0.241638,0.090872,1.535675,0.428807,0.036523,0.83295,-0.319084,0.450607,0.125359,1.549932,0.426027,0.799718,0.028185,-0.574825,-0.170979,0.14931,1.51325,0.406891,0.71853,-0.240305,-0.49202,-0.428819,0.095471,1.554806,0.436887,0.506682,0.654356,-0.511621,0.230946,0.106751,1.526794,0.414745,0.036523,0.83295,-0.319084,0.450607,0.080335,1.541494,0.417468,0.059124,0.851287,-0.170377,0.492734,0.118665,1.561981,0.407767,0.828113,-0.029362,-0.550387,-0.102183,0.148768,1.515151,0.397966,0.710896,-0.40783,-0.519532,-0.241638,0.081683,1.56856,0.423793,0.527325,0.643131,-0.447251,0.329057,0.10073,1.533015,0.404659,0.059124,0.851287,-0.170377,0.492734,0.050871,1.512723,0.374143,0.367975,-0.610622,-0.398355,0.577104,0.119282,1.504543,0.367044,0.4284,-0.560693,-0.347135,0.617734,0.085569,1.506297,0.371478,0.499083,-0.5741,-0.364367,0.53718,0.025249,1.512652,0.371251,0.367975,-0.610622,-0.398355,0.577104,55,0.167934,1.487099,0.376559,0.710896,-0.40783,-0.519532,-0.241638,32,G,Static,Right
5,6,0.012213,1.669984,0.060545,0.976322,0.216266,-0.002358,-0.004358,0.040374,1.574814,0.388875,0.831891,0.095236,-0.530844,0.130733,0.099364,1.564732,0.368713,0.79696,-0.201114,-0.569034,-0.024661,0.129989,1.511538,0.370187,0.710645,-0.408483,-0.519212,-0.241959,0.063733,1.578579,0.379497,0.821219,0.022272,-0.561487,0.099174,0.020055,1.568905,0.398973,0.831891,0.095236,-0.530844,0.130733,0.070928,1.550322,0.404399,0.16714,0.863795,-0.072978,0.469677,0.111258,1.569008,0.388405,0.827927,-0.092496,-0.549201,-0.066026,0.140034,1.513152,0.384501,0.710645,-0.408483,-0.519212,-0.241959,0.070925,1.579153,0.405471,0.579011,0.60098,-0.396746,0.382312,0.091344,1.539879,0.391783,0.16714,0.863795,-0.072978,0.469677,0.13965,1.528152,0.382445,0.710645,-0.408483,-0.519212,-0.241959,0.091071,1.536023,0.428718,0.037169,0.832741,-0.319522,0.450629,0.125575,1.550226,0.425924,0.79965,0.02742,-0.574835,-0.171383,0.149465,1.513494,0.406805,0.718187,-0.240963,-0.491887,-0.429175,0.095696,1.555154,0.436786,0.507068,0.653863,-0.511956,0.230753,0.106935,1.52711,0.41466,0.037169,0.832741,-0.319522,0.450629,0.080552,1.541825,0.417369,0.059443,0.851217,-0.170509,0.492771,0.118894,1.562272,0.407658,0.828069,-0.029847,-0.550388,-0.102392,0.148924,1.51539,0.39788,0.710645,-0.408483,-0.519212,-0.241959,0.081919,1.568894,0.423681,0.527603,0.642838,-0.447398,0.328982,0.100942,1.533329,0.404566,0.059443,0.851217,-0.170509,0.492771,0.051017,1.513078,0.374188,0.368253,-0.610685,-0.397619,0.577367,0.119408,1.504806,0.366997,0.428837,-0.560625,-0.346252,0.617987,0.085703,1.506606,0.371478,0.499481,-0.574123,-0.36345,0.537407,0.025392,1.513033,0.371323,0.368253,-0.610685,-0.397619,0.577367,66,0.168041,1.487296,0.376486,0.710645,-0.408483,-0.519212,-0.241959,32,G,Static,Right
6,7,0.012161,1.670128,0.0605,0.976495,0.21547,-0.003111,-0.004655,0.039606,1.574696,0.387783,0.829142,0.09834,-0.534158,0.132394,0.098806,1.56503,0.368052,0.79517,-0.197734,-0.572711,-0.024635,0.129553,1.511908,0.369601,0.709367,-0.405566,-0.522405,-0.243736,0.063017,1.57864,0.378609,0.818628,0.025412,-0.56492,0.100338,0.019244,1.568615,0.397691,0.829142,0.09834,-0.534158,0.132394,0.070135,1.55034,0.403423,0.164095,0.862222,-0.072894,0.473638,0.110517,1.569268,0.387861,0.825865,-0.089267,-0.552857,-0.065789,0.139466,1.513496,0.384008,0.709367,-0.405566,-0.522405,-0.243736,0.069993,1.579166,0.404618,0.575132,0.601436,-0.398731,0.385373,0.090703,1.540032,0.390943,0.164095,0.862222,-0.072894,0.473638,0.139062,1.528503,0.382011,0.709367,-0.405566,-0.522405,-0.243736,0.09006,1.536076,0.42788,0.033882,0.831267,-0.319491,0.453622,0.124553,1.550393,0.425439,0.797316,0.030554,-0.577989,-0.171121,0.148701,1.513786,0.406405,0.716977,-0.237252,-0.494585,-0.430163,0.094564,1.555189,0.436056,0.503374,0.654448,-0.513683,0.233329,0.106062,1.527247,0.413926,0.033882,0.831267,-0.319491,0.453622,0.079648,1.541869,0.416449,0.056289,0.849428,-0.17029,0.496292,0.118001,1.562485,0.407156,0.825858,-0.02686,-0.5539,-0.102138,0.148233,1.515711,0.397482,0.709367,-0.405566,-0.522405,-0.243736,0.080863,1.568918,0.422877,0.523794,0.643179,-0.449226,0.3319,0.100179,1.533488,0.403794,0.056289,0.849428,-0.17029,0.496292,0.050551,1.51334,0.372813,0.366978,-0.612755,-0.400781,0.573789,0.11902,1.505161,0.366284,0.427674,-0.562882,-0.349802,0.614733,0.085269,1.50691,0.370425,0.498403,-0.575741,-0.367118,0.534174,0.024957,1.513278,0.369689,0.366978,-0.612755,-0.400781,0.573789,77,0.167607,1.487738,0.376161,0.709367,-0.405566,-0.522405,-0.243736,32,G,Static,Right
7,8,0.012161,1.670418,0.060449,0.976663,0.21468,-0.0036,-0.005321,0.03889,1.574544,0.38676,0.826523,0.101606,-0.537144,0.134212,0.098283,1.565313,0.367423,0.793551,-0.194292,-0.576137,-0.0244,0.129142,1.512257,0.369042,0.708139,-0.402851,-0.525379,-0.245413,0.062342,1.578677,0.377776,0.816186,0.028708,-0.568047,0.101678,0.018498,1.568282,0.396491,0.826523,0.101606,-0.537144,0.134212,0.069402,1.550346,0.402495,0.161171,0.860738,-0.072759,0.477348,0.109822,1.569515,0.387341,0.82393,-0.086087,-0.556275,-0.065468,0.13893,1.51382,0.383537,0.708139,-0.402851,-0.525379,-0.245413,0.069121,1.579166,0.403808,0.571384,0.601949,-0.400513,0.388288,0.090113,1.540169,0.390144,0.161171,0.860738,-0.072759,0.477348,0.138507,1.528833,0.381597,0.708139,-0.402851,-0.525379,-0.245413,0.089113,1.536127,0.427083,0.030839,0.829867,-0.319493,0.456393,0.123593,1.550553,0.424974,0.795108,0.03353,-0.580935,-0.170863,0.14798,1.514061,0.406023,0.715809,-0.233795,-0.497105,-0.431097,0.093504,1.555224,0.435358,0.499908,0.654979,-0.515298,0.235718,0.105242,1.527376,0.413226,0.030839,0.829867,-0.319493,0.456393,0.078807,1.54191,0.415574,0.053307,0.847735,-0.170069,0.49958,0.117164,1.562688,0.406676,0.823767,-0.024008,-0.557184,-0.101871,0.14758,1.516014,0.397102,0.708139,-0.402851,-0.525379,-0.245413,0.079875,1.568939,0.42211,0.520168,0.64352,-0.450906,0.33465,0.099468,1.533638,0.40306,0.053307,0.847735,-0.170069,0.49958,0.050122,1.513623,0.371479,0.365827,-0.614886,-0.403672,0.570206,0.118656,1.505497,0.365603,0.426616,-0.56522,-0.353109,0.611425,0.084864,1.507216,0.369406,0.497435,-0.577431,-0.370514,0.530896,0.02456,1.513558,0.368102,0.365827,-0.614886,-0.403672,0.570206,89,0.167192,1.488151,0.375853,0.708139,-0.402851,-0.525379,-0.245413,32,G,Static,Right
8,9,0.012184,1.670653,0.060386,0.976875,0.213695,-0.003715,-0.006075,0.038219,1.574366,0.385795,0.824011,0.104985,-0.539858,0.136152,0.097792,1.565584,0.366824,0.792066,-0.190812,-0.57935,-0.023998,0.128753,1.512589,0.368508,0.706953,-0.400306,-0.528168,-0.247005,0.061703,1.578695,0.376988,0.813867,0.032109,-0.570919,0.103155,0.017807,1.567916,0.39536,0.824011,0.104985,-0.539858,0.136152,0.06872,1.550344,0.401608,0.158352,0.859327,-0.072582,0.480847,0.109167,1.569751,0.386843,0.822101,-0.082958,-0.559493,-0.065081,0.138422,1.514126,0.383083,0.706953,-0.400306,-0.528168,-0.247005,0.068298,1.579156,0.403034,0.567751,0.602503,-0.402125,0.391081,0.089566,1.540294,0.38938,0.158352,0.859327,-0.072582,0.480847,0.137981,1.529146,0.381201,0.706953,-0.400306,-0.528168,-0.247005,0.08822,1.536178,0.42632,0.027998,0.82853,-0.319522,0.458978,0.122687,1.550706,0.424525,0.793006,0.036368,-0.583704,-0.17061,0.147296,1.514322,0.405656,0.714676,-0.230552,-0.499474,-0.431984,0.092504,1.555258,0.434689,0.496635,0.655464,-0.516819,0.237948,0.104467,1.527498,0.412555,0.027998,0.82853,-0.319522,0.458978,0.078019,1.54195,0.414737,0.050471,0.846125,-0.169845,0.502672,0.116374,1.562882,0.406214,0.821777,-0.021275,-0.560275,-0.101593,0.146961,1.5163,0.396738,0.706953,-0.400306,-0.528168,-0.247005,0.078945,1.568959,0.421376,0.5167,0.64386,-0.452461,0.337259,0.098801,1.533782,0.402357,0.050471,0.846125,-0.169845,0.502672,0.049724,1.513922,0.370184,0.36478,-0.617052,-0.406335,0.566634,0.118314,1.505819,0.36495,0.425646,-0.567604,-0.356207,0.608086,0.084485,1.507521,0.368419,0.496561,-0.579166,-0.373681,0.527596,0.024196,1.513865,0.36656,0.36478,-0.617052,-0.406335,0.566634,99,0.166795,1.488541,0.375559,0.706953,-0.400306,-0.528168,-0.247005,32,G,Static,Right
9,10,0.012225,1.670838,0.060347,0.977065,0.212809,-0.003804,-0.006518,0.038196,1.574606,0.385948,0.826303,0.101541,-0.536882,0.136643,0.097633,1.565566,0.366655,0.793247,-0.194173,-0.57669,-0.022005,0.128612,1.512587,0.368448,0.707808,-0.403174,-0.526282,-0.243897,0.061634,1.57881,0.37696,0.815927,0.028724,-0.567976,0.104118,0.017827,1.568288,0.39569,0.826303,0.101541,-0.536882,0.136643,0.06882,1.550545,0.401738,0.161049,0.860585,-0.070292,0.478034,0.109157,1.56985,0.386564,0.823815,-0.085866,-0.556759,-0.063054,0.138397,1.514216,0.382939,0.707808,-0.403174,-0.526282,-0.243897,0.068406,1.579366,0.402985,0.571076,0.602099,-0.39885,0.390216,0.089583,1.540435,0.389423,0.161049,0.860585,-0.070292,0.478034,0.13794,1.529221,0.380939,0.707808,-0.403174,-0.526282,-0.243897,0.088513,1.53653,0.426392,0.031738,0.830052,-0.317935,0.457083,0.122964,1.551025,0.424252,0.795213,0.032939,-0.581359,-0.169036,0.147442,1.514539,0.405408,0.715935,-0.234139,-0.498065,-0.429589,0.092859,1.555662,0.434607,0.500609,0.654664,-0.514321,0.237231,0.104663,1.527763,0.412569,0.031738,0.830052,-0.317935,0.457083,0.078208,1.542199,0.414854,0.053942,0.847786,-0.168291,0.500028,0.116511,1.563094,0.405919,0.823758,-0.024001,-0.557594,-0.099684,0.14704,1.516466,0.396482,0.707808,-0.403174,-0.526282,-0.243897,0.07919,1.569249,0.421316,0.520439,0.643418,-0.449581,0.336206,0.098892,1.53394,0.402371,0.053942,0.847786,-0.168291,0.500028,0.049599,1.51385,0.370969,0.364863,-0.614824,-0.40295,0.5714,0.118137,1.505792,0.365046,0.425576,-0.56532,-0.352341,0.612499,0.084347,1.507479,0.368878,0.496448,-0.577656,-0.369825,0.532055,0.024032,1.513746,0.367625,0.364863,-0.614824,-0.40295,0.5714,111,0.166723,1.488592,0.375314,0.707808,-0.403174,-0.526282,-0.243897,32,G,Static,Right
