,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,-0.002086,1.548411,0.026239,0.994457,0.067153,-0.035102,-0.072899,-0.145085,1.53659,0.330139,0.628792,-0.501367,0.332391,0.492714,-0.14168,1.47279,0.315761,0.623485,-0.546621,0.32083,0.457756,-0.144134,1.411127,0.312352,0.651389,-0.484636,0.395778,0.429162,-0.145695,1.511806,0.323623,0.648955,-0.491653,0.362169,0.453838,-0.148001,1.559111,0.336613,0.628792,-0.501367,0.332391,0.492714,-0.094703,1.478134,0.358273,0.660316,0.499101,0.548202,-0.119815,-0.153791,1.469208,0.335656,0.797654,-0.149103,0.521504,0.263722,-0.15371,1.406583,0.326575,0.651389,-0.484636,0.395778,0.429162,-0.119684,1.492431,0.354292,0.753012,0.29682,0.586,-0.038405,-0.078064,1.457761,0.356567,0.660316,0.499101,0.548202,-0.119815,-0.160371,1.420284,0.325169,0.651389,-0.484636,0.395778,0.429162,-0.112835,1.447381,0.375879,0.405626,0.597033,0.667963,-0.181227,-0.156922,1.442316,0.371162,0.732403,-0.052341,0.580821,0.351416,-0.161726,1.400394,0.347974,0.606139,-0.31505,0.399908,0.611076,-0.130547,1.458027,0.381524,0.606621,0.427357,0.670163,0.016052,-0.104087,1.431037,0.361998,0.405626,0.597033,0.667963,-0.181227,-0.100746,1.454611,0.365849,0.465127,0.628135,0.578289,-0.233848,-0.157002,1.457854,0.354148,0.787836,-0.042001,0.555549,0.262519,-0.162348,1.403176,0.339221,0.651389,-0.484636,0.395778,0.429162,-0.121906,1.472573,0.369744,0.652913,0.429059,0.620805,-0.064909,-0.09294,1.432713,0.354858,0.465127,0.628135,0.578289,-0.233848,-0.082298,1.445507,0.340039,0.816028,-0.183518,-0.017376,-0.54783,-0.131427,1.410322,0.30959,0.601843,-0.577899,0.226289,-0.502604,-0.102166,1.426375,0.317466,0.775153,-0.413296,0.11188,-0.464551,-0.077125,1.454757,0.363746,0.816028,-0.183518,-0.017376,-0.54783,11,-0.16695,1.371361,0.314681,0.651389,-0.484636,0.395778,0.429162,34,D,Static,Left
1,2,-0.002056,1.54843,0.026401,0.994457,0.066874,-0.034977,-0.073206,-0.144717,1.536681,0.330611,0.629674,-0.500729,0.331945,0.492539,-0.141376,1.472906,0.316103,0.624479,-0.545882,0.320521,0.4575,-0.143882,1.41125,0.312617,0.652047,-0.484142,0.395495,0.428982,-0.145342,1.511911,0.324046,0.649751,-0.491056,0.36168,0.453736,-0.147613,1.559192,0.337128,0.629674,-0.500729,0.331945,0.492539,-0.094376,1.478087,0.358647,0.660392,0.499428,0.547902,-0.119408,-0.153503,1.469307,0.335986,0.79815,-0.147795,0.521404,0.263155,-0.153473,1.406695,0.326827,0.652047,-0.484142,0.395495,0.428982,-0.119341,1.492413,0.354666,0.753007,0.297561,0.585635,-0.038335,-0.077737,1.457713,0.356942,0.660392,0.499428,0.547902,-0.119408,-0.16012,1.420404,0.325427,0.652047,-0.484142,0.395495,0.428982,-0.11258,1.447345,0.376184,0.405215,0.597848,0.667568,-0.180921,-0.156681,1.44237,0.371453,0.732804,-0.051239,0.580589,0.351126,-0.161508,1.400484,0.348204,0.606764,-0.314643,0.399436,0.610973,-0.130276,1.458013,0.38184,0.606415,0.428352,0.669714,0.016079,-0.10385,1.431008,0.362284,0.405215,0.597848,0.667568,-0.180921,-0.100484,1.454562,0.36617,0.464602,0.628977,0.577856,-0.233702,-0.156736,1.457931,0.35446,0.788181,-0.040867,0.555321,0.262143,-0.162123,1.403278,0.339454,0.652047,-0.484142,0.395495,0.428982,-0.121613,1.472555,0.370085,0.652644,0.430081,0.620375,-0.064964,-0.092709,1.432667,0.355152,0.464602,0.628977,0.577856,-0.233702,-0.082002,1.445518,0.340404,0.815244,-0.184726,-0.015949,-0.548635,-0.131172,1.410436,0.309871,0.602178,-0.576883,0.226687,-0.503191,-0.101901,1.426438,0.317814,0.774975,-0.412864,0.112429,-0.465099,-0.076725,1.454769,0.364088,0.815244,-0.184726,-0.015949,-0.548635,22,-0.166738,1.371501,0.314868,0.652047,-0.484142,0.395495,0.428982,34,D,Static,Left
2,3,-0.002004,1.548505,0.026617,0.994491,0.066584,-0.034894,-0.073059,-0.144376,1.536769,0.331043,0.63052,-0.50012,0.331487,0.492383,-0.141089,1.473018,0.316411,0.625429,-0.545183,0.320188,0.457269,-0.143646,1.411368,0.312851,0.652669,-0.483683,0.395225,0.428802,-0.145012,1.512011,0.324432,0.650506,-0.490502,0.361171,0.453659,-0.147254,1.55927,0.337602,0.63052,-0.50012,0.331487,0.492383,-0.094067,1.478045,0.358985,0.660515,0.49967,0.547625,-0.118982,-0.153232,1.469404,0.336281,0.798626,-0.14654,0.521315,0.262591,-0.153251,1.406803,0.327049,0.652669,-0.483683,0.395225,0.428802,-0.119016,1.492397,0.355003,0.753023,0.298225,0.585282,-0.038254,-0.077425,1.457673,0.357284,0.660515,0.49967,0.547625,-0.118982,-0.159885,1.420521,0.325655,0.652669,-0.483683,0.395225,0.428802,-0.112342,1.447315,0.376457,0.404844,0.598612,0.667192,-0.180612,-0.156455,1.442424,0.371711,0.733189,-0.050192,0.580364,0.350846,-0.161305,1.400572,0.348405,0.607357,-0.314268,0.398989,0.610869,-0.130022,1.458003,0.382122,0.60623,0.429291,0.66928,0.016113,-0.103627,1.430985,0.362538,0.404844,0.598612,0.667192,-0.180612,-0.100238,1.454518,0.366458,0.464107,0.629779,0.577434,-0.233567,-0.156486,1.458007,0.354738,0.788512,-0.039792,0.555103,0.261775,-0.161911,1.403378,0.339659,0.652669,-0.483683,0.395225,0.428802,-0.121338,1.472541,0.37039,0.652392,0.431054,0.619959,-0.065023,-0.092493,1.432626,0.355413,0.464107,0.629779,0.577434,-0.233567,-0.081721,1.445529,0.340734,0.814443,-0.186011,-0.014514,-0.549429,-0.130932,1.410546,0.310121,0.602489,-0.575898,0.227065,-0.503776,-0.101652,1.426498,0.318131,0.774771,-0.412489,0.112976,-0.465638,-0.076337,1.454784,0.364392,0.814443,-0.186011,-0.014514,-0.549429,33,-0.166539,1.371637,0.315028,0.652669,-0.483683,0.395225,0.428802,34,D,Static,Left
3,4,-0.001914,1.548607,0.026899,0.994578,0.065917,-0.034879,-0.072475,-0.144302,1.536336,0.331687,0.63153,-0.499326,0.330301,0.492692,-0.141073,1.472635,0.316816,0.62696,-0.543848,0.319504,0.457239,-0.143702,1.411004,0.312988,0.654174,-0.48215,0.394307,0.42908,-0.144941,1.511602,0.324988,0.651612,-0.48952,0.360142,0.45395,-0.147189,1.558815,0.338319,0.63153,-0.499326,0.330301,0.492692,-0.094077,1.477405,0.359451,0.659427,0.501709,0.54728,-0.118019,-0.153236,1.468947,0.336661,0.799347,-0.144445,0.520484,0.263205,-0.153326,1.406389,0.327157,0.654174,-0.48215,0.394307,0.42908,-0.119005,1.491808,0.355516,0.752543,0.300361,0.58487,-0.037272,-0.077466,1.457015,0.357666,0.659427,0.501709,0.54728,-0.118019,-0.159942,1.42012,0.325811,0.654174,-0.48215,0.394307,0.42908,-0.112408,1.44657,0.376729,0.403281,0.600375,0.666768,-0.17982,-0.156522,1.441813,0.371967,0.733739,-0.048033,0.579652,0.351174,-0.161405,1.400072,0.348471,0.6086,-0.312909,0.397576,0.61125,-0.130054,1.457288,0.382445,0.605232,0.43158,0.668701,0.016538,-0.10374,1.430275,0.362741,0.403281,0.600375,0.666768,-0.17982,-0.100284,1.453821,0.366795,0.462687,0.631375,0.577229,-0.232579,-0.15652,1.457472,0.355064,0.788987,-0.037595,0.554381,0.262197,-0.162001,1.402918,0.339736,0.654174,-0.48215,0.394307,0.42908,-0.12135,1.471869,0.370796,0.651533,0.433105,0.619517,-0.06422,-0.092574,1.431962,0.355659,0.462687,0.631375,0.577229,-0.232579,-0.081761,1.444925,0.341131,0.814418,-0.183562,-0.013684,-0.55031,-0.130985,1.410178,0.310273,0.603617,-0.573853,0.228327,-0.50419,-0.10169,1.426039,0.318404,0.775457,-0.41014,0.113861,-0.466356,-0.076402,1.454055,0.364843,0.814418,-0.183562,-0.013684,-0.55031,44,-0.166648,1.371293,0.314961,0.654174,-0.48215,0.394307,0.42908,34,D,Static,Left
4,5,-0.001834,1.548706,0.027199,0.994666,0.065209,-0.034868,-0.071909,-0.144189,1.536466,0.331716,0.631876,-0.497552,0.331617,0.493158,-0.141203,1.472783,0.316718,0.627489,-0.541946,0.321077,0.457669,-0.143937,1.411161,0.312828,0.654081,-0.480706,0.395567,0.429683,-0.144928,1.511747,0.324974,0.652045,-0.487497,0.361719,0.454251,-0.147002,1.558941,0.338395,0.631876,-0.497552,0.331617,0.493158,-0.094036,1.477389,0.35918,0.65811,0.502264,0.54811,-0.119154,-0.153301,1.46909,0.336601,0.79875,-0.142835,0.521984,0.262922,-0.153519,1.406543,0.327026,0.654081,-0.480706,0.395567,0.429683,-0.118948,1.491848,0.355357,0.751221,0.301376,0.585983,-0.038248,-0.077464,1.456975,0.357316,0.65811,0.502264,0.54811,-0.119154,-0.160119,1.420286,0.325717,0.654081,-0.480706,0.395567,0.429683,-0.112355,1.446505,0.376438,0.400755,0.601581,0.66666,-0.181825,-0.156503,1.441919,0.371886,0.733018,-0.045713,0.581268,0.350317,-0.161531,1.400213,0.348358,0.608535,-0.311166,0.398521,0.611589,-0.12993,1.457286,0.382257,0.603306,0.433334,0.66935,0.014675,-0.103831,1.430191,0.362384,0.400755,0.601581,0.66666,-0.181825,-0.100258,1.453839,0.366526,0.461425,0.631419,0.577811,-0.233518,-0.156537,1.457598,0.355002,0.788219,-0.03617,0.555727,0.261859,-0.162154,1.403071,0.339629,0.654081,-0.480706,0.395567,0.429683,-0.121284,1.471913,0.37062,0.65018,0.433766,0.620379,-0.065138,-0.0926,1.431984,0.355349,0.461425,0.631419,0.577811,-0.233518,-0.081846,1.444942,0.340812,0.813817,-0.18492,-0.011174,-0.550801,-0.131231,1.410319,0.31007,0.603196,-0.574085,0.230142,-0.503603,-0.101882,1.42612,0.318126,0.775144,-0.410298,0.115799,-0.46626,-0.076337,1.45405,0.364498,0.813817,-0.18492,-0.011174,-0.550801,55,-0.166936,1.371482,0.314832,0.654081,-0.480706,0.395567,0.429683,34,D,Static,Left
5,6,-0.001764,1.548769,0.027498,0.994738,0.064788,-0.035017,-0.071223,-0.144069,1.536592,0.331744,0.63227,-0.495814,0.332861,0.493566,-0.141323,1.472929,0.316618,0.628047,-0.540096,0.322563,0.458046,-0.144156,1.411314,0.31267,0.654003,-0.47934,0.396746,0.43024,-0.144907,1.511887,0.324959,0.652529,-0.485502,0.363225,0.454492,-0.146807,1.559061,0.338469,0.63227,-0.495814,0.332861,0.493566,-0.093994,1.477374,0.358918,0.656887,0.502771,0.54888,-0.120216,-0.15336,1.46923,0.336537,0.798199,-0.141284,0.523401,0.262621,-0.153698,1.406694,0.326894,0.654003,-0.47934,0.396746,0.43024,-0.11889,1.491888,0.355199,0.749973,0.302351,0.587016,-0.039188,-0.077458,1.456937,0.35698,0.656887,0.502771,0.54888,-0.120216,-0.160283,1.420448,0.32562,0.654003,-0.47934,0.396746,0.43024,-0.112305,1.446441,0.376153,0.398308,0.602781,0.66651,-0.18377,-0.156483,1.442022,0.371802,0.732345,-0.043454,0.582806,0.349455,-0.161649,1.400351,0.348243,0.608485,-0.309523,0.399401,0.611899,-0.129809,1.457283,0.38207,0.601459,0.435051,0.669935,0.012866,-0.103921,1.430109,0.362036,0.398308,0.602781,0.66651,-0.18377,-0.100231,1.453861,0.366267,0.460273,0.631439,0.578367,-0.23436,-0.156552,1.457721,0.354936,0.787502,-0.034822,0.55698,0.261538,-0.162296,1.403219,0.339519,0.654003,-0.47934,0.396746,0.43024,-0.12122,1.471959,0.370446,0.648916,0.434384,0.62118,-0.065983,-0.09262,1.432009,0.355051,0.460273,0.631439,0.578367,-0.23436,-0.081924,1.444961,0.340503,0.813203,-0.186318,-0.008724,-0.551282,-0.13146,1.410458,0.309871,0.602794,-0.574291,0.231859,-0.503061,-0.102061,1.4262,0.317856,0.774837,-0.410448,0.117636,-0.466179,-0.076266,1.454051,0.364161,0.813203,-0.186318,-0.008724,-0.551282,66,-0.167206,1.371666,0.314703,0.654003,-0.47934,0.396746,0.43024,34,D,Static,Left
6,7,-0.001746,1.548782,0.027821,0.994756,0.065159,-0.035132,-0.070578,-0.144473,1.536635,0.332266,0.633067,-0.495351,0.331656,0.493819,-0.141703,1.473013,0.316961,0.629126,-0.539358,0.321601,0.458111,-0.144497,1.411408,0.312834,0.654818,-0.478842,0.395562,0.430645,-0.145284,1.511947,0.325414,0.653267,-0.485096,0.361982,0.454856,-0.14723,1.559085,0.339049,0.633067,-0.495351,0.331656,0.493819,-0.094414,1.47727,0.359317,0.656101,0.504389,0.548488,-0.119518,-0.153766,1.469252,0.336853,0.798797,-0.139856,0.522649,0.263063,-0.154055,1.406743,0.327032,0.654818,-0.478842,0.395562,0.430645,-0.119294,1.491818,0.355622,0.749738,0.30386,0.58659,-0.0384,-0.077906,1.456816,0.357318,0.656101,0.504389,0.548488,-0.119518,-0.160646,1.420497,0.325791,0.654818,-0.478842,0.395562,0.430645,-0.112747,1.446349,0.376451,0.397774,0.603474,0.666583,-0.182381,-0.156922,1.441945,0.372037,0.732731,-0.042489,0.581877,0.350313,-0.162032,1.400336,0.348356,0.609014,-0.309214,0.398045,0.612412,-0.130258,1.457172,0.382381,0.601172,0.435949,0.669583,0.014162,-0.104345,1.430061,0.362293,0.397774,0.603474,0.666583,-0.182381,-0.100669,1.453734,0.366572,0.459256,0.632633,0.578155,-0.233657,-0.156976,1.45769,0.355215,0.787881,-0.033427,0.556345,0.261929,-0.162669,1.403229,0.33964,0.654818,-0.478842,0.395562,0.430645,-0.12164,1.471844,0.370792,0.648424,0.435735,0.620822,-0.065281,-0.093085,1.431906,0.355291,0.459256,0.632633,0.578155,-0.233657,-0.082292,1.44499,0.340826,0.813519,-0.184734,-0.008541,-0.551351,-0.131797,1.410567,0.310047,0.603755,-0.573146,0.232185,-0.503065,-0.102409,1.426289,0.318112,0.775431,-0.409215,0.117896,-0.46621,-0.076671,1.454013,0.364519,0.813519,-0.184734,-0.008541,-0.551351,77,-0.167526,1.371741,0.314729,0.654818,-0.478842,0.395562,0.430645,34,D,Static,Left
7,8,-0.001746,1.548743,0.028072,0.994744,0.065458,-0.035275,-0.07039,-0.144151,1.536132,0.332094,0.633744,-0.495425,0.332269,0.492464,-0.141595,1.472488,0.316836,0.629973,-0.539128,0.322512,0.456576,-0.144452,1.41088,0.312807,0.655004,-0.479411,0.395679,0.429619,-0.145033,1.511441,0.325262,0.653966,-0.485029,0.362615,0.453415,-0.146849,1.558596,0.338853,0.633744,-0.495425,0.332269,0.492464,-0.094342,1.476657,0.359234,0.656417,0.504931,0.547411,-0.120429,-0.153691,1.468771,0.336716,0.799342,-0.139707,0.522538,0.261704,-0.154039,1.406247,0.326997,0.655004,-0.479411,0.395679,0.429619,-0.11918,1.491266,0.355499,0.75014,0.304282,0.585784,-0.0395,-0.07789,1.456155,0.357269,0.656417,0.504931,0.547411,-0.120429,-0.160612,1.420007,0.325716,0.655004,-0.479411,0.395679,0.429619,-0.112752,1.445847,0.376391,0.398427,0.603885,0.665702,-0.182814,-0.156931,1.44152,0.371936,0.733343,-0.042635,0.581755,0.349216,-0.162054,1.399882,0.348308,0.609434,-0.309882,0.398231,0.611535,-0.130249,1.456711,0.382288,0.601834,0.436169,0.668861,0.013375,-0.104362,1.429526,0.362266,0.398427,0.603885,0.665702,-0.182814,-0.100654,1.453194,0.366516,0.459784,0.633014,0.577063,-0.234287,-0.156942,1.45724,0.35509,0.788415,-0.033669,0.556152,0.260696,-0.162675,1.402762,0.339587,0.655004,-0.479411,0.395679,0.429619,-0.121595,1.47135,0.370683,0.649064,0.435837,0.619988,-0.066161,-0.093106,1.431332,0.355277,0.459784,0.633014,0.577063,-0.234287,-0.082256,1.444385,0.340916,0.812959,-0.18437,-0.009706,-0.552278,-0.131747,1.410019,0.310051,0.603309,-0.57263,0.231709,-0.504406,-0.10235,1.425697,0.318172,0.774961,-0.408926,0.117085,-0.467448,-0.076683,1.453419,0.364616,0.812959,-0.18437,-0.009706,-0.552278,89,-0.167532,1.371243,0.314716,0.655004,-0.479411,0.395679,0.429619,34,D,Static,Left
8,9,-0.001765,1.548702,0.028291,0.994691,0.066193,-0.035356,-0.070422,-0.143791,1.535583,0.331894,0.634502,-0.49545,0.332965,0.490989,-0.141471,1.471918,0.316684,0.63089,-0.538855,0.323507,0.454925,-0.144405,1.410307,0.31276,0.655225,-0.479973,0.395854,0.428493,-0.144754,1.51089,0.325083,0.65475,-0.484897,0.363335,0.451847,-0.146423,1.558063,0.338629,0.634502,-0.49545,0.332965,0.490989,-0.094256,1.475991,0.359126,0.656764,0.505487,0.546262,-0.121415,-0.153602,1.468248,0.336552,0.799919,-0.139538,0.522436,0.260227,-0.154022,1.40571,0.326942,0.655225,-0.479973,0.395854,0.428493,-0.119048,1.490666,0.355349,0.750562,0.304734,0.584926,-0.040702,-0.077863,1.455438,0.357198,0.656764,0.505487,0.546262,-0.121415,-0.160574,1.419477,0.325618,0.655225,-0.479973,0.395854,0.428493,-0.112751,1.445297,0.376308,0.39909,0.604363,0.66473,-0.183318,-0.156933,1.441057,0.37181,0.734002,-0.042745,0.581642,0.348002,-0.162078,1.399389,0.34824,0.609916,-0.310544,0.398465,0.610566,-0.130231,1.456207,0.382169,0.602523,0.436445,0.668076,0.012489,-0.104375,1.428939,0.362216,0.39909,0.604363,0.66473,-0.183318,-0.10063,1.452606,0.366439,0.460352,0.633418,0.575893,-0.234957,-0.156896,1.456751,0.354939,0.788986,-0.033915,0.55595,0.259366,-0.162682,1.402256,0.339513,0.655225,-0.479973,0.395854,0.428493,-0.121538,1.470813,0.370549,0.649741,0.435955,0.619093,-0.067109,-0.09312,1.430708,0.355245,0.460352,0.633418,0.575893,-0.234957,-0.082213,1.443724,0.34099,0.812319,-0.184048,-0.01088,-0.553305,-0.131694,1.409423,0.310036,0.602796,-0.572083,0.231253,-0.505846,-0.102287,1.425051,0.318214,0.774429,-0.408625,0.116266,-0.468793,-0.076685,1.45277,0.364695,0.812319,-0.184048,-0.01088,-0.553305,100,-0.167545,1.370706,0.314684,0.655225,-0.479973,0.395854,0.428493,34,D,Static,Left
9,10,-0.001766,1.548686,0.028484,0.994639,0.06676,-0.035457,-0.070559,-0.143557,1.535506,0.331466,0.633662,-0.49562,0.334098,0.491134,-0.141287,1.471809,0.316376,0.630149,-0.538897,0.324729,0.455032,-0.14424,1.410189,0.312602,0.654265,-0.480284,0.397089,0.428468,-0.144535,1.510799,0.324708,0.653895,-0.485119,0.364453,0.451946,-0.146176,1.557999,0.338159,0.633662,-0.49562,0.334098,0.491134,-0.093964,1.475902,0.358687,0.656605,0.504923,0.546602,-0.123087,-0.153378,1.468189,0.336277,0.79929,-0.139761,0.523824,0.25925,-0.153827,1.405628,0.326815,0.654265,-0.480284,0.397089,0.428468,-0.118746,1.490602,0.354937,0.750161,0.304212,0.585602,-0.04225,-0.077602,1.455324,0.356766,0.656605,0.504923,0.546602,-0.123087,-0.160379,1.419393,0.325475,0.654265,-0.480284,0.397089,0.428468,-0.112444,1.445366,0.376022,0.399645,0.603282,0.665072,-0.184429,-0.156639,1.441083,0.371607,0.733341,-0.043605,0.582766,0.347411,-0.161839,1.39936,0.348149,0.609171,-0.31061,0.399859,0.610364,-0.129926,1.456275,0.381877,0.602656,0.435276,0.668737,0.011497,-0.104068,1.428976,0.361966,0.399645,0.603282,0.665072,-0.184429,-0.100328,1.452631,0.366106,0.460958,0.632275,0.576252,-0.235967,-0.156635,1.456736,0.354699,0.78838,-0.034592,0.55709,0.258672,-0.162461,1.402206,0.339416,0.654265,-0.480284,0.397089,0.428468,-0.121243,1.470834,0.370201,0.649847,0.434787,0.619699,-0.068063,-0.09281,1.43071,0.354962,0.460958,0.632275,0.576252,-0.235967,-0.081982,1.443671,0.340601,0.812019,-0.185912,-0.010475,-0.55313,-0.131536,1.409297,0.309849,0.601766,-0.573452,0.23136,-0.505474,-0.102108,1.424944,0.317916,0.773788,-0.410091,0.116569,-0.468497,-0.076386,1.45278,0.364267,0.812019,-0.185912,-0.010475,-0.55313,111,-0.167381,1.370596,0.314673,0.654265,-0.480284,0.397089,0.428468,34,D,Static,Left
