,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.016383,1.551414,-0.042262,0.994555,0.051137,-0.065951,-0.062412,-0.078854,1.396469,0.296147,0.219491,0.97048,-0.058923,-0.080744,-0.082075,1.420927,0.258777,0.993801,-0.017405,0.077778,-0.077506,-0.099268,1.364288,0.237382,0.833538,-0.535228,0.136659,0.008295,-0.075783,1.421829,0.298271,0.671305,0.735776,0.008283,-0.088963,-0.083552,1.385722,0.275652,0.219491,0.97048,-0.058923,-0.080744,-0.096798,1.398087,0.300101,0.247219,0.968662,-0.018984,-0.014734,-0.105118,1.425796,0.259601,0.99549,-0.01212,0.094075,-0.001866,-0.116543,1.365365,0.238761,0.833538,-0.535228,0.136659,0.008295,-0.096636,1.426872,0.304062,0.654329,0.750921,0.065444,-0.06074,-0.098157,1.384453,0.277581,0.247219,0.968662,-0.018984,-0.014734,-0.117252,1.381369,0.238966,0.833538,-0.535228,0.136659,0.008295,-0.16099,1.443666,0.309721,0.876641,-0.380488,-0.017643,0.293971,-0.144672,1.409167,0.271952,0.875786,-0.405708,-0.051509,0.256413,-0.143275,1.368061,0.24692,0.834163,-0.473402,0.126274,0.253215,-0.154337,1.431336,0.293514,0.883261,-0.344782,-0.053536,0.313225,-0.167307,1.459677,0.325215,0.876641,-0.380488,-0.017643,0.293971,-0.11089,1.399896,0.309758,0.404078,0.900072,0.162438,0.014351,-0.125533,1.420122,0.265276,0.989461,-0.068569,0.086866,0.093375,-0.13556,1.369138,0.242015,0.833538,-0.535228,0.136659,0.008295,-0.118989,1.42637,0.305398,0.758619,0.632074,0.150653,0.047779,-0.10664,1.380217,0.293761,0.404078,0.900072,0.162438,0.014351,-0.050607,1.382506,0.288489,0.685239,0.076928,-0.382115,-0.615238,-0.088075,1.358039,0.240255,0.491313,-0.453972,0.158743,-0.726169,-0.060116,1.36543,0.258684,0.676954,-0.275154,-0.078569,-0.678122,-0.06576,1.392854,0.306864,0.685239,0.076928,-0.382115,-0.615238,10,-0.129386,1.336942,0.218331,0.833538,-0.535228,0.136659,0.008295,34,I,Static,Left
1,2,0.01634,1.551495,-0.042448,0.994537,0.051087,-0.06611,-0.062581,-0.078748,1.396773,0.295606,0.220634,0.970156,-0.058421,-0.081891,-0.082088,1.421104,0.258191,0.993693,-0.019162,0.079015,-0.077223,-0.099263,1.364331,0.23715,0.831955,-0.537455,0.1375,0.009326,-0.075688,1.422139,0.297664,0.672164,0.734885,0.009306,-0.089736,-0.083493,1.385979,0.275147,0.220634,0.970156,-0.058421,-0.081891,-0.096668,1.398398,0.299625,0.248886,0.968231,-0.018157,-0.016009,-0.105136,1.425943,0.259057,0.995326,-0.01405,0.095532,-0.001491,-0.116537,1.365393,0.238569,0.831955,-0.537455,0.1375,0.009326,-0.096524,1.427197,0.303488,0.655533,0.749687,0.066685,-0.061631,-0.09808,1.384687,0.277155,0.248886,0.968231,-0.018157,-0.016009,-0.117265,1.381393,0.238685,0.831955,-0.537455,0.1375,0.009326,-0.160942,1.444033,0.309183,0.87509,-0.383178,-0.016288,0.295173,-0.14463,1.409321,0.271607,0.874295,-0.408218,-0.05023,0.257767,-0.143245,1.368089,0.246783,0.832575,-0.475268,0.12779,0.254183,-0.154294,1.43161,0.293046,0.881881,-0.34735,-0.052045,0.314525,-0.167263,1.460137,0.324579,0.87509,-0.383178,-0.016288,0.295173,-0.110726,1.400256,0.309315,0.405113,0.899413,0.163634,0.012805,-0.125525,1.420269,0.26482,0.98911,-0.070709,0.088512,0.093953,-0.135545,1.369151,0.24185,0.831955,-0.537455,0.1375,0.009326,-0.11887,1.426707,0.304894,0.759387,0.63081,0.152345,0.046924,-0.106509,1.380535,0.293361,0.405113,0.899413,0.163634,0.012805,-0.050561,1.382873,0.288089,0.686098,0.075669,-0.383669,-0.613467,-0.088056,1.358115,0.240035,0.490508,-0.455912,0.157045,-0.725868,-0.060076,1.365634,0.25838,0.67684,-0.277145,-0.080102,-0.677247,-0.065741,1.39328,0.306408,0.686098,0.075669,-0.383669,-0.613467,21,-0.129394,1.336844,0.218314,0.831955,-0.537455,0.1375,0.009326,34,I,Static,Left
2,3,0.016292,1.551605,-0.042616,0.994561,0.050626,-0.06611,-0.062568,-0.078616,1.397041,0.295074,0.221562,0.96987,-0.058055,-0.083017,-0.082063,1.42126,0.257622,0.993579,-0.020722,0.080206,-0.077065,-0.099234,1.364369,0.236914,0.830472,-0.539504,0.138371,0.010228,-0.07556,1.422413,0.297075,0.672869,0.734127,0.010199,-0.090555,-0.083409,1.386211,0.274645,0.221562,0.96987,-0.058055,-0.083017,-0.096512,1.398676,0.299155,0.250373,0.967838,-0.017483,-0.017265,-0.105114,1.426077,0.258529,0.995166,-0.015755,0.096931,-0.001244,-0.116506,1.36542,0.238371,0.830472,-0.539504,0.138371,0.010228,-0.096377,1.427486,0.302932,0.65658,0.748595,0.067788,-0.06256,-0.097978,1.384897,0.276731,0.250373,0.967838,-0.017483,-0.017265,-0.117248,1.381417,0.238405,0.830472,-0.539504,0.138371,0.010228,-0.160859,1.444397,0.308649,0.873593,-0.385853,-0.014987,0.296188,-0.144553,1.40947,0.271269,0.872841,-0.410735,-0.049005,0.25893,-0.143189,1.368121,0.246639,0.831113,-0.476972,0.129282,0.25502,-0.154217,1.43188,0.292583,0.880542,-0.349935,-0.050623,0.315639,-0.167184,1.460593,0.323947,0.873593,-0.385853,-0.014987,0.296188,-0.110537,1.400588,0.308878,0.406019,0.898838,0.16466,0.011266,-0.125481,1.420408,0.264377,0.988783,-0.072684,0.090101,0.094383,-0.135505,1.369169,0.241679,0.830472,-0.539504,0.138371,0.010228,-0.118717,1.427019,0.304404,0.760061,0.62969,0.153888,0.046001,-0.106357,1.380828,0.292961,0.406019,0.898838,0.16466,0.011266,-0.050495,1.3832,0.287699,0.686817,0.074551,-0.385194,-0.611843,-0.088015,1.358181,0.239811,0.48969,-0.457668,0.155502,-0.725647,-0.060015,1.365812,0.258079,0.676662,-0.278967,-0.081522,-0.676506,-0.065704,1.393664,0.305962,0.686817,0.074551,-0.385194,-0.611843,32,-0.129382,1.336756,0.21828,0.830472,-0.539504,0.138371,0.010228,34,I,Static,Left
3,4,0.016247,1.551763,-0.04276,0.994566,0.05034,-0.066205,-0.062626,-0.078288,1.396421,0.29468,0.218398,0.970421,-0.057631,-0.085237,-0.081869,1.420895,0.257412,0.993456,-0.017484,0.082469,-0.077061,-0.0991,1.364107,0.236468,0.831615,-0.537321,0.139872,0.011802,-0.075207,1.421776,0.296846,0.670254,0.73629,0.011618,-0.092206,-0.083169,1.38573,0.274198,0.218398,0.970421,-0.057631,-0.085237,-0.096166,1.398056,0.298789,0.246054,0.968912,-0.017136,-0.019338,-0.104917,1.425698,0.258436,0.995014,-0.012684,0.098924,-0.000905,-0.116365,1.365143,0.238,0.831615,-0.537321,0.139872,0.011802,-0.096003,1.426833,0.30281,0.653241,0.751265,0.069222,-0.063922,-0.097729,1.384479,0.276249,0.246054,0.968912,-0.017136,-0.019338,-0.117114,1.38114,0.238124,0.831615,-0.537321,0.139872,0.011802,-0.160248,1.443361,0.309301,0.87679,-0.377217,-0.012883,0.29796,-0.144301,1.409009,0.271242,0.876089,-0.403015,-0.046909,0.260475,-0.143019,1.367791,0.246389,0.832064,-0.474306,0.130151,0.256447,-0.153767,1.431097,0.292976,0.883508,-0.341452,-0.048745,0.316935,-0.166412,1.459306,0.324924,0.87679,-0.377217,-0.012883,0.29796,-0.110124,1.399768,0.308555,0.400989,0.901002,0.165255,0.009681,-0.125259,1.41999,0.264333,0.988904,-0.068127,0.092004,0.094678,-0.135355,1.368868,0.241405,0.831615,-0.537321,0.139872,0.011802,-0.118306,1.426248,0.304384,0.756568,0.633615,0.1553,0.04492,-0.106042,1.38017,0.292416,0.400989,0.901002,0.165255,0.009681,-0.05025,1.382687,0.287175,0.687372,0.07631,-0.382975,-0.612395,-0.087865,1.357907,0.239284,0.490673,-0.457911,0.158411,-0.724199,-0.059791,1.365448,0.257474,0.678,-0.277581,-0.079339,-0.675996,-0.06545,1.393027,0.305516,0.687372,0.07631,-0.382975,-0.612395,44,-0.129311,1.336581,0.217812,0.831615,-0.537321,0.139872,0.011802,34,I,Static,Left
4,5,0.016192,1.551943,-0.042857,0.994582,0.049316,-0.066303,-0.063073,-0.078318,1.396269,0.294853,0.217561,0.970588,-0.058388,-0.084959,-0.081824,1.420816,0.257627,0.993456,-0.016474,0.082037,-0.077743,-0.099091,1.364065,0.236621,0.831944,-0.53687,0.139695,0.011168,-0.075201,1.421615,0.297069,0.669512,0.736963,0.0108,-0.092318,-0.083195,1.385617,0.27435,0.217561,0.970588,-0.058388,-0.084959,-0.096185,1.39794,0.298984,0.246154,0.968883,-0.017706,-0.018981,-0.104869,1.425641,0.25863,0.99507,-0.012058,0.098432,-0.001425,-0.116358,1.365119,0.238132,0.831944,-0.53687,0.139695,0.011168,-0.095998,1.426715,0.303015,0.653116,0.751443,0.068527,-0.063851,-0.097738,1.384359,0.276446,0.246154,0.968883,-0.017706,-0.018981,-0.117088,1.381114,0.238264,0.831944,-0.53687,0.139695,0.011168,-0.160237,1.443335,0.309433,0.876941,-0.37745,-0.013339,0.2972,-0.144282,1.40898,0.27138,0.876312,-0.402976,-0.047239,0.259723,-0.143015,1.367784,0.24649,0.832481,-0.473989,0.129829,0.255841,-0.153747,1.431068,0.293113,0.883696,-0.341588,-0.049181,0.316198,-0.166407,1.459287,0.325047,0.876941,-0.37745,-0.013339,0.2972,-0.110151,1.399672,0.308744,0.401259,0.900991,0.164634,0.010128,-0.125222,1.419948,0.264501,0.989033,-0.067635,0.091471,0.094192,-0.135344,1.368858,0.241514,0.831944,-0.53687,0.139695,0.011168,-0.118305,1.42616,0.304566,0.756651,0.633694,0.154548,0.045015,-0.10606,1.380065,0.292618,0.401259,0.900991,0.164634,0.010128,-0.050337,1.382573,0.287428,0.686785,0.077279,-0.383614,-0.612531,-0.087868,1.357852,0.239451,0.490718,-0.457089,0.158438,-0.724682,-0.059818,1.365361,0.257692,0.677882,-0.276575,-0.079785,-0.676474,-0.06558,1.392903,0.305739,0.686785,0.077279,-0.383614,-0.612531,55,-0.129308,1.336587,0.217898,0.831944,-0.53687,0.139695,0.011168,34,I,Static,Left
5,6,0.016136,1.552171,-0.042923,0.99459,0.048539,-0.066447,-0.063406,-0.078315,1.396129,0.294983,0.216825,0.970722,-0.059129,-0.084786,-0.081753,1.420742,0.257795,0.993443,-0.015568,0.081711,-0.078432,-0.099064,1.364026,0.23674,0.832214,-0.536482,0.139626,0.010573,-0.075161,1.421467,0.297244,0.668841,0.737558,0.010049,-0.092516,-0.083192,1.385512,0.274463,0.216825,0.970722,-0.059129,-0.084786,-0.096169,1.397836,0.299144,0.246439,0.968806,-0.018244,-0.018734,-0.104794,1.42559,0.258783,0.995113,-0.011518,0.098054,-0.001961,-0.116332,1.365098,0.238235,0.832214,-0.536482,0.139626,0.010573,-0.095956,1.426611,0.303176,0.653102,0.75151,0.067899,-0.063876,-0.097718,1.384242,0.276612,0.246439,0.968806,-0.018244,-0.018734,-0.117043,1.381091,0.238373,0.832214,-0.536482,0.139626,0.010573,-0.160196,1.443343,0.309513,0.876987,-0.377937,-0.013693,0.296428,-0.144235,1.40896,0.271487,0.876418,-0.403203,-0.04748,0.258971,-0.14299,1.367782,0.246567,0.832848,-0.473706,0.129633,0.255268,-0.153698,1.431062,0.293207,0.883775,-0.342015,-0.049523,0.31546,-0.166371,1.459311,0.325108,0.876987,-0.377937,-0.013693,0.296428,-0.110141,1.399597,0.308902,0.401711,0.900891,0.164059,0.010464,-0.125158,1.419914,0.264632,0.989142,-0.067278,0.091058,0.093698,-0.135314,1.368851,0.241598,0.832214,-0.536482,0.139626,0.010573,-0.118268,1.42609,0.304707,0.756842,0.633627,0.15388,0.045025,-0.106045,1.379974,0.292796,0.401711,0.900891,0.164059,0.010464,-0.050393,1.382469,0.287634,0.68624,0.078104,-0.384226,-0.612654,-0.087852,1.3578,0.239585,0.490703,-0.456375,0.15845,-0.725139,-0.059823,1.365279,0.25787,0.677732,-0.275721,-0.080196,-0.676924,-0.065674,1.392793,0.305917,0.68624,0.078104,-0.384226,-0.612654,66,-0.129292,1.336592,0.217962,0.832214,-0.536482,0.139626,0.010573,34,I,Static,Left
6,7,0.016046,1.552451,-0.042939,0.994625,0.047703,-0.066338,-0.063606,-0.077666,1.395669,0.294919,0.215121,0.970789,-0.062267,-0.086109,-0.080968,1.420417,0.257817,0.993147,-0.013826,0.082367,-0.08175,-0.098663,1.363835,0.236727,0.83246,-0.535569,0.141799,0.008335,-0.074333,1.420977,0.297261,0.667276,0.738661,0.007937,-0.095184,-0.082636,1.385147,0.274372,0.215121,0.970789,-0.062267,-0.086109,-0.095483,1.397551,0.29914,0.245702,0.968907,-0.021143,-0.020081,-0.103976,1.425409,0.258837,0.995054,-0.010572,0.098646,-0.005005,-0.115922,1.365016,0.238241,0.83246,-0.535569,0.141799,0.008335,-0.095083,1.426317,0.303222,0.652204,0.752254,0.065937,-0.066309,-0.097143,1.384,0.276591,0.245702,0.968907,-0.021143,-0.020081,-0.116529,1.381011,0.238392,0.83246,-0.535569,0.141799,0.008335,-0.159187,1.4434,0.309711,0.878266,-0.376934,-0.012246,0.293971,-0.143507,1.409014,0.271569,0.877841,-0.401845,-0.045708,0.256566,-0.142551,1.367857,0.246601,0.833838,-0.472682,0.131472,0.252984,-0.152788,1.431113,0.293371,0.88513,-0.341031,-0.048176,0.312924,-0.165244,1.459376,0.325345,0.878266,-0.376934,-0.012246,0.293971,-0.109426,1.399385,0.308938,0.401399,0.901519,0.16145,0.0088,-0.124369,1.419855,0.264704,0.989426,-0.066268,0.091807,0.090648,-0.134874,1.368883,0.241625,0.83246,-0.535569,0.141799,0.008335,-0.117391,1.425933,0.304779,0.756576,0.634515,0.152283,0.042357,-0.10547,1.379747,0.292816,0.401399,0.901519,0.16145,0.0088,-0.049892,1.381897,0.287641,0.684156,0.077915,-0.384578,-0.614785,-0.087489,1.357536,0.23956,0.488584,-0.455632,0.160501,-0.726584,-0.059406,1.364806,0.257847,0.675814,-0.275261,-0.07913,-0.679151,-0.065142,1.392285,0.305914,0.684156,0.077915,-0.384578,-0.614785,78,-0.129083,1.336613,0.217946,0.83246,-0.535569,0.141799,0.008335,34,I,Static,Left
7,8,0.015942,1.552667,-0.042955,0.994662,0.046862,-0.066246,-0.063734,-0.07697,1.395493,0.2952,0.214507,0.970769,-0.062673,-0.087558,-0.080325,1.420317,0.25815,0.992991,-0.012921,0.083687,-0.082449,-0.098147,1.363788,0.237039,0.832668,-0.534883,0.143146,0.008564,-0.073592,1.420791,0.297578,0.666547,0.739128,0.008271,-0.096624,-0.08201,1.385005,0.274653,0.214507,0.970769,-0.062673,-0.087558,-0.094759,1.397441,0.299508,0.245442,0.968945,-0.02124,-0.021286,-0.103325,1.425337,0.259233,0.994941,-0.010178,0.0998,-0.005374,-0.115402,1.364991,0.238591,0.832668,-0.534883,0.143146,0.008564,-0.094328,1.426205,0.303597,0.651994,0.752295,0.066413,-0.067412,-0.096482,1.383904,0.276956,0.245442,0.968945,-0.02124,-0.021286,-0.115984,1.380983,0.238756,0.832668,-0.534883,0.143146,0.008564,-0.158385,1.443266,0.310325,0.878771,-0.37576,-0.011443,0.293999,-0.142845,1.408973,0.272039,0.878731,-0.399945,-0.044514,0.256699,-0.142001,1.36785,0.247011,0.834169,-0.471703,0.132609,0.253128,-0.152032,1.431007,0.293946,0.885667,-0.339791,-0.047381,0.312875,-0.164396,1.459215,0.326004,0.878771,-0.37576,-0.011443,0.293999,-0.108682,1.399232,0.309326,0.400613,0.901876,0.161457,0.007724,-0.12371,1.4198,0.265142,0.98943,-0.065136,0.09292,0.090288,-0.134336,1.368874,0.242017,0.832668,-0.534883,0.143146,0.008564,-0.116631,1.425791,0.305212,0.756098,0.635026,0.152781,0.041421,-0.10478,1.379612,0.293169,0.400613,0.901876,0.161457,0.007724,-0.049315,1.381759,0.287908,0.68416,0.077784,-0.383836,-0.61526,-0.086978,1.357472,0.239851,0.488449,-0.455855,0.16139,-0.726338,-0.058863,1.364703,0.258104,0.675846,-0.275232,-0.0784,-0.679216,-0.064535,1.392136,0.306211,0.68416,0.077784,-0.383836,-0.61526,88,-0.128643,1.33663,0.218279,0.832668,-0.534883,0.143146,0.008564,34,I,Static,Left
8,9,0.015767,1.552895,-0.042932,0.994684,0.046251,-0.066009,-0.064092,-0.076287,1.395343,0.295462,0.214279,0.970665,-0.063044,-0.088995,-0.079698,1.420221,0.258444,0.992832,-0.012313,0.084996,-0.083123,-0.097647,1.363744,0.237323,0.83284,-0.534253,0.144477,0.008772,-0.072865,1.420634,0.297856,0.666097,0.739343,0.008632,-0.098045,-0.081394,1.384873,0.274922,0.214279,0.970665,-0.063044,-0.088995,-0.094049,1.397354,0.299858,0.245421,0.968924,-0.02127,-0.022412,-0.102689,1.425269,0.259589,0.994829,-0.010026,0.100911,-0.005691,-0.114897,1.364969,0.238911,0.83284,-0.534253,0.144477,0.008772,-0.093593,1.42612,0.303933,0.652069,0.752094,0.066914,-0.068441,-0.095828,1.38382,0.277308,0.245421,0.968924,-0.02127,-0.022412,-0.115453,1.380958,0.239086,0.83284,-0.534253,0.144477,0.008772,-0.157606,1.443137,0.310898,0.879256,-0.374612,-0.010696,0.294041,-0.142199,1.408939,0.272469,0.87962,-0.398008,-0.043349,0.256864,-0.141467,1.367846,0.247386,0.834467,-0.470786,0.133746,0.253253,-0.151294,1.430904,0.294483,0.886147,-0.338665,-0.04667,0.312844,-0.163573,1.45906,0.326619,0.879256,-0.374612,-0.010696,0.294041,-0.107954,1.399087,0.309681,0.399802,0.902239,0.161485,0.006698,-0.123067,1.41975,0.265539,0.989431,-0.064017,0.093985,0.089968,-0.133812,1.368867,0.242376,0.83284,-0.534253,0.144477,0.008772,-0.115892,1.425656,0.305605,0.755693,0.635445,0.153272,0.04056,-0.104104,1.379486,0.293488,0.399802,0.902239,0.161485,0.006698,-0.04876,1.38165,0.288147,0.68425,0.07743,-0.383044,-0.615697,-0.086484,1.357411,0.240119,0.488348,-0.456136,0.162069,-0.726078,-0.058341,1.364618,0.258339,0.675902,-0.275315,-0.077804,-0.679194,-0.063944,1.392022,0.306483,0.68425,0.07743,-0.383044,-0.615697,100,-0.128217,1.336646,0.218583,0.83284,-0.534253,0.144477,0.008772,34,I,Static,Left
9,10,0.015577,1.553101,-0.04288,0.994711,0.045864,-0.065784,-0.064175,-0.075613,1.395213,0.295705,0.214337,0.970498,-0.063389,-0.090422,-0.079084,1.42013,0.258707,0.992669,-0.011925,0.086297,-0.083779,-0.097159,1.363701,0.237584,0.832983,-0.53367,0.145794,0.008963,-0.072151,1.420498,0.298102,0.665855,0.739368,0.009011,-0.09945,-0.080789,1.384748,0.27518,0.214337,0.970498,-0.063389,-0.090422,-0.093349,1.397286,0.300191,0.245584,0.968858,-0.021249,-0.023479,-0.102066,1.425205,0.259912,0.994717,-0.010059,0.10199,-0.005969,-0.114406,1.36495,0.239207,0.832983,-0.53367,0.145794,0.008963,-0.092874,1.426056,0.304236,0.652358,0.751707,0.067434,-0.069414,-0.095183,1.383746,0.277649,0.245584,0.968858,-0.021249,-0.023479,-0.114934,1.380934,0.239388,0.832983,-0.53367,0.145794,0.008963,-0.156844,1.443013,0.311435,0.879726,-0.373486,-0.00999,0.294094,-0.141565,1.40891,0.272866,0.880506,-0.396046,-0.042206,0.257049,-0.140945,1.367845,0.247735,0.83474,-0.469919,0.134884,0.253361,-0.150571,1.430804,0.294987,0.886583,-0.337628,-0.046021,0.312825,-0.162769,1.45891,0.327199,0.879726,-0.373486,-0.00999,0.294094,-0.107241,1.398949,0.310009,0.398976,0.902604,0.161528,0.005711,-0.122437,1.419705,0.265904,0.98943,-0.062913,0.095015,0.089678,-0.133301,1.368862,0.242708,0.832983,-0.53367,0.145794,0.008963,-0.115168,1.425526,0.305966,0.755345,0.635793,0.153756,0.039754,-0.10344,1.379369,0.293779,0.398976,0.902604,0.161528,0.005711,-0.048225,1.381562,0.288362,0.684402,0.076912,-0.382225,-0.616103,-0.086002,1.357352,0.240367,0.488271,-0.456457,0.162588,-0.725812,-0.057836,1.364545,0.258556,0.675975,-0.275481,-0.077313,-0.67911,-0.063367,1.391932,0.306734,0.684402,0.076912,-0.382225,-0.616103,111,-0.127803,1.336662,0.218864,0.832983,-0.53367,0.145794,0.008963,34,I,Static,Left
