,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.027743,1.539707,-0.050767,0.991792,0.066336,-0.029918,-0.105131,-0.066257,1.34974,0.328248,0.292159,0.940595,0.143243,-0.096986,-0.085199,1.402521,0.316654,0.879621,0.43069,0.197594,0.041579,-0.116799,1.41047,0.263156,0.955039,0.137432,0.217334,0.147578,-0.069861,1.372869,0.338692,0.542969,0.817794,0.18693,-0.038141,-0.068527,1.335202,0.309778,0.292159,0.940595,0.143243,-0.096986,-0.083494,1.338067,0.330519,0.218802,0.966476,0.131272,-0.028614,-0.106328,1.399356,0.3266,0.839371,0.503068,0.191994,0.074277,-0.133103,1.40727,0.268358,0.955039,0.137432,0.217334,0.147578,-0.088351,1.362411,0.345621,0.489753,0.848741,0.198793,-0.016223,-0.083432,1.325611,0.307288,0.218802,0.966476,0.131272,-0.028614,-0.130395,1.410282,0.28361,0.955039,0.137432,0.217334,0.147578,-0.121355,1.336005,0.327947,0.30134,0.910639,0.224711,0.171571,-0.145685,1.379015,0.321044,0.820096,0.513786,0.140135,0.209352,-0.156787,1.396666,0.277645,0.921948,0.216236,0.050605,0.317321,-0.131267,1.353612,0.335066,0.547833,0.801602,0.153564,0.183661,-0.110388,1.324311,0.311235,0.30134,0.910639,0.224711,0.171571,-0.101341,1.333734,0.331419,0.193667,0.959484,0.197835,0.052403,-0.126183,1.390033,0.326445,0.840081,0.505208,0.152301,0.125828,-0.149969,1.402702,0.276297,0.955039,0.137432,0.217334,0.147578,-0.110429,1.356697,0.344671,0.506651,0.838477,0.182698,0.082961,-0.096435,1.323186,0.308486,0.193667,0.959484,0.197835,0.052403,-0.052448,1.383717,0.289093,0.710146,0.165122,0.378072,-0.570517,-0.10684,1.407207,0.255278,0.713352,-0.148041,0.55672,-0.399094,-0.075551,1.399211,0.26681,0.785977,0.034198,0.431558,-0.441393,-0.042439,1.367249,0.3065,0.710146,0.165122,0.378072,-0.570517,11,-0.154462,1.421208,0.24062,0.955039,0.137432,0.217334,0.147578,34,M,Static,Left
1,2,0.027718,1.539999,-0.050626,0.991908,0.065142,-0.030342,-0.104668,-0.066618,1.349899,0.329519,0.300496,0.93844,0.139052,-0.098481,-0.085193,1.402666,0.317028,0.8831,0.424685,0.19598,0.036993,-0.116739,1.410422,0.263469,0.956326,0.134046,0.217561,0.14191,-0.07009,1.373241,0.339528,0.550547,0.813362,0.18348,-0.040928,-0.068954,1.335043,0.311314,0.300496,0.93844,0.139052,-0.098481,-0.084,1.338329,0.331824,0.22642,0.96524,0.127109,-0.029827,-0.106346,1.399798,0.327012,0.842977,0.498387,0.190168,0.069548,-0.133071,1.407428,0.268707,0.956326,0.134046,0.217561,0.14191,-0.088691,1.362952,0.346521,0.49674,0.845492,0.19501,-0.019094,-0.084004,1.325507,0.308793,0.22642,0.96524,0.127109,-0.029827,-0.130327,1.410554,0.28393,0.956326,0.134046,0.217561,0.14191,-0.12197,1.336627,0.329115,0.307509,0.909877,0.221564,0.168738,-0.1459,1.379788,0.321661,0.824129,0.509502,0.138994,0.204697,-0.156853,1.397138,0.278103,0.924462,0.212234,0.051241,0.312573,-0.131719,1.354422,0.335988,0.554163,0.798531,0.150811,0.1803,-0.111115,1.324635,0.312541,0.307509,0.909877,0.221564,0.168738,-0.101955,1.334202,0.332757,0.200401,0.959026,0.193739,0.050737,-0.12629,1.390667,0.326951,0.844147,0.500093,0.150363,0.1213,-0.149977,1.403095,0.276697,0.956326,0.134046,0.217561,0.14191,-0.110859,1.357441,0.345649,0.513429,0.835403,0.179119,0.080057,-0.09712,1.323305,0.309973,0.200401,0.959026,0.193739,0.050737,-0.052644,1.383246,0.289596,0.707681,0.164096,0.374633,-0.576117,-0.106816,1.406992,0.255618,0.710369,-0.148666,0.556031,-0.405098,-0.075596,1.398786,0.26719,0.783644,0.03287,0.429639,-0.447474,-0.042818,1.366822,0.307148,0.707681,0.164096,0.374633,-0.576117,22,-0.154308,1.42131,0.240849,0.956326,0.134046,0.217561,0.14191,34,M,Static,Left
2,3,0.02768,1.540094,-0.050591,0.992022,0.063919,-0.030788,-0.104205,-0.066929,1.350128,0.330764,0.308959,0.936094,0.135386,-0.09972,-0.085197,1.402843,0.31737,0.886501,0.418554,0.194532,0.032944,-0.11669,1.410406,0.263752,0.957488,0.130815,0.217726,0.136747,-0.070297,1.37367,0.340329,0.558167,0.808707,0.180458,-0.043331,-0.069313,1.334953,0.312829,0.308959,0.936094,0.135386,-0.09972,-0.084454,1.338634,0.333081,0.233956,0.96389,0.123416,-0.030811,-0.106371,1.400248,0.327383,0.846441,0.493706,0.188485,0.065312,-0.133046,1.4076,0.26902,0.957488,0.130815,0.217726,0.136747,-0.089004,1.363522,0.34737,0.503632,0.842126,0.191602,-0.021606,-0.08451,1.325454,0.310253,0.233956,0.96389,0.123416,-0.030811,-0.13027,1.410835,0.284215,0.957488,0.130815,0.217726,0.136747,-0.122532,1.337256,0.330213,0.313418,0.909011,0.218765,0.166166,-0.146101,1.380539,0.322218,0.827928,0.505278,0.137964,0.20049,-0.156914,1.397602,0.278512,0.926738,0.208436,0.051812,0.308265,-0.132134,1.355223,0.336841,0.560248,0.795417,0.148333,0.177291,-0.111779,1.324985,0.313778,0.313418,0.909011,0.218765,0.166166,-0.102515,1.334699,0.334038,0.206974,0.95844,0.190065,0.0493,-0.126394,1.391292,0.327408,0.848047,0.494977,0.148544,0.117251,-0.149987,1.403486,0.277052,0.957488,0.130815,0.217726,0.136747,-0.111258,1.358195,0.346569,0.520049,0.832233,0.175866,0.077514,-0.097739,1.323467,0.311405,0.206974,0.95844,0.190065,0.0493,-0.052839,1.382842,0.290066,0.705361,0.163209,0.371327,-0.581331,-0.1068,1.406821,0.255928,0.707577,-0.149257,0.555343,-0.410671,-0.075646,1.398423,0.267541,0.781453,0.031655,0.427786,-0.453131,-0.043189,1.366461,0.307754,0.705361,0.163209,0.371327,-0.581331,33,-0.15417,1.421422,0.241046,0.957488,0.130815,0.217726,0.136747,34,M,Static,Left
3,4,0.027592,1.540324,-0.05063,0.992108,0.063116,-0.031154,-0.103764,-0.066394,1.350242,0.330317,0.306706,0.93656,0.136361,-0.100954,-0.084736,1.402983,0.317181,0.885453,0.420062,0.196049,0.032944,-0.116407,1.410687,0.263685,0.956874,0.132391,0.21911,0.137316,-0.069741,1.373743,0.339991,0.556182,0.809748,0.181712,-0.044174,-0.068832,1.335145,0.312324,0.306706,0.93656,0.136361,-0.100954,-0.083889,1.338713,0.332645,0.232193,0.96416,0.124291,-0.032151,-0.105876,1.400338,0.327254,0.845113,0.495402,0.190059,0.065101,-0.132743,1.407847,0.268996,0.956874,0.132391,0.21911,0.137316,-0.088411,1.363547,0.347035,0.501861,0.842872,0.192862,-0.022515,-0.084011,1.325607,0.309774,0.232193,0.96416,0.124291,-0.032151,-0.129923,1.411034,0.284195,0.956874,0.132391,0.21911,0.137316,-0.121964,1.337317,0.329932,0.311478,0.909699,0.219481,0.165101,-0.145604,1.380608,0.322156,0.826722,0.506975,0.139316,0.200249,-0.156573,1.397793,0.278537,0.926191,0.210317,0.052922,0.308443,-0.131562,1.355255,0.336643,0.558768,0.79645,0.149358,0.176464,-0.111256,1.32511,0.31342,0.311478,0.909699,0.219481,0.165101,-0.10194,1.334758,0.333655,0.204966,0.958801,0.190727,0.048104,-0.125891,1.391363,0.327316,0.846775,0.496768,0.150008,0.11701,-0.149656,1.403688,0.277072,0.956874,0.132391,0.21911,0.137316,-0.110661,1.358205,0.346294,0.518305,0.833171,0.176951,0.076643,-0.097231,1.32361,0.310966,0.204966,0.958801,0.190727,0.048104,-0.052427,1.38314,0.289702,0.704973,0.162903,0.373665,-0.580388,-0.106537,1.407143,0.255817,0.707219,-0.14925,0.557033,-0.408998,-0.075333,1.398757,0.267301,0.781053,0.031807,0.429807,-0.451898,-0.042682,1.366722,0.307304,0.704973,0.162903,0.373665,-0.580388,44,-0.153971,1.42173,0.241135,0.956874,0.132391,0.21911,0.137316,34,M,Static,Left
4,5,0.027566,1.54045,-0.050597,0.99219,0.062566,-0.031472,-0.103222,-0.066611,1.350045,0.329576,0.302606,0.93783,0.137863,-0.099488,-0.08509,1.402802,0.316803,0.884126,0.422713,0.195921,0.035358,-0.11669,1.410774,0.263302,0.956397,0.135139,0.218014,0.139686,-0.070036,1.373456,0.339439,0.553028,0.81179,0.182697,-0.042174,-0.068994,1.335107,0.311444,0.302606,0.93783,0.137863,-0.099488,-0.084103,1.338441,0.331717,0.227226,0.965235,0.125441,-0.030886,-0.106239,1.400022,0.326821,0.843204,0.498404,0.189887,0.067405,-0.133026,1.407844,0.268563,0.956397,0.135139,0.218014,0.139686,-0.088698,1.363127,0.346338,0.497974,0.845019,0.193757,-0.020601,-0.084179,1.325575,0.30871,0.227226,0.965235,0.125441,-0.030886,-0.130245,1.410932,0.283792,0.956397,0.135139,0.218014,0.139686,-0.122139,1.336925,0.328964,0.306912,0.910776,0.219998,0.167011,-0.145895,1.380201,0.321519,0.824468,0.509962,0.138612,0.202431,-0.156842,1.397645,0.277998,0.925034,0.213075,0.051403,0.310273,-0.131799,1.354774,0.335823,0.555047,0.798586,0.149448,0.178462,-0.11138,1.324912,0.312344,0.306912,0.910776,0.219998,0.167011,-0.102128,1.334412,0.33262,0.199678,0.959642,0.19174,0.049519,-0.126225,1.390984,0.326786,0.844514,0.500175,0.149762,0.11913,-0.149941,1.403571,0.276585,0.956397,0.135139,0.218014,0.139686,-0.11092,1.357705,0.345492,0.514021,0.835519,0.177578,0.078464,-0.097385,1.323525,0.309812,0.199678,0.959642,0.19174,0.049519,-0.052646,1.383331,0.289257,0.706055,0.165047,0.375227,-0.577452,-0.106794,1.407323,0.255425,0.709156,-0.147686,0.557364,-0.405749,-0.075576,1.398996,0.266915,0.782352,0.033906,0.430618,-0.448714,-0.042866,1.366838,0.306769,0.706055,0.165047,0.375227,-0.577452,56,-0.15425,1.421841,0.240763,0.956397,0.135139,0.218014,0.139686,34,M,Static,Left
5,6,0.027564,1.540482,-0.050596,0.992223,0.062628,-0.031839,-0.102752,-0.066835,1.349905,0.328909,0.298791,0.938992,0.139228,-0.098146,-0.085441,1.402664,0.31645,0.882993,0.424949,0.195776,0.037601,-0.116967,1.410874,0.262938,0.955981,0.137555,0.216932,0.141842,-0.070332,1.373233,0.338939,0.550205,0.813598,0.183595,-0.040324,-0.069168,1.335115,0.310648,0.298791,0.938992,0.139228,-0.098146,-0.084338,1.338234,0.330847,0.222175,0.966325,0.126373,-0.029752,-0.106599,1.399764,0.326413,0.84148,0.501117,0.189629,0.069531,-0.133302,1.407861,0.268152,0.955981,0.137555,0.216932,0.141842,-0.088995,1.362774,0.345694,0.49414,0.847138,0.194492,-0.018858,-0.084379,1.325612,0.307706,0.222175,0.966325,0.126373,-0.029752,-0.130559,1.41086,0.283407,0.955981,0.137555,0.216932,0.141842,-0.122332,1.3366,0.328052,0.302361,0.911868,0.220412,0.168801,-0.146188,1.37986,0.320922,0.822368,0.512748,0.13784,0.20445,-0.157108,1.397532,0.277486,0.923989,0.215484,0.049953,0.311954,-0.132049,1.354361,0.335055,0.551401,0.80069,0.149451,0.180328,-0.111527,1.324778,0.311324,0.302361,0.911868,0.220412,0.168801,-0.102337,1.334135,0.33163,0.194237,0.96052,0.192608,0.050751,-0.126559,1.390668,0.326289,0.842373,0.503393,0.149487,0.121064,-0.150222,1.403487,0.276121,0.955981,0.137555,0.216932,0.141842,-0.111187,1.357275,0.344735,0.5097,0.837893,0.178123,0.080086,-0.097572,1.323515,0.308701,0.194237,0.96052,0.192608,0.050751,-0.052866,1.383543,0.28886,0.707153,0.167044,0.376444,-0.574735,-0.107045,1.407507,0.255056,0.711021,-0.146326,0.557497,-0.402785,-0.075817,1.399242,0.266564,0.783639,0.035759,0.431196,-0.445759,-0.043061,1.366986,0.306298,0.707153,0.167044,0.376444,-0.574735,66,-0.15452,1.421957,0.240401,0.955981,0.137555,0.216932,0.141842,34,M,Static,Left
6,7,0.027571,1.540478,-0.05058,0.992248,0.062562,-0.032181,-0.102438,-0.067064,1.349809,0.328303,0.295223,0.940063,0.140477,-0.096907,-0.085788,1.402562,0.316119,0.882021,0.426848,0.195613,0.039697,-0.117237,1.410983,0.262592,0.955618,0.139693,0.215864,0.143816,-0.070629,1.373062,0.338484,0.547657,0.815214,0.184415,-0.0386,-0.069351,1.33516,0.309924,0.295223,0.940063,0.140477,-0.096907,-0.08459,1.338081,0.33003,0.217099,0.967409,0.127133,-0.028725,-0.106956,1.399552,0.326028,0.839911,0.503587,0.189305,0.071506,-0.133573,1.407896,0.267758,0.955618,0.139693,0.215864,0.143816,-0.089298,1.362477,0.345095,0.490377,0.849216,0.1951,-0.017256,-0.084604,1.325705,0.306756,0.217099,0.967409,0.127133,-0.028725,-0.130868,1.410815,0.283038,0.955618,0.139693,0.215864,0.143816,-0.122538,1.33633,0.327189,0.297857,0.912956,0.220743,0.170486,-0.146482,1.379573,0.320358,0.820403,0.515356,0.137019,0.20633,-0.157371,1.397448,0.276997,0.92304,0.217602,0.048563,0.313509,-0.132307,1.354007,0.334332,0.54784,0.802746,0.149388,0.182082,-0.111694,1.324696,0.310354,0.297857,0.912956,0.220743,0.170486,-0.102561,1.333916,0.330682,0.188722,0.96141,0.193358,0.051837,-0.126892,1.390404,0.325818,0.84034,0.50644,0.14919,0.122841,-0.150498,1.403428,0.275677,0.955618,0.139693,0.215864,0.143816,-0.111462,1.356903,0.344019,0.50538,0.840264,0.178601,0.081546,-0.097784,1.323565,0.307632,0.188722,0.96141,0.193358,0.051837,-0.053089,1.383772,0.288505,0.708258,0.168914,0.377384,-0.572206,-0.107291,1.407694,0.254708,0.71282,-0.145134,0.55747,-0.400063,-0.076055,1.399494,0.266241,0.784911,0.037409,0.431585,-0.443,-0.043265,1.36716,0.30588,0.708258,0.168914,0.377384,-0.572206,78,-0.15478,1.422078,0.240048,0.955618,0.139693,0.215864,0.143816,34,M,Static,Left
7,8,0.027581,1.540446,-0.050556,0.992247,0.0629,-0.032437,-0.102166,-0.067129,1.350339,0.329277,0.299537,0.938849,0.137487,-0.09969,-0.085562,1.403109,0.316632,0.883812,0.423489,0.195656,0.035388,-0.117113,1.411469,0.263153,0.956233,0.137985,0.217232,0.139243,-0.070528,1.373718,0.339223,0.551547,0.812858,0.18242,-0.042205,-0.069551,1.335518,0.311054,0.299537,0.938849,0.137487,-0.09969,-0.084797,1.338706,0.330961,0.220154,0.967063,0.123814,-0.031501,-0.106722,1.400321,0.326624,0.841479,0.501694,0.189049,0.066913,-0.133455,1.408539,0.268388,0.956233,0.137985,0.217232,0.139243,-0.089277,1.363239,0.345872,0.492926,0.848205,0.192688,-0.021089,-0.084977,1.326169,0.307774,0.220154,0.967063,0.123814,-0.031501,-0.130681,1.411522,0.283644,0.956233,0.137985,0.217232,0.139243,-0.122774,1.337226,0.328126,0.300497,0.913332,0.218265,0.166995,-0.14642,1.380619,0.321193,0.822065,0.514425,0.137278,0.201821,-0.157305,1.398327,0.277763,0.924805,0.215603,0.050071,0.309425,-0.132379,1.35501,0.335224,0.550134,0.80237,0.147912,0.17798,-0.112084,1.325421,0.311312,0.300497,0.913332,0.218265,0.166995,-0.102806,1.334676,0.331658,0.192003,0.961542,0.190198,0.048951,-0.126728,1.391328,0.32653,0.842015,0.504759,0.149114,0.118297,-0.15039,1.404246,0.276387,0.956233,0.137985,0.217232,0.139243,-0.111488,1.357818,0.344872,0.508161,0.839396,0.176512,0.077664,-0.09818,1.324128,0.308667,0.192003,0.961542,0.190198,0.048951,-0.05308,1.384011,0.289074,0.706529,0.167276,0.375837,-0.575831,-0.107217,1.408062,0.255256,0.710444,-0.146004,0.5575,-0.403913,-0.076008,1.399733,0.26677,0.78312,0.035689,0.43108,-0.446788,-0.043323,1.367445,0.306531,0.706529,0.167276,0.375837,-0.575831,89,-0.15464,1.422722,0.240663,0.956233,0.137985,0.217232,0.139243,34,M,Static,Left
8,9,0.02761,1.540433,-0.050524,0.992228,0.062995,-0.03288,-0.102149,-0.067198,1.350865,0.330211,0.303849,0.937586,0.134792,-0.102174,-0.085376,1.403634,0.317103,0.885568,0.420104,0.195681,0.031495,-0.117013,1.411937,0.263665,0.956799,0.136364,0.218422,0.13503,-0.070453,1.374363,0.339922,0.555434,0.810435,0.180624,-0.045437,-0.069738,1.335875,0.312143,0.303849,0.937586,0.134792,-0.102174,-0.085007,1.339312,0.331831,0.223032,0.966705,0.120757,-0.034005,-0.106527,1.401053,0.327168,0.842966,0.49984,0.188769,0.062718,-0.133361,1.40915,0.268959,0.956799,0.136364,0.218422,0.13503,-0.08928,1.363972,0.346593,0.495351,0.847204,0.190448,-0.024572,-0.085337,1.326625,0.308727,0.223032,0.966705,0.120757,-0.034005,-0.130524,1.412193,0.284193,0.956799,0.136364,0.218422,0.13503,-0.12301,1.338079,0.328977,0.302894,0.913663,0.215972,0.163802,-0.146381,1.381608,0.321952,0.823556,0.513588,0.137495,0.197682,-0.157259,1.399159,0.278456,0.926422,0.213698,0.051403,0.305669,-0.132463,1.35596,0.336035,0.552185,0.802039,0.146541,0.174218,-0.112463,1.326118,0.312183,0.302894,0.913663,0.215972,0.163802,-0.103052,1.335406,0.33256,0.195093,0.961621,0.187291,0.046329,-0.126598,1.392204,0.327177,0.843572,0.503146,0.149011,0.114136,-0.150305,1.40502,0.277029,0.956799,0.136364,0.218422,0.13503,-0.111534,1.358689,0.345655,0.510765,0.838539,0.174574,0.074124,-0.098562,1.324674,0.309627,0.195093,0.961621,0.187291,0.046329,-0.053091,1.384265,0.289612,0.705028,0.165779,0.374268,-0.579117,-0.107163,1.40842,0.255758,0.708336,-0.146842,0.557387,-0.407453,-0.075981,1.399978,0.267263,0.78155,0.034054,0.430491,-0.45022,-0.043399,1.367746,0.307149,0.705028,0.165779,0.374268,-0.579117,100,-0.154521,1.423333,0.241218,0.956799,0.136364,0.218422,0.13503,34,M,Static,Left
9,10,0.027657,1.54044,-0.050478,0.992262,0.062653,-0.033351,-0.101871,-0.06607,1.351277,0.328802,0.297505,0.938772,0.138888,-0.104442,-0.084622,1.404005,0.316338,0.883074,0.423189,0.199922,0.033506,-0.116672,1.412364,0.263152,0.955213,0.138523,0.221729,0.138625,-0.069364,1.374643,0.338815,0.550058,0.813038,0.185121,-0.046218,-0.06869,1.336507,0.310565,0.297505,0.938772,0.138888,-0.104442,-0.083734,1.339603,0.330506,0.218337,0.967146,0.124927,-0.036763,-0.105688,1.401218,0.326528,0.840029,0.502755,0.193536,0.064284,-0.132964,1.409428,0.268538,0.955213,0.138523,0.221729,0.138625,-0.08804,1.364102,0.345524,0.490828,0.848694,0.195318,-0.025654,-0.084175,1.32712,0.307293,0.218337,0.967146,0.124927,-0.036763,-0.130049,1.412406,0.283772,0.955213,0.138523,0.221729,0.138625,-0.121691,1.33811,0.328024,0.298695,0.914389,0.219877,0.16226,-0.145432,1.38151,0.321474,0.820562,0.516595,0.14183,0.199229,-0.156726,1.399208,0.278144,0.924567,0.216949,0.054445,0.308457,-0.131221,1.355872,0.335277,0.548213,0.804047,0.151001,0.173697,-0.11118,1.326329,0.311081,0.298695,0.914389,0.219877,0.16226,-0.101712,1.335559,0.331353,0.190181,0.961941,0.191261,0.043829,-0.125693,1.392222,0.326623,0.840575,0.506385,0.153731,0.115651,-0.149825,1.405127,0.276701,0.955213,0.138523,0.221729,0.138625,-0.110246,1.358671,0.344715,0.506229,0.840375,0.179303,0.073165,-0.097337,1.325048,0.308296,0.190181,0.961941,0.191261,0.043829,-0.052359,1.385149,0.288586,0.706378,0.162965,0.379328,-0.574963,-0.106848,1.408968,0.25516,0.708944,-0.14881,0.559708,-0.402469,-0.075526,1.400754,0.266447,0.782284,0.032591,0.434018,-0.445644,-0.042343,1.368661,0.305968,0.706378,0.162965,0.379328,-0.574963,111,-0.154411,1.423595,0.241015,0.955213,0.138523,0.221729,0.138625,34,M,Static,Left
