,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.036917,1.546128,-0.028929,0.988371,0.079743,-0.101751,-0.080072,-0.109978,1.434215,0.349428,0.002975,0.998129,-0.050027,0.035044,-0.106538,1.463853,0.319641,0.995353,0.075818,-0.030681,-0.050818,-0.117558,1.411169,0.288875,0.88677,-0.460663,0.028949,-0.0243,-0.109289,1.45794,0.359108,0.557662,0.828752,-0.044641,0.013825,-0.108753,1.432948,0.32588,0.002975,0.998129,-0.050027,0.035044,-0.128332,1.431592,0.349383,-0.003672,0.994192,-0.0216,0.105371,-0.129435,1.46805,0.315975,0.993515,0.106382,-0.023847,0.032291,-0.134717,1.412476,0.285249,0.88677,-0.460663,0.028949,-0.0243,-0.13127,1.45841,0.360175,0.558228,0.827958,0.013802,0.051738,-0.12318,1.43048,0.323555,-0.003672,0.994192,-0.0216,0.105371,-0.13404,1.427746,0.285957,0.88677,-0.460663,0.028949,-0.0243,-0.155698,1.418091,0.335396,0.012095,0.980247,0.187713,0.061105,-0.16969,1.448734,0.315977,0.965226,0.213384,0.090334,0.121025,-0.160345,1.412737,0.285396,0.87596,-0.42712,-0.001499,0.22419,-0.162366,1.436095,0.344899,0.516503,0.839961,0.127543,0.10688,-0.152113,1.416978,0.312543,0.012095,0.980247,0.187713,0.061105,-0.142206,1.422725,0.342935,-0.037553,0.990984,0.104499,0.07497,-0.150228,1.461067,0.315794,0.982286,0.170128,0.002595,0.078516,-0.151812,1.414814,0.282638,0.88677,-0.460663,0.028949,-0.0243,-0.14892,1.447337,0.354542,0.532778,0.837521,0.074962,0.095329,-0.138497,1.423328,0.317497,-0.037553,0.990984,0.104499,0.07497,-0.099849,1.420196,0.360905,0.594607,0.205752,-0.402482,-0.664919,-0.109314,1.404332,0.296332,0.563225,-0.201915,0.067271,-0.798425,-0.095659,1.408448,0.327517,0.661892,-0.068448,-0.164105,-0.728206,-0.118535,1.428442,0.376942,0.594607,0.205752,-0.402482,-0.664919,11,-0.138644,1.387441,0.255938,0.88677,-0.460663,0.028949,-0.0243,34,S,Static,Left
1,2,0.036738,1.54609,-0.028932,0.988304,0.080341,-0.102085,-0.079874,-0.109981,1.434064,0.349191,0.003269,0.998046,-0.051855,0.034717,-0.106451,1.463681,0.319386,0.995282,0.075564,-0.030497,-0.052669,-0.117734,1.411051,0.288625,0.88676,-0.460499,0.030408,-0.025936,-0.109198,1.457793,0.358857,0.557943,0.82851,-0.045977,0.012526,-0.108776,1.432783,0.325643,0.003269,0.998046,-0.051855,0.034717,-0.128345,1.431521,0.34912,-0.004085,0.99419,-0.023533,0.10496,-0.129334,1.467976,0.315747,0.993576,0.106415,-0.023687,0.030345,-0.134891,1.412434,0.285015,0.88676,-0.460499,0.030408,-0.025936,-0.131173,1.458337,0.359946,0.557831,0.828332,0.012442,0.050359,-0.123218,1.430422,0.323287,-0.004085,0.99419,-0.023533,0.10496,-0.134142,1.427699,0.285722,0.88676,-0.460499,0.030408,-0.025936,-0.155795,1.418083,0.335136,0.011757,0.98079,0.185153,0.060263,-0.169671,1.448831,0.315786,0.965275,0.214483,0.090697,0.118383,-0.160512,1.412803,0.285186,0.87649,-0.426889,-0.00015,0.222555,-0.162352,1.43611,0.344673,0.516165,0.840692,0.12582,0.10479,-0.152257,1.416967,0.312277,0.011757,0.98079,0.185153,0.060263,-0.142267,1.422701,0.342693,-0.037752,0.991231,0.10238,0.074536,-0.150157,1.461081,0.315585,0.982415,0.170357,0.002739,0.076363,-0.151972,1.414845,0.28242,0.88676,-0.460499,0.030408,-0.025936,-0.148865,1.447332,0.354327,0.532603,0.837939,0.07348,0.09377,-0.138584,1.423304,0.317251,-0.037752,0.991231,0.10238,0.074536,-0.100004,1.419938,0.360658,0.592669,0.206189,-0.403884,-0.665663,-0.109517,1.404177,0.296076,0.561451,-0.201542,0.068156,-0.799693,-0.095839,1.408199,0.327263,0.660243,-0.068234,-0.16392,-0.729763,-0.118716,1.428252,0.37663,0.592669,0.206189,-0.403884,-0.665663,22,-0.13895,1.387423,0.255698,0.88676,-0.460499,0.030408,-0.025936,34,S,Static,Left
2,3,0.036552,1.546048,-0.028925,0.988269,0.080373,-0.102461,-0.079795,-0.110337,1.43333,0.350401,0.000816,0.997834,-0.05358,0.038169,-0.106496,1.463079,0.32076,0.994896,0.078079,-0.034066,-0.054094,-0.117743,1.410638,0.289663,0.887932,-0.458195,0.02815,-0.029015,-0.109545,1.457011,0.360182,0.555888,0.829664,-0.049363,0.014474,-0.108967,1.432154,0.326856,0.000816,0.997834,-0.05358,0.038169,-0.128705,1.430805,0.350184,-0.006077,0.993751,-0.025367,0.108528,-0.129338,1.467471,0.31698,0.993218,0.109155,-0.02751,0.029095,-0.134869,1.412098,0.28594,0.887932,-0.458195,0.02815,-0.029015,-0.131525,1.457582,0.361109,0.556103,0.829406,0.008955,0.052496,-0.123394,1.429797,0.324384,-0.006077,0.993751,-0.025367,0.108528,-0.134074,1.427357,0.286727,0.887932,-0.458195,0.02815,-0.029015,-0.156109,1.417591,0.33599,0.011019,0.980896,0.183313,0.064176,-0.16974,1.448466,0.316644,0.965391,0.216044,0.086608,0.117667,-0.16049,1.412556,0.285934,0.877903,-0.425536,-0.003033,0.219535,-0.162674,1.435611,0.345534,0.515514,0.841307,0.122277,0.107218,-0.152405,1.416533,0.313154,0.011019,0.980896,0.183313,0.064176,-0.142618,1.422098,0.343625,-0.039443,0.991063,0.100535,0.078302,-0.150183,1.460649,0.31664,0.982126,0.172554,-0.001142,0.075181,-0.151924,1.414581,0.283237,0.887932,-0.458195,0.02815,-0.029015,-0.149208,1.446702,0.35532,0.531205,0.838894,0.069872,0.095894,-0.138754,1.422799,0.318212,-0.039443,0.991063,0.100535,0.078302,-0.100445,1.419067,0.361881,0.589564,0.208844,-0.404014,-0.667511,-0.109602,1.403699,0.297138,0.560741,-0.196972,0.068686,-0.801283,-0.096136,1.4075,0.328445,0.658445,-0.06461,-0.16361,-0.731784,-0.119208,1.427368,0.377799,0.589564,0.208844,-0.404014,-0.667511,33,-0.138809,1.387244,0.256474,0.887932,-0.458195,0.02815,-0.029015,34,S,Static,Left
3,4,0.036352,1.546027,-0.028913,0.988252,0.08053,-0.102652,-0.079598,-0.110557,1.433263,0.350619,0.000379,0.997923,-0.051079,0.039246,-0.106801,1.463052,0.32101,0.994961,0.078602,-0.034945,-0.051506,-0.117713,1.410591,0.289829,0.888299,-0.457718,0.025997,-0.027259,-0.109907,1.456939,0.36042,0.555464,0.829991,-0.047884,0.016776,-0.10913,1.432106,0.327077,0.000379,0.997923,-0.051079,0.039246,-0.128912,1.43064,0.350362,-0.006843,0.993678,-0.02279,0.109718,-0.129657,1.467333,0.317184,0.993058,0.109608,-0.02844,0.031824,-0.134838,1.411968,0.286068,0.888299,-0.457718,0.025997,-0.027259,-0.131899,1.457395,0.361298,0.555701,0.829498,0.010432,0.054967,-0.123532,1.429684,0.324575,-0.006843,0.993678,-0.02279,0.109718,-0.13412,1.427231,0.286874,0.888299,-0.457718,0.025997,-0.027259,-0.156214,1.417294,0.336076,0.010399,0.980346,0.185819,0.065456,-0.169961,1.448123,0.316733,0.96505,0.216269,0.08596,0.120489,-0.160459,1.412296,0.286003,0.877584,-0.425267,-0.005235,0.221284,-0.162896,1.435269,0.345625,0.514898,0.841152,0.123791,0.109631,-0.152452,1.416287,0.313247,0.010399,0.980346,0.185819,0.065456,-0.142766,1.421856,0.343749,-0.04003,0.990694,0.103052,0.079392,-0.150466,1.460406,0.316788,0.981821,0.173093,-0.001853,0.077872,-0.151897,1.414368,0.283328,0.888299,-0.457718,0.025997,-0.027259,-0.149507,1.446414,0.355452,0.53062,0.83887,0.071338,0.09824,-0.138847,1.422602,0.318345,-0.04003,0.990694,0.103052,0.079392,-0.100596,1.419037,0.3621,0.590847,0.210512,-0.403448,-0.666194,-0.109556,1.403685,0.297316,0.562986,-0.195947,0.067877,-0.800028,-0.096184,1.407526,0.328658,0.660167,-0.063358,-0.163853,-0.730286,-0.119416,1.42723,0.378007,0.590847,0.210512,-0.403448,-0.666194,44,-0.138583,1.387128,0.256564,0.888299,-0.457718,0.025997,-0.027259,34,S,Static,Left
4,5,0.036149,1.546012,-0.028911,0.988208,0.080761,-0.10298,-0.079486,-0.110757,1.433191,0.350817,2.5e-05,0.997997,-0.048832,0.040228,-0.107077,1.463018,0.321236,0.995013,0.079072,-0.035752,-0.049177,-0.117687,1.410543,0.289976,0.888643,-0.457247,0.024046,-0.025688,-0.110234,1.456864,0.360636,0.555092,0.830271,-0.046563,0.018859,-0.109278,1.432052,0.327277,2.5e-05,0.997997,-0.048832,0.040228,-0.1291,1.430485,0.350524,-0.007577,0.993601,-0.020461,0.110818,-0.129944,1.467198,0.317367,0.992908,0.109998,-0.029308,0.034294,-0.13481,1.411846,0.28618,0.888643,-0.457247,0.024046,-0.025688,-0.132238,1.457217,0.361469,0.555316,0.829585,0.011753,0.057222,-0.123657,1.429577,0.324748,-0.007577,0.993601,-0.020461,0.110818,-0.134161,1.42711,0.287003,0.888643,-0.457247,0.024046,-0.025688,-0.156309,1.417015,0.336146,0.009755,0.979846,0.188062,0.066632,-0.170159,1.447805,0.316812,0.964717,0.216559,0.085359,0.123033,-0.16043,1.412056,0.286061,0.87731,-0.424988,-0.007241,0.222846,-0.163096,1.434947,0.345702,0.514258,0.841057,0.125137,0.111816,-0.152495,1.416057,0.313323,0.009755,0.979846,0.188062,0.066632,-0.142899,1.421627,0.343856,-0.040602,0.990351,0.105318,0.080399,-0.150721,1.460176,0.31692,0.981531,0.173616,-0.002519,0.080303,-0.151872,1.41417,0.283406,0.888643,-0.457247,0.024046,-0.025688,-0.149777,1.446142,0.35557,0.530049,0.838866,0.072645,0.100375,-0.13893,1.422417,0.318462,-0.040602,0.990351,0.105318,0.080399,-0.100741,1.419,0.362298,0.591972,0.212067,-0.402967,-0.664993,-0.109516,1.403664,0.297475,0.565011,-0.194964,0.067135,-0.798903,-0.096232,1.407541,0.32885,0.661706,-0.062187,-0.16408,-0.728942,-0.119614,1.427094,0.378192,0.591972,0.212067,-0.402967,-0.664993,55,-0.138378,1.387023,0.256639,0.888643,-0.457247,0.024046,-0.025688,34,S,Static,Left
5,6,0.03593,1.545981,-0.028901,0.988181,0.080917,-0.103228,-0.079345,-0.110031,1.433416,0.350311,0.002001,0.997945,-0.051786,0.037694,-0.106328,1.463099,0.320613,0.995099,0.076929,-0.033472,-0.052343,-0.117415,1.410559,0.28963,0.887533,-0.459107,0.027681,-0.027211,-0.109315,1.457115,0.360052,0.556564,0.829304,-0.047588,0.015095,-0.108683,1.432186,0.326768,0.002001,0.997945,-0.051786,0.037694,-0.128392,1.43082,0.350153,-0.00503,0.993835,-0.023236,0.108288,-0.12919,1.467401,0.316845,0.993307,0.107925,-0.026971,0.031081,-0.13455,1.411949,0.285918,0.887533,-0.459107,0.027681,-0.027211,-0.131312,1.457618,0.361,0.557227,0.828574,0.010827,0.053359,-0.12309,1.429768,0.324353,-0.00503,0.993835,-0.023236,0.108288,-0.133805,1.427212,0.286673,0.887533,-0.459107,0.027681,-0.027211,-0.155759,1.417441,0.335956,0.011131,0.980605,0.1851,0.06346,-0.169522,1.448248,0.316581,0.965263,0.215373,0.087612,0.119194,-0.160168,1.412313,0.285931,0.877094,-0.42627,-0.00321,0.221336,-0.162378,1.435453,0.345479,0.515901,0.840754,0.124109,0.107589,-0.152082,1.41638,0.313115,0.011131,0.980605,0.1851,0.06346,-0.142281,1.422011,0.343599,-0.03836,0.990974,0.102312,0.077667,-0.15001,1.460503,0.316536,0.982133,0.171804,-0.00025,0.076805,-0.151612,1.414364,0.283223,0.887533,-0.459107,0.027681,-0.027211,-0.148944,1.446621,0.355238,0.532055,0.838153,0.071667,0.09634,-0.138442,1.42266,0.318181,-0.03836,0.990974,0.102312,0.077667,-0.10007,1.419155,0.361842,0.591044,0.208548,-0.403709,-0.666479,-0.109246,1.403663,0.297115,0.561949,-0.197604,0.067815,-0.800355,-0.095786,1.407556,0.328413,0.659648,-0.065449,-0.163602,-0.730627,-0.118835,1.42742,0.377777,0.591044,0.208548,-0.403709,-0.666479,66,-0.13842,1.387024,0.256501,0.887533,-0.459107,0.027681,-0.027211,34,S,Static,Left
6,7,0.035718,1.54597,-0.028887,0.988181,0.080876,-0.103477,-0.079053,-0.109406,1.432893,0.349814,0.001511,0.998091,-0.050266,0.035845,-0.105903,1.462631,0.320154,0.995179,0.077646,-0.031521,-0.05095,-0.11694,1.410105,0.289128,0.887889,-0.458487,0.028602,-0.024986,-0.10873,1.456577,0.359594,0.555896,0.829891,-0.045299,0.014441,-0.10814,1.431692,0.326265,0.001511,0.998091,-0.050266,0.035845,-0.127761,1.430245,0.349735,-0.00575,0.994059,-0.021775,0.106484,-0.128792,1.466868,0.316477,0.993234,0.108672,-0.025042,0.032409,-0.134093,1.411448,0.285479,0.887889,-0.458487,0.028602,-0.024986,-0.130725,1.45702,0.360626,0.556605,0.828998,0.013074,0.052743,-0.122549,1.42924,0.323915,-0.00575,0.994059,-0.021775,0.106484,-0.133392,1.426713,0.286257,0.887889,-0.458487,0.028602,-0.024986,-0.155136,1.416771,0.335588,0.009925,0.980462,0.186478,0.061816,-0.169065,1.44759,0.316328,0.964657,0.216628,0.08968,0.120275,-0.159712,1.411733,0.285586,0.877097,-0.425161,-0.002455,0.223459,-0.161771,1.434747,0.345167,0.514794,0.841215,0.126191,0.106868,-0.15154,1.415756,0.312732,0.009925,0.980462,0.186478,0.061816,-0.141644,1.42138,0.343208,-0.039139,0.990934,0.103699,0.075931,-0.149591,1.459905,0.316232,0.981851,0.172861,0.001748,0.078002,-0.151172,1.413815,0.282851,0.887889,-0.458487,0.028602,-0.024986,-0.148341,1.445955,0.354903,0.531236,0.838558,0.073823,0.095705,-0.137896,1.422066,0.317778,-0.039139,0.990934,0.103699,0.075931,-0.09935,1.418592,0.361305,0.592508,0.208306,-0.401318,-0.666698,-0.108723,1.403223,0.296571,0.563164,-0.19841,0.069393,-0.799165,-0.095168,1.407083,0.327833,0.661002,-0.065909,-0.161534,-0.729821,-0.118065,1.426772,0.377343,0.592508,0.208306,-0.401318,-0.666698,77,-0.137993,1.386558,0.256037,0.887889,-0.458487,0.028602,-0.024986,34,S,Static,Left
7,8,0.035498,1.545961,-0.028845,0.988181,0.080938,-0.103663,-0.078753,-0.108812,1.432394,0.349342,0.001177,0.998222,-0.048866,0.0341,-0.105496,1.462182,0.319716,0.995249,0.078305,-0.029685,-0.049666,-0.116491,1.409673,0.288646,0.888226,-0.457886,0.0295,-0.022924,-0.108171,1.456065,0.359157,0.555301,0.830414,-0.043166,0.013809,-0.107624,1.431214,0.325788,0.001177,0.998222,-0.048866,0.0341,-0.127162,1.429701,0.349336,-0.006397,0.994265,-0.020444,0.104775,-0.128409,1.46636,0.316124,0.993164,0.10935,-0.02322,0.033612,-0.13366,1.410974,0.285059,0.888226,-0.457886,0.0295,-0.022924,-0.130164,1.456455,0.360268,0.55603,0.829387,0.015158,0.052128,-0.122034,1.428739,0.323497,-0.006397,0.994265,-0.020444,0.104775,-0.133,1.426239,0.285858,0.888226,-0.457886,0.0295,-0.022924,-0.154543,1.416132,0.335231,0.008855,0.980331,0.187724,0.06028,-0.168628,1.446969,0.316083,0.964062,0.217915,0.091636,0.121249,-0.159279,1.411186,0.285255,0.87711,-0.424097,-0.00172,0.225424,-0.161191,1.434075,0.344863,0.513742,0.841657,0.12811,0.10616,-0.151023,1.415158,0.312363,0.008855,0.980331,0.187724,0.06028,-0.141039,1.42078,0.342833,-0.039824,0.990895,0.104976,0.074309,-0.149189,1.459339,0.315939,0.981574,0.173901,0.003624,0.079102,-0.150755,1.413296,0.282493,0.888226,-0.457886,0.0295,-0.022924,-0.147765,1.445321,0.35458,0.530463,0.838938,0.075825,0.095096,-0.137375,1.421497,0.317391,-0.039824,0.990895,0.104976,0.074309,-0.098662,1.418049,0.360792,0.593872,0.207941,-0.398892,-0.667054,-0.108228,1.402803,0.296051,0.564266,-0.199139,0.070935,-0.79807,-0.094583,1.406627,0.327277,0.662231,-0.066378,-0.15948,-0.729116,-0.11732,1.426149,0.376937,0.593872,0.207941,-0.398892,-0.667054,88,-0.137592,1.386118,0.255592,0.888226,-0.457886,0.0295,-0.022924,34,S,Static,Left
8,9,0.035292,1.545996,-0.028785,0.988189,0.080872,-0.103959,-0.078331,-0.108653,1.4318,0.349226,-0.001906,0.998209,-0.047583,0.036211,-0.105288,1.461784,0.319815,0.994991,0.08166,-0.031695,-0.048171,-0.115998,1.409404,0.288437,0.889515,-0.455558,0.026828,-0.022576,-0.108125,1.455406,0.359203,0.552382,0.832305,-0.043303,0.016366,-0.107356,1.430761,0.325671,-0.001906,0.998209,-0.047583,0.036211,-0.126992,1.429077,0.34917,-0.008835,0.994032,-0.019207,0.107021,-0.128196,1.465912,0.316138,0.99276,0.111954,-0.025437,0.035298,-0.133154,1.410676,0.284772,0.889515,-0.455558,0.026828,-0.022576,-0.130125,1.455767,0.36022,0.553929,0.830616,0.014975,0.054923,-0.121742,1.428245,0.323352,-0.008835,0.994032,-0.019207,0.107021,-0.132528,1.425937,0.285643,0.889515,-0.455558,0.026828,-0.022576,-0.154264,1.415498,0.334859,0.006874,0.979914,0.189036,0.063137,-0.168356,1.446403,0.315811,0.96347,0.220191,0.089411,0.123483,-0.158758,1.410809,0.284841,0.877869,-0.422325,-0.004963,0.225751,-0.161012,1.43337,0.344553,0.511685,0.842544,0.127906,0.109263,-0.150629,1.414644,0.312003,0.006874,0.979914,0.189036,0.063137,-0.140814,1.420149,0.342549,-0.042201,0.990475,0.106251,0.076745,-0.148954,1.458831,0.315822,0.980998,0.176352,0.001482,0.080869,-0.150228,1.412959,0.282129,0.889515,-0.455558,0.026828,-0.022576,-0.147661,1.44461,0.354393,0.528318,0.839991,0.075561,0.097904,-0.137038,1.421005,0.317128,-0.042201,0.990475,0.106251,0.076745,-0.098673,1.417475,0.360729,0.593091,0.212028,-0.398687,-0.666585,-0.107765,1.402517,0.295859,0.56614,-0.195356,0.070824,-0.797687,-0.094327,1.406228,0.327189,0.66296,-0.062017,-0.160109,-0.7287,-0.11745,1.425439,0.376802,0.593091,0.212028,-0.398687,-0.666585,99,-0.136859,1.385961,0.255148,0.889515,-0.455558,0.026828,-0.022576,34,S,Static,Left
9,10,0.035076,1.545998,-0.028731,0.988191,0.080841,-0.104196,-0.078022,-0.107787,1.432117,0.347058,-0.000398,0.998531,-0.044144,0.031427,-0.104911,1.462074,0.317567,0.995359,0.08072,-0.026677,-0.0451,-0.115562,1.409561,0.286395,0.889035,-0.456561,0.029466,-0.017319,-0.107327,1.455742,0.356991,0.553203,0.832067,-0.037763,0.014315,-0.106711,1.43102,0.323494,-0.000398,0.998531,-0.044144,0.031427,-0.126105,1.42925,0.347179,-0.008083,0.994607,-0.015766,0.102194,-0.127882,1.466036,0.314103,0.99282,0.111546,-0.020212,0.038172,-0.132761,1.410709,0.282889,0.889035,-0.456561,0.029466,-0.017319,-0.129313,1.455938,0.358215,0.554363,0.830346,0.020536,0.052782,-0.1211,1.428401,0.321313,-0.008083,0.994607,-0.015766,0.102194,-0.132225,1.425974,0.283722,0.889035,-0.456561,0.029466,-0.017319,-0.153416,1.41544,0.333134,0.00651,0.979585,0.192319,0.058182,-0.167906,1.446246,0.314194,0.962666,0.220198,0.09506,0.125498,-0.158356,1.410662,0.283197,0.876705,-0.42202,-0.002039,0.230832,-0.160185,1.433282,0.342868,0.511307,0.842274,0.133273,0.106672,-0.150001,1.414573,0.310245,0.00651,0.979585,0.192319,0.058182,-0.13992,1.420202,0.340698,-0.041736,0.990496,0.109594,0.071865,-0.148592,1.458809,0.313997,0.980768,0.176282,0.006867,0.083491,-0.149867,1.412867,0.2804,0.889035,-0.456561,0.029466,-0.017319,-0.146827,1.444634,0.352567,0.528295,0.839742,0.081095,0.095719,-0.136387,1.421021,0.31524,-0.041736,0.990496,0.109594,0.071865,-0.097679,1.417868,0.358525,0.597181,0.210124,-0.396032,-0.665118,-0.10722,1.402745,0.293758,0.568369,-0.199436,0.071942,-0.794988,-0.093541,1.406596,0.324967,0.666043,-0.065078,-0.158096,-0.726056,-0.116376,1.425731,0.374741,0.597181,0.210124,-0.396032,-0.665118,111,-0.136568,1.385913,0.253341,0.889035,-0.456561,0.029466,-0.017319,34,S,Static,Left
