,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.000594,1.544258,-0.030815,0.991877,0.073122,-0.080491,-0.065993,-0.111745,1.403713,0.311215,0.521257,0.469476,0.662385,0.262925,-0.171976,1.392395,0.300008,0.661341,0.181663,0.521665,0.507436,-0.16718,1.353274,0.251639,0.621612,-0.197019,0.226274,0.72359,-0.136999,1.403961,0.315598,0.553142,0.398017,0.6535,0.329476,-0.089253,1.40056,0.304751,0.521257,0.469476,0.662385,0.262925,-0.125743,1.371216,0.290871,-0.141525,0.701495,0.558947,-0.418871,-0.17351,1.372901,0.313159,0.579324,0.29603,0.604814,0.459293,-0.167314,1.337772,0.259678,0.621612,-0.197019,0.226274,0.72359,-0.12947,1.382525,0.317376,0.178139,0.628252,0.749259,-0.110352,-0.144592,1.363419,0.274174,-0.141525,0.701495,0.558947,-0.418871,-0.174507,1.343124,0.272427,0.621612,-0.197019,0.226274,0.72359,-0.1261,1.33999,0.294606,-0.258427,0.550465,0.647988,-0.458602,-0.156011,1.332214,0.318811,0.458092,0.288588,0.685512,0.486767,-0.16219,1.3155,0.274082,0.4873,-0.030942,0.185844,0.852668,-0.126558,1.34527,0.315363,0.082201,0.58739,0.799645,-0.093724,-0.144975,1.33304,0.283127,-0.258427,0.550465,0.647988,-0.458602,-0.126268,1.354108,0.29066,-0.23827,0.611785,0.591094,-0.468566,-0.166297,1.352824,0.318264,0.530466,0.318258,0.640908,0.454484,-0.167006,1.322319,0.270202,0.621612,-0.197019,0.226274,0.72359,-0.126433,1.362897,0.317273,0.101951,0.619441,0.768807,-0.121802,-0.14732,1.3468,0.277828,-0.23827,0.611785,0.591094,-0.468566,-0.139829,1.418106,0.27721,0.91254,-0.32106,0.252939,0.014601,-0.160266,1.361581,0.244259,0.803541,-0.55043,0.215186,0.071022,-0.151088,1.392964,0.254596,0.895556,-0.362665,0.22634,0.123387,-0.12892,1.434451,0.294187,0.91254,-0.32106,0.252939,0.014601,11,-0.175505,1.313348,0.231694,0.621612,-0.197019,0.226274,0.72359,34,T,Static,Left
1,2,0.00057,1.54437,-0.030799,0.991906,0.072561,-0.080672,-0.065949,-0.112839,1.404824,0.312183,0.524783,0.467086,0.660138,0.265804,-0.172882,1.393324,0.300238,0.663935,0.177369,0.517884,0.509439,-0.16765,1.3541,0.252001,0.622159,-0.200784,0.224377,0.722675,-0.138144,1.40501,0.316266,0.556722,0.394986,0.650863,0.332302,-0.090271,1.401716,0.305969,0.524783,0.467086,0.660138,0.265804,-0.126555,1.372194,0.291606,-0.138654,0.703216,0.559255,-0.416529,-0.174516,1.373857,0.313418,0.582254,0.292952,0.60244,0.460679,-0.167848,1.338615,0.260072,0.622159,-0.200784,0.224377,0.722675,-0.130533,1.383542,0.318058,0.182086,0.628289,0.748619,-0.108013,-0.145268,1.364365,0.274772,-0.138654,0.703216,0.559255,-0.416529,-0.175156,1.343993,0.272742,0.622159,-0.200784,0.224377,0.722675,-0.126921,1.340929,0.295357,-0.254464,0.5526,0.648738,-0.457187,-0.157045,1.333191,0.319303,0.461444,0.285305,0.68421,0.487367,-0.162839,1.316379,0.27456,0.487823,-0.035098,0.184694,0.852458,-0.127575,1.346269,0.316093,0.086775,0.587298,0.799413,-0.092137,-0.145684,1.333926,0.283728,-0.254464,0.5526,0.648738,-0.457187,-0.127037,1.355067,0.291399,-0.234558,0.613961,0.592122,-0.46629,-0.167337,1.353795,0.318627,0.533579,0.315263,0.639002,0.455609,-0.167626,1.323187,0.270625,0.622159,-0.200784,0.224377,0.722675,-0.127475,1.363906,0.317992,0.10641,0.619497,0.768534,-0.119397,-0.147955,1.347711,0.278377,-0.234558,0.613961,0.592122,-0.46629,-0.140526,1.418988,0.277687,0.913391,-0.321846,0.248927,0.012963,-0.160671,1.362393,0.244667,0.80401,-0.551411,0.211748,0.068392,-0.151581,1.393792,0.255031,0.896121,-0.364225,0.222505,0.121652,-0.129767,1.435359,0.294733,0.913391,-0.321846,0.248927,0.012963,22,-0.175795,1.314129,0.232066,0.622159,-0.200784,0.224377,0.722675,34,T,Static,Left
2,3,0.000523,1.544492,-0.030743,0.991962,0.071816,-0.080902,-0.065639,-0.110681,1.404332,0.311455,0.520584,0.470864,0.661705,0.263488,-0.1709,1.393102,0.300148,0.661569,0.182566,0.52031,0.508206,-0.166356,1.354066,0.251688,0.622629,-0.195014,0.226694,0.723127,-0.135937,1.404594,0.315825,0.552853,0.399178,0.652606,0.330329,-0.088196,1.401165,0.304972,0.520584,0.470864,0.661705,0.263488,-0.124751,1.371832,0.29089,-0.143784,0.701626,0.558211,-0.418864,-0.172457,1.373585,0.313263,0.579028,0.297967,0.604303,0.459086,-0.166518,1.338548,0.259695,0.622629,-0.195014,0.226694,0.723127,-0.128386,1.383083,0.317432,0.17633,0.629432,0.748694,-0.110369,-0.143668,1.364135,0.274223,-0.143784,0.701626,0.558211,-0.418864,-0.173661,1.343897,0.272472,0.622629,-0.195014,0.226694,0.723127,-0.125191,1.340568,0.294531,-0.260124,0.550688,0.647412,-0.458189,-0.15507,1.332832,0.318782,0.457823,0.290389,0.685157,0.486449,-0.161426,1.316231,0.274035,0.488403,-0.02896,0.185685,0.852141,-0.125589,1.345815,0.315298,0.08072,0.588459,0.798999,-0.09381,-0.144105,1.333688,0.283075,-0.260124,0.550688,0.647412,-0.458189,-0.125281,1.354717,0.290624,-0.239558,0.612079,0.591081,-0.46754,-0.165294,1.353475,0.318307,0.530109,0.320172,0.640493,0.45414,-0.166231,1.323073,0.270183,0.622629,-0.195014,0.226694,0.723127,-0.125404,1.363441,0.317259,0.100735,0.620417,0.768271,-0.121225,-0.146348,1.347486,0.277773,-0.239558,0.612079,0.591081,-0.46754,-0.138791,1.418794,0.27732,0.912469,-0.3202,0.254299,0.014312,-0.159434,1.362366,0.244308,0.80408,-0.549031,0.216781,0.070893,-0.150149,1.393697,0.254703,0.895607,-0.361794,0.227649,0.123163,-0.127813,1.435095,0.294293,0.912469,-0.3202,0.254299,0.014312,33,-0.174865,1.314208,0.231681,0.622629,-0.195014,0.226694,0.723127,34,T,Static,Left
3,4,0.000463,1.544582,-0.030694,0.991972,0.071551,-0.081182,-0.065433,-0.108674,1.403876,0.310729,0.516665,0.474336,0.663192,0.261225,-0.169051,1.392896,0.30003,0.659327,0.187387,0.522652,0.50696,-0.165152,1.354033,0.251373,0.623017,-0.189665,0.22889,0.723524,-0.133881,1.40421,0.315369,0.549229,0.403044,0.654269,0.328383,-0.086271,1.400655,0.303994,0.516665,0.474336,0.663192,0.261225,-0.123077,1.371493,0.290183,-0.148471,0.700123,0.557219,-0.421061,-0.170538,1.373335,0.313087,0.575977,0.302632,0.60611,0.457487,-0.16528,1.338486,0.259323,0.623017,-0.189665,0.22889,0.723524,-0.126389,1.38266,0.316804,0.170975,0.630453,0.748735,-0.11266,-0.14218,1.363915,0.273676,-0.148471,0.700123,0.557219,-0.421061,-0.172267,1.343807,0.272198,0.623017,-0.189665,0.22889,0.723524,-0.123585,1.340238,0.293735,-0.265384,0.548884,0.646145,-0.459123,-0.153231,1.332503,0.318269,0.454412,0.295123,0.686044,0.485546,-0.16011,1.316095,0.273529,0.488907,-0.023265,0.186656,0.851815,-0.123743,1.345399,0.314526,0.075062,0.589514,0.798584,-0.095405,-0.142637,1.333473,0.282441,-0.265384,0.548884,0.646145,-0.459123,-0.123651,1.354394,0.28987,-0.244135,0.610328,0.590103,-0.468696,-0.163389,1.353182,0.317979,0.52684,0.324729,0.641928,0.45268,-0.164932,1.322968,0.269753,0.623017,-0.189665,0.22889,0.723524,-0.123478,1.363013,0.316538,0.095469,0.621238,0.767999,-0.12299,-0.144852,1.347276,0.277177,-0.244135,0.610328,0.590103,-0.468696,-0.137194,1.418624,0.276937,0.911521,-0.318856,0.259257,0.015709,-0.158285,1.36234,0.243949,0.80407,-0.546875,0.221413,0.073318,-0.148825,1.393611,0.254367,0.895032,-0.359662,0.232404,0.124697,-0.126017,1.434871,0.293834,0.911521,-0.318856,0.259257,0.015709,44,-0.173997,1.314279,0.231309,0.623017,-0.189665,0.22889,0.723524,34,T,Static,Left
4,5,0.000393,1.544656,-0.030654,0.991973,0.071394,-0.081453,-0.065251,-0.110779,1.405095,0.312423,0.521677,0.473856,0.659402,0.26173,-0.170949,1.39424,0.30075,0.664685,0.182414,0.516991,0.507582,-0.166195,1.355213,0.252306,0.625309,-0.197144,0.22442,0.720943,-0.136048,1.405534,0.316707,0.554939,0.401246,0.650044,0.329374,-0.088319,1.401743,0.305951,0.521677,0.473856,0.659402,0.26173,-0.124889,1.372706,0.291756,-0.143966,0.704354,0.556338,-0.41671,-0.172704,1.374722,0.313839,0.582103,0.298387,0.601581,0.458499,-0.166498,1.33969,0.260301,0.625309,-0.197144,0.22442,0.720943,-0.128606,1.38397,0.318282,0.177989,0.631965,0.746365,-0.108989,-0.143778,1.365136,0.275001,-0.143966,0.704354,0.556338,-0.41671,-0.173722,1.345067,0.273018,0.625309,-0.197144,0.22442,0.720943,-0.125411,1.341479,0.295445,-0.257873,0.554242,0.647599,-0.454899,-0.155554,1.333883,0.319467,0.461713,0.289947,0.682814,0.48633,-0.161632,1.317342,0.27466,0.49117,-0.031751,0.183508,0.850922,-0.125987,1.346727,0.316207,0.084353,0.590542,0.797394,-0.091152,-0.144239,1.334676,0.283801,-0.257873,0.554242,0.647599,-0.454899,-0.125381,1.355627,0.291509,-0.237753,0.615541,0.591243,-0.463696,-0.165676,1.354575,0.318925,0.53345,0.320333,0.637837,0.453851,-0.166373,1.32421,0.270774,0.625309,-0.197144,0.22442,0.720943,-0.125728,1.364331,0.318148,0.104013,0.622642,0.766518,-0.118104,-0.146344,1.348492,0.278438,-0.237753,0.615541,0.591243,-0.463696,-0.138436,1.419781,0.278186,0.913167,-0.320511,0.251572,0.010481,-0.159166,1.363483,0.244994,0.805349,-0.54833,0.215334,0.066172,-0.14976,1.394747,0.255485,0.896823,-0.361717,0.225161,0.119049,-0.127506,1.436061,0.295212,0.913167,-0.320511,0.251572,0.010481,55,-0.174741,1.315412,0.232197,0.625309,-0.197144,0.22442,0.720943,34,T,Static,Left
5,6,0.000332,1.544691,-0.030665,0.991962,0.071294,-0.08184,-0.065049,-0.110004,1.404684,0.311623,0.519228,0.474336,0.661538,0.260337,-0.170254,1.39377,0.300411,0.662473,0.184101,0.519684,0.507114,-0.165795,1.354776,0.251912,0.624119,-0.19458,0.226303,0.722082,-0.135241,1.405097,0.316094,0.552379,0.402095,0.652332,0.328117,-0.087585,1.401358,0.304994,0.519228,0.474336,0.661538,0.260337,-0.124248,1.37227,0.291041,-0.145769,0.702496,0.55626,-0.419316,-0.171892,1.374243,0.313501,0.579513,0.299962,0.603992,0.457581,-0.166022,1.339249,0.2599,0.624119,-0.19458,0.226303,0.722082,-0.127769,1.383529,0.317595,0.175105,0.631205,0.747344,-0.111335,-0.143249,1.364679,0.274422,-0.145769,0.702496,0.55626,-0.419316,-0.173161,1.344609,0.272673,0.624119,-0.19458,0.226303,0.722082,-0.124655,1.341072,0.29476,-0.259414,0.55232,0.647483,-0.456522,-0.154653,1.333423,0.318986,0.459029,0.291144,0.684558,0.485704,-0.161025,1.316898,0.274214,0.489999,-0.028741,0.184988,0.851384,-0.125126,1.346309,0.315527,0.082093,0.589586,0.798183,-0.092484,-0.143535,1.334242,0.283218,-0.259414,0.55232,0.647483,-0.456522,-0.124691,1.355205,0.290824,-0.239225,0.613625,0.591022,-0.465757,-0.164804,1.354103,0.318527,0.53091,0.321504,0.639962,0.45301,-0.165802,1.323762,0.270366,0.624119,-0.19458,0.226303,0.722082,-0.124875,1.36391,0.317464,0.101571,0.62169,0.767309,-0.120089,-0.145723,1.348037,0.277882,-0.239225,0.613625,0.591022,-0.465757,-0.138042,1.419397,0.277649,0.912361,-0.320705,0.254118,0.013019,-0.15883,1.363059,0.244553,0.804799,-0.548013,0.217233,0.069211,-0.149441,1.394338,0.255011,0.895968,-0.361454,0.227567,0.121682,-0.12705,1.435705,0.294607,0.912361,-0.320705,0.254118,0.013019,66,-0.17443,1.314974,0.231844,0.624119,-0.19458,0.226303,0.722082,34,T,Static,Left
6,7,0.000247,1.544685,-0.030698,0.991921,0.071599,-0.082109,-0.064995,-0.10925,1.404304,0.310853,0.517002,0.474723,0.663513,0.259033,-0.169577,1.393341,0.300081,0.660392,0.185718,0.522285,0.506566,-0.165403,1.354376,0.251532,0.623019,-0.192139,0.2281,0.723118,-0.134456,1.404696,0.3155,0.550007,0.402865,0.654477,0.326882,-0.086871,1.401003,0.30408,0.517002,0.474723,0.663513,0.259033,-0.123627,1.371865,0.290351,-0.147426,0.700765,0.556166,-0.421751,-0.171107,1.373806,0.313172,0.577067,0.301491,0.606293,0.456625,-0.165559,1.338845,0.259514,0.623019,-0.192139,0.2281,0.723118,-0.12696,1.383121,0.316931,0.172376,0.630509,0.748224,-0.113601,-0.142732,1.364253,0.273861,-0.147426,0.700765,0.556166,-0.421751,-0.172617,1.34419,0.272338,0.623019,-0.192139,0.2281,0.723118,-0.123926,1.340699,0.294102,-0.260877,0.550534,0.647366,-0.45801,-0.153788,1.333001,0.318522,0.456504,0.292314,0.686183,0.485088,-0.160441,1.316492,0.273785,0.488928,-0.02588,0.186395,0.851785,-0.1243,1.345924,0.314874,0.079967,0.588714,0.7989,-0.093705,-0.142856,1.333844,0.282655,-0.260877,0.550534,0.647366,-0.45801,-0.124027,1.354814,0.290167,-0.240602,0.611845,0.590777,-0.467696,-0.163964,1.35367,0.318141,0.528527,0.322625,0.641971,0.452157,-0.165251,1.323352,0.269972,0.623019,-0.192139,0.2281,0.723118,-0.124054,1.363521,0.316807,0.099259,0.620818,0.768014,-0.122015,-0.145123,1.347616,0.277346,-0.240602,0.611845,0.590777,-0.467696,-0.13767,1.419052,0.277133,0.911588,-0.320916,0.256477,0.01552,-0.1585,1.362671,0.244128,0.804275,-0.547713,0.218965,0.072162,-0.149133,1.393967,0.254557,0.895132,-0.361239,0.22979,0.12427,-0.126623,1.435389,0.294028,0.911588,-0.320916,0.256477,0.01552,77,-0.174126,1.314574,0.231505,0.623019,-0.192139,0.2281,0.723118,34,T,Static,Left
7,8,0.00019,1.544655,-0.030747,0.99188,0.071895,-0.082367,-0.064964,-0.110468,1.404712,0.312045,0.518549,0.475449,0.661353,0.26013,-0.170682,1.39383,0.300739,0.662777,0.184109,0.518556,0.507869,-0.166036,1.354939,0.252178,0.624367,-0.195107,0.224521,0.722281,-0.135705,1.405138,0.316516,0.552183,0.402804,0.65189,0.328455,-0.088065,1.401363,0.305377,0.518549,0.475449,0.661353,0.26013,-0.124654,1.372351,0.291403,-0.145691,0.702701,0.556911,-0.418135,-0.172344,1.374274,0.313783,0.579741,0.299969,0.603142,0.458409,-0.166278,1.339395,0.260133,0.624367,-0.195107,0.224521,0.722281,-0.12823,1.383563,0.31797,0.175325,0.631338,0.747369,-0.110059,-0.143617,1.36478,0.274732,-0.145691,0.702701,0.556911,-0.418135,-0.173466,1.344725,0.272889,0.624367,-0.195107,0.224521,0.722281,-0.124987,1.341176,0.295109,-0.25793,0.552735,0.648982,-0.45473,-0.155088,1.333457,0.319234,0.459678,0.290333,0.683689,0.486798,-0.161311,1.317021,0.274408,0.489958,-0.029588,0.18334,0.851735,-0.125563,1.346376,0.315883,0.083531,0.589285,0.798501,-0.090346,-0.143798,1.334337,0.283459,-0.25793,0.552735,0.648982,-0.45473,-0.125046,1.355297,0.291179,-0.23835,0.613987,0.592186,-0.464247,-0.165255,1.354129,0.318788,0.531321,0.321127,0.639134,0.453965,-0.166083,1.323889,0.27056,0.624367,-0.195107,0.224521,0.722281,-0.125329,1.363961,0.317832,0.102455,0.621603,0.767526,-0.118391,-0.146021,1.348128,0.278146,-0.23835,0.613987,0.592186,-0.464247,-0.13844,1.419508,0.278195,0.913209,-0.319757,0.252245,0.013307,-0.159047,1.363241,0.244863,0.805952,-0.547086,0.215377,0.068927,-0.149729,1.3945,0.255446,0.896821,-0.360551,0.225558,0.121819,-0.12753,1.435787,0.295233,0.913209,-0.319757,0.252245,0.013307,89,-0.174587,1.315175,0.231994,0.624367,-0.195107,0.224521,0.722281,34,T,Static,Left
8,9,0.000128,1.544607,-0.03079,0.991856,0.072081,-0.082517,-0.064939,-0.108935,1.403792,0.311663,0.516908,0.47828,0.661585,0.257605,-0.169222,1.393183,0.300602,0.662745,0.186409,0.519051,0.506565,-0.164814,1.354334,0.251987,0.62538,-0.193502,0.225159,0.721637,-0.134145,1.404335,0.31627,0.551011,0.40556,0.652216,0.326378,-0.086592,1.400331,0.304851,0.516908,0.47828,0.661585,0.257605,-0.123295,1.371556,0.291106,-0.147472,0.702999,0.555902,-0.418352,-0.170915,1.373617,0.313627,0.579464,0.302067,0.603167,0.457347,-0.165089,1.33878,0.259925,0.62538,-0.193502,0.225159,0.721637,-0.126757,1.382746,0.317697,0.173653,0.632589,0.746595,-0.110777,-0.142321,1.364068,0.274469,-0.147472,0.702999,0.555902,-0.418352,-0.172231,1.34412,0.272701,0.62538,-0.193502,0.225159,0.721637,-0.123712,1.340378,0.294788,-0.259526,0.553194,0.648139,-0.454465,-0.153778,1.332737,0.318989,0.459442,0.292315,0.683626,0.485922,-0.160162,1.316375,0.274159,0.491132,-0.027973,0.183473,0.851085,-0.12422,1.345561,0.315568,0.082133,0.590507,0.797685,-0.090855,-0.142565,1.333611,0.283165,-0.259526,0.553194,0.648139,-0.454465,-0.12374,1.354501,0.29086,-0.240054,0.614306,0.591277,-0.464105,-0.163879,1.353443,0.318591,0.530973,0.323222,0.639147,0.452865,-0.164921,1.323263,0.27033,0.62538,-0.193502,0.225159,0.721637,-0.123922,1.363135,0.317524,0.100873,0.622801,0.766674,-0.118975,-0.144764,1.347413,0.27786,-0.240054,0.614306,0.591277,-0.464105,-0.136932,1.418761,0.278041,0.913218,-0.318533,0.253812,0.012223,-0.157811,1.36262,0.244669,0.806229,-0.546051,0.217162,0.068285,-0.148361,1.393831,0.255277,0.897085,-0.359274,0.227091,0.120788,-0.125926,1.434972,0.295083,0.913218,-0.318533,0.253812,0.012223,100,-0.173547,1.314623,0.231775,0.62538,-0.193502,0.225159,0.721637,34,T,Static,Left
9,10,7.3e-05,1.544551,-0.030831,0.991826,0.072299,-0.082693,-0.064924,-0.107423,1.402897,0.311229,0.515302,0.48093,0.661888,0.255097,-0.167787,1.392557,0.300447,0.662583,0.188781,0.519809,0.505118,-0.163627,1.353748,0.251779,0.626294,-0.191846,0.225892,0.721057,-0.132603,1.403556,0.315981,0.549751,0.408265,0.652691,0.324172,-0.08514,1.399331,0.304275,0.515302,0.48093,0.661888,0.255097,-0.121964,1.370789,0.290776,-0.14913,0.703219,0.555018,-0.418567,-0.169506,1.372982,0.313455,0.579066,0.304183,0.603318,0.456249,-0.16393,1.338187,0.2597,0.626294,-0.191846,0.225892,0.721057,-0.125305,1.381958,0.317392,0.171895,0.633762,0.745884,-0.111601,-0.141048,1.363376,0.274172,-0.14913,0.703219,0.555018,-0.418567,-0.171022,1.343535,0.2725,0.626294,-0.191846,0.225892,0.721057,-0.122459,1.339609,0.29444,-0.261173,0.55355,0.647299,-0.454286,-0.152481,1.332044,0.318726,0.459066,0.294327,0.683657,0.485018,-0.159035,1.315751,0.273894,0.492209,-0.026283,0.1837,0.850467,-0.122892,1.344776,0.315225,0.080609,0.591663,0.796913,-0.091469,-0.141356,1.332911,0.282848,-0.261173,0.55355,0.647299,-0.454286,-0.122462,1.353731,0.290512,-0.241704,0.614549,0.590418,-0.464021,-0.162519,1.352781,0.318378,0.53051,0.325308,0.639281,0.451723,-0.163782,1.322658,0.270086,0.626294,-0.191846,0.225892,0.721057,-0.122533,1.362339,0.317185,0.099188,0.623921,0.765867,-0.119717,-0.143532,1.346721,0.277546,-0.241704,0.614549,0.590418,-0.464021,-0.135496,1.418055,0.27785,0.913169,-0.317437,0.255393,0.011476,-0.156617,1.362021,0.244452,0.806422,-0.54512,0.21888,0.067972,-0.147053,1.393191,0.255078,0.897237,-0.358148,0.22863,0.120105,-0.124401,1.434207,0.294889,0.913169,-0.317437,0.255393,0.011476,111,-0.172537,1.314087,0.231544,0.626294,-0.191846,0.225892,0.721057,34,T,Static,Left
