,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.042483,1.478539,0.06994,0.999778,-0.015522,0.011382,0.008526,0.056323,1.341442,0.40807,-0.244209,-0.690574,0.674752,0.090442,0.112454,1.340765,0.401744,-0.66086,-0.282315,0.422918,0.551999,0.122329,1.31311,0.347633,-0.673685,0.043641,0.221161,0.703798,0.078008,1.344474,0.420848,-0.411026,-0.583994,0.641064,0.281153,0.044794,1.336152,0.38846,-0.244209,-0.690574,0.674752,0.090442,0.074147,1.316202,0.379547,0.322669,-0.677384,0.514656,-0.414928,0.115344,1.319508,0.410856,-0.518,-0.455449,0.572976,0.442652,0.124199,1.296584,0.352422,-0.673685,0.043641,0.221161,0.703798,0.070708,1.321094,0.407656,-0.016635,-0.69405,0.712286,-0.103277,0.096966,1.315842,0.366943,0.322669,-0.677384,0.514656,-0.414928,0.128348,1.300216,0.366698,-0.673685,0.043641,0.221161,0.703798,0.08066,1.283912,0.372348,0.386356,-0.549285,0.626524,-0.395581,0.105077,1.276949,0.405074,-0.358834,-0.468888,0.683494,0.429208,0.121315,1.271738,0.360613,-0.538282,-0.114652,0.141469,0.822858,0.07646,1.284968,0.393088,0.059126,-0.649556,0.753339,-0.084037,0.101209,1.282645,0.36231,0.386356,-0.549285,0.626524,-0.395581,0.078598,1.299481,0.37282,0.399046,-0.586619,0.561173,-0.426293,0.111265,1.298204,0.410485,-0.44083,-0.495793,0.621784,0.416224,0.125316,1.279787,0.359166,-0.673685,0.043641,0.221161,0.703798,0.072176,1.301478,0.399712,0.060292,-0.679084,0.723815,-0.106312,0.102122,1.298865,0.363175,0.399046,-0.586619,0.561173,-0.426293,0.09893,1.368538,0.388365,-0.874372,0.422495,0.198489,0.132568,0.114865,1.32136,0.341043,-0.884168,0.40248,0.196401,0.132982,0.106716,1.347269,0.361354,-0.915888,0.286562,0.186418,0.210431,0.093947,1.389447,0.402424,-0.874372,0.422495,0.198489,0.132568,11,0.141353,1.280924,0.322541,-0.673685,0.043641,0.221161,0.703798,35,T,Static,Right
1,2,0.042387,1.478707,0.070028,0.99977,-0.016066,0.011597,0.008263,0.056538,1.340821,0.409422,-0.246268,-0.692083,0.672084,0.093146,0.11262,1.340422,0.402655,-0.66353,-0.281807,0.419101,0.551966,0.122205,1.312912,0.348417,-0.67622,0.045262,0.218005,0.702247,0.078308,1.343931,0.422036,-0.413605,-0.584814,0.637789,0.283106,0.044887,1.335516,0.389889,-0.246268,-0.692083,0.672084,0.093146,0.074244,1.315723,0.380712,0.322309,-0.6799,0.514707,-0.411012,0.11568,1.319163,0.411705,-0.520839,-0.455556,0.569443,0.443768,0.124187,1.296386,0.353162,-0.67622,0.045262,0.218005,0.702247,0.071013,1.320545,0.408858,-0.01864,-0.696133,0.710701,-0.099778,0.096965,1.315496,0.367931,0.322309,-0.6799,0.514707,-0.411012,0.128429,1.30001,0.367413,-0.67622,0.045262,0.218005,0.702247,0.080866,1.283467,0.373382,0.385141,-0.552046,0.627173,-0.391875,0.105567,1.276567,0.405927,-0.361915,-0.469236,0.680786,0.430541,0.121481,1.271511,0.361331,-0.540643,-0.112258,0.138365,0.822167,0.076828,1.284469,0.394157,0.056824,-0.651587,0.75213,-0.080657,0.101336,1.282312,0.363171,0.385141,-0.552046,0.627173,-0.391875,0.078734,1.299023,0.373897,0.398287,-0.58927,0.561709,-0.422624,0.111697,1.297841,0.411328,-0.443667,-0.496075,0.618711,0.417453,0.125434,1.279581,0.359868,-0.67622,0.045262,0.218005,0.702247,0.072517,1.300948,0.400842,0.058194,-0.681124,0.722562,-0.102901,0.102184,1.298531,0.364067,0.398287,-0.58927,0.561709,-0.422624,0.098904,1.368216,0.389394,-0.875371,0.422741,0.195657,0.129359,0.114654,1.32114,0.341899,-0.885544,0.401808,0.193794,0.129641,0.106546,1.346979,0.362316,-0.91703,0.286994,0.183199,0.207675,0.093965,1.389109,0.40349,-0.875371,0.422741,0.195657,0.129359,21,0.141179,1.280858,0.323121,-0.67622,0.045262,0.218005,0.702247,35,T,Static,Right
2,3,0.042298,1.478832,0.07012,0.999761,-0.016532,0.011812,0.008057,0.056386,1.34146,0.408751,-0.243202,-0.692223,0.673453,0.090226,0.112471,1.340984,0.402334,-0.661988,-0.282955,0.421086,0.551719,0.122095,1.31345,0.348115,-0.675149,0.044872,0.218611,0.703114,0.078062,1.344545,0.421532,-0.410988,-0.585569,0.639675,0.281094,0.044904,1.336167,0.389115,-0.243202,-0.692223,0.673453,0.090226,0.074066,1.316385,0.380333,0.322259,-0.678915,0.515316,-0.411914,0.115461,1.319718,0.411392,-0.519813,-0.455237,0.570381,0.444094,0.124026,1.296919,0.352864,-0.675149,0.044872,0.218611,0.703114,0.070803,1.321211,0.408474,-0.01815,-0.695178,0.71158,-0.100259,0.096808,1.316104,0.367588,0.322259,-0.678915,0.515316,-0.411914,0.128249,1.300532,0.367125,-0.675149,0.044872,0.218611,0.703114,0.08063,1.284101,0.372999,0.384985,-0.551051,0.627613,-0.392723,0.105255,1.277147,0.405596,-0.360757,-0.468765,0.681783,0.430448,0.121242,1.272049,0.361031,-0.539505,-0.112862,0.139037,0.822718,0.076559,1.285118,0.393766,0.057298,-0.650573,0.752896,-0.081357,0.101109,1.282894,0.362813,0.384985,-0.551051,0.627613,-0.392723,0.078511,1.299677,0.373536,0.398124,-0.588293,0.562271,-0.423392,0.111427,1.298406,0.411008,-0.442721,-0.495597,0.619561,0.417763,0.125217,1.28011,0.359574,-0.675149,0.044872,0.218611,0.703114,0.072268,1.301612,0.400474,0.058557,-0.680153,0.723389,-0.103306,0.101971,1.299128,0.363732,0.398124,-0.588293,0.562271,-0.423392,0.098841,1.368821,0.389032,-0.874897,0.423051,0.196091,0.130888,0.114579,1.321698,0.341581,-0.885122,0.402016,0.194271,0.131152,0.106492,1.347562,0.361974,-0.916561,0.287036,0.183877,0.209082,0.093925,1.389733,0.403109,-0.874897,0.423051,0.196091,0.130888,33,0.141036,1.281347,0.322858,-0.675149,0.044872,0.218611,0.703114,35,T,Static,Right
3,4,0.042206,1.478927,0.070202,0.999754,-0.016813,0.012095,0.007904,0.056243,1.342054,0.40803,-0.239617,-0.692561,0.674859,0.08665,0.112327,1.341519,0.402025,-0.660347,-0.284376,0.423346,0.551227,0.121989,1.313961,0.347823,-0.674104,0.044491,0.219203,0.703957,0.077803,1.345126,0.421008,-0.407987,-0.586623,0.641742,0.278548,0.044966,1.336766,0.388274,-0.239617,-0.692561,0.674859,0.08665,0.073892,1.317019,0.379972,0.322173,-0.677973,0.51594,-0.412751,0.115249,1.320247,0.411089,-0.51884,-0.454895,0.571266,0.444445,0.123871,1.297427,0.352576,-0.674104,0.044491,0.219203,0.703957,0.070599,1.321848,0.408109,-0.017696,-0.694246,0.712439,-0.100699,0.096651,1.316684,0.367259,0.322173,-0.677973,0.51594,-0.412751,0.128073,1.301029,0.366846,-0.674104,0.044491,0.219203,0.703957,0.0804,1.284708,0.372631,0.384803,-0.550094,0.628064,-0.393521,0.104952,1.2777,0.405275,-0.359659,-0.468276,0.682735,0.430391,0.12101,1.272562,0.360741,-0.538394,-0.113453,0.139694,0.823253,0.076297,1.285738,0.393392,0.05775,-0.64958,0.753646,-0.082033,0.100887,1.283449,0.362467,0.384803,-0.550094,0.628064,-0.393521,0.078287,1.300308,0.373199,0.397936,-0.58736,0.562881,-0.424052,0.111165,1.298944,0.410698,-0.441866,-0.495084,0.620298,0.418183,0.125007,1.280613,0.359291,-0.674104,0.044491,0.219203,0.703957,0.072023,1.30225,0.400132,0.058876,-0.679209,0.724207,-0.103599,0.101754,1.299704,0.363415,0.397936,-0.58736,0.562881,-0.424052,0.098771,1.369389,0.388686,-0.874477,0.423234,0.196593,0.132342,0.114508,1.322229,0.341274,-0.884699,0.402227,0.194766,0.132616,0.106438,1.348118,0.361642,-0.916148,0.286929,0.184602,0.210399,0.093872,1.390316,0.402747,-0.874477,0.423234,0.196593,0.132342,44,0.140898,1.28181,0.322604,-0.674104,0.044491,0.219203,0.703957,35,T,Static,Right
4,5,0.042102,1.478965,0.070293,0.999754,-0.016737,0.012239,0.007883,0.055875,1.341649,0.408464,-0.240617,-0.693579,0.67349,0.086391,0.111935,1.341294,0.402306,-0.66203,-0.283896,0.4222,0.550334,0.121525,1.313735,0.348089,-0.675608,0.045507,0.218442,0.702685,0.077456,1.344807,0.421387,-0.409541,-0.587158,0.640406,0.278213,0.044589,1.3363,0.38873,-0.240617,-0.693579,0.67349,0.086391,0.073493,1.316662,0.380426,0.322044,-0.679537,0.515117,-0.411303,0.114957,1.320037,0.411376,-0.520792,-0.454836,0.569577,0.44439,0.123472,1.29721,0.352846,-0.675608,0.045507,0.218442,0.702685,0.07029,1.321492,0.408573,-0.019019,-0.695605,0.711239,-0.09956,0.096217,1.316403,0.367648,0.322044,-0.679537,0.515117,-0.411303,0.127703,1.30083,0.367106,-0.675608,0.045507,0.218442,0.702685,0.080122,1.284348,0.373018,0.384227,-0.551989,0.627641,-0.392102,0.104783,1.277452,0.405626,-0.361274,-0.468916,0.681753,0.429898,0.120714,1.272336,0.361044,-0.540026,-0.112161,0.138934,0.82249,0.076078,1.285379,0.393791,0.056539,-0.651028,0.752574,-0.081232,0.100578,1.283154,0.362784,0.384227,-0.551989,0.627641,-0.392102,0.077957,1.299952,0.373605,0.397932,-0.588908,0.562161,-0.422861,0.110943,1.298721,0.411014,-0.443563,-0.495486,0.618923,0.417948,0.12468,1.280398,0.359576,-0.675608,0.045507,0.218442,0.702685,0.07176,1.301885,0.400553,0.057888,-0.680628,0.72308,-0.102716,0.101404,1.299427,0.36377,0.397932,-0.588908,0.562161,-0.422861,0.098311,1.369171,0.388951,-0.874603,0.423863,0.19579,0.130675,0.114007,1.32198,0.341553,-0.884922,0.402658,0.194013,0.130918,0.105937,1.347872,0.361918,-0.916403,0.287804,0.183649,0.20892,0.093412,1.390108,0.402996,-0.874603,0.423863,0.19579,0.130675,55,0.140448,1.281622,0.322837,-0.675608,0.045507,0.218442,0.702685,35,T,Static,Right
5,6,0.042011,1.479023,0.070363,0.999751,-0.016869,0.012268,0.007968,0.055525,1.341295,0.408882,-0.241706,-0.694415,0.672252,0.086271,0.111561,1.341094,0.402561,-0.663616,-0.283276,0.421095,0.549589,0.121087,1.313535,0.348328,-0.676969,0.046442,0.217757,0.701526,0.077131,1.344531,0.421743,-0.411133,-0.587488,0.639157,0.278042,0.04422,1.335891,0.389173,-0.241706,-0.694415,0.672252,0.086271,0.07311,1.316345,0.380846,0.321983,-0.680936,0.51434,-0.410009,0.114674,1.319853,0.411636,-0.522601,-0.454739,0.567993,0.444393,0.123093,1.297019,0.35309,-0.676969,0.046442,0.217757,0.701526,0.069992,1.321175,0.409003,-0.020254,-0.696835,0.710151,-0.098474,0.095802,1.316157,0.368012,0.321983,-0.680936,0.51434,-0.410009,0.127346,1.300653,0.367342,-0.676969,0.046442,0.217757,0.701526,0.079856,1.284025,0.373361,0.383731,-0.553708,0.627235,-0.390813,0.104611,1.277233,0.405945,-0.362649,-0.469581,0.680907,0.429355,0.120426,1.272134,0.361319,-0.541504,-0.110977,0.138251,0.821793,0.075863,1.285056,0.394143,0.055481,-0.652353,0.75158,-0.080531,0.100284,1.282891,0.363065,0.383731,-0.553708,0.627235,-0.390813,0.077645,1.299635,0.373967,0.398058,-0.590241,0.561413,-0.421879,0.110722,1.298524,0.4113,-0.445047,-0.495907,0.617695,0.417686,0.124363,1.280208,0.359834,-0.676969,0.046442,0.217757,0.701526,0.071506,1.301559,0.400929,0.057078,-0.681917,0.722034,-0.101974,0.10108,1.299181,0.364097,0.398058,-0.590241,0.561413,-0.421879,0.097892,1.368992,0.389181,-0.874671,0.424505,0.195014,0.129289,0.113538,1.32176,0.341804,-0.885081,0.403109,0.1933,0.1295,0.105474,1.347659,0.362162,-0.916565,0.288721,0.182761,0.207719,0.092999,1.389941,0.40321,-0.874671,0.424505,0.195014,0.129289,66,0.140019,1.281453,0.323048,-0.676969,0.046442,0.217757,0.701526,35,T,Static,Right
6,7,0.041911,1.479049,0.070439,0.999746,-0.016971,0.012479,0.008045,0.055188,1.340983,0.409283,-0.24285,-0.695112,0.671123,0.086245,0.111201,1.340914,0.402793,-0.665118,-0.282555,0.42003,0.548958,0.12067,1.313355,0.348547,-0.678213,0.04731,0.217132,0.700459,0.076822,1.344289,0.422079,-0.412739,-0.587661,0.637984,0.277989,0.04386,1.335527,0.389602,-0.24285,-0.695112,0.671123,0.086245,0.072738,1.31606,0.381237,0.321974,-0.682201,0.5136,-0.408839,0.114397,1.319688,0.411874,-0.524292,-0.454612,0.566496,0.444442,0.122728,1.296848,0.353313,-0.678213,0.04731,0.217132,0.700459,0.069703,1.320891,0.409403,-0.021416,-0.697961,0.709154,-0.097432,0.095403,1.315939,0.368354,0.321974,-0.682201,0.5136,-0.408839,0.127002,1.300495,0.367558,-0.678213,0.04731,0.217132,0.700459,0.0796,1.283732,0.373668,0.383297,-0.555286,0.626842,-0.389628,0.104436,1.277038,0.406238,-0.36383,-0.470264,0.680171,0.428774,0.120144,1.271953,0.361573,-0.542858,-0.10988,0.137632,0.821152,0.075652,1.284763,0.394459,0.054544,-0.653576,0.750651,-0.07991,0.100003,1.282653,0.363316,0.383297,-0.555286,0.626842,-0.389628,0.07735,1.299348,0.374294,0.398285,-0.5914,0.560644,-0.421063,0.110503,1.298348,0.411562,-0.44636,-0.496341,0.616587,0.417406,0.124055,1.280036,0.360072,-0.678213,0.04731,0.217132,0.700459,0.071257,1.301263,0.401268,0.056408,-0.683102,0.721054,-0.101344,0.100775,1.298962,0.364399,0.398285,-0.5914,0.560644,-0.421063,0.097506,1.368844,0.389384,-0.874692,0.425158,0.194263,0.128128,0.113094,1.321564,0.342032,-0.88519,0.403577,0.192619,0.128304,0.105041,1.347472,0.362382,-0.916653,0.289671,0.181927,0.20674,0.092624,1.389807,0.403396,-0.874692,0.425158,0.194263,0.128128,77,0.139608,1.281301,0.323243,-0.678213,0.04731,0.217132,0.700459,35,T,Static,Right
7,8,0.04183,1.479134,0.070491,0.999744,-0.017003,0.01254,0.00805,0.055868,1.342151,0.40856,-0.240472,-0.693393,0.674361,0.081347,0.111867,1.341734,0.40248,-0.662936,-0.2813,0.424164,0.549065,0.121311,1.31384,0.348402,-0.675401,0.048666,0.219743,0.702267,0.077396,1.345406,0.421546,-0.41038,-0.586334,0.642127,0.274726,0.044736,1.336657,0.388778,-0.240472,-0.693393,0.674361,0.081347,0.073298,1.317024,0.38087,0.319226,-0.68088,0.514818,-0.411654,0.114892,1.320532,0.411676,-0.522718,-0.452512,0.570144,0.443774,0.123245,1.297343,0.353256,-0.675401,0.048666,0.219743,0.702267,0.070218,1.322008,0.409004,-0.022416,-0.695404,0.711275,-0.099993,0.095978,1.316681,0.368018,0.319226,-0.68088,0.514818,-0.411654,0.127502,1.301034,0.367495,-0.675401,0.048666,0.219743,0.702267,0.079984,1.284621,0.373532,0.381719,-0.55348,0.627064,-0.393373,0.104661,1.277922,0.406221,-0.362372,-0.46787,0.683405,0.427483,0.12047,1.272509,0.36163,-0.540152,-0.10931,0.140868,0.822462,0.075971,1.28578,0.394304,0.05398,-0.651083,0.752514,-0.08306,0.100414,1.283356,0.363255,0.381719,-0.55348,0.627064,-0.393373,0.077808,1.300258,0.374072,0.395945,-0.590073,0.561294,-0.424254,0.110856,1.299218,0.411458,-0.445165,-0.493887,0.619968,0.416586,0.12444,1.280558,0.360101,-0.675401,0.048666,0.219743,0.702267,0.071664,1.302343,0.401022,0.055302,-0.680687,0.723032,-0.104077,0.101247,1.299667,0.36422,0.395945,-0.590073,0.561294,-0.424254,0.098424,1.369625,0.388955,-0.873253,0.427168,0.194253,0.131235,0.113808,1.322065,0.341824,-0.883591,0.406096,0.192481,0.13155,0.105896,1.348122,0.36204,-0.915289,0.291383,0.18257,0.209785,0.093643,1.390669,0.40288,-0.873253,0.427168,0.194253,0.131235,88,0.140112,1.281535,0.323314,-0.675401,0.048666,0.219743,0.702267,35,T,Static,Right
8,9,0.041758,1.479207,0.070578,0.999731,-0.017544,0.012769,0.008228,0.05591,1.341734,0.409051,-0.242166,-0.693275,0.673578,0.083776,0.111905,1.341344,0.402717,-0.663753,-0.280661,0.422483,0.5497,0.121204,1.313516,0.34858,-0.676017,0.049269,0.218346,0.702067,0.077508,1.34498,0.421924,-0.411827,-0.585857,0.640826,0.276609,0.044659,1.33626,0.389331,-0.242166,-0.693275,0.673578,0.083776,0.073291,1.316625,0.381173,0.318889,-0.681547,0.515316,-0.410187,0.114973,1.320135,0.411879,-0.523382,-0.452455,0.569071,0.444425,0.123165,1.297016,0.353409,-0.676017,0.049269,0.218346,0.702067,0.070291,1.321577,0.409322,-0.023076,-0.695825,0.711038,-0.098591,0.09593,1.31631,0.368248,0.318889,-0.681547,0.515316,-0.410187,0.127463,1.300694,0.367639,-0.676017,0.049269,0.218346,0.702067,0.079965,1.284242,0.373806,0.381209,-0.554074,0.627676,-0.392053,0.104757,1.277523,0.406408,-0.363357,-0.467625,0.682412,0.428501,0.120435,1.272171,0.361763,-0.540605,-0.10842,0.13955,0.822507,0.076022,1.285374,0.394592,0.0531,-0.65145,0.752432,-0.081485,0.100365,1.283003,0.363465,0.381209,-0.554074,0.627676,-0.392053,0.077794,1.299868,0.374348,0.395546,-0.590715,0.561876,-0.422959,0.110952,1.298817,0.41165,-0.445891,-0.493791,0.619011,0.417346,0.124394,1.280225,0.360231,-0.676017,0.049269,0.218346,0.702067,0.07173,1.301922,0.401318,0.054569,-0.681076,0.722922,-0.10267,0.101204,1.299303,0.364425,0.395546,-0.590715,0.561876,-0.422959,0.098402,1.369223,0.38928,-0.873884,0.426742,0.192943,0.130354,0.113673,1.321743,0.342034,-0.884202,0.40568,0.191119,0.13071,0.105808,1.347768,0.362309,-0.915889,0.290928,0.181098,0.209073,0.09365,1.390246,0.403247,-0.873884,0.426742,0.192943,0.130354,99,0.139954,1.281254,0.323398,-0.676017,0.049269,0.218346,0.702067,35,T,Static,Right
9,10,0.041714,1.479289,0.070662,0.999717,-0.017978,0.013154,0.008414,0.055934,1.341357,0.409535,-0.244053,-0.69305,0.672807,0.08632,0.111925,1.340985,0.402937,-0.664576,-0.279916,0.420827,0.550354,0.121088,1.313217,0.348746,-0.676596,0.04985,0.217053,0.701869,0.077606,1.344591,0.422287,-0.413406,-0.58524,0.639521,0.278573,0.044555,1.335901,0.389884,-0.244053,-0.69305,0.672807,0.08632,0.073269,1.316254,0.381459,0.318585,-0.682168,0.515742,-0.408852,0.115034,1.319768,0.412069,-0.52403,-0.452375,0.568068,0.445026,0.123075,1.296713,0.353554,-0.676596,0.04985,0.217053,0.701869,0.070345,1.321179,0.40962,-0.023717,-0.696219,0.710809,-0.097298,0.095871,1.315966,0.368468,0.318585,-0.682168,0.515742,-0.408852,0.127412,1.300381,0.367774,-0.676596,0.04985,0.217053,0.701869,0.079932,1.283891,0.374062,0.38072,-0.554641,0.628235,-0.390829,0.104832,1.277155,0.406584,-0.364286,-0.467395,0.68149,0.429429,0.120387,1.271859,0.36189,-0.541036,-0.107573,0.138334,0.82254,0.076057,1.284999,0.394863,0.052248,-0.651799,0.752347,-0.08001,0.100303,1.282676,0.363663,0.38072,-0.554641,0.628235,-0.390829,0.077769,1.299506,0.374603,0.395201,-0.591305,0.562365,-0.421808,0.111027,1.298449,0.41183,-0.446566,-0.493709,0.61814,0.418011,0.124336,1.279917,0.360354,-0.676596,0.04985,0.217053,0.701869,0.071779,1.301533,0.401592,0.053889,-0.681445,0.722804,-0.101402,0.101153,1.298966,0.364619,0.395201,-0.591305,0.562365,-0.421808,0.098369,1.368856,0.389579,-0.874445,0.426393,0.191714,0.12954,0.113533,1.321444,0.342231,-0.884755,0.405319,0.189851,0.12993,0.105711,1.347442,0.362557,-0.916423,0.290565,0.179725,0.20842,0.093644,1.38986,0.403583,-0.874445,0.426393,0.191714,0.12954,111,0.139791,1.280994,0.323478,-0.676596,0.04985,0.217053,0.701869,35,T,Static,Right
