,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,-0.002039,1.519088,0.054381,0.994563,0.086204,-0.024695,0.052945,-0.039992,1.438394,0.34013,0.770582,-0.039393,0.593083,0.23001,-0.0828,1.396888,0.322149,0.720019,-0.281503,0.524517,0.356666,-0.098767,1.34081,0.307457,0.692155,-0.327533,0.458609,0.450912,-0.061237,1.4272,0.333475,0.755647,-0.099655,0.597112,0.250045,-0.01993,1.446885,0.347362,0.770582,-0.039393,0.593083,0.23001,-0.046866,1.438389,0.369084,0.742465,0.001598,0.596631,0.304589,-0.091311,1.391186,0.342638,0.718346,-0.261794,0.484279,0.425344,-0.105839,1.33492,0.321959,0.692155,-0.327533,0.458609,0.450912,-0.070491,1.425871,0.359974,0.756497,-0.064866,0.578388,0.298282,-0.024722,1.448437,0.377163,0.742465,0.001598,0.596631,0.304589,-0.109315,1.348882,0.325522,0.692155,-0.327533,0.458609,0.450912,-0.060389,1.389381,0.397555,0.68206,0.009324,0.563392,0.466152,-0.093435,1.358867,0.371533,0.707665,-0.114851,0.480317,0.505287,-0.110602,1.325574,0.34347,0.64704,-0.146161,0.422882,0.617371,-0.075678,1.379276,0.387666,0.708411,0.008538,0.512355,0.485359,-0.043717,1.401769,0.406238,0.68206,0.009324,0.563392,0.466152,-0.052858,1.420805,0.38672,0.706497,0.016906,0.623241,0.334883,-0.093351,1.377086,0.358504,0.717794,-0.212924,0.472085,0.465372,-0.112167,1.330178,0.335958,0.692155,-0.327533,0.458609,0.450912,-0.074178,1.406875,0.37704,0.725889,-0.049681,0.565581,0.388246,-0.031357,1.431768,0.393229,0.706497,0.016906,0.623241,0.334883,-0.025026,1.362589,0.308079,0.565221,-0.569433,0.405532,-0.437968,-0.088023,1.338918,0.301011,0.568157,-0.568253,0.403395,-0.437674,-0.056162,1.348672,0.301968,0.666515,-0.517412,0.379597,-0.379406,-0.001055,1.370487,0.307569,0.565221,-0.569433,0.405532,-0.437968,11,-0.127319,1.306579,0.308407,0.692155,-0.327533,0.458609,0.450912,36,C,Static,Left
1,2,-0.00209,1.519082,0.054387,0.994567,0.08632,-0.024752,0.052667,-0.040185,1.438395,0.339544,0.769621,-0.040482,0.594338,0.229797,-0.083024,1.396821,0.321783,0.718873,-0.281951,0.525924,0.356553,-0.098982,1.340685,0.307313,0.690824,-0.328057,0.460143,0.451009,-0.061439,1.427169,0.332975,0.754612,-0.10048,0.598415,0.249727,-0.020115,1.446931,0.346703,0.769621,-0.040482,0.594338,0.229797,-0.046889,1.438396,0.368474,0.741539,0.001792,0.598471,0.303232,-0.091471,1.391172,0.342314,0.717297,-0.261823,0.486188,0.424917,-0.10601,1.334832,0.321853,0.690824,-0.328057,0.460143,0.451009,-0.070566,1.425888,0.359485,0.755522,-0.064845,0.580244,0.297151,-0.024696,1.448427,0.376441,0.741539,0.001792,0.598471,0.303232,-0.10949,1.348805,0.325374,0.690824,-0.328057,0.460143,0.451009,-0.060393,1.389574,0.397124,0.680959,0.008629,0.565279,0.465489,-0.093483,1.358936,0.371309,0.706463,-0.115632,0.482142,0.505053,-0.110705,1.325548,0.343393,0.645957,-0.146361,0.424663,0.617235,-0.075705,1.379421,0.38732,0.707382,0.007864,0.514325,0.484787,-0.043705,1.402008,0.405712,0.680959,0.008629,0.565279,0.465489,-0.052855,1.420908,0.386172,0.705447,0.016631,0.62501,0.333813,-0.093452,1.377117,0.358227,0.716676,-0.213175,0.473984,0.465049,-0.112296,1.330128,0.335872,0.690824,-0.328057,0.460143,0.451009,-0.074216,1.406959,0.37661,0.724861,-0.049878,0.567486,0.387361,-0.031325,1.43188,0.39257,0.705447,0.016631,0.62501,0.333813,-0.025257,1.36251,0.307755,0.564438,-0.570507,0.405144,-0.437938,-0.088249,1.338779,0.300853,0.567175,-0.569556,0.403133,-0.437496,-0.056392,1.348558,0.301726,0.665695,-0.518666,0.379443,-0.379288,-0.001291,1.370422,0.307198,0.564438,-0.570507,0.405144,-0.437938,22,-0.127509,1.306438,0.308433,0.690824,-0.328057,0.460143,0.451009,36,C,Static,Left
2,3,-0.002134,1.519029,0.054372,0.994579,0.086296,-0.024662,0.052519,-0.039453,1.438417,0.338619,0.768813,-0.040057,0.596178,0.227804,-0.082515,1.396957,0.321134,0.718139,-0.281179,0.528325,0.355088,-0.098706,1.340843,0.306835,0.690335,-0.327288,0.462396,0.450011,-0.060773,1.427251,0.332163,0.753761,-0.099876,0.600395,0.24778,-0.019327,1.446904,0.34568,0.768813,-0.040057,0.596178,0.227804,-0.046101,1.438534,0.36761,0.74094,0.002237,0.600033,0.301602,-0.090905,1.391379,0.341708,0.716764,-0.2612,0.488249,0.423837,-0.105696,1.335043,0.321413,0.690335,-0.327288,0.462396,0.450011,-0.069845,1.426075,0.358731,0.754868,-0.064312,0.581973,0.295544,-0.023857,1.448525,0.375481,0.74094,0.002237,0.600033,0.301602,-0.109118,1.349031,0.324926,0.690335,-0.327288,0.462396,0.450011,-0.059617,1.389781,0.396411,0.680695,0.010083,0.567127,0.463595,-0.092913,1.359213,0.37078,0.706327,-0.11455,0.484112,0.503604,-0.11034,1.325818,0.343001,0.645991,-0.145298,0.426736,0.616019,-0.075007,1.379668,0.386687,0.70726,0.009169,0.516203,0.482943,-0.042844,1.402165,0.404904,0.680695,0.010083,0.567127,0.463595,-0.052075,1.421112,0.385378,0.704879,0.017167,0.626462,0.332259,-0.092873,1.377365,0.357658,0.716269,-0.212596,0.475898,0.463986,-0.111944,1.330387,0.335475,0.690335,-0.327288,0.462396,0.450011,-0.073504,1.407199,0.375916,0.724381,-0.049292,0.569137,0.385908,-0.030499,1.432046,0.391685,0.704879,0.017167,0.626462,0.332259,-0.024912,1.362446,0.30688,0.562115,-0.571605,0.406805,-0.437954,-0.088008,1.338892,0.30033,0.564897,-0.570605,0.40478,-0.437556,-0.056118,1.348574,0.301034,0.663561,-0.519814,0.381356,-0.379535,-0.000925,1.370283,0.306191,0.562115,-0.571605,0.406805,-0.437954,33,-0.12733,1.306684,0.308144,0.690335,-0.327288,0.462396,0.450011,36,C,Static,Left
3,4,-0.002152,1.51899,0.054317,0.994557,0.086616,-0.024502,0.052476,-0.039799,1.439099,0.33887,0.767844,-0.040525,0.596486,0.230169,-0.082713,1.397486,0.321376,0.717204,-0.281301,0.527993,0.357367,-0.098718,1.341342,0.306979,0.689355,-0.327117,0.461928,0.452114,-0.06108,1.427851,0.332427,0.752806,-0.100287,0.600557,0.250115,-0.019701,1.447665,0.345914,0.767844,-0.040525,0.596486,0.230169,-0.046361,1.43909,0.367867,0.739832,0.002523,0.600526,0.303335,-0.091044,1.391834,0.341954,0.715785,-0.261001,0.487971,0.425928,-0.105653,1.335483,0.321558,0.689355,-0.327117,0.461928,0.452114,-0.070084,1.426574,0.35901,0.753865,-0.064124,0.582328,0.297438,-0.024128,1.449128,0.375711,0.739832,0.002523,0.600526,0.303335,-0.10912,1.349448,0.325122,0.689355,-0.327117,0.461928,0.452114,-0.059644,1.390249,0.396589,0.67922,0.010315,0.567501,0.465291,-0.092873,1.359604,0.370967,0.704997,-0.114423,0.484011,0.505589,-0.110218,1.326195,0.343153,0.644539,-0.144953,0.426423,0.617836,-0.075022,1.380101,0.386882,0.705813,0.009518,0.516576,0.484651,-0.042894,1.402673,0.405067,0.67922,0.010315,0.567501,0.465291,-0.052248,1.421625,0.385618,0.703656,0.017107,0.626823,0.33417,-0.092928,1.377782,0.357881,0.715166,-0.212375,0.47562,0.466068,-0.111853,1.330772,0.335639,0.689355,-0.327117,0.461928,0.452114,-0.073643,1.407653,0.376167,0.723185,-0.049207,0.569324,0.387882,-0.030699,1.432623,0.391906,0.703656,0.017107,0.626823,0.33417,-0.025025,1.363291,0.306803,0.563067,-0.572706,0.406698,-0.435386,-0.088033,1.339452,0.300433,0.565721,-0.571808,0.404766,-0.434925,-0.056186,1.349282,0.301047,0.66419,-0.520854,0.381626,-0.376731,-0.001078,1.371243,0.306056,0.563067,-0.572706,0.406698,-0.435386,44,-0.127195,1.307062,0.308289,0.689355,-0.327117,0.461928,0.452114,36,C,Static,Left
4,5,-0.002193,1.518916,0.054241,0.994554,0.086847,-0.023948,0.052402,-0.040123,1.439745,0.339108,0.766911,-0.041006,0.596747,0.232507,-0.082885,1.397979,0.321602,0.716296,-0.281452,0.527621,0.359612,-0.098721,1.341811,0.307105,0.688433,-0.326912,0.461502,0.454097,-0.061364,1.428414,0.332677,0.751884,-0.100726,0.600671,0.252427,-0.020055,1.44839,0.346139,0.766911,-0.041006,0.596747,0.232507,-0.046583,1.439599,0.368106,0.738776,0.002965,0.601045,0.304871,-0.09116,1.392258,0.342184,0.714871,-0.260746,0.487734,0.427887,-0.105604,1.335897,0.321686,0.688433,-0.326912,0.461502,0.454097,-0.070289,1.427036,0.359272,0.752914,-0.06383,0.582706,0.299164,-0.024356,1.449673,0.375921,0.738776,0.002965,0.601045,0.304871,-0.10911,1.349838,0.325302,0.688433,-0.326912,0.461502,0.454097,-0.059652,1.390681,0.396749,0.67781,0.010592,0.567895,0.466859,-0.09282,1.359967,0.371138,0.70373,-0.114282,0.483934,0.507456,-0.110092,1.326547,0.343291,0.643172,-0.144581,0.426134,0.619544,-0.07502,1.380503,0.38706,0.704433,0.009915,0.516977,0.486221,-0.04292,1.403142,0.40521,0.67781,0.010592,0.567895,0.466859,-0.052385,1.422092,0.385839,0.702488,0.017192,0.627203,0.335904,-0.092964,1.378169,0.358087,0.714144,-0.21207,0.475396,0.468,-0.111757,1.331133,0.335789,0.688433,-0.326912,0.461502,0.454097,-0.073753,1.40807,0.3764,0.722058,-0.049005,0.569539,0.389688,-0.030858,1.433144,0.392107,0.702488,0.017192,0.627203,0.335904,-0.025132,1.364101,0.306688,0.563946,-0.573851,0.406631,-0.432795,-0.088053,1.339979,0.300517,0.566445,-0.573082,0.404811,-0.432256,-0.05625,1.349955,0.301031,0.664718,-0.52197,0.381972,-0.373891,-0.001225,1.372167,0.30588,0.563946,-0.573851,0.406631,-0.432795,55,-0.12706,1.307418,0.308421,0.688433,-0.326912,0.461502,0.454097,36,C,Static,Left
5,6,-0.002209,1.518851,0.054169,0.99455,0.086933,-0.023487,0.052549,-0.040032,1.439649,0.338741,0.76607,-0.040854,0.598289,0.231341,-0.082895,1.397899,0.321457,0.715353,-0.28137,0.52925,0.35916,-0.098802,1.34171,0.307116,0.687502,-0.326849,0.463064,0.453963,-0.06131,1.428336,0.332401,0.750985,-0.100631,0.602218,0.251453,-0.019926,1.448274,0.345687,0.76607,-0.040854,0.598289,0.231341,-0.046366,1.439532,0.367746,0.737989,0.003719,0.602771,0.303357,-0.091111,1.392225,0.342074,0.714091,-0.260371,0.489555,0.427337,-0.105641,1.335828,0.321729,0.687502,-0.326849,0.463064,0.453963,-0.070133,1.427006,0.359023,0.752102,-0.06332,0.584452,0.29791,-0.024081,1.449561,0.375455,0.737989,0.003719,0.602771,0.303357,-0.109129,1.349777,0.325334,0.687502,-0.326849,0.463064,0.453963,-0.059436,1.390743,0.396544,0.677037,0.011075,0.569626,0.465859,-0.092698,1.359993,0.371101,0.702991,-0.11419,0.485505,0.507001,-0.110067,1.326524,0.343374,0.642517,-0.144233,0.427762,0.619184,-0.074845,1.380556,0.386928,0.703761,0.010209,0.518657,0.485398,-0.04266,1.403203,0.404917,0.677037,0.011075,0.569626,0.465859,-0.052167,1.42211,0.385538,0.701614,0.017535,0.628804,0.334719,-0.092874,1.378169,0.358012,0.71333,-0.211924,0.477082,0.467591,-0.111753,1.331095,0.335868,0.687502,-0.326849,0.463064,0.453963,-0.073585,1.408095,0.376202,0.721253,-0.048729,0.571222,0.388748,-0.030602,1.433144,0.391705,0.701614,0.017535,0.628804,0.334719,-0.025223,1.364015,0.30639,0.562745,-0.575198,0.407052,-0.432174,-0.088157,1.339862,0.300493,0.565157,-0.574531,0.405291,-0.431568,-0.056356,1.349849,0.30087,0.663559,-0.523364,0.382667,-0.373293,-0.001321,1.372085,0.305485,0.562745,-0.575198,0.407052,-0.432174,66,-0.127147,1.30733,0.308594,0.687502,-0.326849,0.463064,0.453963,36,C,Static,Left
6,7,-0.002252,1.5188,0.054106,0.994558,0.086996,-0.022877,0.052567,-0.039939,1.439561,0.3384,0.765264,-0.040566,0.599777,0.230201,-0.082901,1.397833,0.321325,0.714465,-0.281222,0.530794,0.358763,-0.09887,1.341625,0.307127,0.686613,-0.326751,0.464518,0.453894,-0.061254,1.428269,0.332148,0.750129,-0.100428,0.603704,0.250524,-0.019793,1.44816,0.345266,0.765264,-0.040566,0.599777,0.230201,-0.046147,1.439465,0.36741,0.737221,0.004579,0.604442,0.301884,-0.091059,1.392199,0.341976,0.713361,-0.259918,0.491305,0.426824,-0.105668,1.335772,0.321771,0.686613,-0.326751,0.464518,0.453894,-0.069974,1.426979,0.358794,0.751317,-0.062714,0.58614,0.2967,-0.023805,1.449444,0.375016,0.737221,0.004579,0.604442,0.301884,-0.109139,1.349727,0.325365,0.686613,-0.326751,0.464518,0.453894,-0.059225,1.390802,0.396353,0.676274,0.011589,0.571263,0.46495,-0.092574,1.360021,0.371066,0.702268,-0.114063,0.486969,0.506627,-0.110033,1.326507,0.34345,0.641873,-0.143863,0.429272,0.618893,-0.074672,1.380609,0.386805,0.703094,0.010522,0.520229,0.484675,-0.042405,1.40326,0.404643,0.676274,0.011589,0.571263,0.46495,-0.051951,1.422128,0.385255,0.700751,0.017956,0.63035,0.333593,-0.092781,1.378173,0.357944,0.712546,-0.211727,0.478685,0.467238,-0.111739,1.331064,0.33594,0.686613,-0.326751,0.464518,0.453894,-0.073417,1.408121,0.376019,0.720467,-0.048386,0.57284,0.387866,-0.030348,1.433141,0.391326,0.700751,0.017956,0.63035,0.333593,-0.025304,1.36395,0.306116,0.561683,-0.576441,0.407438,-0.431536,-0.088248,1.339763,0.300472,0.564012,-0.575874,0.405731,-0.430863,-0.05645,1.349763,0.300722,0.662541,-0.524628,0.383295,-0.37268,-0.001408,1.372028,0.305123,0.561683,-0.576441,0.407438,-0.431536,77,-0.127219,1.307255,0.308755,0.686613,-0.326751,0.464518,0.453894,36,C,Static,Left
7,8,-0.002309,1.518808,0.054074,0.994566,0.086964,-0.022462,0.052641,-0.039846,1.439482,0.338084,0.764485,-0.040204,0.601209,0.229115,-0.082903,1.397778,0.321204,0.71362,-0.281033,0.532259,0.358423,-0.098928,1.341552,0.307138,0.685761,-0.326624,0.465878,0.453879,-0.061196,1.428212,0.331915,0.749305,-0.100164,0.605129,0.249658,-0.019662,1.448054,0.344872,0.764485,-0.040204,0.601209,0.229115,-0.045931,1.439401,0.367096,0.736469,0.005476,0.606046,0.300486,-0.091005,1.39218,0.341887,0.712665,-0.259425,0.492976,0.42636,-0.105685,1.335724,0.32181,0.685761,-0.326624,0.465878,0.453879,-0.069816,1.426955,0.358583,0.750553,-0.062068,0.58776,0.295562,-0.023534,1.44933,0.374603,0.736469,0.005476,0.606046,0.300486,-0.109142,1.349686,0.325396,0.685761,-0.326624,0.465878,0.453879,-0.059017,1.39086,0.396174,0.67552,0.012113,0.572811,0.464128,-0.092448,1.36005,0.371033,0.701561,-0.113908,0.488344,0.506318,-0.109992,1.326495,0.343521,0.64124,-0.143475,0.430682,0.618659,-0.074499,1.38066,0.38669,0.702433,0.010847,0.521707,0.484038,-0.042157,1.403315,0.404385,0.67552,0.012113,0.572811,0.464128,-0.051739,1.422145,0.38499,0.699901,0.018414,0.631836,0.33254,-0.092687,1.37818,0.357883,0.711787,-0.211496,0.480208,0.466937,-0.111717,1.331041,0.336009,0.685761,-0.326624,0.465878,0.453879,-0.073252,1.408148,0.375848,0.719697,-0.048008,0.574389,0.387053,-0.030098,1.433137,0.390967,0.699901,0.018414,0.631836,0.33254,-0.025377,1.363901,0.305863,0.560728,-0.577593,0.407804,-0.430891,-0.088328,1.339679,0.300452,0.562977,-0.577124,0.406147,-0.430152,-0.056533,1.349692,0.300583,0.661632,-0.525785,0.38388,-0.372061,-0.001487,1.371987,0.304787,0.560728,-0.577593,0.407804,-0.430891,89,-0.127278,1.307192,0.308905,0.685761,-0.326624,0.465878,0.453879,36,C,Static,Left
8,9,-0.002362,1.518841,0.054067,0.994612,0.086473,-0.022081,0.052752,-0.040572,1.439517,0.339217,0.766306,-0.038157,0.598368,0.230816,-0.083518,1.397912,0.321822,0.715978,-0.279842,0.528999,0.359479,-0.099425,1.341776,0.307274,0.688119,-0.325766,0.462182,0.454706,-0.061885,1.428284,0.332854,0.751315,-0.098482,0.60218,0.25141,-0.020422,1.448033,0.346172,0.766306,-0.038157,0.598368,0.230816,-0.046868,1.439257,0.368209,0.738117,0.007286,0.60302,0.302485,-0.09174,1.392168,0.342418,0.714768,-0.258665,0.48922,0.427626,-0.106265,1.335843,0.321865,0.688119,-0.325766,0.462182,0.454706,-0.070696,1.426857,0.359473,0.752393,-0.060563,0.58455,0.297554,-0.024508,1.449128,0.375905,0.738117,0.007286,0.60302,0.302485,-0.109751,1.349777,0.325529,0.688119,-0.325766,0.462182,0.454706,-0.060012,1.390409,0.396902,0.677187,0.014081,0.569216,0.466061,-0.093335,1.359839,0.371335,0.703555,-0.112254,0.484383,0.507723,-0.110694,1.326462,0.34349,0.642817,-0.143251,0.42661,0.619895,-0.075458,1.380306,0.387258,0.70399,0.012826,0.517954,0.485756,-0.043176,1.402774,0.405299,0.677187,0.014081,0.569216,0.466061,-0.052718,1.421818,0.385962,0.701609,0.020587,0.628879,0.334413,-0.093507,1.378058,0.358307,0.713893,-0.210398,0.47637,0.468147,-0.112377,1.331059,0.335998,0.688119,-0.325766,0.462182,0.454706,-0.07419,1.407902,0.376603,0.721528,-0.046259,0.571055,0.388785,-0.031092,1.432736,0.392125,0.701609,0.020587,0.628879,0.334413,-0.025881,1.364178,0.30656,0.564572,-0.574005,0.407113,-0.431318,-0.088786,1.339955,0.300635,0.566213,-0.574102,0.405831,-0.430246,-0.056998,1.349986,0.301016,0.664549,-0.522669,0.383153,-0.372002,-0.00199,1.372288,0.305724,0.564572,-0.574005,0.407113,-0.431318,99,-0.127762,1.307386,0.30864,0.688119,-0.325766,0.462182,0.454706,36,C,Static,Left
9,10,-0.002427,1.518931,0.054077,0.994642,0.086065,-0.021775,0.052979,-0.040177,1.439552,0.339248,0.767253,-0.036105,0.598161,0.228524,-0.083303,1.398172,0.321794,0.717144,-0.278778,0.529139,0.357769,-0.099346,1.342068,0.307268,0.688929,-0.325645,0.462356,0.453386,-0.061548,1.428444,0.33286,0.75232,-0.096716,0.60206,0.249366,-0.019978,1.447936,0.346221,0.767253,-0.036105,0.598161,0.228524,-0.046575,1.439417,0.368215,0.738973,0.007981,0.602608,0.301196,-0.091567,1.392465,0.342383,0.715717,-0.258243,0.489265,0.426238,-0.106222,1.336165,0.321854,0.688929,-0.325645,0.462356,0.453386,-0.070432,1.427091,0.359454,0.75322,-0.059922,0.584229,0.29622,-0.024193,1.449217,0.375935,0.738973,0.007981,0.602608,0.301196,-0.109675,1.350112,0.3255,0.688929,-0.325645,0.462356,0.453386,-0.059915,1.390672,0.396888,0.6781,0.014388,0.569232,0.464702,-0.093289,1.36016,0.37132,0.70442,-0.112387,0.484376,0.5065,-0.110705,1.326812,0.343476,0.643896,-0.143269,0.426616,0.618765,-0.075381,1.380602,0.387241,0.704912,0.012928,0.517899,0.484471,-0.043048,1.402996,0.405282,0.6781,0.014388,0.569232,0.464702,-0.052536,1.422044,0.385971,0.702497,0.020946,0.628431,0.333367,-0.093394,1.378371,0.35828,0.714774,-0.210338,0.476238,0.466962,-0.112366,1.331408,0.335979,0.688929,-0.325645,0.462356,0.453386,-0.074028,1.408175,0.376588,0.722423,-0.04604,0.570679,0.387699,-0.030892,1.43291,0.39216,0.702497,0.020946,0.628431,0.333367,-0.025733,1.364236,0.306686,0.564475,-0.572713,0.407163,-0.433113,-0.088701,1.340212,0.300647,0.565681,-0.573296,0.406137,-0.431728,-0.056883,1.350144,0.301073,0.664306,-0.521722,0.383153,-0.373763,-0.001813,1.372269,0.305922,0.564475,-0.572713,0.407163,-0.433113,111,-0.127782,1.30776,0.308617,0.688929,-0.325645,0.462356,0.453386,36,C,Static,Left
