,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.010237,1.615168,0.103838,0.98745,0.15278,-0.009439,0.038879,0.046316,1.472354,0.319266,0.533728,-0.392071,0.233091,-0.712098,0.054915,1.482072,0.357118,-0.364983,-0.545146,0.726399,0.20481,0.105514,1.459435,0.329472,-0.577472,-0.233114,0.469356,0.62601,0.025612,1.478168,0.331855,0.231229,-0.630434,0.595951,-0.440373,0.065393,1.473715,0.331959,0.533728,-0.392071,0.233091,-0.712098,0.048728,1.454654,0.319274,0.564005,-0.421117,0.212357,-0.677837,0.052661,1.461409,0.366749,-0.284646,-0.618355,0.706262,0.194442,0.104184,1.443193,0.333564,-0.577472,-0.233114,0.469356,0.62601,0.024381,1.458004,0.333197,0.295709,-0.623612,0.597965,-0.407556,0.070152,1.458827,0.332699,0.564005,-0.421117,0.212357,-0.677837,0.09401,1.445104,0.345987,-0.577472,-0.233114,0.469356,0.62601,0.053445,1.425381,0.322185,0.668342,-0.319936,0.329763,-0.584993,0.053614,1.418869,0.358188,-0.164871,-0.626744,0.712893,0.267944,0.096065,1.416675,0.338596,-0.491012,-0.421268,0.336513,0.684251,0.035632,1.424393,0.332926,0.369932,-0.609419,0.621691,-0.324439,0.072453,1.426711,0.334174,0.668342,-0.319936,0.329763,-0.584993,0.052834,1.439178,0.319737,0.641378,-0.333231,0.245043,-0.646178,0.05213,1.440168,0.364957,-0.232146,-0.632839,0.710862,0.200745,0.099066,1.425011,0.339857,-0.577472,-0.233114,0.469356,0.62601,0.028776,1.439832,0.332507,0.348968,-0.614646,0.597137,-0.379289,0.072524,1.441584,0.334947,0.641378,-0.333231,0.245043,-0.646178,0.078247,1.526856,0.339541,-0.621976,0.447716,0.449153,0.459301,0.107848,1.468761,0.320961,-0.674338,0.339374,0.532466,0.382849,0.092572,1.497609,0.327715,-0.67064,0.277176,0.502498,0.470012,0.075674,1.551371,0.344988,-0.621976,0.447716,0.449153,0.459301,11,0.135359,1.428798,0.325226,-0.577472,-0.233114,0.469356,0.62601,39,Nummer1,Static,Right
1,2,0.01071,1.615281,0.104199,0.987482,0.152469,-0.009977,0.039149,0.047234,1.472848,0.319844,0.53429,-0.390662,0.236948,-0.711177,0.055981,1.482252,0.357765,-0.363703,-0.545516,0.7256,0.208896,0.106496,1.459734,0.329873,-0.576365,-0.234447,0.466777,0.628456,0.026594,1.47861,0.33256,0.232063,-0.629664,0.59891,-0.43701,0.066347,1.474073,0.332498,0.53429,-0.390662,0.236948,-0.711177,0.049677,1.455144,0.31972,0.565248,-0.419008,0.215329,-0.677171,0.053704,1.461521,0.367242,-0.282707,-0.618829,0.705652,0.197946,0.105144,1.443465,0.333846,-0.576365,-0.234447,0.466777,0.628456,0.025361,1.458416,0.333714,0.297321,-0.622426,0.600259,-0.404815,0.071113,1.459192,0.333165,0.565248,-0.419008,0.215329,-0.677171,0.094995,1.445301,0.346299,-0.576365,-0.234447,0.466777,0.628456,0.054397,1.425814,0.322341,0.668293,-0.317955,0.33315,-0.58421,0.054571,1.419045,0.358357,-0.162185,-0.626437,0.712801,0.270533,0.09699,1.416925,0.33869,-0.489048,-0.422348,0.33394,0.68625,0.036613,1.424792,0.333128,0.370772,-0.607815,0.624131,-0.321793,0.073441,1.427011,0.334287,0.668293,-0.317955,0.33315,-0.58421,0.053788,1.439651,0.320035,0.64215,-0.330809,0.247966,-0.64554,0.053133,1.440295,0.36529,-0.229835,-0.63318,0.71042,0.203868,0.100007,1.425246,0.34001,-0.576365,-0.234447,0.466777,0.628456,0.029755,1.440239,0.332856,0.350514,-0.613232,0.599355,-0.376645,0.073491,1.441914,0.335251,0.64215,-0.330809,0.247966,-0.64554,0.079334,1.527081,0.340588,-0.624268,0.44555,0.44631,0.461067,0.108828,1.469119,0.321427,-0.676167,0.337178,0.52976,0.385311,0.093608,1.497928,0.328471,-0.672186,0.274888,0.499585,0.472248,0.076789,1.551547,0.346259,-0.624268,0.44555,0.44631,0.461067,22,0.136286,1.429081,0.325356,-0.576365,-0.234447,0.466777,0.628456,39,Nummer1,Static,Right
2,3,0.011204,1.615272,0.104443,0.987545,0.151992,-0.010625,0.03924,0.047424,1.472859,0.319887,0.534319,-0.38894,0.236665,-0.712194,0.056093,1.482203,0.357835,-0.362307,-0.545246,0.726473,0.208994,0.106593,1.459568,0.33001,-0.574962,-0.234603,0.467316,0.629282,0.026761,1.478647,0.332554,0.23279,-0.62837,0.599437,-0.437761,0.066493,1.474041,0.332611,0.534319,-0.38894,0.236665,-0.712194,0.049803,1.45515,0.319751,0.565071,-0.417353,0.215113,-0.678409,0.053741,1.461469,0.367289,-0.281369,-0.618299,0.706641,0.197981,0.105188,1.443299,0.333965,-0.574962,-0.234603,0.467316,0.629282,0.025465,1.45847,0.333695,0.297791,-0.621071,0.600918,-0.405573,0.071201,1.459139,0.333274,0.565071,-0.417353,0.215113,-0.678409,0.095023,1.445152,0.346402,-0.574962,-0.234603,0.467316,0.629282,0.054497,1.425768,0.322326,0.667532,-0.316305,0.332794,-0.586175,0.054504,1.418999,0.358366,-0.160105,-0.625421,0.714532,0.269555,0.096951,1.416778,0.33877,-0.487592,-0.422701,0.334641,0.686727,0.036677,1.424824,0.33306,0.370965,-0.60599,0.624915,-0.323485,0.073508,1.426882,0.334332,0.667532,-0.316305,0.332794,-0.586175,0.05391,1.439634,0.320059,0.641833,-0.329006,0.247449,-0.646974,0.053114,1.440247,0.365316,-0.228178,-0.632581,0.711608,0.203444,0.09999,1.425089,0.340103,-0.574962,-0.234603,0.467316,0.629282,0.02984,1.440281,0.332807,0.351108,-0.61168,0.599836,-0.377847,0.073561,1.44183,0.33535,0.641833,-0.329006,0.247449,-0.646974,0.079599,1.526979,0.340743,-0.623361,0.445626,0.445883,0.462631,0.108966,1.468955,0.321576,-0.675336,0.337261,0.529672,0.386812,0.093816,1.497799,0.328623,-0.671243,0.274827,0.49956,0.473649,0.077125,1.551448,0.346432,-0.623361,0.445626,0.445883,0.462631,33,0.136304,1.428835,0.325516,-0.574962,-0.234603,0.467316,0.629282,39,Nummer1,Static,Right
3,4,0.01166,1.615217,0.104691,0.987606,0.15155,-0.01112,0.03928,0.047632,1.472896,0.319925,0.534466,-0.38716,0.236173,-0.713215,0.056209,1.482186,0.357899,-0.360868,-0.545082,0.727336,0.208909,0.106703,1.459443,0.330152,-0.5736,-0.234829,0.467919,0.629992,0.02694,1.478705,0.332535,0.233645,-0.627103,0.599794,-0.438633,0.066653,1.474041,0.332725,0.534466,-0.38716,0.236173,-0.713215,0.049949,1.455183,0.31978,0.564967,-0.415668,0.214723,-0.679652,0.053785,1.461451,0.367331,-0.280009,-0.617852,0.707606,0.197859,0.105248,1.443174,0.334092,-0.5736,-0.234829,0.467919,0.629992,0.025583,1.458547,0.333667,0.298342,-0.61975,0.601437,-0.40642,0.071304,1.459121,0.333385,0.564967,-0.415668,0.214723,-0.679652,0.095064,1.445044,0.346511,-0.5736,-0.234829,0.467919,0.629992,0.054623,1.425748,0.322312,0.666837,-0.314641,0.332256,-0.588164,0.054454,1.418987,0.358375,-0.158017,-0.624471,0.716249,0.268431,0.096932,1.416671,0.338859,-0.486207,-0.423119,0.335383,0.687089,0.036765,1.424882,0.33299,0.371224,-0.60419,0.625566,-0.325291,0.073597,1.426784,0.334384,0.666837,-0.314641,0.332256,-0.588164,0.054053,1.439643,0.320082,0.641583,-0.327189,0.246764,-0.648403,0.053107,1.440232,0.36534,-0.226506,-0.632054,0.712774,0.20287,0.09999,1.424973,0.340205,-0.5736,-0.234829,0.467919,0.629992,0.029943,1.440347,0.332752,0.351773,-0.610159,0.600178,-0.379141,0.073649,1.44178,0.335455,0.641583,-0.327189,0.246764,-0.648403,0.079862,1.526914,0.340887,-0.622399,0.445683,0.445601,0.46414,0.109117,1.46883,0.321731,-0.674454,0.337313,0.529732,0.388222,0.094028,1.497708,0.328771,-0.670263,0.274734,0.499679,0.474962,0.077453,1.551387,0.346588,-0.622399,0.445683,0.445601,0.46414,44,0.136343,1.428636,0.32569,-0.5736,-0.234829,0.467919,0.629992,39,Nummer1,Static,Right
4,5,0.012151,1.615288,0.104928,0.987602,0.151541,-0.011597,0.039283,0.047969,1.47279,0.320134,0.53403,-0.388172,0.236961,-0.71273,0.05666,1.482082,0.358088,-0.361894,-0.544685,0.726895,0.209702,0.107086,1.459301,0.330251,-0.573966,-0.233969,0.467553,0.630251,0.027318,1.478606,0.332807,0.232626,-0.627695,0.600251,-0.437701,0.067027,1.473931,0.332878,0.53403,-0.388172,0.236961,-0.71273,0.050321,1.455068,0.319984,0.564652,-0.41636,0.215142,-0.679357,0.054245,1.461352,0.367534,-0.280704,-0.617575,0.707452,0.198291,0.105632,1.443035,0.334202,-0.573966,-0.233969,0.467553,0.630251,0.025985,1.458441,0.333919,0.297578,-0.620149,0.601746,-0.405912,0.071701,1.459007,0.333549,0.564652,-0.41636,0.215142,-0.679357,0.095475,1.444916,0.34664,-0.573966,-0.233969,0.467553,0.630251,0.054993,1.425629,0.322518,0.666396,-0.315255,0.332768,-0.588045,0.054876,1.418883,0.358597,-0.158578,-0.624161,0.716296,0.268693,0.097315,1.416538,0.338998,-0.486471,-0.422254,0.33516,0.687543,0.037156,1.424772,0.333232,0.370432,-0.604513,0.625942,-0.32487,0.073989,1.426665,0.334555,0.666396,-0.315255,0.332768,-0.588045,0.054422,1.439526,0.32028,0.641228,-0.327878,0.247271,-0.648213,0.053552,1.440132,0.365554,-0.227151,-0.631786,0.7127,0.203242,0.10038,1.424839,0.340334,-0.573966,-0.233969,0.467553,0.630251,0.030339,1.44024,0.333002,0.35097,-0.610564,0.600561,-0.378628,0.074046,1.441664,0.335616,0.641228,-0.327878,0.247271,-0.648213,0.08027,1.526769,0.34103,-0.622833,0.446226,0.444985,0.463628,0.109485,1.468682,0.321819,-0.674963,0.337866,0.528958,0.38791,0.09442,1.497566,0.328889,-0.670824,0.275185,0.499065,0.474555,0.077873,1.551244,0.346732,-0.622833,0.446226,0.444985,0.463628,55,0.136705,1.428479,0.325746,-0.573966,-0.233969,0.467553,0.630251,39,Nummer1,Static,Right
5,6,0.012629,1.615265,0.105142,0.987632,0.151352,-0.012059,0.039113,0.048079,1.473265,0.32132,0.531353,-0.391272,0.237577,-0.712831,0.057042,1.482707,0.359189,-0.365087,-0.542131,0.727042,0.210276,0.107235,1.459638,0.331168,-0.574907,-0.23004,0.467732,0.630706,0.027533,1.479203,0.334108,0.228486,-0.628768,0.601033,-0.437269,0.06722,1.474409,0.33394,0.531353,-0.391272,0.237577,-0.712831,0.050435,1.455536,0.321241,0.562379,-0.418958,0.215329,-0.679587,0.054619,1.46203,0.368748,-0.283658,-0.615515,0.707987,0.19858,0.105754,1.443396,0.335204,-0.574907,-0.23004,0.467732,0.630706,0.026182,1.459037,0.33529,0.294029,-0.621121,0.602404,-0.406036,0.071885,1.459487,0.334691,0.562379,-0.418958,0.215329,-0.679587,0.095675,1.445366,0.347692,-0.574907,-0.23004,0.467732,0.630706,0.055037,1.426079,0.323873,0.663638,-0.317986,0.333662,-0.589186,0.055067,1.419517,0.360009,-0.161257,-0.621891,0.717748,0.268489,0.097383,1.416948,0.340175,-0.487386,-0.418569,0.336023,0.688727,0.037258,1.425339,0.334691,0.366565,-0.605267,0.627207,-0.325413,0.074103,1.427109,0.335801,0.663638,-0.317986,0.333662,-0.589186,0.054499,1.439978,0.321584,0.63898,-0.330519,0.247623,-0.648957,0.05385,1.440803,0.366873,-0.230021,-0.629771,0.713541,0.203319,0.100481,1.425245,0.341453,-0.574907,-0.23004,0.467732,0.630706,0.030486,1.44082,0.334428,0.347405,-0.611534,0.601441,-0.378952,0.074198,1.442134,0.336821,0.63898,-0.330519,0.247623,-0.648957,0.080688,1.527221,0.341836,-0.622725,0.449333,0.443504,0.462188,0.109614,1.468972,0.322678,-0.675297,0.341237,0.527104,0.386901,0.094685,1.497931,0.329726,-0.671129,0.27861,0.497607,0.473656,0.078383,1.551723,0.347457,-0.622725,0.449333,0.443504,0.462188,66,0.136731,1.428703,0.326637,-0.574907,-0.23004,0.467732,0.630706,39,Nummer1,Static,Right
6,7,0.013084,1.615198,0.105324,0.987667,0.151191,-0.012371,0.038766,0.048205,1.473738,0.322433,0.528839,-0.39403,0.238011,-0.713036,0.05741,1.483321,0.360226,-0.36793,-0.539724,0.727286,0.210668,0.107389,1.459978,0.33205,-0.575696,-0.226413,0.467997,0.631102,0.027756,1.479793,0.335319,0.224639,-0.629665,0.601743,-0.436995,0.067417,1.474881,0.334944,0.528839,-0.39403,0.238011,-0.713036,0.050573,1.456004,0.322425,0.560356,-0.421148,0.21524,-0.679933,0.054974,1.462695,0.369891,-0.286248,-0.613642,0.708545,0.19867,0.10588,1.443758,0.336166,-0.575696,-0.226413,0.467997,0.631102,0.02639,1.459624,0.336565,0.290868,-0.621929,0.602913,-0.406321,0.072078,1.459969,0.335783,0.560356,-0.421148,0.21524,-0.679933,0.095871,1.445814,0.348697,-0.575696,-0.226413,0.467997,0.631102,0.055106,1.426524,0.325147,0.660974,-0.320448,0.334363,-0.590447,0.055251,1.420142,0.361341,-0.163548,-0.619708,0.719287,0.268032,0.097456,1.417357,0.341299,-0.488171,-0.415182,0.336927,0.689778,0.037377,1.425902,0.336054,0.362946,-0.605832,0.628375,-0.326166,0.074233,1.427544,0.336977,0.660974,-0.320448,0.334363,-0.590447,0.054605,1.440428,0.322814,0.63694,-0.332751,0.247669,-0.649804,0.054133,1.441463,0.368115,-0.232501,-0.627913,0.714419,0.203161,0.100585,1.425651,0.342524,-0.575696,-0.226413,0.467997,0.631102,0.03065,1.441395,0.335756,0.344209,-0.612318,0.602153,-0.379473,0.074361,1.442601,0.337973,0.63694,-0.332751,0.247669,-0.649804,0.081105,1.527669,0.342616,-0.622606,0.452094,0.442161,0.460942,0.109754,1.469267,0.323506,-0.675528,0.344337,0.525376,0.386102,0.094956,1.498298,0.330534,-0.671321,0.281752,0.496246,0.472953,0.078883,1.552195,0.348165,-0.622606,0.452094,0.442161,0.460942,78,0.136768,1.428934,0.327504,-0.575696,-0.226413,0.467997,0.631102,39,Nummer1,Static,Right
7,8,0.013514,1.615152,0.105451,0.987688,0.151125,-0.012757,0.038361,0.048344,1.474207,0.323486,0.52646,-0.396512,0.238303,-0.713323,0.057764,1.483927,0.36121,-0.370492,-0.537438,0.727605,0.210919,0.107547,1.46032,0.332903,-0.576361,-0.223032,0.468331,0.631451,0.027983,1.480377,0.336459,0.221032,-0.630421,0.602395,-0.436846,0.067618,1.47535,0.3359,0.52646,-0.396512,0.238303,-0.713323,0.050728,1.456472,0.323548,0.558532,-0.423017,0.214939,-0.680367,0.055315,1.46335,0.370974,-0.288547,-0.611919,0.709121,0.198605,0.10601,1.444122,0.337095,-0.576361,-0.223032,0.468331,0.631451,0.026606,1.460204,0.337763,0.288015,-0.622608,0.603306,-0.40673,0.072276,1.460452,0.336833,0.558532,-0.423017,0.214939,-0.680367,0.096064,1.446261,0.349664,-0.576361,-0.223032,0.468331,0.631451,0.055195,1.426965,0.326353,0.658393,-0.322693,0.334911,-0.591796,0.05543,1.42076,0.362606,-0.165534,-0.617601,0.720886,0.267379,0.097533,1.417768,0.34238,-0.488851,-0.412039,0.337863,0.690722,0.037511,1.426462,0.337339,0.35953,-0.60625,0.62946,-0.327077,0.074375,1.427972,0.338098,0.658393,-0.322693,0.334911,-0.591796,0.054732,1.440878,0.323982,0.635067,-0.334663,0.247477,-0.650727,0.054404,1.442112,0.369294,-0.234672,-0.626183,0.715324,0.202822,0.100691,1.426058,0.343555,-0.576361,-0.223032,0.468331,0.631451,0.030825,1.441963,0.337005,0.341308,-0.612955,0.602731,-0.380146,0.074532,1.443067,0.339082,0.635067,-0.334663,0.247477,-0.650727,0.08152,1.528114,0.343374,-0.622473,0.454579,0.440932,0.459854,0.109901,1.469566,0.32431,-0.675673,0.347216,0.523756,0.38547,0.095231,1.498667,0.331319,-0.671421,0.284663,0.49497,0.472404,0.079375,1.552661,0.348859,-0.622473,0.454579,0.440932,0.459854,89,0.136813,1.429172,0.328353,-0.576361,-0.223032,0.468331,0.631451,39,Nummer1,Static,Right
8,9,0.013876,1.615012,0.105575,0.987722,0.150989,-0.013028,0.037934,0.049202,1.473924,0.323177,0.527235,-0.39551,0.235793,-0.714141,0.058477,1.48373,0.360894,-0.369992,-0.537814,0.728115,0.209073,0.108356,1.460089,0.332788,-0.57611,-0.223459,0.469832,0.630414,0.02878,1.480094,0.336054,0.221873,-0.630194,0.601029,-0.438625,0.068411,1.47513,0.335686,0.527235,-0.39551,0.235793,-0.714141,0.051627,1.45618,0.323275,0.558852,-0.422166,0.212565,-0.681379,0.056011,1.463173,0.370698,-0.287897,-0.612253,0.709712,0.196396,0.106817,1.4439,0.337013,-0.57611,-0.223459,0.469832,0.630414,0.027441,1.459927,0.337377,0.288726,-0.622318,0.601951,-0.408671,0.073106,1.460213,0.336653,0.558852,-0.422166,0.212565,-0.681379,0.096833,1.446061,0.349547,-0.57611,-0.223459,0.469832,0.630414,0.056079,1.426678,0.326157,0.658813,-0.322171,0.332604,-0.592914,0.056177,1.420565,0.362427,-0.164965,-0.617987,0.721472,0.265249,0.098341,1.417552,0.342332,-0.489025,-0.412613,0.339244,0.689578,0.038353,1.426198,0.337076,0.359997,-0.606155,0.628283,-0.328996,0.075204,1.427717,0.337988,0.658813,-0.322171,0.332604,-0.592914,0.055635,1.440585,0.323752,0.635403,-0.33405,0.245135,-0.6516,0.055118,1.441932,0.369063,-0.233999,-0.62652,0.715887,0.200556,0.101491,1.425847,0.343498,-0.57611,-0.223459,0.469832,0.630414,0.031675,1.441689,0.336676,0.341879,-0.612772,0.601398,-0.382034,0.075365,1.442824,0.338936,0.635403,-0.33405,0.245135,-0.6516,0.082227,1.527873,0.343041,-0.621687,0.454161,0.442703,0.459628,0.110729,1.469317,0.324181,-0.674709,0.347186,0.525226,0.385185,0.096018,1.498422,0.331088,-0.670727,0.284246,0.496693,0.471833,0.080027,1.552427,0.348469,-0.621687,0.454161,0.442703,0.459628,100,0.137655,1.428949,0.328396,-0.57611,-0.223459,0.469832,0.630414,39,Nummer1,Static,Right
9,10,0.014225,1.614964,0.10571,0.987742,0.150931,-0.01334,0.037517,0.05002,1.473696,0.322933,0.527936,-0.394512,0.233309,-0.71499,0.059155,1.483587,0.36064,-0.369526,-0.538099,0.728652,0.207285,0.10912,1.459902,0.332724,-0.575843,-0.223768,0.471294,0.629456,0.02954,1.479869,0.335715,0.222635,-0.629935,0.599719,-0.440401,0.069163,1.474962,0.335536,0.527936,-0.394512,0.233309,-0.71499,0.052481,1.455943,0.323066,0.559098,-0.42132,0.210234,-0.682422,0.056671,1.463051,0.370483,-0.287279,-0.612499,0.71034,0.19425,0.107576,1.443722,0.336982,-0.575843,-0.223768,0.471294,0.629456,0.028235,1.459708,0.337057,0.289359,-0.621993,0.600663,-0.410609,0.073894,1.460026,0.336536,0.559098,-0.42132,0.210234,-0.682422,0.097558,1.445908,0.349484,-0.575843,-0.223768,0.471294,0.629456,0.056914,1.426443,0.326023,0.65912,-0.321653,0.330364,-0.594104,0.056876,1.420424,0.362309,-0.164423,-0.61825,0.722133,0.263164,0.099097,1.417384,0.342338,-0.489165,-0.413076,0.340615,0.688525,0.039147,1.425992,0.336878,0.360358,-0.606005,0.627202,-0.330934,0.075985,1.42751,0.337938,0.65912,-0.321653,0.330364,-0.594104,0.056491,1.440346,0.323587,0.635654,-0.333438,0.242838,-0.652529,0.055791,1.441805,0.368894,-0.233357,-0.626762,0.716501,0.198344,0.10224,1.425682,0.343493,-0.575843,-0.223768,0.471294,0.629456,0.03248,1.441474,0.336413,0.34237,-0.612544,0.600139,-0.383934,0.076153,1.44263,0.338852,0.635654,-0.333438,0.242838,-0.652529,0.082906,1.52768,0.342766,-0.62091,0.453816,0.444368,0.459412,0.111512,1.469111,0.324102,-0.673759,0.347249,0.52658,0.384942,0.09677,1.498223,0.330911,-0.670034,0.283928,0.498309,0.471305,0.080657,1.552243,0.348139,-0.62091,0.453816,0.444368,0.459412,111,0.138445,1.428764,0.328484,-0.575843,-0.223768,0.471294,0.629456,39,Nummer1,Static,Right
