,FrameCount,Head.pos.x,Head.pos.y,Head.pos.z,Head.rot.w,Head.rot.x,Head.rot.y,Head.rot.z,IndexDistalJoint.pos.x,IndexDistalJoint.pos.y,IndexDistalJoint.pos.z,IndexDistalJoint.rot.w,IndexDistalJoint.rot.x,IndexDistalJoint.rot.y,IndexDistalJoint.rot.z,IndexKnuckle.pos.x,IndexKnuckle.pos.y,IndexKnuckle.pos.z,IndexKnuckle.rot.w,IndexKnuckle.rot.x,IndexKnuckle.rot.y,IndexKnuckle.rot.z,IndexMetacarpal.pos.x,IndexMetacarpal.pos.y,IndexMetacarpal.pos.z,IndexMetacarpal.rot.w,IndexMetacarpal.rot.x,IndexMetacarpal.rot.y,IndexMetacarpal.rot.z,IndexMiddleJoint.pos.x,IndexMiddleJoint.pos.y,IndexMiddleJoint.pos.z,IndexMiddleJoint.rot.w,IndexMiddleJoint.rot.x,IndexMiddleJoint.rot.y,IndexMiddleJoint.rot.z,IndexTip.pos.x,IndexTip.pos.y,IndexTip.pos.z,IndexTip.rot.w,IndexTip.rot.x,IndexTip.rot.y,IndexTip.rot.z,MiddleDistalJoint.pos.x,MiddleDistalJoint.pos.y,MiddleDistalJoint.pos.z,MiddleDistalJoint.rot.w,MiddleDistalJoint.rot.x,MiddleDistalJoint.rot.y,MiddleDistalJoint.rot.z,MiddleKnuckle.pos.x,MiddleKnuckle.pos.y,MiddleKnuckle.pos.z,MiddleKnuckle.rot.w,MiddleKnuckle.rot.x,MiddleKnuckle.rot.y,MiddleKnuckle.rot.z,MiddleMetacarpal.pos.x,MiddleMetacarpal.pos.y,MiddleMetacarpal.pos.z,MiddleMetacarpal.rot.w,MiddleMetacarpal.rot.x,MiddleMetacarpal.rot.y,MiddleMetacarpal.rot.z,MiddleMiddleJoint.pos.x,MiddleMiddleJoint.pos.y,MiddleMiddleJoint.pos.z,MiddleMiddleJoint.rot.w,MiddleMiddleJoint.rot.x,MiddleMiddleJoint.rot.y,MiddleMiddleJoint.rot.z,MiddleTip.pos.x,MiddleTip.pos.y,MiddleTip.pos.z,MiddleTip.rot.w,MiddleTip.rot.x,MiddleTip.rot.y,MiddleTip.rot.z,Palm.pos.x,Palm.pos.y,Palm.pos.z,Palm.rot.w,Palm.rot.x,Palm.rot.y,Palm.rot.z,PinkyDistalJoint.pos.x,PinkyDistalJoint.pos.y,PinkyDistalJoint.pos.z,PinkyDistalJoint.rot.w,PinkyDistalJoint.rot.x,PinkyDistalJoint.rot.y,PinkyDistalJoint.rot.z,PinkyKnuckle.pos.x,PinkyKnuckle.pos.y,PinkyKnuckle.pos.z,PinkyKnuckle.rot.w,PinkyKnuckle.rot.x,PinkyKnuckle.rot.y,PinkyKnuckle.rot.z,PinkyMetacarpal.pos.x,PinkyMetacarpal.pos.y,PinkyMetacarpal.pos.z,PinkyMetacarpal.rot.w,PinkyMetacarpal.rot.x,PinkyMetacarpal.rot.y,PinkyMetacarpal.rot.z,PinkyMiddleJoint.pos.x,PinkyMiddleJoint.pos.y,PinkyMiddleJoint.pos.z,PinkyMiddleJoint.rot.w,PinkyMiddleJoint.rot.x,PinkyMiddleJoint.rot.y,PinkyMiddleJoint.rot.z,PinkyTip.pos.x,PinkyTip.pos.y,PinkyTip.pos.z,PinkyTip.rot.w,PinkyTip.rot.x,PinkyTip.rot.y,PinkyTip.rot.z,RingDistalJoint.pos.x,RingDistalJoint.pos.y,RingDistalJoint.pos.z,RingDistalJoint.rot.w,RingDistalJoint.rot.x,RingDistalJoint.rot.y,RingDistalJoint.rot.z,RingKnuckle.pos.x,RingKnuckle.pos.y,RingKnuckle.pos.z,RingKnuckle.rot.w,RingKnuckle.rot.x,RingKnuckle.rot.y,RingKnuckle.rot.z,RingMetacarpal.pos.x,RingMetacarpal.pos.y,RingMetacarpal.pos.z,RingMetacarpal.rot.w,RingMetacarpal.rot.x,RingMetacarpal.rot.y,RingMetacarpal.rot.z,RingMiddleJoint.pos.x,RingMiddleJoint.pos.y,RingMiddleJoint.pos.z,RingMiddleJoint.rot.w,RingMiddleJoint.rot.x,RingMiddleJoint.rot.y,RingMiddleJoint.rot.z,RingTip.pos.x,RingTip.pos.y,RingTip.pos.z,RingTip.rot.w,RingTip.rot.x,RingTip.rot.y,RingTip.rot.z,ThumbDistalJoint.pos.x,ThumbDistalJoint.pos.y,ThumbDistalJoint.pos.z,ThumbDistalJoint.rot.w,ThumbDistalJoint.rot.x,ThumbDistalJoint.rot.y,ThumbDistalJoint.rot.z,ThumbMetacarpalJoint.pos.x,ThumbMetacarpalJoint.pos.y,ThumbMetacarpalJoint.pos.z,ThumbMetacarpalJoint.rot.w,ThumbMetacarpalJoint.rot.x,ThumbMetacarpalJoint.rot.y,ThumbMetacarpalJoint.rot.z,ThumbProximalJoint.pos.x,ThumbProximalJoint.pos.y,ThumbProximalJoint.pos.z,ThumbProximalJoint.rot.w,ThumbProximalJoint.rot.x,ThumbProximalJoint.rot.y,ThumbProximalJoint.rot.z,ThumbTip.pos.x,ThumbTip.pos.y,ThumbTip.pos.z,ThumbTip.rot.w,ThumbTip.rot.x,ThumbTip.rot.y,ThumbTip.rot.z,Timestamp,Wrist.pos.x,Wrist.pos.y,Wrist.pos.z,Wrist.rot.w,Wrist.rot.x,Wrist.rot.y,Wrist.rot.z,Participant,Gesture,Temporality,Handedness
0,1,0.055989,1.663429,0.00164,0.998586,0.039209,-0.00401,0.035682,0.103096,1.579013,0.327849,-0.846019,0.348659,0.35244,0.19615,0.131029,1.527728,0.301827,-0.799357,0.455996,0.343298,0.18773,0.146407,1.469799,0.291647,-0.768912,0.494033,0.319742,0.249943,0.116198,1.561421,0.315511,-0.847314,0.339854,0.373336,0.164863,0.093273,1.596572,0.339368,-0.846019,0.348659,0.35244,0.19615,0.119545,1.580825,0.352962,-0.869434,0.227882,0.375829,0.225626,0.149734,1.52776,0.315444,-0.816102,0.41372,0.321977,0.243198,0.160703,1.467968,0.301222,-0.768912,0.494033,0.319742,0.249943,0.135319,1.564739,0.335462,-0.878504,0.242962,0.366403,0.186946,0.106169,1.596318,0.368801,-0.869434,0.227882,0.375829,0.225626,0.163376,1.48267,0.300092,-0.768912,0.494033,0.319742,0.249943,0.135191,1.51626,0.373003,-0.73023,-0.409242,0.544778,0.050026,0.171689,1.503784,0.344852,-0.84727,0.188387,0.401246,0.292653,0.177521,1.464621,0.319028,-0.746512,0.362888,0.308472,0.464626,0.153567,1.52141,0.364162,-0.828721,-0.236968,0.483404,0.152935,0.115628,1.504893,0.375254,-0.73023,-0.409242,0.544778,0.050026,0.122943,1.54701,0.370789,-0.847333,-0.212029,0.480905,0.076162,0.161932,1.518183,0.330387,-0.850471,0.300816,0.343725,0.260888,0.174252,1.467221,0.311013,-0.768912,0.494033,0.319742,0.249943,0.144661,1.546087,0.353918,-0.886455,-0.052042,0.436731,0.144065,0.101616,1.541211,0.382992,-0.847333,-0.212029,0.480905,0.076162,0.094845,1.50916,0.322496,-0.811105,0.240911,-0.096189,-0.524231,0.134191,1.465959,0.29172,-0.594433,0.598691,0.119732,-0.523338,0.108302,1.485703,0.300288,-0.77892,0.427373,-0.004956,-0.458925,0.091733,1.522593,0.343941,-0.811105,0.240911,-0.096189,-0.524231,11,0.177017,1.43758,0.284739,-0.768912,0.494033,0.319742,0.249943,4,R,Static,Right
1,2,0.055884,1.663532,0.001796,0.998593,0.038771,-0.004578,0.035877,0.102558,1.578792,0.32761,-0.845814,0.346721,0.354984,0.19588,0.13079,1.527645,0.301639,-0.799172,0.454312,0.34587,0.18788,0.146312,1.46975,0.291495,-0.768539,0.492848,0.321912,0.250643,0.115783,1.561268,0.315305,-0.846981,0.337988,0.37589,0.164603,0.092616,1.596293,0.339114,-0.845814,0.346721,0.354984,0.19588,0.118932,1.580633,0.352785,-0.869117,0.22547,0.378283,0.22517,0.149428,1.527698,0.315348,-0.815775,0.412352,0.324255,0.243591,0.160566,1.467936,0.301136,-0.768539,0.492848,0.321912,0.250643,0.134842,1.564625,0.335335,-0.878067,0.241113,0.368813,0.186656,0.105416,1.596036,0.368591,-0.869117,0.22547,0.378283,0.22517,0.163218,1.482642,0.300025,-0.768539,0.492848,0.321912,0.250643,0.134581,1.516014,0.3728,-0.728043,-0.411578,0.546136,0.047882,0.171279,1.503734,0.344842,-0.846802,0.186041,0.403659,0.29219,0.177301,1.464601,0.319015,-0.746288,0.361201,0.310392,0.465021,0.15299,1.52126,0.364085,-0.827242,-0.239442,0.48527,0.151166,0.115054,1.504556,0.374896,-0.728043,-0.411578,0.546136,0.047882,0.122308,1.546835,0.370574,-0.84615,-0.212895,0.48278,0.07503,0.161569,1.518127,0.330341,-0.850037,0.299315,0.346126,0.260854,0.174067,1.467202,0.310987,-0.768539,0.492848,0.321912,0.250643,0.144113,1.545967,0.353811,-0.88548,-0.053172,0.438846,0.143221,0.100932,1.540992,0.382668,-0.84615,-0.212895,0.48278,0.07503,0.094579,1.509021,0.32215,-0.810998,0.242094,-0.093884,-0.524269,0.134103,1.465889,0.291512,-0.594062,0.599586,0.121587,-0.522306,0.108152,1.485597,0.299977,-0.778884,0.427981,-0.002907,-0.458435,0.09134,1.522439,0.343586,-0.810998,0.242094,-0.093884,-0.524269,22,0.177008,1.437587,0.284702,-0.768539,0.492848,0.321912,0.250643,4,R,Static,Right
2,3,0.055792,1.663753,0.00201,0.998632,0.037928,-0.004812,0.035664,0.102056,1.578593,0.327372,-0.845649,0.344887,0.357342,0.195543,0.130571,1.527582,0.301448,-0.799024,0.452719,0.348263,0.187936,0.146224,1.469715,0.291345,-0.768158,0.491816,0.323907,0.251266,0.115396,1.561137,0.315097,-0.846695,0.336218,0.378257,0.164275,0.092001,1.596039,0.338862,-0.845649,0.344887,0.357342,0.195543,0.11837,1.580469,0.352598,-0.868842,0.223171,0.380566,0.224674,0.149148,1.527653,0.315239,-0.815452,0.411136,0.326352,0.243926,0.160439,1.467917,0.301047,-0.768158,0.491816,0.323907,0.251266,0.134405,1.564536,0.335195,-0.877667,0.239394,0.37104,0.186334,0.104721,1.595786,0.368374,-0.868842,0.223171,0.380566,0.224674,0.163073,1.482628,0.299951,-0.768158,0.491816,0.323907,0.251266,0.134021,1.515802,0.372592,-0.726006,-0.413766,0.547369,0.045825,0.170903,1.503703,0.344816,-0.846366,0.183881,0.405905,0.29171,0.177098,1.464596,0.318993,-0.746052,0.359708,0.312175,0.465364,0.152459,1.521138,0.363994,-0.825871,-0.241744,0.48699,0.149461,0.11453,1.504257,0.374544,-0.726006,-0.413766,0.547369,0.045825,0.121728,1.546698,0.370353,-0.845092,-0.213554,0.4845,0.073985,0.161236,1.518092,0.330281,-0.849611,0.297997,0.34835,0.26079,0.173896,1.467197,0.310951,-0.768158,0.491816,0.323907,0.251266,0.14361,1.545876,0.35369,-0.884587,-0.054096,0.440788,0.142431,0.100306,1.540818,0.38235,-0.845092,-0.213554,0.4845,0.073985,0.094342,1.508912,0.321821,-0.81089,0.243241,-0.091835,-0.524268,0.134021,1.465836,0.291313,-0.5937,0.60044,0.123198,-0.521357,0.108017,1.485515,0.299683,-0.778844,0.42857,-0.001118,-0.457962,0.090989,1.522321,0.343245,-0.81089,0.243241,-0.091835,-0.524268,34,0.176998,1.437603,0.284662,-0.768158,0.491816,0.323907,0.251266,4,R,Static,Right
3,4,0.055715,1.664017,0.00229,0.998696,0.036719,-0.004873,0.035125,0.102289,1.578704,0.327274,-0.846385,0.346816,0.354548,0.194029,0.130589,1.527601,0.301297,-0.799544,0.454627,0.345573,0.186073,0.146209,1.469722,0.291208,-0.768827,0.493417,0.321665,0.248952,0.115531,1.561203,0.314956,-0.847482,0.338154,0.375393,0.16281,0.092323,1.596187,0.338787,-0.846385,0.346816,0.354548,0.194029,0.118663,1.580517,0.352469,-0.870337,0.223582,0.377972,0.222849,0.149262,1.527714,0.314958,-0.816467,0.412303,0.323933,0.241774,0.160493,1.467954,0.300815,-0.768827,0.493417,0.321665,0.248952,0.134611,1.564604,0.334968,-0.879029,0.239944,0.368351,0.184532,0.105084,1.595806,0.368332,-0.870337,0.223582,0.377972,0.222849,0.16311,1.482664,0.299671,-0.768827,0.493417,0.321665,0.248952,0.134527,1.515901,0.372428,-0.72777,-0.41417,0.544696,0.046049,0.171238,1.503842,0.344435,-0.847809,0.1851,0.403355,0.290281,0.177279,1.464683,0.318654,-0.746893,0.362035,0.3102,0.463528,0.1529,1.521276,0.363715,-0.827578,-0.241649,0.484234,0.149122,0.115076,1.504309,0.3745,-0.72777,-0.41417,0.544696,0.046049,0.122127,1.546638,0.370229,-0.846248,-0.215919,0.481651,0.072507,0.161461,1.518193,0.329936,-0.85097,0.298645,0.346008,0.258728,0.174019,1.467265,0.310629,-0.768827,0.493417,0.321665,0.248952,0.143922,1.545948,0.353445,-0.886098,-0.055432,0.43812,0.140747,0.100802,1.540596,0.382317,-0.846248,-0.215919,0.481651,0.072507,0.094437,1.508906,0.321949,-0.809459,0.243505,-0.094202,-0.525934,0.134009,1.465836,0.291266,-0.593174,0.598981,0.121158,-0.524106,0.108031,1.485484,0.299787,-0.777784,0.428172,-0.003552,-0.460117,0.091141,1.522375,0.343344,-0.809459,0.243505,-0.094202,-0.525934,44,0.176957,1.437615,0.284383,-0.768827,0.493417,0.321665,0.248952,4,R,Static,Right
4,5,0.055641,1.66428,0.002543,0.998741,0.035968,-0.00488,0.034624,0.102527,1.57891,0.327196,-0.846364,0.34535,0.355505,0.194984,0.130849,1.527831,0.301206,-0.799277,0.453997,0.346244,0.187508,0.146363,1.469926,0.291091,-0.768283,0.49314,0.322067,0.250654,0.115798,1.561433,0.314874,-0.847324,0.33698,0.376335,0.163887,0.092527,1.596359,0.338728,-0.846364,0.34535,0.355505,0.194984,0.118808,1.580619,0.352439,-0.870247,0.221094,0.379313,0.223403,0.149484,1.52789,0.314919,-0.81614,0.411523,0.324698,0.243179,0.160611,1.468114,0.300741,-0.768283,0.49314,0.322067,0.250654,0.134822,1.564769,0.334942,-0.878826,0.238174,0.369591,0.185312,0.105146,1.595823,0.368313,-0.870247,0.221094,0.379313,0.223403,0.16327,1.482821,0.299635,-0.768283,0.49314,0.322067,0.250654,0.134574,1.516092,0.372366,-0.727263,-0.413062,0.546104,0.047312,0.171323,1.503945,0.344438,-0.847018,0.184805,0.404007,0.291867,0.177345,1.464792,0.318643,-0.746065,0.361454,0.310639,0.465017,0.152983,1.521406,0.363692,-0.826784,-0.241149,0.485426,0.150457,0.115071,1.504583,0.374409,-0.727263,-0.413062,0.546104,0.047312,0.122229,1.546807,0.370139,-0.84536,-0.216041,0.483025,0.073346,0.161619,1.51833,0.329923,-0.85039,0.298131,0.346752,0.260226,0.174113,1.467387,0.310611,-0.768283,0.49314,0.322067,0.250654,0.14407,1.546093,0.353415,-0.885299,-0.055718,0.439348,0.141828,0.100858,1.540794,0.382159,-0.84536,-0.216041,0.483025,0.073346,0.094536,1.509266,0.321556,-0.810075,0.245945,-0.09179,-0.524275,0.134153,1.466069,0.29109,-0.593722,0.600427,0.121722,-0.521696,0.108194,1.485797,0.299485,-0.778311,0.429685,-0.002001,-0.457821,0.091105,1.522772,0.342907,-0.810075,0.245945,-0.09179,-0.524275,56,0.177056,1.437751,0.284351,-0.768283,0.49314,0.322067,0.250654,4,R,Static,Right
5,6,0.055673,1.664555,0.002926,0.99877,0.035793,-0.00491,0.033969,0.102727,1.579092,0.327118,-0.846445,0.343727,0.356487,0.195707,0.13109,1.528054,0.301107,-0.799077,0.453294,0.346948,0.188754,0.146505,1.470123,0.290971,-0.767746,0.492908,0.322469,0.252236,0.116034,1.561649,0.314787,-0.847255,0.335658,0.377297,0.164742,0.092684,1.596501,0.338674,-0.846445,0.343727,0.356487,0.195707,0.118926,1.580714,0.352396,-0.870213,0.218512,0.38067,0.223768,0.149689,1.528064,0.31487,-0.815825,0.410782,0.325474,0.244447,0.160718,1.468272,0.300662,-0.767746,0.492908,0.322469,0.252236,0.135009,1.564931,0.334902,-0.878664,0.236361,0.370834,0.185921,0.105176,1.595826,0.368282,-0.870213,0.218512,0.38067,0.223768,0.163418,1.482975,0.299593,-0.767746,0.492908,0.322469,0.252236,0.134618,1.516299,0.372303,-0.726962,-0.411685,0.547424,0.048667,0.171398,1.504053,0.344431,-0.84625,0.184637,0.404596,0.293383,0.177403,1.464903,0.318626,-0.74527,0.360934,0.311084,0.466397,0.15306,1.521546,0.363658,-0.826108,-0.240408,0.486516,0.151831,0.115061,1.50488,0.374331,-0.726962,-0.411685,0.547424,0.048667,0.122328,1.546998,0.370039,-0.844606,-0.215799,0.484312,0.074253,0.161763,1.518468,0.3299,-0.8498,0.29776,0.347446,0.261647,0.174198,1.467511,0.310588,-0.767746,0.492908,0.322469,0.252236,0.14421,1.546245,0.353371,-0.884559,-0.055708,0.440482,0.14293,0.100913,1.54103,0.382003,-0.844606,-0.215799,0.484312,0.074253,0.094625,1.50963,0.321142,-0.81066,0.24854,-0.0894,-0.522557,0.134286,1.466294,0.290909,-0.594189,0.601985,0.122236,-0.519242,0.108348,1.486105,0.299169,-0.778785,0.431325,-0.000479,-0.45547,0.091057,1.523178,0.342443,-0.81066,0.24854,-0.0894,-0.522557,66,0.177147,1.437886,0.284316,-0.767746,0.492908,0.322469,0.252236,4,R,Static,Right
6,7,0.05562,1.664398,0.003112,0.99878,0.035609,-0.004736,0.033873,0.102333,1.578967,0.326524,-0.846422,0.342901,0.357943,0.194594,0.130887,1.527993,0.300602,-0.798811,0.452947,0.348399,0.188034,0.146468,1.470092,0.290549,-0.767512,0.492594,0.323979,0.251622,0.115716,1.561559,0.314227,-0.847054,0.335104,0.378675,0.163738,0.092206,1.596341,0.33806,-0.846422,0.342901,0.357943,0.194594,0.118461,1.580626,0.351844,-0.870303,0.217076,0.382114,0.22235,0.149457,1.528062,0.314402,-0.815711,0.410325,0.326926,0.243658,0.160665,1.468285,0.30027,-0.767512,0.492594,0.323979,0.251622,0.134637,1.564901,0.334383,-0.878595,0.235464,0.372191,0.184665,0.104608,1.595666,0.367709,-0.870303,0.217076,0.382114,0.22235,0.163331,1.482994,0.299194,-0.767512,0.492594,0.323979,0.251622,0.134283,1.51622,0.371811,-0.726005,-0.413407,0.547559,0.046812,0.171167,1.504133,0.344029,-0.846332,0.183395,0.405786,0.292277,0.177323,1.464975,0.318272,-0.745378,0.360408,0.312503,0.465682,0.152727,1.521554,0.363224,-0.825605,-0.242097,0.487084,0.150047,0.11477,1.504713,0.373768,-0.726005,-0.413407,0.547559,0.046812,0.121886,1.546828,0.369507,-0.843709,-0.218642,0.484982,0.071721,0.161526,1.51851,0.329465,-0.8499,0.296754,0.348902,0.260526,0.174128,1.467567,0.310225,-0.767512,0.492594,0.323979,0.251622,0.143821,1.54622,0.352903,-0.88423,-0.05784,0.441538,0.140843,0.100469,1.540687,0.381379,-0.843709,-0.218642,0.484982,0.071721,0.094425,1.509492,0.320579,-0.809825,0.249944,-0.088229,-0.52338,0.134259,1.466232,0.290465,-0.593127,0.602629,0.123391,-0.519436,0.108253,1.485984,0.298654,-0.77802,0.432119,0.000661,-0.456025,0.090757,1.523058,0.341851,-0.809825,0.249944,-0.088229,-0.52338,78,0.177204,1.437926,0.283986,-0.767512,0.492594,0.323979,0.251622,4,R,Static,Right
7,8,0.055509,1.664609,0.003165,0.99877,0.036042,-0.004635,0.033724,0.101968,1.57886,0.325954,-0.846394,0.3421,0.359335,0.193555,0.130701,1.527946,0.300118,-0.798542,0.452629,0.349778,0.187383,0.146435,1.470072,0.290147,-0.767262,0.492318,0.325412,0.251076,0.115423,1.561485,0.31369,-0.846849,0.334585,0.379989,0.162813,0.091762,1.5962,0.337471,-0.846394,0.3421,0.359335,0.193555,0.118032,1.580556,0.351312,-0.870365,0.215726,0.383496,0.221037,0.149244,1.52807,0.313954,-0.815568,0.409931,0.328298,0.242955,0.160618,1.468306,0.299898,-0.767262,0.492318,0.325412,0.251076,0.134295,1.564884,0.333884,-0.878504,0.234656,0.373482,0.183517,0.104082,1.59553,0.367154,-0.870365,0.215726,0.383496,0.221037,0.163251,1.48302,0.298814,-0.767262,0.492318,0.325412,0.251076,0.133966,1.516148,0.371339,-0.725003,-0.415166,0.547706,0.045011,0.170951,1.504217,0.343645,-0.846404,0.18216,0.406928,0.291251,0.177248,1.465051,0.317936,-0.745444,0.359926,0.313858,0.465037,0.152413,1.521567,0.36281,-0.825075,-0.243813,0.487651,0.148332,0.114498,1.504554,0.373221,-0.725003,-0.415166,0.547706,0.045011,0.121471,1.546669,0.368995,-0.842789,-0.221506,0.48564,0.069253,0.161305,1.518559,0.32905,-0.849983,0.295785,0.350294,0.259487,0.174062,1.467628,0.30988,-0.767262,0.492318,0.325412,0.251076,0.143457,1.546205,0.352455,-0.88389,-0.059963,0.442569,0.138836,0.100053,1.540356,0.380775,-0.842789,-0.221506,0.48564,0.069253,0.094247,1.509375,0.320046,-0.809067,0.251216,-0.087176,-0.524121,0.134235,1.466183,0.290043,-0.592134,0.603244,0.124444,-0.519603,0.108167,1.485882,0.298164,-0.777329,0.43283,0.001678,-0.456525,0.090487,1.522956,0.341293,-0.809067,0.251216,-0.087176,-0.524121,89,0.177258,1.43797,0.283674,-0.767262,0.492318,0.325412,0.251076,4,R,Static,Right
8,9,0.05549,1.664521,0.003301,0.998758,0.036493,-0.004488,0.033627,0.101628,1.578768,0.325403,-0.846363,0.341319,0.360675,0.192575,0.130529,1.527909,0.299651,-0.79827,0.452334,0.351096,0.186788,0.146406,1.47006,0.289763,-0.766997,0.492073,0.326781,0.250585,0.115151,1.561423,0.313171,-0.846641,0.334094,0.38125,0.161951,0.091345,1.596076,0.336902,-0.846363,0.341319,0.360675,0.192575,0.117631,1.580502,0.350795,-0.870407,0.21444,0.384828,0.219806,0.149046,1.528086,0.313522,-0.815403,0.409584,0.329605,0.242322,0.160574,1.468334,0.299542,-0.766997,0.492073,0.326781,0.250585,0.133976,1.564878,0.333401,-0.878396,0.233914,0.374721,0.182456,0.103589,1.595412,0.366616,-0.870407,0.21444,0.384828,0.219806,0.163178,1.483052,0.298449,-0.766997,0.492073,0.326781,0.250585,0.133665,1.516081,0.370882,-0.723967,-0.416952,0.547861,0.043257,0.170746,1.504305,0.343276,-0.846467,0.180931,0.408032,0.290288,0.177176,1.46513,0.317614,-0.745477,0.359479,0.315161,0.464448,0.152113,1.521585,0.362412,-0.824524,-0.24555,0.488214,0.146673,0.114241,1.504401,0.372689,-0.723967,-0.416952,0.547861,0.043257,0.121077,1.54652,0.368499,-0.841849,-0.224389,0.486286,0.066835,0.161098,1.518614,0.328649,-0.850053,0.294844,0.351635,0.258514,0.174,1.467693,0.309549,-0.766997,0.492073,0.326781,0.250585,0.143114,1.546197,0.352023,-0.883541,-0.06208,0.443579,0.136891,0.099659,1.540035,0.380187,-0.841849,-0.224389,0.486286,0.066835,0.094084,1.509274,0.319538,-0.808367,0.25239,-0.086214,-0.524795,0.134214,1.466146,0.289639,-0.591196,0.603838,0.125415,-0.519748,0.108089,1.485794,0.297696,-0.776697,0.43348,0.002597,-0.45698,0.090241,1.52287,0.340761,-0.808367,0.25239,-0.086214,-0.524795,100,0.17731,1.438019,0.283376,-0.766997,0.492073,0.326781,0.250585,4,R,Static,Right
9,10,0.055466,1.66433,0.003403,0.998736,0.037363,-0.004142,0.033375,0.101854,1.578649,0.325425,-0.847482,0.339506,0.359817,0.192463,0.13072,1.527881,0.299468,-0.799163,0.451447,0.350111,0.186969,0.146428,1.469999,0.289483,-0.767093,0.492448,0.325439,0.251301,0.115372,1.561362,0.313105,-0.84765,0.332491,0.380391,0.161994,0.091567,1.595896,0.33701,-0.847482,0.339506,0.359817,0.192463,0.117883,1.580288,0.350748,-0.871358,0.211517,0.384473,0.21949,0.149259,1.528,0.31331,-0.815885,0.409102,0.32871,0.242729,0.1606,1.468225,0.299244,-0.767093,0.492448,0.325439,0.251301,0.134244,1.564768,0.333276,-0.879182,0.231775,0.374247,0.182369,0.103798,1.595069,0.366652,-0.871358,0.211517,0.384473,0.21949,0.163249,1.48294,0.298184,-0.767093,0.492448,0.325439,0.251301,0.133952,1.516044,0.370716,-0.72493,-0.415145,0.547767,0.045641,0.170945,1.504143,0.343013,-0.846465,0.181547,0.406863,0.291547,0.17723,1.464968,0.317314,-0.745241,0.360017,0.313938,0.465238,0.152401,1.521467,0.362195,-0.824892,-0.244211,0.487646,0.148713,0.114473,1.504468,0.372597,-0.72493,-0.415145,0.547767,0.045641,0.121395,1.546425,0.36834,-0.842005,-0.224268,0.485904,0.06804,0.161311,1.518487,0.328411,-0.850182,0.294942,0.350658,0.259304,0.174049,1.467545,0.309257,-0.767093,0.492448,0.325439,0.251301,0.14341,1.546082,0.351836,-0.883667,-0.062104,0.442999,0.137944,0.09998,1.53997,0.380051,-0.842005,-0.224268,0.485904,0.06804,0.094151,1.509433,0.319101,-0.808639,0.25509,-0.084904,-0.523282,0.134226,1.466118,0.289344,-0.592009,0.604586,0.124606,-0.518146,0.108165,1.485872,0.297353,-0.776969,0.435016,0.002928,-0.455052,0.090208,1.523101,0.34026,-0.808639,0.25509,-0.084904,-0.523282,112,0.177238,1.43788,0.283059,-0.767093,0.492448,0.325439,0.251301,4,R,Static,Right
